component_parse	card_nos	surfaces	raw_atomic_wordings_de	canonical_atomic_value_de	semantic_allograph
CHD+DY	PROC076|PROC094	dchedy|schedy|tchedy|dchdy	den laufenden Posten umsetzen; Schritt schließen|überführen und den Schritt schließen	überführen und den Schritt schließen	YES
CHD+Y	PROC042|PROC133	chdy|chedy|chedchy	den aktuellen Posten umsetzen|diesen Posten umsetzen	den aktuellen Posten umsetzen	YES
CHK+EE+Y	PROC046|PROC107	cheeky|chkeey	den aktuellen Posten länger wärmen|diesen Posten länger wärmen	den aktuellen Posten länger wärmen	YES
OK+CHD+DY	PROC082|PROC091	qokchdy|okchedy|qokchedy	den laufenden Posten ansetzen und umsetzen; Schritt schließen	in Einsatz bringen, überführen und den Schritt schließen	YES
OK+OL	PROC037|PROC160	okchol|qokol	fortsetzen den laufenden Posten ansetzen	den aktuellen Posten weiter in Einsatz bringen	YES
OK+Y	PROC008|PROC011	choky|oky|qoky|chokchy|okchy|qokchy	den aktuellen Posten in Einsatz bringen	den aktuellen Posten in Einsatz bringen	YES
OL	PROC013|PROC034	cheol|chol|ol|qol|sol|tol|dchol|schol	fortsetzen	fortsetzen	YES
OT+CHD+DY	PROC145|PROC166	otchedy|qotchedy|otchdy	danach den laufenden Posten umsetzen; Schritt schließen	danach überführen und den Schritt schließen	YES
OT+Y	PROC036|PROC065	qotchy|otchey	danach · dieser Posten	danach den aktuellen Posten wiederaufnehmen	YES
SH+EE+Y	PROC031|PROC157	cheey|shey|sheey	diesen Posten länger halten	den aktuellen Posten länger halten	YES
Y+K+AIN	PROC039|PROC040	ykain|ykan	diesen Posten nach Portion zuführen	dem aktuellen Posten eine Portion zugeben	YES
