component_parse	candidate_card_count	candidate_card_nos	candidate_surfaces	raw_atomic_wordings_de	canonical_atomic_value_de	raw_wording_agreement	atomic_value_agreement	exact_card_requires_allograph_choice
AIIN	1	PROC009	aiin|chaiin|daiin|saiin|taiin	vorgeschriebenes Maß	vorgeschriebenes Maß	YES	YES	NO
AIN	1	PROC156	dain	Portion	Portion	YES	YES	NO
AIR+Y+DY	1	PROC162	dairydy	laufender Bestand · dieser Posten; Schritt schließen	laufender Bestand · dieser Posten; Schritt schließen	YES	YES	NO
AL	1	PROC055	al|chal|cheal|dal|sal|tal	bezeichnete Stelle	bezeichnete Stelle	YES	YES	NO
AL+CHD+DY	1	PROC144	dalchdy	den laufenden Posten an bezeichnete Stelle umsetzen; Schritt schließen	den laufenden Posten an bezeichnete Stelle umsetzen; Schritt schließen	YES	YES	NO
AL+DY	1	PROC127	daldy	bezeichnete Stelle; Schritt schließen	bezeichnete Stelle; Schritt schließen	YES	YES	NO
AL+R+OR	1	PROC148	chealror	den Ansatz an bezeichnete Stelle abkühlen	den Ansatz an bezeichnete Stelle abkühlen	YES	YES	NO
AR	1	PROC003	char|dar|sar	von dort	von dort	YES	YES	NO
AR+Y	1	PROC137	chary	von dort · dieser Posten	von dort · dieser Posten	YES	YES	NO
CFH+Y	1	PROC028	cfhy	diesen Posten auswringen	diesen Posten auswringen	YES	YES	NO
CH+AIR	1	PROC006	chair	den laufenden Posten durch laufender Bestand abziehen	den laufenden Posten durch laufender Bestand abziehen	YES	YES	NO
CH+CKH+AL	1	PROC163	chckhal	den laufenden Posten an bezeichnete Stelle durch Durchlass abziehen	den laufenden Posten an bezeichnete Stelle durch Durchlass abziehen	YES	YES	NO
CH+E+O+AR	1	PROC045	cheoar	den Arbeitsgang von dort kurz abziehen	den Arbeitsgang von dort kurz abziehen	YES	YES	NO
CH+E+S	1	PROC124	ches	den laufenden Posten kurz abziehen und teilen	den laufenden Posten kurz abziehen und teilen	YES	YES	NO
CH+E+Y	1	PROC001	dchey	diesen Posten kurz abziehen	diesen Posten kurz abziehen	YES	YES	NO
CH+EE+CKH+O+DY	1	PROC057	cheeckhody	den Arbeitsgang durch Durchlass länger abziehen; Schritt schließen	den Arbeitsgang durch Durchlass länger abziehen; Schritt schließen	YES	YES	NO
CH+O+AIIN	1	PROC025	chodaiin	den Arbeitsgang nach vorgeschriebenes Maß abziehen	den Arbeitsgang nach vorgeschriebenes Maß abziehen	YES	YES	NO
CHD+AIN	1	PROC151	chedain	den laufenden Posten nach Portion umsetzen	den laufenden Posten nach Portion umsetzen	YES	YES	NO
CHD+AIR	1	PROC150	schedair	den laufenden Posten durch laufender Bestand umsetzen	den laufenden Posten durch laufender Bestand umsetzen	YES	YES	NO
CHD+AL	1	PROC168	chdal	den laufenden Posten an bezeichnete Stelle umsetzen	den laufenden Posten an bezeichnete Stelle umsetzen	YES	YES	NO
CHD+DY	2	PROC076|PROC094	dchedy|schedy|tchedy|dchdy	den laufenden Posten umsetzen; Schritt schließen|überführen und den Schritt schließen	überführen und den Schritt schließen	NO	YES	YES
CHD+Y	2	PROC042|PROC133	chdy|chedy|chedchy	den aktuellen Posten umsetzen|diesen Posten umsetzen	den aktuellen Posten umsetzen	NO	YES	YES
CHK+E+Y	1	PROC083	cheky	diesen Posten kurz wärmen	diesen Posten kurz wärmen	YES	YES	NO
CHK+EE+DY	1	PROC132	chkeedy	den laufenden Posten länger wärmen; Schritt schließen	den laufenden Posten länger wärmen; Schritt schließen	YES	YES	NO
CHK+EE+Y	2	PROC046|PROC107	cheeky|chkeey	den aktuellen Posten länger wärmen|diesen Posten länger wärmen	den aktuellen Posten länger wärmen	NO	YES	YES
CKH+Y	1	PROC075	chckhy|shckhy	Durchlass · dieser Posten	Durchlass · dieser Posten	YES	YES	NO
CTH+AIIN	1	PROC017	cthaiin	bereit · vorgeschriebenes Maß	bereit · vorgeschriebenes Maß	YES	YES	NO
CTH+E+Y	1	PROC117	qcthey|shcthey	bereit · kurz · dieser Posten	bereit · kurz · dieser Posten	YES	YES	NO
CTH+O+OR	1	PROC002	cthoor	bereit · Arbeitsgang · Ansatz	bereit · Arbeitsgang · Ansatz	YES	YES	NO
CTH+Y	1	PROC014	checthy|cthy|shcthy	bereit · dieser Posten	bereit · dieser Posten	YES	YES	NO
DA+IIN	1	PROC169	daiiin	zweite · Sollstufe	zweite · Sollstufe	YES	YES	NO
E+K+E+Y	1	PROC171	qekey	diesen Posten kurz kurz zuführen	diesen Posten kurz kurz zuführen	YES	YES	NO
E+OL	1	PROC093	teol	kurz · fortsetzen	kurz · fortsetzen	YES	YES	NO
E+T+Y	1	PROC010	etyd	diesen Posten kurz eintragen	diesen Posten kurz eintragen	YES	YES	NO
EE+AR	1	PROC146	cheedar	länger · von dort	länger · von dort	YES	YES	NO
EEE+T+Y	1	PROC149	cheeety	diesen Posten vollständig eintragen	diesen Posten vollständig eintragen	YES	YES	NO
HO	1	PROC052	cho|sho	Gabe	Gabe	YES	YES	NO
HO+AL+Y	1	PROC053	chodaly	Gabe · bezeichnete Stelle · dieser Posten	Gabe · bezeichnete Stelle · dieser Posten	YES	YES	NO
HO+CH+OR	1	PROC051	chochor	den Gabe und Ansatz abziehen	den Gabe und Ansatz abziehen	YES	YES	NO
HO+Y	1	PROC056	choy	Gabe · dieser Posten	Gabe · dieser Posten	YES	YES	NO
K+AIN	1	PROC069	chkain|kain	den laufenden Posten nach Portion zuführen	den laufenden Posten nach Portion zuführen	YES	YES	NO
K+AIR	1	PROC068	kair	den laufenden Posten durch laufender Bestand zuführen	den laufenden Posten durch laufender Bestand zuführen	YES	YES	NO
K+AL	1	PROC062	kchal	den laufenden Posten an bezeichnete Stelle zuführen	den laufenden Posten an bezeichnete Stelle zuführen	YES	YES	NO
K+AR	1	PROC165	skar	den laufenden Posten von dort zuführen	den laufenden Posten von dort zuführen	YES	YES	NO
K+E+OL	1	PROC066	keol	fortsetzen den laufenden Posten kurz zuführen	fortsetzen den laufenden Posten kurz zuführen	YES	YES	NO
K+E+Y	1	PROC059	kchey	diesen Posten kurz zuführen	diesen Posten kurz zuführen	YES	YES	NO
K+HO+AR	1	PROC063	kchoar	den Gabe von dort zuführen	den Gabe von dort zuführen	YES	YES	NO
K+IIN	1	PROC024	kaiiin	den laufenden Posten zuführen bis Sollstufe	den laufenden Posten zuführen bis Sollstufe	YES	YES	NO
K+OL	1	PROC054	kchol	fortsetzen den laufenden Posten zuführen	fortsetzen den laufenden Posten zuführen	YES	YES	NO
K+Y	1	PROC035	kchy	diesen Posten zuführen	diesen Posten zuführen	YES	YES	NO
L	1	PROC072	dl	leiten	leiten	YES	YES	NO
L+AIIN	1	PROC147	chldaiin	den laufenden Posten nach vorgeschriebenes Maß führen	den laufenden Posten nach vorgeschriebenes Maß führen	YES	YES	NO
L+AL+OR	1	PROC173	ldalor	den Ansatz an bezeichnete Stelle führen	den Ansatz an bezeichnete Stelle führen	YES	YES	NO
L+AR	1	PROC121	lar	den laufenden Posten von dort führen	den laufenden Posten von dort führen	YES	YES	NO
L+CH+Y	1	PROC116	lchy	diesen Posten führen und abziehen	diesen Posten führen und abziehen	YES	YES	NO
L+CHD	1	PROC102	lched	den laufenden Posten führen und umsetzen	den laufenden Posten führen und umsetzen	YES	YES	NO
L+CHD+AL	1	PROC088	lchedal	den laufenden Posten an bezeichnete Stelle führen und umsetzen	den laufenden Posten an bezeichnete Stelle führen und umsetzen	YES	YES	NO
L+CHD+AR	1	PROC123	lchedar	den laufenden Posten von dort führen und umsetzen	den laufenden Posten von dort führen und umsetzen	YES	YES	NO
L+CHD+DY	1	PROC120	lchedy	weiterleiten, überführen und den Schritt schließen	weiterleiten, überführen und den Schritt schließen	YES	YES	NO
L+CKH+E+DY	1	PROC103	lcheckhedy	den laufenden Posten durch Durchlass kurz führen; Schritt schließen	den laufenden Posten durch Durchlass kurz führen; Schritt schließen	YES	YES	NO
L+CKH+Y	1	PROC101	lcheckhy	diesen Posten durch Durchlass führen	diesen Posten durch Durchlass führen	YES	YES	NO
L+DY	1	PROC108	ldy	den laufenden Posten führen; Schritt schließen	den laufenden Posten führen; Schritt schließen	YES	YES	NO
L+EE+Y	1	PROC118	lcheey	diesen Posten länger führen	diesen Posten länger führen	YES	YES	NO
L+K+E+DY	1	PROC159	lkedy	den laufenden Posten kurz führen und zuführen; Schritt schließen	den laufenden Posten kurz führen und zuführen; Schritt schließen	YES	YES	NO
L+O	1	PROC140	lo	den Arbeitsgang führen	den Arbeitsgang führen	YES	YES	NO
L+O+CHD+DY	1	PROC130	lochedy	den Arbeitsgang führen und umsetzen; Schritt schließen	den Arbeitsgang führen und umsetzen; Schritt schließen	YES	YES	NO
L+OL	1	PROC167	lol	fortsetzen den laufenden Posten führen	fortsetzen den laufenden Posten führen	YES	YES	NO
L+Y	1	PROC095	ly	diesen Posten führen	diesen Posten führen	YES	YES	NO
LS	1	PROC115	ls	weiter	weiter	YES	YES	NO
LSH+E+DY	1	PROC086	lshedy	den laufenden Posten kurz waschen; Schritt schließen	den laufenden Posten kurz waschen; Schritt schließen	YES	YES	NO
LSH+O	1	PROC084	lsho	den Arbeitsgang waschen	den Arbeitsgang waschen	YES	YES	NO
O+CKH+E+Y	1	PROC161	qockhey	Arbeitsgang · Durchlass · kurz · dieser Posten	Arbeitsgang · Durchlass · kurz · dieser Posten	YES	YES	NO
O+CTH+E+OL	1	PROC106	octheol	Arbeitsgang · bereit · kurz · fortsetzen	Arbeitsgang · bereit · kurz · fortsetzen	YES	YES	NO
