rule_no	stage	instruction_de
R01	OWNER	Bestimme Bild- oder Stationsbesitzer; schreibe ihn nicht als Karte aus.
R02	ACTION	Wähle den kleinsten Handlungskern aus den 17 Aktionskomponenten.
R03	ITEM	Setze Y nur, wenn der aktuelle Posten ausdrücklich gebunden oder wiederaufgenommen wird.
R04	QUANTITY	Setze AIIN für Sollmaß, AIN für eine abgeteilte Portion.
R05	ADDRESS	Setze AR für Quelle, AL für Ziel, AIR/CKH für Lauf oder Durchlass.
R06	MATERIAL	Setze OR für Ansatz, HO für Gabe und O für den Arbeitsgang.
R07	ORDER	Setze OL/LS für Fortsetzung und OT für die nächste Einheit.
R08	GRADE	Setze E, EE oder EEE für kurz, länger oder vollständig.
R09	STATE	Setze CTH für bereit und IIN für Sollstufe.
R10	CLOSE	Setze DY nur in einer lizenzierten Schlusskarte.
R11	CARD	Fasse die Komponenten zur attestierten exakten Karte zusammen.
R12	ALLOGRAPH	Bei elf doppelt belegten Komponentenfolgen wähle die lokale gelernte Kartenallographie.
R13	RENDER	Wähle aus den attestierten Oberflächen der Karte die lokale Positionsform.
R14	READ	Lies Karte zu Komponenten, binde Argumente an die Aktion und erweitere den Frame lokal.
