event_id	statement_id	record_unit_id	page	field_id	field_position	visible_surface	normalized_master_form	master_card_id	portable_value_de	normalization_rule	field_frame_mode	visible_owner	terminal_status
E315	B4-S001	B4	f83r	F109	1	qokeedy	qokeedy	MC082	lange einwirken; Schluss	MASTER_FORM	LOW_DATA	Hauptpaar am sichtbaren ungerichteten Bogen	TERMINAL
E316	B4-S002	B4	f83r	F110	1	qolchey	qolchey	MC162	Weiterposten	MASTER_FORM	LOW_DATA	Hauptpaar am sichtbaren ungerichteten Bogen	NONCLOSE
E317	B4-S002	B4	f83r	F110	2	qokeey	okeey	MC002	lange einwirken	R1_Q_ACTIVE	LOW_DATA	Hauptpaar am sichtbaren ungerichteten Bogen	NONCLOSE
E318	B4-S002	B4	f83r	F110	3	qokedy	qokedy	MC083	kurz einwirken; Schluss	MASTER_FORM	LOW_DATA	Hauptpaar am sichtbaren ungerichteten Bogen	TERMINAL
E319	B4-S003	B4	f83r	F111	1	chedy	chdy	MC074	überführen	R10_PAIRED_ALLOGRAPH	MIXED	Hauptpaar am sichtbaren ungerichteten Bogen	NONCLOSE
E320	B4-S003	B4	f83r	F111	2	otal	otal	MC093	danach dorthin	MASTER_FORM	MIXED	Hauptpaar am sichtbaren ungerichteten Bogen	NONCLOSE
E321	B4-S003	B4	f83r	F112	1	otchey	otchey	MC171	das nächste	MASTER_FORM	Q	Hauptpaar am sichtbaren ungerichteten Bogen	NONCLOSE
E322	B4-S003	B4	f83r	F112	2	qokeey	okeey	MC002	lange einwirken	R1_Q_ACTIVE	Q	Hauptpaar am sichtbaren ungerichteten Bogen	NONCLOSE
E323	B4-S003	B4	f83r	F112	3	qoky	choky	MC026	einsetzen	R1_Q_ACTIVE	Q	Hauptpaar am sichtbaren ungerichteten Bogen	NONCLOSE
E324	B4-S003	B4	f83r	F112	4	tol	cheol	MC153	weiter	R5_OL_CONTINUE	Q	Hauptpaar am sichtbaren ungerichteten Bogen	NONCLOSE
E325	B4-S003	B4	f83r	F112	5	shedy	cheedy	MC128	kurz absetzen; Schluss	R9_CHEDY_CLOSE	Q	Hauptpaar am sichtbaren ungerichteten Bogen	TERMINAL
