statement_id	record_unit_id	visible_owner	field_ids	frame_modes	visible_sequence	normalized_sequence	literal_card_reading	previous_fluent_expansion	revised_fluent_translation_de	revision_reason
B4-S001	B4	Hauptpaar am sichtbaren ungerichteten Bogen	F109	LOW_DATA	qokeedy	qokeedy	lange einwirken; Schluss	Mit Klarauszug mit Wirkzusatz laden zweimal durch Einlage fuehren teilen und an Ziele bringen: Besitzer »Hauptpaar am sichtbaren ungerichteten Bogen«: lange einwirken; Schluss.	Am Hauptpaar länger einwirken lassen; Schluss.	MAIN_PAIR_AND_LEFT_UNDERFLOW
B4-S002	B4	Hauptpaar am sichtbaren ungerichteten Bogen	F110	LOW_DATA	qolchey qokeey qokedy	qolchey okeey qokedy	Weiterposten | lange einwirken | kurz einwirken; Schluss	Mit Klarauszug mit Wirkzusatz laden zweimal durch Einlage fuehren teilen und an Ziele bringen: Neuer Schritt: Weiterposten — lange einwirken — kurz einwirken; Schluss.	Den Weiterposten zuerst länger, dann kurz einwirken lassen; Schluss.	MAIN_PAIR_AND_LEFT_UNDERFLOW
B4-S003	B4	Hauptpaar am sichtbaren ungerichteten Bogen	F111|F112	MIXED|Q	chedy otal otchey qokeey qoky tol shedy	chdy otal otchey okeey choky cheol cheedy	überführen | danach dorthin | das nächste | lange einwirken | einsetzen | weiter | kurz absetzen; Schluss	Mit Klarauszug mit Wirkzusatz laden zweimal durch Einlage fuehren teilen und an Ziele bringen: Neuer Schritt: überführen — danach dorthin — das nächste — lange einwirken — einsetzen — weiter — kurz absetzen; Schluss.	Überführen, danach den nächsten Posten dorthin bringen, länger einwirken lassen, einsetzen, weiterführen und kurz absetzen lassen; Schluss.	MAIN_PAIR_AND_LEFT_UNDERFLOW
B4-S004	B4	Hauptpaar am sichtbaren ungerichteten Bogen	F113	LOW_DATA	qokylddy	qokylddy	Festsetzen; Schluss	Mit Klarauszug mit Wirkzusatz laden zweimal durch Einlage fuehren teilen und an Ziele bringen: Neuer Schritt: Festsetzen; Schluss.	Den Posten festsetzen; Schluss.	MAIN_PAIR_AND_LEFT_UNDERFLOW
B4-S005	B4	Hauptpaar am sichtbaren ungerichteten Bogen	F114	LOW_DATA	dain chedy qokeedy	dain chdy qokeedy	Einlage | überführen | lange einwirken; Schluss	Mit Klarauszug mit Wirkzusatz laden zweimal durch Einlage fuehren teilen und an Ziele bringen: Neuer Schritt: Einlage — überführen — lange einwirken; Schluss.	Die Einlage überführen und länger einwirken lassen; Schluss.	MAIN_PAIR_AND_LEFT_UNDERFLOW
B4-S006	B4	Hauptpaar am sichtbaren ungerichteten Bogen	F115	LOW_DATA	shckhedy	shckhedy	durchlassen; Schluss	Mit Klarauszug mit Wirkzusatz laden zweimal durch Einlage fuehren teilen und an Ziele bringen: Neuer Schritt: durchlassen; Schluss.	Einmal durchlassen; Schluss.	MAIN_PAIR_AND_LEFT_UNDERFLOW
B4-S007	B4	Hauptpaar am sichtbaren ungerichteten Bogen	F116	LOW_DATA	shckhedy	shckhedy	durchlassen; Schluss	Mit Klarauszug mit Wirkzusatz laden zweimal durch Einlage fuehren teilen und an Ziele bringen: Neuer Schritt: durchlassen; Schluss.	Ein zweites Mal durchlassen; Schluss.	MAIN_PAIR_AND_LEFT_UNDERFLOW
B4-S008	B4	Hauptpaar am sichtbaren ungerichteten Bogen	F117	LOW_DATA	saiin cheeky sheey qokedy	aiin cheeky sheey qokedy	Sollmaß | länger bearbeiten | Langhalt | kurz einwirken; Schluss	Mit Klarauszug mit Wirkzusatz laden zweimal durch Einlage fuehren teilen und an Ziele bringen: Neuer Schritt: Sollmaß — länger bearbeiten — Langhalt — kurz einwirken; Schluss.	Auf Sollmaß bringen, länger bearbeiten, länger halten und kurz einwirken lassen; Schluss.	MAIN_PAIR_AND_LEFT_UNDERFLOW
B4-S009	B4	Hauptpaar am sichtbaren ungerichteten Bogen	F118	LOW_DATA	shedy	cheedy	kurz absetzen; Schluss	Mit Klarauszug mit Wirkzusatz laden zweimal durch Einlage fuehren teilen und an Ziele bringen: Neuer Schritt: kurz absetzen; Schluss.	Kurz absetzen lassen; Schluss.	MAIN_PAIR_AND_LEFT_UNDERFLOW
B4-S010	B4	Hauptpaar am sichtbaren ungerichteten Bogen	F119	LOW_DATA	oldy	oldy	fertig	Mit Klarauszug mit Wirkzusatz laden zweimal durch Einlage fuehren teilen und an Ziele bringen: Neuer Schritt: fertig; Schluss.	Fertigstellen; Schluss.	MAIN_PAIR_AND_LEFT_UNDERFLOW
B4-S011	B4	linke offene Fransen-/Unterlaufstation	F120|F121	MIXED|LOW_DATA	saiin cheky okeeol okain chdy sol lkedy	aiin cheky okeeol okain chdy cheol lkedy	Sollmaß | kurz wärmen | Langfortsetzung | Anteil zugeben | überführen | weiter | Kurzabzug; Schluss	Mit Klarauszug mit Wirkzusatz laden zweimal durch Einlage fuehren teilen und an Ziele bringen: Neuer Besitzer »linke offene Fransen-/Unterlaufstation«: Sollmaß — kurz wärmen — Langfortsetzung — Anteil zugeben — überführen — weiter — Kurzabzug; Schluss.	An der linken Unterlaufstation das Sollmaß kurz wärmen, länger weiterführen, einen Anteil zugeben, überführen, fortsetzen und kurz abziehen; Schluss.	MAIN_PAIR_AND_LEFT_UNDERFLOW
B4-S012	B4	linke offene Fransen-/Unterlaufstation	F122	LOW_DATA	lchedy	lchedy	abführen; Schluss	Mit Klarauszug mit Wirkzusatz laden zweimal durch Einlage fuehren teilen und an Ziele bringen: Neuer Schritt: abführen; Schluss.	Abführen; Schluss.	MAIN_PAIR_AND_LEFT_UNDERFLOW
B4-S013	B4	linke offene Fransen-/Unterlaufstation	F123	LOW_DATA	qokol shedy	qokol cheedy	Weiter einsetzen | kurz absetzen; Schluss	Mit Klarauszug mit Wirkzusatz laden zweimal durch Einlage fuehren teilen und an Ziele bringen: Neuer Schritt: Weiter einsetzen — kurz absetzen; Schluss.	Weiter einsetzen und kurz absetzen lassen; Schluss.	MAIN_PAIR_AND_LEFT_UNDERFLOW
B4-S014	B4	linke offene Fransen-/Unterlaufstation	F124	MIXED	or chey qockhey dairydy	chor chey qockhey dairydy	Ansatz | dies | Kurzdurchgang | Laufschluss	Mit Klarauszug mit Wirkzusatz laden zweimal durch Einlage fuehren teilen und an Ziele bringen: Neuer Schritt: Ansatz — dies — Kurzdurchgang — Laufschluss.	Diesen Ansatz durch den kurzen Gang führen und den Lauf schließen.	MAIN_PAIR_AND_LEFT_UNDERFLOW
