field_id	statement_id	record_unit_id	visible_owner	field_frame_mode	visible_sequence	normalized_sequence	card_sequence	literal_values	terminal
F109	B4-S001	B4	Hauptpaar am sichtbaren ungerichteten Bogen	LOW_DATA	qokeedy	qokeedy	MC082	lange einwirken; Schluss	NO
F110	B4-S002	B4	Hauptpaar am sichtbaren ungerichteten Bogen	LOW_DATA	qolchey qokeey qokedy	qolchey okeey qokedy	MC162 MC002 MC083	Weiterposten | lange einwirken | kurz einwirken; Schluss	NO
F111	B4-S003	B4	Hauptpaar am sichtbaren ungerichteten Bogen	MIXED	chedy otal	chdy otal	MC074 MC093	überführen | danach dorthin	NO
F112	B4-S003	B4	Hauptpaar am sichtbaren ungerichteten Bogen	Q	otchey qokeey qoky tol shedy	otchey okeey choky cheol cheedy	MC171 MC002 MC026 MC153 MC128	das nächste | lange einwirken | einsetzen | weiter | kurz absetzen; Schluss	NO
F113	B4-S004	B4	Hauptpaar am sichtbaren ungerichteten Bogen	LOW_DATA	qokylddy	qokylddy	MC164	Festsetzen; Schluss	NO
F114	B4-S005	B4	Hauptpaar am sichtbaren ungerichteten Bogen	LOW_DATA	dain chedy qokeedy	dain chdy qokeedy	MC059 MC074 MC082	Einlage | überführen | lange einwirken; Schluss	NO
F115	B4-S006	B4	Hauptpaar am sichtbaren ungerichteten Bogen	LOW_DATA	shckhedy	shckhedy	MC143	durchlassen; Schluss	NO
F116	B4-S007	B4	Hauptpaar am sichtbaren ungerichteten Bogen	LOW_DATA	shckhedy	shckhedy	MC143	durchlassen; Schluss	NO
F117	B4-S008	B4	Hauptpaar am sichtbaren ungerichteten Bogen	LOW_DATA	saiin cheeky sheey qokedy	aiin cheeky sheey qokedy	MC039 MC032 MC095 MC083	Sollmaß | länger bearbeiten | Langhalt | kurz einwirken; Schluss	NO
F118	B4-S009	B4	Hauptpaar am sichtbaren ungerichteten Bogen	LOW_DATA	shedy	cheedy	MC128	kurz absetzen; Schluss	NO
F119	B4-S010	B4	Hauptpaar am sichtbaren ungerichteten Bogen	LOW_DATA	oldy	oldy	MC019	fertig	NO
F120	B4-S011	B4	linke offene Fransen-/Unterlaufstation	MIXED	saiin cheky okeeol okain chdy	aiin cheky okeeol okain chdy	MC039 MC147 MC150 MC017 MC074	Sollmaß | kurz wärmen | Langfortsetzung | Anteil zugeben | überführen	NO
F121	B4-S011	B4	linke offene Fransen-/Unterlaufstation	LOW_DATA	sol lkedy	cheol lkedy	MC153 MC124	weiter | Kurzabzug; Schluss	NO
F122	B4-S012	B4	linke offene Fransen-/Unterlaufstation	LOW_DATA	lchedy	lchedy	MC155	abführen; Schluss	NO
F123	B4-S013	B4	linke offene Fransen-/Unterlaufstation	LOW_DATA	qokol shedy	qokol cheedy	MC024 MC128	Weiter einsetzen | kurz absetzen; Schluss	NO
F124	B4-S014	B4	linke offene Fransen-/Unterlaufstation	MIXED	or chey qockhey dairydy	chor chey qockhey dairydy	MC080 MC123 MC165 MC091	Ansatz | dies | Kurzdurchgang | Laufschluss	NO
F125	B4-S015	B4	linke offene Fransen-/Unterlaufstation	MIXED	qokain shey kain chckhal	okain cheey chkain chckhal	MC017 MC119 MC105 MC022	Anteil zugeben | Klarauszug | Anteil | Zielpassage	NO
F126	B4-S015	B4	rechte S-Lauf-/Mehrarmknotenstation	LOW_DATA	solkey lchedy	solkey lchedy	MC050 MC155	Kurzsammlung | abführen; Schluss	NO
F127	B4-S016	B4	rechte S-Lauf-/Mehrarmknotenstation	MIXED	qolkain dal	olkain al	MC097 MC154	weiterer Anteil | dorthin	NO
F128	B4-S016	B4	rechte S-Lauf-/Mehrarmknotenstation	LOW_DATA	skar shedy	skar cheedy	MC089 MC128	Quellausguss | kurz absetzen; Schluss	NO
F129	B5-S001	B5	linker offener Fransen-Endposten	LOW_DATA	otchdy	otchdy	MC067	Nachtransfer; Schluss	NO
F130	B5-S002	B5	linker offener Fransen-Endposten	LOW_DATA	qokchdy	qokchdy	MC088	einführen; Schluss	NO
F131	B5-S003	B5	linker offener Fransen-Endposten	LOW_DATA	shedal	shedal	MC113	am Ziel absetzen	NO
F132	B5-S003	B5	linker offener Fransen-Endposten	MIXED	dal cheol lol chdal aiin	al cheol lol chdal aiin	MC154 MC153 MC092 MC001 MC039	dorthin | weiter | Weiterabzug | Zieltransfer | Sollmaß	NO
F133	B5-S003	B5	linker offener Fransen-Endposten	MIXED	sol daiiin chedy	cheol daiiin chdy	MC153 MC172 MC074	weiter | Endstufe | überführen	NO
F134	B6-S001	B6	rechter S-Lauf-/Mehrarm-Endposten	LOW_DATA	solkeey qekey raly ol	solkeey qekey raly cheol	MC020 MC052 MC046 MC153	Langsammlung | Kurzbearbeitung | Endposten | weiter	NO
F135	B6-S001	B6	rechter S-Lauf-/Mehrarm-Endposten	MIXED	daiin ol dain chey ldalor	aiin cheol dain chey ldalor	MC039 MC153 MC059 MC123 MC101	Sollmaß | weiter | Einlage | dies | Endziel	NO
