reader	locus	source_group_id	index	raw	fixed_tag	fixed_meaning
ZL3b	f83r.47	ZL3b|f83r.47|G001	1	otchdy	UNKNOWN	UNASSIGNED
ZL3b	f83r.47	ZL3b|f83r.47|G002	2	qokchdy	UNKNOWN	UNASSIGNED
ZL3b	f83r.47	ZL3b|f83r.47|G003	3	shedal	UNKNOWN	UNASSIGNED
ZL3b	f83r.48	ZL3b|f83r.48|G001	1	dal	EXCLUDING_PES	exclude the accompaniment pair from the preceding rota-singer count
ZL3b	f83r.48	ZL3b|f83r.48|G002	2	cheol	SAME_MELODY	the same defined main melody M
ZL3b	f83r.48	ZL3b|f83r.48|G003	3	lol	CONTINUE	Preserve the supplied part's existing local phase and event sequence through the specified other performer's entry; do not restart or exchange it.
ZL3b	f83r.48	ZL3b|f83r.48|G004	4	chdal	UNKNOWN	UNASSIGNED
ZL3b	f83r.48	ZL3b|f83r.48|G005	5	aiin	TOGETHER	common onset for the subject set in the current clause; does not merge their clocks or part positions
ZL3b	f83r.49	ZL3b|f83r.49|G001	1	sol	WHEN	when the stated cue is reached
ZL3b	f83r.49	ZL3b|f83r.49|G002	2	daiiin	UNKNOWN	UNASSIGNED
ZL3b	f83r.49	ZL3b|f83r.49|G003	3	chedy	ENTER	enter the performance
ZL3b	f83r.52	ZL3b|f83r.52|G001	1	solkeey	UNKNOWN	UNASSIGNED
ZL3b	f83r.52	ZL3b|f83r.52|G002	2	qekey	UNKNOWN	UNASSIGNED
ZL3b	f83r.52	ZL3b|f83r.52|G003	3	raly	UNKNOWN	UNASSIGNED
ZL3b	f83r.52	ZL3b|f83r.52|G004	4	ol	THAT	the unique named cue X from the entry-rule context
ZL3b	f83r.53	ZL3b|f83r.53|G001	1	solchkal	UNKNOWN	UNASSIGNED
ZL3b	f83r.53	ZL3b|f83r.53|G002	2	cheol	SAME_MELODY	the same defined main melody M
ZL3b	f83r.53	ZL3b|f83r.53|G003	3	qotar	UNKNOWN	UNASSIGNED
ZL3b	f83r.53	ZL3b|f83r.53|G004	4	ol	THAT	the unique named cue X from the entry-rule context
ZL3b	f83r.54	ZL3b|f83r.54|G001	1	daiin	NOT	prohibit the following entry relation
ZL3b	f83r.54	ZL3b|f83r.54|G002	2	ol	THAT	the unique named cue X from the entry-rule context
