form	count	loci
daiin	8	f21r.12:7;f32v.8:2;f32v.8:3;f32v.8:5;f32v.9:5;f32v.9:7;f32v.10:5;f29v.1:11
chol	7	f21r.11:2;f21r.12:6;f32v.10:4;f29v.2:3;f29v.2:4;f29v.3:1;f29v.3:2
cthy	5	f17r.5:2;f21r.9:8;f29v.1:7;f29v.2:5;f29v.4:4
s	5	f21r.9:9;f32v.7:9;f29v.2:2;f29v.3:8;f29v.4:6
chor	4	f17r.5:3;f21r.12:2;f21r.12:5;f32v.10:3
sho	4	f21r.9:2;f32v.10:1;f32v.11:2;f29v.4:8
okaiin	3	f21r.9:1;f29v.4:3;f29v.4:9
shol	3	f17r.4:2;f21r.11:1;f21r.11:3
chkaiin	2	f21r.9:4;f21r.12:8
cho	2	f17r.6:3;f29v.1:9
chy	2	f21r.10:3;f32v.11:3
cthey	2	f17r.5:8;f21r.9:6
ol	2	f32v.11:1;f29v.1:4
qotaiin	2	f21r.10:5;f32v.8:6
qotchy	2	f32v.9:1;f29v.3:6
she	2	f32v.7:3;f29v.3:9
shey	2	f21r.11:7;f29v.3:4
shor	2	f17r.5:4;f29v.1:2
shy	2	f29v.1:8;f29v.1:10
ar	1	f32v.10:10
cfhy	1	f32v.9:2
chcthy	1	f21r.11:5
chetchy	1	f29v.1:3
cheteg	1	f17r.6:5
chey	1	f29v.2:6
chocthy	1	f32v.9:4
cphaldy	1	f17r.5:6
cpho	1	f32v.10:6
cphor	1	f17r.5:5
cphos	1	f32v.7:2
cthaiin	1	f32v.9:6
ctheey	1	f21r.10:8
ctho	1	f32v.8:4
cthodaiin	1	f21r.8:7
cthody	1	f21r.9:7
cthol	1	f32v.10:8
cthold	1	f29v.2:7
d	1	f32v.8:8
da	1	f32v.10:9
dain	1	f32v.7:7
dair	1	f17r.5:7
dary	1	f29v.2:9
fcho	1	f21r.8:1
keol	1	f32v.10:2
keor	1	f21r.10:2
kooiin	1	f29v.1:1
kor	1	f29v.3:3
ksho	1	f32v.7:1
kshy	1	f21r.8:2
ky	1	f21r.10:4
l	1	f32v.10:7
ls	1	f29v.1:5
ocphal	1	f21r.8:5
odaiin	1	f29v.3:5
odan	1	f32v.7:10
olaiin	1	f17r.4:5
oltchy	1	f29v.4:5
opsheas	1	f21r.8:6
opydg	1	f17r.4:6
otaiin	1	f21r.10:9
otchol	1	f32v.8:1
otchy	1	f32v.8:7
otey	1	f29v.3:10
otor	1	f21r.8:3
otshcho	1	f32v.7:5
otshy	1	f29v.4:2
oty	1	f21r.8:8
otyky	1	f21r.11:6
qody	1	f17r.5:9
qof	1	f17r.6:2
qokcheor	1	f17r.6:4
qokol	1	f17r.4:3
qor	1	f17r.4:4
qotcheaiin	1	f29v.2:1
qotchol	1	f21r.10:6
r	1	f32v.7:6
sh	1	f21r.9:5
shan	1	f32v.8:9
shckhy	1	f32v.7:8
sheaiin	1	f32v.7:4
sheey	1	f21r.12:3
sheol	1	f21r.8:4
shody	1	f21r.11:9
shot	1	f29v.4:7
shytchy	1	f29v.1:6
skey	1	f32v.9:3
som	1	f17r.4:7
sy	1	f29v.3:11
taiin	1	f29v.3:7
tcho	1	f17r.4:1
tchol	1	f21r.11:4
totchy	1	f21r.10:1
tshaiin	1	f21r.9:3
tsho	1	f17r.6:1
ty	1	f21r.10:7
ychekchy	1	f17r.5:1
ykeey	1	f21r.12:1
ypaim	1	f17r.4:9
ypchy	1	f17r.4:8
ysheol	1	f21r.12:4
ysho	1	f29v.4:1
ytchor	1	f29v.2:8
yteol	1	f21r.11:8
