locus	group_index	raw_group	hypothesis_meaning	rule_id	supplied_words	uncertainty
f17r.4	1	tcho	[unaufgelöst: tcho]	UNRESOLVED	Keine syntaktische Glättung in dieser Tabelle	NO_MEANING_ASSIGNED
f17r.4	2	shol	feucht	shol	Keine syntaktische Glättung in dieser Tabelle	old_GDT809_assumption
f17r.4	3	qokol	[unaufgelöst: qokol]	UNRESOLVED	Keine syntaktische Glättung in dieser Tabelle	NO_MEANING_ASSIGNED
f17r.4	4	qor	[unaufgelöst: qor]	UNRESOLVED	Keine syntaktische Glättung in dieser Tabelle	NO_MEANING_ASSIGNED
f17r.4	5	olaiin	[unaufgelöst: olaiin]	UNRESOLVED	Keine syntaktische Glättung in dieser Tabelle	NO_MEANING_ASSIGNED
f17r.4	6	opydg	[unaufgelöst: opydg]	UNRESOLVED	Keine syntaktische Glättung in dieser Tabelle	NO_MEANING_ASSIGNED
f17r.4	7	som	[unaufgelöst: som]	UNRESOLVED	Keine syntaktische Glättung in dieser Tabelle	NO_MEANING_ASSIGNED
f17r.4	8	ypchy	[unaufgelöst: ypchy]	UNRESOLVED	Keine syntaktische Glättung in dieser Tabelle	NO_MEANING_ASSIGNED
f17r.4	9	ypaim	[unaufgelöst: ypaim]	UNRESOLVED	Keine syntaktische Glättung in dieser Tabelle	NO_MEANING_ASSIGNED
f17r.5	1	ychekchy	[unaufgelöst: ychekchy]	UNRESOLVED	Keine syntaktische Glättung in dieser Tabelle	NO_MEANING_ASSIGNED
f17r.5	2	cthy	Kraut	cthy	Keine syntaktische Glättung in dieser Tabelle	old_GDT809_assumption
f17r.5	3	chor	Blüten	chor	Keine syntaktische Glättung in dieser Tabelle	old_GDT809_assumption
f17r.5	4	shor	Früchte	shor	Keine syntaktische Glättung in dieser Tabelle	old_GDT809_assumption
f17r.5	5	cphor	[unaufgelöst: cphor]	UNRESOLVED	Keine syntaktische Glättung in dieser Tabelle	NO_MEANING_ASSIGNED
f17r.5	6	cphaldy	[unaufgelöst: cphaldy]	UNRESOLVED	Keine syntaktische Glättung in dieser Tabelle	NO_MEANING_ASSIGNED
