assumption_id	source_locus	consequence	affected_working_loci	observed_compatibility	contradiction	unresolved
H01	f32v.11	ol=auch; sho=gegen; chy=Hitzezustand	f21r.9;f32v.10;f29v.4;f29v.1;f21r.10	Endformel bedingt lesbar	D0 sho verlangt Zustand, f29v.4 folgt angenommene Zubereitung	Wortwerte und Bereich nicht identifiziert
H02	f29v.4:8-9	D1 sho=mit; okaiin=Zubereitung	alle vier sho-Vorkommen	Keine unmittelbare Stoff-/Relations-Typkollision bei bekanntem okaiin/chy	tshaiin und keol bleiben unbekannt	Mit bedeutet nicht schon eingießen, gleicher Ansatz oder Rezept
H03	f21r.10:5	qotaiin=schädlich für	f32v.8:6	Gleicher hypothetischer Relationstyp an beiden Stellen	Kein konkreter Schaden aus qotchol/otchy abgeleitet	Eigenschaft und betroffener Gegenstand offen
H04	f32v.9:1	qotchy nimmt letzten vorangegangenen angenommenen Schaden auf	f32v.8:6-7;f29v.3:4-7	Zwei bedingte Rückbindungen: otchy/cfhy und odaiin/taiin	Keine ausgearbeitete kompensierende Eigenschaft	Synonymie qotaiin/shey und unmittelbare Argumentgrenzen angenommen
H05	f21r.11:7	shey=schädlich für	f29v.3:4	Gemeinsame Wertannahme ohne Glossendrift	Keine Identität von yteol/odaiin ermittelt	Zweiter Schadensausdruck kostet zusätzliche lexikalische Freiheit
H06	f21r.9:4	chkaiin=wirksam	f21r.12:8	Beide Wirksamkeitsprädikate lassen sich im selben Absatz führen	Worauf die Wirksamkeit zielt, ist nicht gebunden	Rezeptoperation ist ein gleich offener Konkurrent
H07	f21r.9:9	s=und verbindet Elemente	f32v.7:9;f29v.2:2;f29v.3:8;f29v.4:6	Alle fünf s im Modell identisch	f21r.9 braucht ungeklärte Fortsetzung über Zeilenende	IT-Grenze bei f29v.2 anders; keine editionsunabhängige Regel
H08	f32v.8:2-3	daiin bleibt zweimal geschrieben, keine Addition	f32v.8	Ausrichtung bewahrt beide Positionen	Zwei Träger in D1 nicht gebunden	Grad und Menge bleiben Rivalen
H09	f29v.2:3-4	chol bleibt zweimal geschrieben	f29v.3:1-2	Beide bekannten Doppelfelder erhalten	D1 hat noch keine gemeinsame Trägerregel	P05 v02 liefert nur eine ausdrücklich bedingte Variante
H10	f21r.11:1-3	shol chol shol sind drei Zustandsangaben	f21r.11	Keine Gruppe gelöscht	Träger und Bereiche offen	Kein automatisch gelesener Nass-Trocken-Nass-Prozess
H11	f17r.5:2-4	cthy/chor/shor als verschiedene Materialien	f21r.12;f32v.10;f29v.1	Nominaler Katalog-/Zutatenrahmen möglich	Organidentitäten nicht entschieden	Blüten/Früchte können bei unveränderter Syntax getauscht werden
H12	f17r.4-6	Gemeinsames Sechsfeldschema muss ersten Eintrag erklären	f17r.4-6	Alle Gruppen vorhanden	Nutzen, Schaden und Ausgleich noch nicht ausformuliert	Unaufgelöst ist nicht historisch leer
