form	reading_variant	meaning_hypothesis	sense_trigger	grammar_rule	all_working_loci	counterexamples
ar	ZL3b as displayed in GDT809	Anteil	same whole-form value everywhere	VALUE	f32v.10:10	See REPORT.md and CONSEQUENCES_v01.tsv; no independent validation
chkaiin	ZL3b as displayed in GDT809	vermischen	same whole-form value everywhere	EFFICACY_OR_OPERATION	f21r.9:4;f21r.12:8	See REPORT.md and CONSEQUENCES_v01.tsv; no independent validation
chol	ZL3b as displayed in GDT809	getrocknet	same whole-form value everywhere	QUALITY_OR_STATE	f21r.11:2;f21r.12:6;f32v.10:4;f29v.2:3;f29v.2:4;f29v.3:1;f29v.3:2	See REPORT.md and CONSEQUENCES_v01.tsv; no independent validation
chor	ZL3b as displayed in GDT809	Blüten	same whole-form value everywhere	MATERIAL	f17r.5:3;f21r.12:2;f21r.12:5;f32v.10:3	See REPORT.md and CONSEQUENCES_v01.tsv; no independent validation
chy	ZL3b as displayed in GDT809	Wasser	same whole-form value everywhere	MATERIAL	f21r.10:3;f32v.11:3	See REPORT.md and CONSEQUENCES_v01.tsv; no independent validation
cthey	ZL3b as displayed in GDT809	Arzneiform A	same whole-form value everywhere	MATERIAL	f17r.5:8;f21r.9:6	See REPORT.md and CONSEQUENCES_v01.tsv; no independent validation
cthy	ZL3b as displayed in GDT809	Kraut	same whole-form value everywhere	MATERIAL	f17r.5:2;f21r.9:8;f29v.1:7;f29v.2:5;f29v.4:4	See REPORT.md and CONSEQUENCES_v01.tsv; no independent validation
daiin	ZL3b as displayed in GDT809	Menge Γ	same whole-form value everywhere	VALUE	f21r.12:7;f32v.8:2;f32v.8:3;f32v.8:5;f32v.9:5;f32v.9:7;f32v.10:5;f29v.1:11	See REPORT.md and CONSEQUENCES_v01.tsv; no independent validation
dain	ZL3b as displayed in GDT809	Menge Β	same whole-form value everywhere	VALUE	f32v.7:7	See REPORT.md and CONSEQUENCES_v01.tsv; no independent validation
dair	ZL3b as displayed in GDT809	Anteil Β	same whole-form value everywhere	VALUE	f17r.5:7	See REPORT.md and CONSEQUENCES_v01.tsv; no independent validation
kooiin	ZL3b as displayed in GDT809	Wurzelstockmaterial	same whole-form value everywhere	MATERIAL	f29v.1:1	See REPORT.md and CONSEQUENCES_v01.tsv; no independent validation
okaiin	ZL3b as displayed in GDT809	Zubereitung	same whole-form value everywhere	MATERIAL	f21r.9:1;f29v.4:3;f29v.4:9	See REPORT.md and CONSEQUENCES_v01.tsv; no independent validation
ol	ZL3b as displayed in GDT809	auch	same whole-form value everywhere	ADDITIVE	f32v.11:1;f29v.1:4	See REPORT.md and CONSEQUENCES_v01.tsv; no independent validation
oltchy	ZL3b as displayed in GDT809	kalt-trocken	same whole-form value everywhere	QUALITY_OR_STATE	f29v.4:5	See REPORT.md and CONSEQUENCES_v01.tsv; no independent validation
otshy	ZL3b as displayed in GDT809	kalt-feucht	same whole-form value everywhere	QUALITY_OR_STATE	f29v.4:2	See REPORT.md and CONSEQUENCES_v01.tsv; no independent validation
qody	ZL3b as displayed in GDT809	fertige Zubereitung	same whole-form value everywhere	MATERIAL	f17r.5:9	See REPORT.md and CONSEQUENCES_v01.tsv; no independent validation
qotaiin	ZL3b as displayed in GDT809	abseihen	same whole-form value everywhere	RELATION_OR_OPERATION	f21r.10:5;f32v.8:6	See REPORT.md and CONSEQUENCES_v01.tsv; no independent validation
qotchy	ZL3b as displayed in GDT809	zugeben	same whole-form value everywhere	RELATION_OR_OPERATION	f32v.9:1;f29v.3:6	See REPORT.md and CONSEQUENCES_v01.tsv; no independent validation
s	ZL3b as displayed in GDT809	und	same whole-form value everywhere	CONNECTOR	f21r.9:9;f32v.7:9;f29v.2:2;f29v.3:8;f29v.4:6	See REPORT.md and CONSEQUENCES_v01.tsv; no independent validation
shey	ZL3b as displayed in GDT809	erwärmen	same whole-form value everywhere	RELATION_OR_OPERATION	f21r.11:7;f29v.3:4	See REPORT.md and CONSEQUENCES_v01.tsv; no independent validation
sho	ZL3b as displayed in GDT809	mit	same whole-form value everywhere	RELATION	f21r.9:2;f32v.10:1;f32v.11:2;f29v.4:8	See REPORT.md and CONSEQUENCES_v01.tsv; no independent validation
shol	ZL3b as displayed in GDT809	feucht	same whole-form value everywhere	QUALITY_OR_STATE	f17r.4:2;f21r.11:1;f21r.11:3	See REPORT.md and CONSEQUENCES_v01.tsv; no independent validation
shor	ZL3b as displayed in GDT809	Früchte	same whole-form value everywhere	MATERIAL	f17r.5:4;f29v.1:2	See REPORT.md and CONSEQUENCES_v01.tsv; no independent validation
