event_id	page	record	observed_surface	recovered_card_no	recovered_component_parse	recovered_spoken_value_de	expected_card_no	expected_spoken_value_de	card_recovery	value_recovery	owner_needed_for_card_or_value	owner_needed_for_complete_local_instruction
E001	f10r	H1	dchey	PROC001	CH+E+Y	abziehen · kurz · dieser Posten	PROC001	abziehen · kurz · dieser Posten	EXACT	EXACT	NO	YES_IF_CONTEXTUAL_OR_REPEATED
E002	f10r	H1	cthoor	PROC002	CTH+O+OR	bereit · Arbeitsgang · Ansatz	PROC002	bereit · Arbeitsgang · Ansatz	EXACT	EXACT	NO	YES_IF_CONTEXTUAL_OR_REPEATED
E003	f10r	H1	char	PROC003	AR	von dort	PROC003	von dort	EXACT	EXACT	NO	YES_IF_CONTEXTUAL_OR_REPEATED
E004	f10r	H1	chty	PROC004	T+Y	eintragen · dieser Posten	PROC004	eintragen · dieser Posten	EXACT	EXACT	NO	YES_IF_CONTEXTUAL_OR_REPEATED
E005	f10r	H1	os	PROC005	OS	Arbeitsfach	PROC005	Arbeitsfach	EXACT	EXACT	NO	YES_IF_CONTEXTUAL_OR_REPEATED
E006	f10r	H1	chair	PROC006	CH+AIR	abziehen · laufender Bestand	PROC006	abziehen · laufender Bestand	EXACT	EXACT	NO	YES_IF_CONTEXTUAL_OR_REPEATED
E007	f10r	H1	otytchol	PROC007	OT+Y+T+CH+OL	danach · dieser Posten · eintragen · abziehen · fortsetzen	PROC007	danach · dieser Posten · eintragen · abziehen · fortsetzen	EXACT	EXACT	NO	YES_IF_CONTEXTUAL_OR_REPEATED
E008	f10r	H1	oky	PROC008	OK+Y	ansetzen · dieser Posten	PROC008	ansetzen · dieser Posten	EXACT	EXACT	NO	YES_IF_CONTEXTUAL_OR_REPEATED
E009	f10r	H1	daiin	PROC009	AIIN	vorgeschriebenes Maß	PROC009	vorgeschriebenes Maß	EXACT	EXACT	NO	YES_IF_CONTEXTUAL_OR_REPEATED
E010	f10r	H1	etyd	PROC010	E+T+Y	kurz · eintragen · dieser Posten	PROC010	kurz · eintragen · dieser Posten	EXACT	EXACT	NO	YES_IF_CONTEXTUAL_OR_REPEATED
E011	f10r	H1	qokchy	PROC011	OK+Y	ansetzen · dieser Posten	PROC011	ansetzen · dieser Posten	EXACT	EXACT	NO	YES_IF_CONTEXTUAL_OR_REPEATED
E012	f10r	H1	qotchol	PROC012	OT+CH+OL	danach · abziehen · fortsetzen	PROC012	danach · abziehen · fortsetzen	EXACT	EXACT	NO	YES_IF_CONTEXTUAL_OR_REPEATED
E013	f10r	H1	chol	PROC013	OL	fortsetzen	PROC013	fortsetzen	EXACT	EXACT	NO	YES_IF_CONTEXTUAL_OR_REPEATED
E014	f10r	H1	cthy	PROC014	CTH+Y	bereit · dieser Posten	PROC014	bereit · dieser Posten	EXACT	EXACT	NO	YES_IF_CONTEXTUAL_OR_REPEATED
