statement_id	page	record	observed_surface_sequence	surface_sequence_occurrences	image_owner_de	surface_plus_owner_occurrences	recovered_card_sequence	recovered_spoken_sequence_de	recovered_instruction_de	resolution_class	functional_instruction_ambiguity_after_owner	exact_occurrence_identity_required
H1-S001	f10r	H1	dchey cthoor char chty os chair otytchol oky daiin etyd	1	abgebildete breit gezähnte radialblütige Pflanze	1	PROC001[CH+E+Y] | PROC002[CTH+O+OR] | PROC003[AR] | PROC004[T+Y] | PROC005[OS] | PROC006[CH+AIR] | PROC007[OT+Y+T+CH+OL] | PROC008[OK+Y] | PROC009[AIIN] | PROC010[E+T+Y]	abziehen · kurz · dieser Posten | bereit · Arbeitsgang · Ansatz | von dort | eintragen · dieser Posten | Arbeitsfach | abziehen · laufender Bestand | danach · dieser Posten · eintragen · abziehen · fortsetzen | ansetzen · dieser Posten | vorgeschriebenes Maß | kurz · eintragen · dieser Posten	Nimm von der abgebildeten Pflanze einen Teil kurz ab. Der Ansatz ist bereit: übertrage davon in das Arbeitsfach, lass es ablaufen, trage es ein, nimm es wieder ab, gib es in den Ansatz und trage es nach Maß ein.	SURFACE_SEQUENCE_UNIQUE	NO	NO
H1-S002	f10r	H1	qokchy qotchol chol cthy	1	abgebildete breit gezähnte radialblütige Pflanze	1	PROC011[OK+Y] | PROC012[OT+CH+OL] | PROC013[OL] | PROC014[CTH+Y]	ansetzen · dieser Posten | danach · abziehen · fortsetzen | fortsetzen | bereit · dieser Posten	Gib den nächsten Posten in denselben Ansatz, nimm ihn wieder ab und fahre fort, sobald er bereit ist.	SURFACE_SEQUENCE_UNIQUE	NO	NO
H2-S001	f10r	H2	ycheor cthy chor cthaiin qoctholy dy chy taiin shy	1	abgebildete breit gezähnte radialblütige Pflanze	1	PROC015[Y+CH+E+OR] | PROC014[CTH+Y] | PROC016[OR] | PROC017[CTH+AIIN] | PROC018[O+CTH+OL+Y] | PROC019[Y] | PROC019[Y] | PROC009[AIIN] | PROC019[Y]	dieser Posten · abziehen · kurz · Ansatz | bereit · dieser Posten | Ansatz | bereit · vorgeschriebenes Maß | Arbeitsgang · bereit · fortsetzen · dieser Posten | dieser Posten | dieser Posten | vorgeschriebenes Maß | dieser Posten	Zieh den bereitgelegten Posten ab; ordne ihn dem Ansatz und dem Maß zu und führe den Gang mit diesem Posten weiter, bis er bereit ist.	SURFACE_SEQUENCE_UNIQUE	NO	NO
H2-S002	f10r	H2	qotchor chor otol chol cholor chol daiin dar	1	abgebildete breit gezähnte radialblütige Pflanze	1	PROC020[OT+CH+OR] | PROC016[OR] | PROC021[OT+OL] | PROC013[OL] | PROC022[OL+OR] | PROC013[OL] | PROC009[AIIN] | PROC003[AR]	danach · abziehen · Ansatz | Ansatz | danach · fortsetzen | fortsetzen | fortsetzen · Ansatz | fortsetzen | vorgeschriebenes Maß | von dort	Zieh danach vom fortgeführten Ansatz nach Maß davon ab und führe denselben Ansatz weiter.	SURFACE_SEQUENCE_UNIQUE	NO	NO
H2-S003	f10r	H2	oykchor shor chor chy kaiiin dy chodaiin	1	abgebildete breit gezähnte radialblütige Pflanze	1	PROC023[O+Y+K+OR] | PROC016[OR] | PROC016[OR] | PROC019[Y] | PROC024[K+IIN] | PROC019[Y] | PROC025[CH+O+AIIN]	Arbeitsgang · dieser Posten · zuführen · Ansatz | Ansatz | Ansatz | dieser Posten | zuführen · Sollstufe | dieser Posten | abziehen · Arbeitsgang · vorgeschriebenes Maß	Gib es dem Ansatz zweimal zu und zieh danach den nächsten Posten ab.	SURFACE_SEQUENCE_UNIQUE	NO	NO
H3-S001	f11r	H3	tshol schoal cfhy shfydaiin cphy shey tchody	1	abgebildete dicht blau blühende Kronenpflanze	1	PROC026[T+SH+OL] | PROC027[SH+O+AL] | PROC028[CFH+Y] | PROC029[SH+Y+AIIN] | PROC030[P+Y] | PROC031[SH+EE+Y] | PROC032[T+CH+O+DY]	eintragen · halten · fortsetzen | halten · Arbeitsgang · bezeichnete Stelle | auswringen · dieser Posten | halten · dieser Posten · vorgeschriebenes Maß | hineingeben · dieser Posten | halten · länger · dieser Posten | eintragen · abziehen · Arbeitsgang · Schluss	Trage den Blütenstoff ein und halte ihn am Ort; wringe ihn aus, lass ihn ziehen, gib ihn hinein, lass ihn nochmals ziehen und trage den Abzug zum Schluss ein.	SURFACE_SEQUENCE_UNIQUE	NO	NO
H3-S002	f11r	H3	shoyty	1	abgebildete dicht blau blühende Kronenpflanze	1	PROC033[SH+O+Y+T+Y]	halten · Arbeitsgang · dieser Posten · eintragen · dieser Posten	Halte den nächsten Posten und trage ihn in denselben Gang ein.	SURFACE_SEQUENCE_UNIQUE	NO	NO
H3-S003	f11r	H3	dchol chy kchy dy daiin	1	abgebildete dicht blau blühende Kronenpflanze	1	PROC034[OL] | PROC019[Y] | PROC035[K+Y] | PROC019[Y] | PROC009[AIIN]	fortsetzen | dieser Posten | zuführen · dieser Posten | dieser Posten | vorgeschriebenes Maß	Gib davon nach Maß weiter zu.	SURFACE_SEQUENCE_UNIQUE	NO	NO
H3-S004	f11r	H3	qotchy okchol cthy dy	1	abgebildete dicht blau blühende Kronenpflanze	1	PROC036[OT+Y] | PROC037[OK+OL] | PROC014[CTH+Y] | PROC019[Y]	danach · dieser Posten | ansetzen · fortsetzen | bereit · dieser Posten | dieser Posten	Setze danach diesen Posten weiter ein und führe ihn fort, bis er bereit ist.	SURFACE_SEQUENCE_UNIQUE	NO	NO
H4-S001	f55v	H4	qokaiin chaiin ykain ykan ody	1	abgebildete breitblättrige rispige Pflanze	1	PROC038[OK+AIIN] | PROC009[AIIN] | PROC039[Y+K+AIN] | PROC040[Y+K+AIN] | PROC041[O+DY]	ansetzen · vorgeschriebenes Maß | vorgeschriebenes Maß | dieser Posten · zuführen · Portion | dieser Posten · zuführen · Portion | Arbeitsgang · Schluss	Setze nach Maß an, gib dosiert und nochmals zu und schließe diesen Gang.	SURFACE_SEQUENCE_UNIQUE	NO	NO
H4-S002	f55v	H4	daiin chedy talam	1	abgebildete breitblättrige rispige Pflanze	1	PROC009[AIIN] | PROC042[CHD+Y] | PROC043[TALAM]	vorgeschriebenes Maß | umsetzen · dieser Posten | verwahren	Miss den nächsten Posten ab, setze ihn um und verwahre ihn nach Maß.	SURFACE_SEQUENCE_UNIQUE	NO	NO
H4-S003	f55v	H4	ykaiin cheoar cheeky oldy	1	abgebildete breitblättrige rispige Pflanze	1	PROC044[Y+K+AIIN] | PROC045[CH+E+O+AR] | PROC046[CHK+EE+Y] | PROC047[OL+DY]	dieser Posten · zuführen · vorgeschriebenes Maß | abziehen · kurz · Arbeitsgang · von dort | wärmen · länger · dieser Posten | fortsetzen · Schluss	Gib dosiert zu, entnimm den Fortsatz, temperiere ihn und schließe.	SURFACE_SEQUENCE_UNIQUE	NO	NO
H4-S004	f55v	H4	aiin okal oltchy or y orain	1	abgebildete breitblättrige rispige Pflanze	1	PROC009[AIIN] | PROC048[OK+AL] | PROC049[OL+T+Y] | PROC016[OR] | PROC019[Y] | PROC050[OR+AIN]	vorgeschriebenes Maß | ansetzen · bezeichnete Stelle | fortsetzen · eintragen · dieser Posten | Ansatz | dieser Posten | Ansatz · Portion	Lege die gemessene Ansatzportion am Ziel an und trage sie ein.	SURFACE_SEQUENCE_UNIQUE	NO	NO
H5-S001	f56r	H5	chochor cho chodaly daiin sho kchol otchor choky dal	1	abgebildete mehrköpfige stachelige Pflanze	1	PROC051[HO+CH+OR] | PROC052[HO] | PROC053[HO+AL+Y] | PROC009[AIIN] | PROC052[HO] | PROC054[K+OL] | PROC020[OT+CH+OR] | PROC008[OK+Y] | PROC055[AL]	Gabe · abziehen · Ansatz | Gabe | Gabe · bezeichnete Stelle · dieser Posten | vorgeschriebenes Maß | Gabe | zuführen · fortsetzen | danach · abziehen · Ansatz | ansetzen · dieser Posten | bezeichnete Stelle	Zieh eine Gabe ab, führe sie zum Ziel, zieh nach Maß eine weitere Gabe ab und gib sie in den Ansatz.	SURFACE_SEQUENCE_UNIQUE	NO	NO
H5-S002	f56r	H5	schol choy choky cheeckhody	1	abgebildete mehrköpfige stachelige Pflanze	1	PROC034[OL] | PROC056[HO+Y] | PROC008[OK+Y] | PROC057[CH+EE+CKH+O+DY]	fortsetzen | Gabe · dieser Posten | ansetzen · dieser Posten | abziehen · länger · Durchlass · Arbeitsgang · Schluss	Lege die folgende Gabe an, lass sie ablaufen und fahre fort.	SURFACE_SEQUENCE_UNIQUE	NO	NO
H5-S003	f56r	H5	sh cho kchey qokokchy	1	abgebildete mehrköpfige stachelige Pflanze	1	PROC058[SH] | PROC052[HO] | PROC059[K+E+Y] | PROC060[OK+OK+Y]	halten | Gabe | zuführen · kurz · dieser Posten | ansetzen · ansetzen · dieser Posten	Lass die Gabe ziehen, gib sie zu und setze sie zweimal ein.	SURFACE_SEQUENCE_UNIQUE	NO	NO
H5-S004	f56r	H5	okchy chokcheo kchal	1	abgebildete mehrköpfige stachelige Pflanze	1	PROC011[OK+Y] | PROC061[OK+CH+E+O] | PROC062[K+AL]	ansetzen · dieser Posten | ansetzen · abziehen · kurz · Arbeitsgang | zuführen · bezeichnete Stelle	Gib den nächsten Posten in den Ansatz, setze ihn an, zieh ihn ab und führe ihn weiter.	SURFACE_SEQUENCE_UNIQUE	NO	NO
H5-S005	f56r	H5	sho chokchy kchoar sotodan	1	abgebildete mehrköpfige stachelige Pflanze	1	PROC052[HO] | PROC011[OK+Y] | PROC063[K+HO+AR] | PROC064[OT+O+AIN]	Gabe | ansetzen · dieser Posten | zuführen · Gabe · von dort | danach · Arbeitsgang · Portion	Setze die Gabe an, gib sie zu und ordne danach die nächste Portion in den Gang.	SURFACE_SEQUENCE_UNIQUE	NO	NO
H5-S006	f56r	H5	otchey keol daiin	1	abgebildete mehrköpfige stachelige Pflanze	1	PROC065[OT+Y] | PROC066[K+E+OL] | PROC009[AIIN]	danach · dieser Posten | zuführen · kurz · fortsetzen | vorgeschriebenes Maß	Gib danach diesen Posten nach Maß zu.	SURFACE_SEQUENCE_UNIQUE	NO	NO
B1-S001	f81v	B1	qokedy	3	gemeinsame zweireihige Figuren-/Beckenstation	3	PROC067[OK+E+DY]	ansetzen · kurz · Schluss	Bildort: gemeinsame zweireihige Figuren-/Beckenstation. Arbeitsfolge: einwirken lassen.	REPEATED_SAME_OWNER_AND_INSTRUCTION	NO	NO
B1-S002	f81v	B1	okaiin kair okal sar ol kain olkain al ol rol dl olor ol sheckhal daiin qokeedal daiin chckhy schedy	1	gemeinsame zweireihige Figuren-/Beckenstation	1	PROC038[OK+AIIN] | PROC068[K+AIR] | PROC048[OK+AL] | PROC003[AR] | PROC013[OL] | PROC069[K+AIN] | PROC070[OL+K+AIN] | PROC055[AL] | PROC013[OL] | PROC071[R+OL] | PROC072[L] | PROC022[OL+OR] | PROC013[OL] | PROC073[SH+E+CKH+AL] | PROC009[AIIN] | PROC074[OK+EE+AL] | PROC009[AIIN] | PROC075[CKH+Y] | PROC076[CHD+DY]	ansetzen · vorgeschriebenes Maß | zuführen · laufender Bestand | ansetzen · bezeichnete Stelle | von dort | fortsetzen | zuführen · Portion | fortsetzen · zuführen · Portion | bezeichnete Stelle | fortsetzen | abkühlen · fortsetzen | führen | fortsetzen · Ansatz | fortsetzen | halten · kurz · Durchlass · bezeichnete Stelle | vorgeschriebenes Maß | ansetzen · länger · bezeichnete Stelle | vorgeschriebenes Maß | Durchlass · dieser Posten | umsetzen · Schluss	Bildort: gemeinsame zweireihige Figuren-/Beckenstation. Arbeitsfolge: setze nach Maß an → einspeisen → anlegen → dosiert zugeben → dosiert zugeben → abkühlen lassen → führen → zurückhalten → anlegen → durchleiten. Angaben: davon | fort | Ziel | fort | fort · Ansatz | fort | Maß | Maß | Durchlass · dies.	SURFACE_SEQUENCE_UNIQUE	NO	NO
B1-S003	f81v	B1	qol sshkchdy	1	gemeinsame zweireihige Figuren-/Beckenstation	1	PROC013[OL] | PROC077[SH+K+CHD+DY]	fortsetzen | halten · zuführen · umsetzen · Schluss	Bildort: gemeinsame zweireihige Figuren-/Beckenstation. Arbeitsfolge: halten + zugeben + überführen. Angaben: fort.	SURFACE_SEQUENCE_UNIQUE	NO	NO
B1-S004	f81v	B1	chedy ol shedy	1	gemeinsame zweireihige Figuren-/Beckenstation	1	PROC042[CHD+Y] | PROC013[OL] | PROC078[SHED+DY]	umsetzen · dieser Posten | fortsetzen | absetzen · Schluss	Bildort: gemeinsame zweireihige Figuren-/Beckenstation. Arbeitsfolge: umschöpfen → absetzen lassen. Angaben: fort.	SURFACE_SEQUENCE_UNIQUE	NO	NO
B1-S005	f81v	B1	qolchedy	2	gemeinsame zweireihige Figuren-/Beckenstation	1	PROC079[OL+CHD+DY]	fortsetzen · umsetzen · Schluss	Bildort: gemeinsame zweireihige Figuren-/Beckenstation. Arbeitsfolge: führe zur nächsten Station.	IMAGE_OWNER_RESOLVES_OCCURRENCE	NO	NO
