opaque_local_id	page	locus	surface_fragment	surface_fragment_occurrences	namespace	namespace_plus_fragment_occurrences	fragment_self_identifying	corrector_rule_de
A1:G001	f67r2	f67r2.1	ykshy	1	F67_RIGHT_WHEEL_NS	1	YES	nicht einzeln deuten; bis zur vollstaendigen Lokaletikette sammeln und Bildort zeigen
A1:G002	f67r2	f67r2.1	s	4	F67_RIGHT_WHEEL_NS	4	NO	nicht einzeln deuten; bis zur vollstaendigen Lokaletikette sammeln und Bildort zeigen
A1:G003	f67r2	f67r2.1	aram	1	F67_RIGHT_WHEEL_NS	1	YES	nicht einzeln deuten; bis zur vollstaendigen Lokaletikette sammeln und Bildort zeigen
A1:G004	f67r2	f67r2.2	ykecho	1	F67_RIGHT_WHEEL_NS	1	YES	nicht einzeln deuten; bis zur vollstaendigen Lokaletikette sammeln und Bildort zeigen
A1:G005	f67r2	f67r2.2	ols	1	F67_RIGHT_WHEEL_NS	1	YES	nicht einzeln deuten; bis zur vollstaendigen Lokaletikette sammeln und Bildort zeigen
A1:G006	f67r2	f67r2.2	eesydy	1	F67_RIGHT_WHEEL_NS	1	YES	nicht einzeln deuten; bis zur vollstaendigen Lokaletikette sammeln und Bildort zeigen
A1:G007	f67r2	f67r2.3	ey	1	F67_RIGHT_WHEEL_NS	1	YES	nicht einzeln deuten; bis zur vollstaendigen Lokaletikette sammeln und Bildort zeigen
A1:G008	f67r2	f67r2.3	shs	1	F67_RIGHT_WHEEL_NS	1	YES	nicht einzeln deuten; bis zur vollstaendigen Lokaletikette sammeln und Bildort zeigen
A1:G009	f67r2	f67r2.3	okar	4	F67_RIGHT_WHEEL_NS	2	NO	nicht einzeln deuten; bis zur vollstaendigen Lokaletikette sammeln und Bildort zeigen
A1:G010	f67r2	f67r2.4	shekchy	1	F67_RIGHT_WHEEL_NS	1	YES	nicht einzeln deuten; bis zur vollstaendigen Lokaletikette sammeln und Bildort zeigen
A1:G011	f67r2	f67r2.4	sykos	1	F67_RIGHT_WHEEL_NS	1	YES	nicht einzeln deuten; bis zur vollstaendigen Lokaletikette sammeln und Bildort zeigen
A1:G012	f67r2	f67r2.5	ykeody	2	F67_RIGHT_WHEEL_NS	1	NO	nicht einzeln deuten; bis zur vollstaendigen Lokaletikette sammeln und Bildort zeigen
