model	at	word	hypothesis
E	f17r.4:1	tcho	⟦tcho⟧
E	f17r.4:2	shol	feucht
E	f17r.4:3	qokol	⟦qokol⟧
E	f17r.4:4	qor	⟦qor⟧
E	f17r.4:5	olaiin	⟦olaiin⟧
E	f17r.4:6	opydg	⟦opydg⟧
E	f17r.4:7	som	⟦som⟧
E	f17r.4:8	ypchy	⟦ypchy⟧
E	f17r.4:9	ypaim	⟦ypaim⟧
E	f17r.5:1	ychekchy	⟦ychekchy⟧
E	f17r.5:2	cthy	Kraut
E	f17r.5:3	chor	Blüten
E	f17r.5:4	shor	Früchte
E	f17r.5:5	cphor	⟦cphor⟧
E	f17r.5:6	cphaldy	⟦cphaldy⟧
E	f17r.5:7	dair	Anteil Β
E	f17r.5:8	cthey	Arzneiform A
E	f17r.5:9	qody	fertige Zubereitung
E	f17r.6:1	tsho	⟦tsho⟧
E	f17r.6:2	qof	⟦qof⟧
E	f17r.6:3	cho	⟦cho⟧
E	f17r.6:4	qokcheor	⟦qokcheor⟧
E	f17r.6:5	cheteg	⟦cheteg⟧
E	f21r.8:1	fcho	⟦fcho⟧
E	f21r.8:2	kshy	⟦kshy⟧
E	f21r.8:3	otor	⟦otor⟧
E	f21r.8:4	sheol	⟦sheol⟧
E	f21r.8:5	ocphal	⟦ocphal⟧
E	f21r.8:6	opsheas	⟦opsheas⟧
E	f21r.8:7	cthodaiin	⟦cthodaiin⟧
E	f21r.8:8	oty	⟦oty⟧
E	f21r.9:1	okaiin	Zubereitung
E	f21r.9:2	sho	mit
E	f21r.9:3	tshaiin	⟦tshaiin⟧
E	f21r.9:4	chkaiin	wirksam
E	f21r.9:5	sh	⟦sh⟧
E	f21r.9:6	cthey	Arzneiform A
E	f21r.9:7	cthody	⟦cthody⟧
E	f21r.9:8	cthy	Kraut
E	f21r.9:9	s	und
E	f21r.10:1	totchy	⟦totchy⟧
E	f21r.10:2	keor	⟦keor⟧
E	f21r.10:3	chy	Wasser
E	f21r.10:4	ky	⟦ky⟧
E	f21r.10:5	qotaiin	schädlich für
E	f21r.10:6	qotchol	⟦qotchol⟧
E	f21r.10:7	ty	⟦ty⟧
E	f21r.10:8	ctheey	⟦ctheey⟧
E	f21r.10:9	otaiin	⟦otaiin⟧
E	f21r.11:1	shol	feucht
E	f21r.11:2	chol	trocken
E	f21r.11:3	shol	feucht
E	f21r.11:4	tchol	⟦tchol⟧
E	f21r.11:5	chcthy	⟦chcthy⟧
E	f21r.11:6	otyky	⟦otyky⟧
E	f21r.11:7	shey	schädlich für
E	f21r.11:8	yteol	⟦yteol⟧
E	f21r.11:9	shody	⟦shody⟧
E	f21r.12:1	ykeey	⟦ykeey⟧
E	f21r.12:2	chor	Blüten
E	f21r.12:3	sheey	⟦sheey⟧
E	f21r.12:4	ysheol	⟦ysheol⟧
E	f21r.12:5	chor	Blüten
E	f21r.12:6	chol	trocken
E	f21r.12:7	daiin	Grad Γ
E	f21r.12:8	chkaiin	wirksam
E	f32v.7:1	ksho	⟦ksho⟧
E	f32v.7:2	cphos	⟦cphos⟧
E	f32v.7:3	she	⟦she⟧
E	f32v.7:4	sheaiin	⟦sheaiin⟧
E	f32v.7:5	otshcho	⟦otshcho⟧
E	f32v.7:6	r	⟦r⟧
E	f32v.7:7	dain	Grad Β
E	f32v.7:8	shckhy	⟦shckhy⟧
E	f32v.7:9	s	und
E	f32v.7:10	odan	⟦odan⟧
E	f32v.8:1	otchol	⟦otchol⟧
E	f32v.8:2	daiin	Grad Γ
E	f32v.8:3	daiin	Grad Γ
E	f32v.8:4	ctho	⟦ctho⟧
E	f32v.8:5	daiin	Grad Γ
E	f32v.8:6	qotaiin	schädlich für
E	f32v.8:7	otchy	⟦otchy⟧
E	f32v.8:8	d	⟦d⟧
E	f32v.8:9	shan	⟦shan⟧
E	f32v.9:1	qotchy	Ausgleich durch
E	f32v.9:2	cfhy	⟦cfhy⟧
E	f32v.9:3	skey	⟦skey⟧
E	f32v.9:4	chocthy	⟦chocthy⟧
E	f32v.9:5	daiin	Grad Γ
E	f32v.9:6	cthaiin	⟦cthaiin⟧
E	f32v.9:7	daiin	Grad Γ
E	f32v.10:1	sho	mit
E	f32v.10:2	keol	⟦keol⟧
E	f32v.10:3	chor	Blüten
E	f32v.10:4	chol	trocken
E	f32v.10:5	daiin	Grad Γ
E	f32v.10:6	cpho	⟦cpho⟧
E	f32v.10:7	l	⟦l⟧
E	f32v.10:8	cthol	⟦cthol⟧
E	f32v.10:9	da	⟦da⟧
E	f32v.10:10	ar	Anteil
E	f32v.11:1	ol	auch
E	f32v.11:2	sho	mit
E	f32v.11:3	chy	Wasser
E	f29v.1:1	kooiin	Wurzelstockmaterial
E	f29v.1:2	shor	Früchte
E	f29v.1:3	chetchy	⟦chetchy⟧
E	f29v.1:4	ol	auch
E	f29v.1:5	ls	⟦ls⟧
E	f29v.1:6	shytchy	⟦shytchy⟧
E	f29v.1:7	cthy	Kraut
E	f29v.1:8	shy	⟦shy⟧
E	f29v.1:9	cho	⟦cho⟧
E	f29v.1:10	shy	⟦shy⟧
E	f29v.1:11	daiin	Grad Γ
E	f29v.2:1	qotcheaiin	⟦qotcheaiin⟧
E	f29v.2:2	s	und
E	f29v.2:3	chol	trocken
E	f29v.2:4	chol	trocken
E	f29v.2:5	cthy	Kraut
E	f29v.2:6	chey	⟦chey⟧
E	f29v.2:7	cthold	⟦cthold⟧
E	f29v.2:8	ytchor	⟦ytchor⟧
E	f29v.2:9	dary	⟦dary⟧
E	f29v.3:1	chol	trocken
E	f29v.3:2	chol	trocken
E	f29v.3:3	kor	⟦kor⟧
E	f29v.3:4	shey	schädlich für
E	f29v.3:5	odaiin	⟦odaiin⟧
E	f29v.3:6	qotchy	Ausgleich durch
E	f29v.3:7	taiin	⟦taiin⟧
E	f29v.3:8	s	und
E	f29v.3:9	she	⟦she⟧
E	f29v.3:10	otey	⟦otey⟧
E	f29v.3:11	sy	⟦sy⟧
E	f29v.4:1	ysho	⟦ysho⟧
E	f29v.4:2	otshy	kalt-feucht
E	f29v.4:3	okaiin	Zubereitung
E	f29v.4:4	cthy	Kraut
E	f29v.4:5	oltchy	kalt-trocken
E	f29v.4:6	s	und
E	f29v.4:7	shot	⟦shot⟧
E	f29v.4:8	sho	mit
E	f29v.4:9	okaiin	Zubereitung
C	f17r.4:1	tcho	⟦tcho⟧
C	f17r.4:2	shol	feucht
C	f17r.4:3	qokol	⟦qokol⟧
C	f17r.4:4	qor	⟦qor⟧
C	f17r.4:5	olaiin	⟦olaiin⟧
C	f17r.4:6	opydg	⟦opydg⟧
C	f17r.4:7	som	⟦som⟧
C	f17r.4:8	ypchy	⟦ypchy⟧
C	f17r.4:9	ypaim	⟦ypaim⟧
C	f17r.5:1	ychekchy	⟦ychekchy⟧
C	f17r.5:2	cthy	Kraut
C	f17r.5:3	chor	Blüten
C	f17r.5:4	shor	Früchte
C	f17r.5:5	cphor	⟦cphor⟧
C	f17r.5:6	cphaldy	⟦cphaldy⟧
C	f17r.5:7	dair	Anteil Β
C	f17r.5:8	cthey	Arzneiform A
C	f17r.5:9	qody	fertige Zubereitung
C	f17r.6:1	tsho	⟦tsho⟧
C	f17r.6:2	qof	⟦qof⟧
C	f17r.6:3	cho	⟦cho⟧
C	f17r.6:4	qokcheor	⟦qokcheor⟧
C	f17r.6:5	cheteg	⟦cheteg⟧
C	f21r.8:1	fcho	⟦fcho⟧
C	f21r.8:2	kshy	⟦kshy⟧
C	f21r.8:3	otor	⟦otor⟧
C	f21r.8:4	sheol	⟦sheol⟧
C	f21r.8:5	ocphal	⟦ocphal⟧
C	f21r.8:6	opsheas	⟦opsheas⟧
C	f21r.8:7	cthodaiin	⟦cthodaiin⟧
C	f21r.8:8	oty	⟦oty⟧
C	f21r.9:1	okaiin	Zubereitung
C	f21r.9:2	sho	mit
C	f21r.9:3	tshaiin	⟦tshaiin⟧
C	f21r.9:4	chkaiin	wirksam
C	f21r.9:5	sh	⟦sh⟧
C	f21r.9:6	cthey	Arzneiform A
C	f21r.9:7	cthody	⟦cthody⟧
C	f21r.9:8	cthy	Kraut
C	f21r.9:9	s	und
C	f21r.10:1	totchy	⟦totchy⟧
C	f21r.10:2	keor	⟦keor⟧
C	f21r.10:3	chy	Wasser
C	f21r.10:4	ky	⟦ky⟧
C	f21r.10:5	qotaiin	verursacht [Beschwerde]
C	f21r.10:6	qotchol	⟦qotchol⟧
C	f21r.10:7	ty	⟦ty⟧
C	f21r.10:8	ctheey	⟦ctheey⟧
C	f21r.10:9	otaiin	⟦otaiin⟧
C	f21r.11:1	shol	feucht
C	f21r.11:2	chol	trocken
C	f21r.11:3	shol	feucht
C	f21r.11:4	tchol	⟦tchol⟧
C	f21r.11:5	chcthy	⟦chcthy⟧
C	f21r.11:6	otyky	⟦otyky⟧
C	f21r.11:7	shey	verursacht [Beschwerde]
C	f21r.11:8	yteol	⟦yteol⟧
C	f21r.11:9	shody	⟦shody⟧
