model	page	at	word	kind	argument	argument_at	argument_type	linked_harm	linked_target	obligation	observed_effect
E	f21r	f21r.10:5	qotaiin	HARM	qotchol	f21r.10:6	UNKNOWN_RECIPIENT			harms recipient	NOT_IDENTIFIED
E	f21r	f21r.11:7	shey	HARM	yteol	f21r.11:8	UNKNOWN_RECIPIENT			harms recipient	NOT_IDENTIFIED
E	f32v	f32v.8:6	qotaiin	HARM	otchy	f32v.8:7	UNKNOWN_RECIPIENT			harms recipient	NOT_IDENTIFIED
E	f32v	f32v.9:1	qotchy	CORRECTION	cfhy	f32v.9:2	UNKNOWN_CORRECTIVE	f32v.8:6	otchy	protect same recipient	NOT_IDENTIFIED
E	f29v	f29v.3:4	shey	HARM	odaiin	f29v.3:5	UNKNOWN_RECIPIENT			harms recipient	NOT_IDENTIFIED
E	f29v	f29v.3:6	qotchy	CORRECTION	taiin	f29v.3:7	UNKNOWN_CORRECTIVE	f29v.3:4	odaiin	protect same recipient	NOT_IDENTIFIED
C	f21r	f21r.10:5	qotaiin	HARM	qotchol	f21r.10:6	UNKNOWN_CONDITION			causes condition	NOT_IDENTIFIED
C	f21r	f21r.11:7	shey	HARM	yteol	f21r.11:8	UNKNOWN_CONDITION			causes condition	NOT_IDENTIFIED
C	f32v	f32v.8:6	qotaiin	HARM	otchy	f32v.8:7	UNKNOWN_CONDITION			causes condition	NOT_IDENTIFIED
C	f32v	f32v.9:1	qotchy	CORRECTION	cfhy	f32v.9:2	UNKNOWN_CORRECTIVE	f32v.8:6	otchy	reduce/remove same condition	NOT_IDENTIFIED
C	f29v	f29v.3:4	shey	HARM	odaiin	f29v.3:5	UNKNOWN_CONDITION			causes condition	NOT_IDENTIFIED
C	f29v	f29v.3:6	qotchy	CORRECTION	taiin	f29v.3:7	UNKNOWN_CORRECTIVE	f29v.3:4	odaiin	reduce/remove same condition	NOT_IDENTIFIED
