case_id	phase	statement_id	page	record	source_instruction_de	semantic_component_sequence	invariant_command_sequence_de	selected_card_sequence	reconstructed_surface_sequence	source_surface_sequence	context_card_choices	desk_surface_choices	local_exemplar_surface_choices	exact_roundtrip
C1	PREPARE_PRODUCT	H1-S001	f10r	H1	Frischen Pflanzenteil kurz in den Wasseransatz geben, den ersten Auszug in das Auffangfach laufen lassen und nach Mass zurueck in die Charge eintragen.	CH+E+Y | CTH+O+OR | AR | T+Y | OS | CH+AIR | OT+Y+T+CH+OL | OK+Y | AIIN | E+T+Y	ABNEHMEN · KURZ · ARBEITSPOSTEN | BEREIT · ARBEITSGANG · ANSATZ | VORRAT | EINTRAGEN · ARBEITSPOSTEN | ARBEITSFACH | ABNEHMEN · FLUESSIGKEITSLAUF | DANACH [ARBEITSPOSTEN EINTRAGEN · ABNEHMEN] FORTSETZEN | ANSETZEN · ARBEITSPOSTEN | SOLLMASS | KURZ · EINTRAGEN · ARBEITSPOSTEN	PROC001 | PROC002 | PROC003 | PROC004 | PROC005 | PROC006 | PROC007 | PROC008 | PROC009 | PROC010	dchey cthoor char chty os chair otytchol oky daiin etyd	dchey cthoor char chty os chair otytchol oky daiin etyd	1	0	4	YES
C1	PREPARE_PRODUCT	H1-S002	f10r	H1	Eine weitere Pflanzenportion in denselben Ansatz geben, kurz abziehen und bis zum bereiten Grundauszug weiterarbeiten.	OK+Y | OT+CH+OL | OL | CTH+Y	ANSETZEN · ARBEITSPOSTEN | DANACH · ABNEHMEN · FORTSETZEN | FORTSETZEN | BEREIT · ARBEITSPOSTEN	PROC011 | PROC012 | PROC013 | PROC014	qokchy qotchol chol cthy	qokchy qotchol chol cthy	2	1	2	YES
C1	OPERATE_OR_APPLY	B1-S001	f81v	B1	Setze zweifach gezogener und ausgewrungener Bluetenauszug an gemeinsame zweireihige Figuren-/Beckenstation ein. Therapeutische Lesung: Bildort: gemeinsame zweireihige Figuren-/Beckenstation. Arbeitsfolge: einwirken lassen.	OK+E+DY	ANSETZEN · KURZ; SCHLUSS	PROC067	qokedy	qokedy	0	0	0	YES
C1	OPERATE_OR_APPLY	B1-S002	f81v	B1	Setze zweifach gezogener und ausgewrungener Bluetenauszug an gemeinsame zweireihige Figuren-/Beckenstation ein. Therapeutische Lesung: Bildort: gemeinsame zweireihige Figuren-/Beckenstation. Arbeitsfolge: setze nach Maß an → einspeisen → anlegen → dosiert zugeben → dosiert zugeben → abkühlen lassen → führen → zurückhalten → anlegen → durchleiten. Angaben: davon | fort | Ziel | fort | fort · Ansatz | fort | Maß | Maß | Durchlass · dies.	OK+AIIN | K+AIR | OK+AL | AR | OL | K+AIN | OL+K+AIN | AL | OL | R+OL | L | OL+OR | OL | SH+E+CKH+AL | AIIN | OK+EE+AL | AIIN | CKH+Y | CHD+DY	ANSETZEN · SOLLMASS | ZUDOSIEREN · FLUESSIGKEITSLAUF | ANSETZEN · ZIELSTELLE | VORRAT | FORTSETZEN | ZUDOSIEREN · PORTION | FORTSETZEN · ZUDOSIEREN · PORTION | ZIELSTELLE | FORTSETZEN | KUEHLEN · FORTSETZEN | WEITERLEITEN | FORTSETZEN · ANSATZ | FORTSETZEN | HALTEN · KURZ · DURCHLASSKANAL · ZIELSTELLE | SOLLMASS | ANSETZEN · LANG · ZIELSTELLE | SOLLMASS | DURCHLASSKANAL · ARBEITSPOSTEN | UMSETZEN; SCHLUSS	PROC038 | PROC068 | PROC048 | PROC003 | PROC013 | PROC069 | PROC070 | PROC055 | PROC013 | PROC071 | PROC072 | PROC022 | PROC013 | PROC073 | PROC009 | PROC074 | PROC009 | PROC075 | PROC076	okaiin kair okal sar ol kain olkain al ol rol dl olor ol sheckhal daiin qokeedal daiin chckhy schedy	okaiin kair okal sar ol kain olkain al ol rol dl olor ol sheckhal daiin qokeedal daiin chckhy schedy	4	0	14	YES
C1	OPERATE_OR_APPLY	B1-S003	f81v	B1	Setze zweifach gezogener und ausgewrungener Bluetenauszug an gemeinsame zweireihige Figuren-/Beckenstation ein. Therapeutische Lesung: Bildort: gemeinsame zweireihige Figuren-/Beckenstation. Arbeitsfolge: halten + zugeben + überführen. Angaben: fort.	OL | SH+K+CHD+DY	FORTSETZEN | HALTEN · ZUDOSIEREN · UMSETZEN; SCHLUSS	PROC013 | PROC077	qol sshkchdy	qol sshkchdy	1	0	1	YES
C1	OPERATE_OR_APPLY	B1-S004	f81v	B1	Setze zweifach gezogener und ausgewrungener Bluetenauszug an gemeinsame zweireihige Figuren-/Beckenstation ein. Therapeutische Lesung: Bildort: gemeinsame zweireihige Figuren-/Beckenstation. Arbeitsfolge: umschöpfen → absetzen lassen. Angaben: fort.	CHD+Y | OL | SHED+DY	UMSETZEN · ARBEITSPOSTEN | FORTSETZEN | ABSETZEN; SCHLUSS	PROC042 | PROC013 | PROC078	chedy ol shedy	chedy ol shedy	2	1	2	YES
C1	OPERATE_OR_APPLY	B1-S005	f81v	B1	Setze zweifach gezogener und ausgewrungener Bluetenauszug an gemeinsame zweireihige Figuren-/Beckenstation ein. Therapeutische Lesung: Bildort: gemeinsame zweireihige Figuren-/Beckenstation. Arbeitsfolge: führe zur nächsten Station.	OL+CHD+DY	FORTSETZEN · UMSETZEN; SCHLUSS	PROC079	qolchedy	qolchedy	0	0	1	YES
C1	OPERATE_OR_APPLY	B1-S006	f81v	B1	Setze zweifach gezogener und ausgewrungener Bluetenauszug an gemeinsame zweireihige Figuren-/Beckenstation ein. Therapeutische Lesung: Bildort: gemeinsame zweireihige Figuren-/Beckenstation. Arbeitsfolge: gib einen Teil hinein → durchleiten → abkühlen lassen. Angaben: Durchlass · dies.	OK+AIN | CKH+Y | L | R+AL	ANSETZEN · PORTION | DURCHLASSKANAL · ARBEITSPOSTEN | WEITERLEITEN | KUEHLEN · ZIELSTELLE	PROC080 | PROC075 | PROC072 | PROC081	qokain shckhy dl ral	qokain shckhy dl ral	0	0	2	YES
C1	OPERATE_OR_APPLY	B1-S007	f81v	B1	Setze zweifach gezogener und ausgewrungener Bluetenauszug an gemeinsame zweireihige Figuren-/Beckenstation ein. Therapeutische Lesung: Bildort: gemeinsame zweireihige Figuren-/Beckenstation. Arbeitsfolge: einsetzen + überführen.	OK+CHD+DY	ANSETZEN · UMSETZEN; SCHLUSS	PROC082	qokchdy	qokchdy	1	0	0	YES
C1	OPERATE_OR_APPLY	B1-S008	f81v	B1	Setze zweifach gezogener und ausgewrungener Bluetenauszug an gemeinsame zweireihige Figuren-/Beckenstation ein. Therapeutische Lesung: Bildort: gemeinsame zweireihige Figuren-/Beckenstation. Arbeitsfolge: warm halten → absetzen lassen. Angaben: dies | fort | fort.	Y | OL | CHK+E+Y | OL | SHED+DY	ARBEITSPOSTEN | FORTSETZEN | WAERMEN · KURZ · ARBEITSPOSTEN | FORTSETZEN | ABSETZEN; SCHLUSS	PROC019 | PROC013 | PROC083 | PROC013 | PROC078	chey ol cheky ol shedy	chey ol cheky ol shedy	2	0	4	YES
