event_id	case_id	page	record	statement_id	source_instruction_de	semantic_component_parse	invariant_command_de	command_card_candidates	card_selection_mode	card_selection_reason	selected_card_no	observed_card_no	desk	all_licensed_surfaces	desk_surface_candidates	surface_selection_mode	local_exemplar_needed	selected_surface	surface_roundtrip
E001	C1	f10r	H1	H1-S001	Frischen Pflanzenteil kurz in den Wasseransatz geben, den ersten Auszug in das Auffangfach laufen lassen und nach Mass zurueck in die Charge eintragen.	CH+E+Y	ABNEHMEN · KURZ · ARBEITSPOSTEN	PROC001	UNIQUE_COMMAND_TO_CARD	UNIQUE_SEMANTIC_COMPONENT_SEQUENCE	PROC001	PROC001	P_PREPARATION_DESK	dchey	dchey	UNIQUE_CARD_SURFACE	NO	dchey	YES
E002	C1	f10r	H1	H1-S001	Frischen Pflanzenteil kurz in den Wasseransatz geben, den ersten Auszug in das Auffangfach laufen lassen und nach Mass zurueck in die Charge eintragen.	CTH+O+OR	BEREIT · ARBEITSGANG · ANSATZ	PROC002	UNIQUE_COMMAND_TO_CARD	UNIQUE_SEMANTIC_COMPONENT_SEQUENCE	PROC002	PROC002	P_PREPARATION_DESK	cthoor	cthoor	UNIQUE_CARD_SURFACE	NO	cthoor	YES
E003	C1	f10r	H1	H1-S001	Frischen Pflanzenteil kurz in den Wasseransatz geben, den ersten Auszug in das Auffangfach laufen lassen und nach Mass zurueck in die Charge eintragen.	AR	VORRAT	PROC003	UNIQUE_COMMAND_TO_CARD	UNIQUE_SEMANTIC_COMPONENT_SEQUENCE	PROC003	PROC003	P_PREPARATION_DESK	char|dar|sar	char|dar|sar	LOCAL_EXEMPLAR_REQUIRED	YES	char	YES
E004	C1	f10r	H1	H1-S001	Frischen Pflanzenteil kurz in den Wasseransatz geben, den ersten Auszug in das Auffangfach laufen lassen und nach Mass zurueck in die Charge eintragen.	T+Y	EINTRAGEN · ARBEITSPOSTEN	PROC004	UNIQUE_COMMAND_TO_CARD	UNIQUE_SEMANTIC_COMPONENT_SEQUENCE	PROC004	PROC004	P_PREPARATION_DESK	chety|chty	chety|chty	LOCAL_EXEMPLAR_REQUIRED	YES	chty	YES
E005	C1	f10r	H1	H1-S001	Frischen Pflanzenteil kurz in den Wasseransatz geben, den ersten Auszug in das Auffangfach laufen lassen und nach Mass zurueck in die Charge eintragen.	OS	ARBEITSFACH	PROC005	UNIQUE_COMMAND_TO_CARD	UNIQUE_SEMANTIC_COMPONENT_SEQUENCE	PROC005	PROC005	P_PREPARATION_DESK	os	os	UNIQUE_CARD_SURFACE	NO	os	YES
E006	C1	f10r	H1	H1-S001	Frischen Pflanzenteil kurz in den Wasseransatz geben, den ersten Auszug in das Auffangfach laufen lassen und nach Mass zurueck in die Charge eintragen.	CH+AIR	ABNEHMEN · FLUESSIGKEITSLAUF	PROC006	UNIQUE_COMMAND_TO_CARD	UNIQUE_SEMANTIC_COMPONENT_SEQUENCE	PROC006	PROC006	P_PREPARATION_DESK	chair	chair	UNIQUE_CARD_SURFACE	NO	chair	YES
E007	C1	f10r	H1	H1-S001	Frischen Pflanzenteil kurz in den Wasseransatz geben, den ersten Auszug in das Auffangfach laufen lassen und nach Mass zurueck in die Charge eintragen.	OT+Y+T+CH+OL	DANACH [ARBEITSPOSTEN EINTRAGEN · ABNEHMEN] FORTSETZEN	PROC007	UNIQUE_COMMAND_TO_CARD	UNIQUE_SEMANTIC_COMPONENT_SEQUENCE	PROC007	PROC007	P_PREPARATION_DESK	otytchol	otytchol	UNIQUE_CARD_SURFACE	NO	otytchol	YES
E008	C1	f10r	H1	H1-S001	Frischen Pflanzenteil kurz in den Wasseransatz geben, den ersten Auszug in das Auffangfach laufen lassen und nach Mass zurueck in die Charge eintragen.	OK+Y	ANSETZEN · ARBEITSPOSTEN	PROC008|PROC011	CONTEXT_RULE_TO_CARD	DEFAULT_CARD	PROC008	PROC008	P_PREPARATION_DESK	choky|oky|qoky	choky|oky	LOCAL_EXEMPLAR_REQUIRED	YES	oky	YES
E009	C1	f10r	H1	H1-S001	Frischen Pflanzenteil kurz in den Wasseransatz geben, den ersten Auszug in das Auffangfach laufen lassen und nach Mass zurueck in die Charge eintragen.	AIIN	SOLLMASS	PROC009	UNIQUE_COMMAND_TO_CARD	UNIQUE_SEMANTIC_COMPONENT_SEQUENCE	PROC009	PROC009	P_PREPARATION_DESK	aiin|chaiin|daiin|saiin|taiin	aiin|chaiin|daiin|saiin|taiin	LOCAL_EXEMPLAR_REQUIRED	YES	daiin	YES
E010	C1	f10r	H1	H1-S001	Frischen Pflanzenteil kurz in den Wasseransatz geben, den ersten Auszug in das Auffangfach laufen lassen und nach Mass zurueck in die Charge eintragen.	E+T+Y	KURZ · EINTRAGEN · ARBEITSPOSTEN	PROC010	UNIQUE_COMMAND_TO_CARD	UNIQUE_SEMANTIC_COMPONENT_SEQUENCE	PROC010	PROC010	P_PREPARATION_DESK	etyd	etyd	UNIQUE_CARD_SURFACE	NO	etyd	YES
