teaching_unit_id	sign	pass1010_value_de	pass1012_class	semantic_kind	single_core_value_de	allowed_contextual_realization_de	forbidden_rescue_de	root_mentions	event_occurrences	statement_count	page_count	register_count	pages	registers	surface_examples	forward_rule_de
R-Y	Y	POSTEN	PORTABLE_CORE_MEANING	REFERENT_SEQUENCE_OR_RELATION_CORE	AKTIVER POSTEN	dieses Material, diese Station oder dieser Eintrag	kein Satzschluss, keine Qualität und kein Stoffname	1390	1338	367	20	4	f10r|f11r|f13r|f17r|f18r|f55v|f56r|f67r2|f68r1|f71v|f72r|f75r|f76r|f77r|f81v|f82r|f83r|f88r|f88v|f89r	BIOLOGICAL|CELESTIAL|HERBAL|PHARMA	chedy|chey|dy|qokeey|shey|y|qoky|cheey	Neues Kompositum wörtlich mit diesem Kern lesen; bei Konflikt die Gesamtkarte aussondern, nicht den Kern ändern.
R-OK	OK	SETZEN	PORTABLE_CORE_MEANING	CONTENT_OR_OPERATION_CORE	SETZEN	ansetzen, platzieren oder aktiv setzen	nicht automatisch erhitzen, mischen, waschen oder anwenden	690	689	372	20	4	f10r|f11r|f13r|f17r|f18r|f55v|f56r|f67r2|f68r1|f71v|f72r|f75r|f76r|f77r|f81v|f82r|f83r|f88r|f88v|f89r	BIOLOGICAL|CELESTIAL|HERBAL|PHARMA	qokeedy|qokedy|qokeey|qokain|qokaiin|qoky|qokal|okaiin	Neues Kompositum wörtlich mit diesem Kern lesen; bei Konflikt die Gesamtkarte aussondern, nicht den Kern ändern.
R-E	E	GRAD I	FORMAL_CONTROL_NOT_CONTENT_WORD	GRADE_BOUNDARY_OR_ENTRY_CONTROL	GRAD I	erste oder niedrige Stufe der aktiven Handlung	kein universelles kurz, kalt, einmal oder leicht	615	594	332	20	4	f10r|f11r|f13r|f17r|f18r|f55v|f56r|f67r2|f68r1|f71v|f72r|f75r|f76r|f77r|f81v|f82r|f83r|f88r|f88v|f89r	BIOLOGICAL|CELESTIAL|HERBAL|PHARMA	qokedy|shey|qokey|qotedy|otedy|sheol|okedy|cheky	Nur als Steuer- oder Lokalzeichen verwenden; daraus kein neues Inhaltswort erzeugen.
R-DY	DY	SCHLUSS	FORMAL_CONTROL_NOT_CONTENT_WORD	GRADE_BOUNDARY_OR_ENTRY_CONTROL	SCHLUSS	nur in der lizenzierten Endkonstruktion den Teilgang schließen	sichtbares dy nicht global zerlegen und nicht als Stoffwort lesen	568	568	566	20	4	f10r|f11r|f13r|f17r|f18r|f55v|f56r|f67r2|f68r1|f71v|f72r|f75r|f76r|f77r|f81v|f82r|f83r|f88r|f88v|f89r	BIOLOGICAL|CELESTIAL|HERBAL|PHARMA	shedy|qokeedy|qokedy|lchedy|qoteedy|qotedy|oldy|sheedy	Nur als Steuer- oder Lokalzeichen verwenden; daraus kein neues Inhaltswort erzeugen.
R-O	O	AUSFÜHREN	FORMAL_CONTROL_NOT_CONTENT_WORD	GRADE_BOUNDARY_OR_ENTRY_CONTROL	AUSFÜHRUNG	die lokal aktive Handlung ausführen	kein selbständiges konkretes Verb und insbesondere nicht Wasser oder Öl	429	417	155	20	4	f10r|f11r|f13r|f17r|f18r|f55v|f56r|f67r2|f68r1|f71v|f72r|f75r|f76r|f77r|f81v|f82r|f83r|f88r|f88v|f89r	BIOLOGICAL|CELESTIAL|HERBAL|PHARMA	o|qo|qokeody|chody|okeo|oteos|oiin|chos	Nur als Steuer- oder Lokalzeichen verwenden; daraus kein neues Inhaltswort erzeugen.
R-OL	OL	FORTSETZEN	PORTABLE_CORE_MEANING	REFERENT_SEQUENCE_OR_RELATION_CORE	FORTSETZEN	denselben Gang, Posten oder Eintrag fortführen	kein warm, vorig, Gefäß oder Richtung	543	534	256	20	4	f10r|f11r|f13r|f17r|f18r|f55v|f56r|f67r2|f68r1|f71v|f72r|f75r|f76r|f77r|f81v|f82r|f83r|f88r|f88v|f89r	BIOLOGICAL|CELESTIAL|HERBAL|PHARMA	ol|chol|qol|oldy|shol|qokol|sheol|sol	Neues Kompositum wörtlich mit diesem Kern lesen; bei Konflikt die Gesamtkarte aussondern, nicht den Kern ändern.
R-EE	EE	GRAD II	FORMAL_CONTROL_NOT_CONTENT_WORD	GRADE_BOUNDARY_OR_ENTRY_CONTROL	GRAD II	zweite oder höhere Stufe derselben aktiven Handlung	kein universelles lang, warm oder stark	466	465	278	15	4	f55v|f56r|f67r2|f68r1|f71v|f72r|f75r|f76r|f77r|f81v|f82r|f83r|f88r|f88v|f89r	BIOLOGICAL|CELESTIAL|HERBAL|PHARMA	qokeedy|qokeey|cheey|sheey|qoteedy|okeey|sheedy|oteey	Nur als Steuer- oder Lokalzeichen verwenden; daraus kein neues Inhaltswort erzeugen.
R-OT	OT	DANACH	PORTABLE_CORE_MEANING	REFERENT_SEQUENCE_OR_RELATION_CORE	DANACH	nächster lokaler Schritt oder Platz	kein eigenes Aktionsverb und keine automatische Wiederholung	306	306	185	20	4	f10r|f11r|f13r|f17r|f18r|f55v|f56r|f67r2|f68r1|f71v|f72r|f75r|f76r|f77r|f81v|f82r|f83r|f88r|f88v|f89r	BIOLOGICAL|CELESTIAL|HERBAL|PHARMA	qoteedy|otar|qotedy|qoty|otedy|oteey|otaiin|otey	Neues Kompositum wörtlich mit diesem Kern lesen; bei Konflikt die Gesamtkarte aussondern, nicht den Kern ändern.
R-AL	AL	ZIEL	PORTABLE_CORE_MEANING	REFERENT_SEQUENCE_OR_RELATION_CORE	ZIELORT	Zielgefäß, Gebrauchsstelle oder Diagrammplatz	kein Körperteil, Becken oder unten ohne sichtbaren Besitzer	315	312	186	20	4	f10r|f11r|f13r|f17r|f18r|f55v|f56r|f67r2|f68r1|f71v|f72r|f75r|f76r|f77r|f81v|f82r|f83r|f88r|f88v|f89r	BIOLOGICAL|CELESTIAL|HERBAL|PHARMA	dal|al|qokal|okal|sal|qotal|chal|kal	Neues Kompositum wörtlich mit diesem Kern lesen; bei Konflikt die Gesamtkarte aussondern, nicht den Kern ändern.
R-CH	CH	NEHMEN	PORTABLE_CORE_MEANING	CONTENT_OR_OPERATION_CORE	NEHMEN	Teil, Portion oder Eintrag entnehmen	kein Pflanzenname, Mahlen, Erhitzen oder Trennen	339	327	146	20	4	f10r|f11r|f13r|f17r|f18r|f55v|f56r|f67r2|f68r1|f71v|f72r|f75r|f76r|f77r|f81v|f82r|f83r|f88r|f88v|f89r	BIOLOGICAL|CELESTIAL|HERBAL|PHARMA	chor|cheedy|chcthy|chal|chody|checkhy|otchol|chos	Neues Kompositum wörtlich mit diesem Kern lesen; bei Konflikt die Gesamtkarte aussondern, nicht den Kern ändern.
