statement_id	record_unit_id	page	register_grammar	shared_surface_skeleton	collapsed_units	carried_header_roles	ordered_payload_chunks	local_order_inversions	fit_class	spoken_source_reading_de
H1-S001	H1	f10r	HERBAL_ARTICLE	char chety choky aiin	char | chety | choky | aiin	SOURCE	ACTION>ACTION>MEASURE	0	DIRECT_REGISTER_TEMPLATE	aus der Quelle einen Teil abteilen den Posten ansetzen nach Sollmaß
H1-S002	H1	f10r	HERBAL_ARTICLE	cheol checthy	cheol | checthy	NONE	LINK>STATE	1	ONE_LOCAL_CARRY_OR_FRONTING	weiterführen den Posten bereit halten
H2-S001	H2	f10r	HERBAL_ARTICLE	checthy chor chey chey aiin chey	checthy | chor | chey | PAIRED_MEASURE_FRAME	NONE	STATE>OBJECT>OBJECT>OBJECT	0	DIRECT_REGISTER_TEMPLATE	den Posten bereit halten den Ansatz diesen Posten diesen Posten nach Sollmaß diesen Posten
H2-S002	H2	f10r	HERBAL_ARTICLE	chor cheol cholor cheol aiin char	chor | CARRY_BATCH_FRAME | aiin | char	NONE	OBJECT>LINK>MEASURE>SOURCE	1	ONE_LOCAL_CARRY_OR_FRONTING	den Ansatz weiterführen den vorigen Ansatz weiterführen weiterführen nach Sollmaß aus der Quelle
H2-S003	H2	f10r	HERBAL_ARTICLE	chor chor chey chey	chor | chor | chey | chey	NONE	OBJECT>OBJECT>OBJECT>OBJECT	0	DIRECT_REGISTER_TEMPLATE	den Ansatz den Ansatz diesen Posten diesen Posten
H3-S001	H3	f11r	HERBAL_ARTICLE	cheey	cheey	NONE	STATE	0	DIRECT_REGISTER_TEMPLATE	bis zum Ergebnis
H3-S003	H3	f11r	HERBAL_ARTICLE	chey chey aiin	chey | chey | aiin	NONE	OBJECT>OBJECT>MEASURE	0	DIRECT_REGISTER_TEMPLATE	diesen Posten diesen Posten nach Sollmaß
H3-S004	H3	f11r	HERBAL_ARTICLE	checthy chey	checthy | chey	NONE	STATE>OBJECT	0	DIRECT_REGISTER_TEMPLATE	den Posten bereit halten diesen Posten
H4-S001	H4	f55v	HERBAL_ARTICLE	okaiin aiin	okaiin | aiin	NONE	ACTION>MEASURE	0	DIRECT_REGISTER_TEMPLATE	das Sollmaß einstellen nach Sollmaß
H4-S002	H4	f55v	HERBAL_ARTICLE	aiin chdy	aiin | chdy	MEASURE	ACTION	0	DIRECT_REGISTER_TEMPLATE	nach Sollmaß den Posten umsetzen
H4-S003	H4	f55v	HERBAL_ARTICLE	cheeky oldy	cheeky | oldy	NONE	ACTION>CLOSE	0	DIRECT_REGISTER_TEMPLATE	den Posten länger wärmen weiterführen und schließen
