exercise_id	register	ordinary_source_command_de	compiled_master_cards	compiled_master_card_ids	literal_card_backreading_de	manuscript_status
X01	HERBAL_ARTICLE	Aus der Quelle einen Teil abteilen, den Posten ansetzen und nach Sollmaß bemessen.	char chety choky aiin	MC055 MC086 MC026 MC039	aus der Quelle einen Teil abteilen den Posten ansetzen nach Sollmaß	EXACT_OBSERVED_SKELETON
X02	HERBAL_ARTICLE	Den Ansatz bereit halten und den Posten nach Sollmaß führen.	checthy chor chey aiin	MC161 MC080 MC123 MC039	den Posten bereit halten den Ansatz diesen Posten nach Sollmaß	NEW_WORKSHOP_COMBINATION
X03	HERBAL_ARTICLE	Den Ansatz und diesen Posten nach Sollmaß übernehmen.	chor chey aiin	MC080 MC123 MC039	den Ansatz diesen Posten nach Sollmaß	NEW_WORKSHOP_COMBINATION
X04	HERBAL_ARTICLE	Das Sollmaß vorgeben, am Ziel ansetzen und den Ansatz übernehmen.	aiin okal chor chey	MC039 MC040 MC080 MC123	nach Sollmaß am Ziel ansetzen den Ansatz diesen Posten	EXACT_OBSERVED_SKELETON
X05	HERBAL_ARTICLE	Danach den nächsten Posten ansetzen, nach Sollmaß und zum Ziel.	otchey choky aiin al	MC171 MC026 MC039 MC154	danach den nächsten Posten den Posten ansetzen nach Sollmaß zum Ziel	NEW_WORKSHOP_COMBINATION
X06	BOTH	Zwei Posten unter dasselbe Sollmaß stellen.	chey aiin chey	MC123 MC039 MC123	diesen Posten nach Sollmaß diesen Posten	EXACT_OBSERVED_SKELETON
X07	BOTH	Den vorigen Ansatz im fortgesetzten Arbeitsgang mitführen.	cheol cholor cheol	MC153 MC157 MC153	weiterführen den vorigen Ansatz weiterführen weiterführen	OBSERVED_CONTIGUOUS_FORMULA
X08	BIOLOGICAL_CELL	Sollmaß einstellen, aus der Quelle zum Ziel führen, bereit halten und schließen.	okaiin char al checthy oldy	MC120 MC055 MC154 MC161 MC019	das Sollmaß einstellen aus der Quelle zum Ziel den Posten bereit halten weiterführen und schließen	NEW_WORKSHOP_COMBINATION
X09	BIOLOGICAL_CELL	Umsetzen, danach den nächsten Posten ansetzen und weiterführen.	chdy otchey choky cheol	MC074 MC171 MC026 MC153	den Posten umsetzen danach den nächsten Posten den Posten ansetzen weiterführen	EXACT_OBSERVED_SKELETON
X10	BIOLOGICAL_CELL	Ziel und Sollmaß übernehmen, dann das Sollmaß einstellen.	al aiin okaiin	MC154 MC039 MC120	zum Ziel nach Sollmaß das Sollmaß einstellen	EXACT_OBSERVED_SKELETON
X11	BIOLOGICAL_CELL	Den Posten ansetzen, bis zum Ergebnis führen und schließen.	choky cheey oldy	MC026 MC119 MC019	den Posten ansetzen bis zum Ergebnis weiterführen und schließen	NEW_WORKSHOP_COMBINATION
X12	BIOLOGICAL_CELL	Sollmaß einstellen, am Ziel aus der Quelle ansetzen und nach Sollmaß weiterführen.	okaiin okal char cheol aiin	MC120 MC040 MC055 MC153 MC039	das Sollmaß einstellen am Ziel ansetzen aus der Quelle weiterführen nach Sollmaß	NEW_WORKSHOP_COMBINATION
