expression_id	surface	page	locus	realization_mode	surface_expression	working_roman	state_renderer_de	visible_part_surface	contextual_renderer_de	expression_triple_reader_stable	source	surface_line
G630-E001	chol	f100r	f100r.22	FUSED_D_VALUE	choldaiin	III	trocken	NONE	trocken, Grad III	0	GDT630	folshody choldaiin fchod ycheol cphol qotees shey aseso alcfhy
G630-E002	chol	f100r	f100r.25	SEPARATE_D_VALUE	chol daiin	III	trocken	ctheol	Blatt-/Krautteilform: trocken, Grad III	1	GDT630	sheor qkeeody chol daiin ctheol olcheol cheky cheol cheockhy okeol
G630-E005	chol	f102r1	f102r1.15	SEPARATE_D_VALUE	chol daiin	III	trocken	NONE	trocken, Grad III	0	GDT630	or chol daiin dykeor sheey qokeody dor os ykeeykam
G630-E011	chol	f10r	f10r.8	SEPARATE_D_VALUE	chol daiin	III	trocken	NONE	trocken, Grad III	1	GDT630	qotchor chor otol chol cholor chol daiin dar
G630-E012	chol	f10v	f10v.5	SEPARATE_D_VALUE	chol daiin	III	trocken	NONE	trocken, Grad III	1	GDT630	sho ykeey daiin qotchy qotor chol daiin qokchy ky
G630-E017	chol	f14v	f14v.2	SEPARATE_D_VALUE	chol daiin	III	trocken	NONE	trocken, Grad III	1	GDT630	okchor d chytshy oty chy cthy otchy ty chol daiin
G630-E018	chol	f15r	f15r.14	SEPARATE_D_VALUE	chol daiin	III	trocken	NONE	trocken, Grad III	1	GDT630	otcho kchy chol daiin ar ytol dor dom
G630-E020	chol	f15v	f15v.11	SEPARATE_D_VALUE	chol daiin	III	trocken	cthy	Blattgut/Blattdroge: trocken, Grad III	1	GDT630	sol oiin cheor chol daiin cthy
G630-E022	chol	f17r	f17r.11	SEPARATE_D_VALUE	chol daiiin	IV	trocken	NONE	trocken, Grad IV	1	GDT630	otchol cthar okaiin chol daiiin
G630-E024	chol	f17v	f17v.8	FUSED_D_VALUE	choldaiin	III	trocken	NONE	trocken, Grad III	1	GDT630	qokeey kchar ol dy choldaiin sy
G630-E025	chol	f18r	f18r.2	SEPARATE_D_VALUE	chol dain	II	trocken	NONE	trocken, Grad II	0	GDT630	otshol qokchol chykchy okchal daiin dy chol dain
G630-E028	chol	f19v	f19v.3	SEPARATE_D_VALUE	chol daiin	III	trocken	NONE	trocken, Grad III	0	GDT630	otchy chol daiin qotol ytol daiiin
G630-E033	chol	f20v	f20v.10	SEPARATE_D_VALUE	chol daiin	III	trocken	NONE	trocken, Grad III	1	GDT630	shokaiin chocthy chol daiin chy chor ety
G630-E034	chol	f21r	f21r.12	SEPARATE_D_VALUE	chol daiin	III	trocken	chor	Pflanzen-/Reproduktionsteil: trocken, Grad III	1	GDT630	ykeey chor sheey ysheol chor chol daiin chkaiin
G630-E037	chol	f21v	f21v.4	SEPARATE_D_VALUE	chol daiin	III	trocken	NONE	trocken, Grad III	1	GDT630	sho chodaiin choty chol daiin daiin chty chtol
G630-E048	chol	f24r	f24r.18	SEPARATE_D_VALUE	chol daiin	III	trocken	NONE	trocken, Grad III	1	GDT630	ycheol chol daiin chol s
G630-E050	chol	f25v	f25v.3	SEPARATE_D_VALUE	chol daiin	III	trocken	NONE	trocken, Grad III	1	GDT630	orcho kchor chol daiin shcfho r daiin dshey daiity
G630-E053	chol	f27r	f27r.11	SEPARATE_D_VALUE	chol daiiin	IV	trocken	NONE	trocken, Grad IV	1	GDT630	chol daiiin chees chos ey dan
G628-V007	chol	f27r	f27r.6	DIRECT_A_VALUE	cholaiin	III	trocken	NONE	trocken, Grad III	0	GDT628	chy t chols chor cholaiin shy kchal dy
G630-E056	chol	f28v	f28v.5	SEPARATE_D_VALUE	chol daiin	III	trocken	NONE	trocken, Grad III	1	GDT630	otol chol daiin chkaiin shoiin qotchey qotshey daiiin
G628-V008	chol	f2r	f2r.10	DIRECT_A_VALUE	cholaiin	III	trocken	NONE	trocken, Grad III	1	GDT628	qoky cholaiin shol sheky daiin cthey keol saiin eaiin
G630-E059	chol	f2r	f2r.5	SEPARATE_D_VALUE	chol dan	I	trocken	NONE	trocken, Grad I	1	GDT630	otochor al shodaiin chol dan ytchaiin dan
G630-E060	chol	f2r	f2r.7	SEPARATE_D_VALUE	chol dan	I	trocken	NONE	trocken, Grad I	1	GDT630	shor ckhy daiiny chol dan
G630-E062	chol	f2v	f2v.5	SEPARATE_D_VALUE	chol daiin	III	trocken	NONE	trocken, Grad III	1	GDT630	kchor shy daiiin chm s shey dor chol daiin
G630-E065	chol	f32v	f32v.10	SEPARATE_D_VALUE	chol daiin	III	trocken	chor	Pflanzen-/Reproduktionsteil: trocken, Grad III	1	GDT630	sho keol chor chol daiin cpho l cthol da ar
G630-E069	chol	f35v	f35v.19	SEPARATE_D_VALUE	chol daiin	III	trocken	NONE	trocken, Grad III	1	GDT630	schokey y keol chol daiin
G630-E070	chol	f36v	f36v.2	SEPARATE_D_VALUE	chol daiin	III	trocken	NONE	trocken, Grad III	1	GDT630	qotor chol daiin otaiin qotor ytar ochor chety ckhor dom
G630-E071	chol	f37r	f37r.4	SEPARATE_D_VALUE	chol daiin	III	trocken	NONE	trocken, Grad III	1	GDT630	pchotchy daiin cfholdar chol daiin yd
G630-E076	chol	f37v	f37v.23	SEPARATE_D_VALUE	chol daiin	III	trocken	NONE	trocken, Grad III	1	GDT630	yto chol daiin
G630-E079	chol	f3r	f3r.3	SEPARATE_D_VALUE	chol daiin	III	trocken	cthy	Blattgut/Blattdroge: trocken, Grad III	1	GDT630	ochor qocheor chol daiin cthy
G630-E092	chol	f47r	f47r.3	SEPARATE_D_VALUE	chol dain	II	trocken	NONE	trocken, Grad II	1	GDT630	dor chol chy chaiin ckhey chol dain okaiin
G630-E093	chol	f47r	f47r.4	SEPARATE_D_VALUE	chol daiin	III	trocken	NONE	trocken, Grad III	1	GDT630	qokcheo cthey chokain chol daiin kchdal
G630-E094	chol	f47r	f47r.9	SEPARATE_D_VALUE	chol daiin	III	trocken	NONE	trocken, Grad III	1	GDT630	qoko kor chaiin okal chol daiin okcho kchorsy
G630-E096	chol	f47v	f47v.9	SEPARATE_D_VALUE	chol dain	II	trocken	NONE	trocken, Grad II	1	GDT630	qotcheey chety chol chol dain
G630-E097	chol	f49r	f49r.6	FUSED_D_VALUE	choldaiin	III	trocken	NONE	trocken, Grad III	0	GDT630	ol or shes sheoty choldaiin
G630-E099	chol	f49v	f49v.26	SEPARATE_D_VALUE	chol daiin	III	trocken	NONE	trocken, Grad III	1	GDT630	qokeol chokeeody otol kcho s chol daiin
G630-E103	chol	f51v	f51v.6	SEPARATE_D_VALUE	chol daiin	III	trocken	NONE	trocken, Grad III	0	GDT630	okor ctheody qocphy qokal qotaiin otykol chol daiin
G630-E108	chol	f56v	f56v.15	SEPARATE_D_VALUE	chol daiin	III	trocken	NONE	trocken, Grad III	1	GDT630	otchol chol chol daiin chotaiin
G630-E109	chol	f56v	f56v.16	SEPARATE_D_VALUE	chol daiin	III	trocken	NONE	trocken, Grad III	1	GDT630	s o kchol chol chol daiin
G628-V009	chol	f58r	f58r.18	DIRECT_A_VALUE	cholaiin	III	trocken	NONE	trocken, Grad III	1	GDT628	darar shol cholraly cholaiin odaiin chaly dalar aiin okal otal
G630-E120	chol	f81r	f81r.10	SEPARATE_D_VALUE	chol dain	II	trocken	NONE	trocken, Grad II	1	GDT630	chol dain otedy cheey qotain ly
G630-E124	chol	f85r2	f85r2.4	SEPARATE_D_VALUE	chol daiin	III	trocken	NONE	trocken, Grad III	1	GDT630	dair sheo oraiin chol daiin
G630-E133	chol	f96r	f96r.8	SEPARATE_D_VALUE	chol daiin	III	trocken	NONE	trocken, Grad III	0	GDT630	ykeor secheeol sheol qokeeey chol daiin
G630-E003	shol	f102r1	f102r1.3	FUSED_D_VALUE	sholdaiin	III	feucht	NONE	feucht, Grad III	1	GDT630	polaiin shocthy qoteol loiiin oteeor cpheodar sholdaiin
G630-E019	shol	f15v	f15v.8	SEPARATE_D_VALUE	shol daiin	III	feucht	NONE	feucht, Grad III	0	GDT630	ytchor chor ol oiin oty shol daiin
G630-E032	shol	f20v	f20v.4	SEPARATE_D_VALUE	shol daiin	III	feucht	NONE	feucht, Grad III	1	GDT630	sho or aiin shol daiin
G630-E042	shol	f22v	f22v.14	SEPARATE_D_VALUE	shol daiin	III	feucht	NONE	feucht, Grad III	1	GDT630	qotchy olshly shol daiin
G630-E051	shol	f25v	f25v.4	SEPARATE_D_VALUE	shol daiin	III	feucht	NONE	feucht, Grad III	1	GDT630	qokaiin qokcho shol daiin ckhear ckhol daiin chkear
G630-E052	shol	f27r	f27r.2	SEPARATE_D_VALUE	shol dain	II	feucht	NONE	feucht, Grad II	1	GDT630	dy ain shol dain dar shokyd dchol cthey ds
