case_id	surface	page	locus	token_index	section	hand	line_position	reader_status	composition	quality_core	state_card	default_de	ol_function	context_mode	contextual_renderer_de	head_policy	degree_expression_id	degree_roman	visible_part_surface	visible_part_role	local_materia_surface	local_materia_gloss_de	local_materia_offset	all_local_materia_neighbors	left_surface	left_gloss_de	right_surface	right_gloss_de	old_generic_gloss_de	rejected_universal_default_de	live_rival_de	decision	surface_line
G685-O0001	chol	f100r	f100r.15	5	P	1	MIDDLE	TRIPLE_READER_EXACT	CH_DRY+OL_STATE_CARRIER	ch	TROCKENQUALITAET	trocken	QUALITY_STATE_CARRIER__GERMAN_CONTRIBUTION_ZERO_WITH_VISIBLE_CORE	QUALITY_STATE_HEAD_OPEN	trocken	OUTER_OR_INHERITED_HEAD_OPEN	NONE	NONE	NONE	NONE	NONE	NONE	0	NONE	chor	Pflanzen-/Reproduktionsteil	qokeeody	vollständig ausgekochter Ansatz	trockene Zustands-/Materialform; flüssig meist trocken	Trockenansatz	nominale Materialform nur bei lokal sichtbarem oder geerbtem Kopf	ACCEPT_STATE_CELL__REJECT_UNIVERSAL_ANSATZ_HEAD	dcheor shol qokeeol chor chol qokeeody dareu
G685-O0002	chol	f100r	f100r.23	2	P	1	MIDDLE	TRIPLE_READER_EXACT	CH_DRY+OL_STATE_CARRIER	ch	TROCKENQUALITAET	trocken	QUALITY_STATE_CARRIER__GERMAN_CONTRIBUTION_ZERO_WITH_VISIBLE_CORE	QUALITY_WITH_LOCAL_MATERIA_CANDIDATE	Samen/Saatgutzubereitung, Form III: trocken	LOCAL_CANDIDATE:soiin	NONE	NONE	NONE	NONE	soiin	Samen/Saatgutzubereitung, Form III	-1	-1:soiin=Samen/Saatgutzubereitung, Form III	soiin	Samen/Saatgutzubereitung, Form III	cphol	zusammengesetzter Drogenstoff	trockene Zustands-/Materialform; flüssig meist trocken	Trockenansatz	nominale Materialform nur bei lokal sichtbarem oder geerbtem Kopf	ACCEPT_STATE_CELL__REJECT_UNIVERSAL_ANSATZ_HEAD	soiin chol cphol shol shol qockhol chor chol sho keey y ykeeam
G685-O0003	chol	f100r	f100r.23	8	P	1	MIDDLE	TRIPLE_READER_EXACT	CH_DRY+OL_STATE_CARRIER	ch	TROCKENQUALITAET	trocken	QUALITY_STATE_CARRIER__GERMAN_CONTRIBUTION_ZERO_WITH_VISIBLE_CORE	QUALITY_STATE_HEAD_OPEN	trocken	OUTER_OR_INHERITED_HEAD_OPEN	NONE	NONE	NONE	NONE	NONE	NONE	0	NONE	chor	Pflanzen-/Reproduktionsteil	sho	feuchter Ansatz	trockene Zustands-/Materialform; flüssig meist trocken	Trockenansatz	nominale Materialform nur bei lokal sichtbarem oder geerbtem Kopf	ACCEPT_STATE_CELL__REJECT_UNIVERSAL_ANSATZ_HEAD	soiin chol cphol shol shol qockhol chor chol sho keey y ykeeam
G685-O0004	chol	f100r	f100r.25	3	P	1	MIDDLE	TRIPLE_READER_EXACT	CH_DRY+OL_STATE_CARRIER	ch	TROCKENQUALITAET	trocken	QUALITY_STATE_CARRIER__GERMAN_CONTRIBUTION_ZERO_WITH_VISIBLE_CORE	QUALITY_DEGREE_WITH_VISIBLE_PART_HEAD	Blatt-/Krautteilform: trocken, Grad III	VISIBLE_PART:ctheol	G630-E002	III	ctheol	BLATT_KRAUTTEIL_FAMILY	ctheol	Krautdrogenstoff der Mittelstufe	2	+2:ctheol=Krautdrogenstoff der Mittelstufe	qkeeody	OPEN	daiin	Grad-/Maßwert III	trockene Zustands-/Materialform; flüssig meist trocken	Trockenansatz	nominale Materialform nur bei lokal sichtbarem oder geerbtem Kopf	ACCEPT_STATE_CELL__REJECT_UNIVERSAL_ANSATZ_HEAD	sheor qkeeody chol daiin ctheol olcheol cheky cheol cheockhy okeol
G685-O0005	chol	f100r	f100r.26	3	P	1	MIDDLE	TRIPLE_READER_EXACT	CH_DRY+OL_STATE_CARRIER	ch	TROCKENQUALITAET	trocken	QUALITY_STATE_CARRIER__GERMAN_CONTRIBUTION_ZERO_WITH_VISIBLE_CORE	QUALITY_STATE_HEAD_OPEN	trocken	OUTER_OR_INHERITED_HEAD_OPEN	NONE	NONE	NONE	NONE	NONE	NONE	0	NONE	chekeey	OPEN	cholody	Trockenstoff als Ansatz fertigstellen	trockene Zustands-/Materialform; flüssig meist trocken	Trockenansatz	nominale Materialform nur bei lokal sichtbarem oder geerbtem Kopf	ACCEPT_STATE_CELL__REJECT_UNIVERSAL_ANSATZ_HEAD	yaiin chekeey chol cholody chos olchor qokeol okeeol cheols al
G685-O0006	chol	f100r	f100r.27	1	P	1	FIRST	TRIPLE_READER_EXACT	CH_DRY+OL_STATE_CARRIER	ch	TROCKENQUALITAET	trocken	QUALITY_STATE_CARRIER__GERMAN_CONTRIBUTION_ZERO_WITH_VISIBLE_CORE	QUALITY_STATE_HEAD_OPEN	trocken	OUTER_OR_INHERITED_HEAD_OPEN	NONE	NONE	NONE	NONE	NONE	NONE	0	NONE	<START>	OPEN	cheol	trockener Drogenstoff	trockene Zustands-/Materialform; flüssig meist trocken	Trockenansatz	nominale Materialform nur bei lokal sichtbarem oder geerbtem Kopf	ACCEPT_STATE_CELL__REJECT_UNIVERSAL_ANSATZ_HEAD	chol cheol cho chckheody otolchey
G685-O0007	chol	f100v	f100v.15	7	P	1	MIDDLE	TRIPLE_READER_EXACT	CH_DRY+OL_STATE_CARRIER	ch	TROCKENQUALITAET	trocken	QUALITY_STATE_CARRIER__GERMAN_CONTRIBUTION_ZERO_WITH_VISIBLE_CORE	QUALITY_STATE_HEAD_OPEN	trocken	OUTER_OR_INHERITED_HEAD_OPEN	NONE	NONE	NONE	NONE	NONE	NONE	0	NONE	qoolkeey	erhitze den Drogenstoff vollständig und schließe ab	cheey	trocken am Ende des Grades	trockene Zustands-/Materialform; flüssig meist trocken	Trockenansatz	nominale Materialform nur bei lokal sichtbarem oder geerbtem Kopf	ACCEPT_STATE_CELL__REJECT_UNIVERSAL_ANSATZ_HEAD	sor cheey dair ol cheol qoolkeey chol cheey qokeol chotol s
G685-O0008	chol	f100v	f100v.16	2	P	1	MIDDLE	TRIPLE_READER_EXACT	CH_DRY+OL_STATE_CARRIER	ch	TROCKENQUALITAET	trocken	QUALITY_STATE_CARRIER__GERMAN_CONTRIBUTION_ZERO_WITH_VISIBLE_CORE	QUALITY_STATE_HEAD_OPEN	trocken	OUTER_OR_INHERITED_HEAD_OPEN	NONE	NONE	NONE	NONE	NONE	NONE	0	NONE	ykeeol	OPEN	chey	trocken in der Mitte des Grades	trockene Zustands-/Materialform; flüssig meist trocken	Trockenansatz	nominale Materialform nur bei lokal sichtbarem oder geerbtem Kopf	ACCEPT_STATE_CELL__REJECT_UNIVERSAL_ANSATZ_HEAD	ykeeol chol chey eeoseeo s sheeo okeol ches okeor okeol dy
G685-O0009	chol	f100v	f100v.17	5	P	1	MIDDLE	TRIPLE_READER_EXACT	CH_DRY+OL_STATE_CARRIER	ch	TROCKENQUALITAET	trocken	QUALITY_STATE_CARRIER__GERMAN_CONTRIBUTION_ZERO_WITH_VISIBLE_CORE	PARALLEL_OR_CONTRASTING_QUALITY_CELLS	trocken	PRESERVE_SEPARATE_QUALITY_CELL	NONE	NONE	NONE	NONE	NONE	NONE	0	NONE	okol	heißer Ansatzstoff	chotor	eine Portion abgekühlten Trockenansatzes	trockene Zustands-/Materialform; flüssig meist trocken	Trockenansatz	nominale Materialform nur bei lokal sichtbarem oder geerbtem Kopf	ACCEPT_STATE_CELL__REJECT_UNIVERSAL_ANSATZ_HEAD	chockhey sholkcheol qokeol okol chol chotor chso solcthy
G685-O0010	chol	f102r1	f102r1.10	3	P	1	MIDDLE	TRIPLE_READER_EXACT	CH_DRY+OL_STATE_CARRIER	ch	TROCKENQUALITAET	trocken	QUALITY_STATE_CARRIER__GERMAN_CONTRIBUTION_ZERO_WITH_VISIBLE_CORE	PARALLEL_OR_CONTRASTING_QUALITY_CELLS	trocken	PRESERVE_SEPARATE_QUALITY_CELL	NONE	NONE	NONE	NONE	NONE	NONE	0	NONE	sholdy	vollständig eingeweichte Droge	chol	trocken; nominal trockenes Gut/Material	trockene Zustands-/Materialform; flüssig meist trocken	Trockenansatz	nominale Materialform nur bei lokal sichtbarem oder geerbtem Kopf	ACCEPT_STATE_CELL__REJECT_UNIVERSAL_ANSATZ_HEAD	ycheol sholdy chol chol ykeeol dol doleodaiin dal cthedy
