metric	v57_before	v58_after	delta	interpretation
strict_card_debt_positions	139	131	-8	the three exact state cards no longer use generic Gut/Material alternatives
mechanical_visible_debt_union_positions	172	172	0	each repaired card remains an objectless state until a local head binds
mechanical_flag_memberships	194	186	-8	sixteen old generic/multivalue flags become eight honest state-only flags
broad_specificity_open_positions	335	335	0	the exact ingredient or outer head remains open
four_layer_union_with_low_confidence_positions	381	381	0	all eight revised positions remain in the broad and mechanical layers
mechanical_class:OPEN_COMPOSITION	20	20	0	class-level literal renderer count
mechanical_class:NON_SINGLE_GLOSS	44	36	-8	class-level literal renderer count
mechanical_class:STRUCTURAL_META_AS_VALUE	18	18	0	class-level literal renderer count
mechanical_class:HARD_GENERIC_CARRIER	47	39	-8	class-level literal renderer count
mechanical_class:STATE_ONLY_NO_OBJECT	65	73	8	class-level literal renderer count
