surface	page	locus	target_token_index	ol_token_index	order	target_default_de	ol_working_translation_de	ol_semantic_decision	reader_scope	contact_class	consequence	surface_line
chol	f107r	f107r.51	3	4	XOL_OL	trocken	Grundansatz	MAJORITY_OL_BASE_WITH_READER_RIVAL	ZL3B_PLUS_ONE_EXACT__IT2A_RIVAL	FREE_SEPARATE_OL	free OL remains a separately licensed Grundansatz card	sar ain chol ol cheey otal otal ol otchy qoky otaily
chol	f112r	f112r.30	5	6	XOL_OL	trocken	Grundansatz	BILATERAL_PORTABLE_OL_BASE	BILATERAL_EXACT	FREE_SEPARATE_OL	free OL remains a separately licensed Grundansatz card	tar ar cheokey okeody chol ol chedy qokedy cheom
chol	f17v	f17v.18	4	3	OL_XOL	trocken	Grundansatz	BILATERAL_PORTABLE_OL_BASE	BILATERAL_EXACT	FREE_SEPARATE_OL	free OL remains a separately licensed Grundansatz card	otor cheeor ol chol dor chr or eees
chol	f21r	f21r.6	9	10	XOL_OL	trocken	trockener Drogenstoff im Grundansatz	BOUND_OL_MATERIAL_COMPONENT	BILATERAL_LEFT_BOUND	BOUND_READER_COMPOUND	alternate readers bind the apparent ZL3b contact; render the GDT683 span once	dchor y kol y ky chol kol qokeol chol ol qoteeol dady
chol	f42v	f42v.12	2	3	XOL_OL	trocken	Grundansatz	BILATERAL_PORTABLE_OL_BASE	BILATERAL_EXACT	FREE_SEPARATE_OL	free OL remains a separately licensed Grundansatz card	chotcheey chol ol chaiin oteeaiin chkchy taiin y
chol	f58r	f58r.31	5	6	XOL_OL	trocken	erste heiße Drogenfraktion im Grundansatz; e-Komponente offen	BOUND_OL_MATERIAL_COMPONENT	BILATERAL_BOUND	BOUND_READER_COMPOUND	alternate readers bind the apparent ZL3b contact; render the GDT683 span once	odshchol taiin okal or chol ol ekar otarchol chol kam qokal
chol	f79v	f79v.17	3	4	XOL_OL	trocken	Grundansatz	BILATERAL_PORTABLE_OL_BASE	BILATERAL_EXACT	FREE_SEPARATE_OL	free OL remains a separately licensed Grundansatz card	qol sheey chol ol dar qokaiin cheekey qoky otain oram
chol	f85r2	f85r2.23	3	4	XOL_OL	trocken	Grundansatz	BILATERAL_PORTABLE_OL_BASE	BILATERAL_EXACT	FREE_SEPARATE_OL	free OL remains a separately licensed Grundansatz card	ol lcheol chol ol sheoly
chol	f93r	f93r.31	2	1	OL_XOL	trocken	Grundansatz	BILATERAL_PORTABLE_OL_BASE	BILATERAL_EXACT	FREE_SEPARATE_OL	free OL remains a separately licensed Grundansatz card	ol chol cthol olchod
shol	f95r2	f95r2.6	4	3	OL_XOL	feucht	Grundansatz	BILATERAL_PORTABLE_OL_BASE	BILATERAL_EXACT	FREE_SEPARATE_OL	free OL remains a separately licensed Grundansatz card	y olkor ol shol qotar chdy chdy qokar okar qokar odaly
