count_type	key	subkey	count
DECISION	LEFT	ALL	119
DECISION	RIGHT	ALL	1
DECISION	NESTED	ALL	0
DECISION	UNRESOLVED	ALL	0
FAMILY_DECISION	ARGUMENT	LEFT	18
FAMILY_DECISION	ARGUMENT	RIGHT	0
FAMILY_DECISION	ARGUMENT	NESTED	0
FAMILY_DECISION	ARGUMENT	UNRESOLVED	0
FAMILY_DECISION	GRADE	LEFT	89
FAMILY_DECISION	GRADE	RIGHT	0
FAMILY_DECISION	GRADE	NESTED	0
FAMILY_DECISION	GRADE	UNRESOLVED	0
FAMILY_DECISION	RELATION	LEFT	12
FAMILY_DECISION	RELATION	RIGHT	1
FAMILY_DECISION	RELATION	NESTED	0
FAMILY_DECISION	RELATION	UNRESOLVED	0
FOCUS_DECISION	Y	LEFT	11
FOCUS_DECISION	Y	RIGHT	0
FOCUS_DECISION	Y	NESTED	0
FOCUS_DECISION	Y	UNRESOLVED	0
FOCUS_DECISION	OR	LEFT	7
FOCUS_DECISION	OR	RIGHT	0
FOCUS_DECISION	OR	NESTED	0
FOCUS_DECISION	OR	UNRESOLVED	0
FOCUS_DECISION	E	LEFT	67
FOCUS_DECISION	E	RIGHT	0
FOCUS_DECISION	E	NESTED	0
FOCUS_DECISION	E	UNRESOLVED	0
FOCUS_DECISION	EE	LEFT	22
FOCUS_DECISION	EE	RIGHT	0
FOCUS_DECISION	EE	NESTED	0
FOCUS_DECISION	EE	UNRESOLVED	0
FOCUS_DECISION	AL	LEFT	9
FOCUS_DECISION	AL	RIGHT	0
FOCUS_DECISION	AL	NESTED	0
FOCUS_DECISION	AL	UNRESOLVED	0
FOCUS_DECISION	AR	LEFT	3
FOCUS_DECISION	AR	RIGHT	0
FOCUS_DECISION	AR	NESTED	0
FOCUS_DECISION	AR	UNRESOLVED	0
FOCUS_DECISION	L	LEFT	0
FOCUS_DECISION	L	RIGHT	1
FOCUS_DECISION	L	NESTED	0
FOCUS_DECISION	L	UNRESOLVED	0
TIE_DISTANCE	1	ATOMS	118
TIE_DISTANCE	2	ATOMS	1
TIE_DISTANCE	3	ATOMS	1
CONTROL	SAME_CORE_HEADS_BOTH_SIDES	ALL	20
CONTROL	PASS1021_DUPLICATE_EVENT_OVERLAP	ALL	0
