resolution_id	ambiguity_id	attachment_id	physical_page	register	statement_id	current_event_id	current_card_ordinal	statement_card_count	current_locus	owner_de	surface_card	component_recipe	focus_core	focus_value_de	previous_card_recipe	inherited_action_before_card	current_scope_cues	next_event_id	next_card_ordinal	next_locus	next_surface_card	next_component_recipe	next_scope_cues	next_action	next_action_value_de	next_action_atom_ordinal	head_distance_cards	owner_boundary	proseblock_boundary	locus_relation	next_closes_dy	decision	attachment_target	decision_rule	rationale_de
OWNERNEXT-001	SAA0004	SA00216	f17r	HERBAL	P1009-S014	P1003-E0016	1	26	f17r.2	abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen	dor	D_ADDR+OR	OR	EINHEIT	STATEMENT_START	NONE	NONE	P1003-E0017	2	f17r.2	otchol	OT+CH+OL	OT|OL	CH	NEHMEN	2	1	NO	NO	SAME_LOCUS	NO	BOUNDED_FORWARD	CH=NEHMEN@NÄCHSTE_KARTE_ATOM2	OPENING_ARGUMENT_FORWARD	Die kopflose Anfangsfolge erreicht den ersten Kopf der unmittelbar folgenden Karte im selben Besitzer-/Proseblock.
OWNERNEXT-002	SAA0005	SA00236	f17r	HERBAL	P1009-S015	P1003-E0042	1	3	f17r.5	abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen	dair	D_ADDR+AIR	AIR	LAUF	STATEMENT_START	NONE	AIR	P1003-E0043	2	f17r.5	cthey	CH+T+E+Y	NONE	CH	NEHMEN	1	1	NO	NO	SAME_LOCUS	NO	BOUNDED_FORWARD	CH=NEHMEN@NÄCHSTE_KARTE_ATOM1	L_OR_AIR_RIGHT_FRAME	L/AIR bildet hier einen rechten Rahmen bis zum ersten Kopf der unmittelbar folgenden Karte.
OWNERNEXT-003	SAA0010	SA00268	f18r	HERBAL	P1009-S019	P1008-E0002	1	29	f18r.1	große abgebildete Blütenpflanze	darod	D_ADDR+AR+OR	AR	AUSGANG	STATEMENT_START	NONE	NONE	P1008-E0003	2	f18r.1	yoar	Y+K+AR	NONE	K	GEBEN	2	1	NO	NO	SAME_LOCUS	NO	OWNER_ONLY	BESITZER=große abgebildete Blütenpflanze[AR=AUSGANG]	AR_AL_DEFAULT_OWNER	AR/AL bevorzugt links; ohne lokalen oder geerbten Kopf und ohne Q/OT/L/AIR-Lizenz bleibt der Wert beim Besitzer.
OWNERNEXT-004	SAA0011	SA00269	f18r	HERBAL	P1009-S019	P1008-E0002	1	29	f18r.1	große abgebildete Blütenpflanze	darod	D_ADDR+AR+OR	OR	EINHEIT	STATEMENT_START	NONE	NONE	P1008-E0003	2	f18r.1	yoar	Y+K+AR	NONE	K	GEBEN	2	1	NO	NO	SAME_LOCUS	NO	BOUNDED_FORWARD	K=GEBEN@NÄCHSTE_KARTE_ATOM2	OPENING_ARGUMENT_FORWARD	Die kopflose Anfangsfolge erreicht den ersten Kopf der unmittelbar folgenden Karte im selben Besitzer-/Proseblock.
OWNERNEXT-005	SAA0012	SA00307	f18r	HERBAL	P1009-S021	P1008-E0050	1	4	f18r.7	große abgebildete Blütenpflanze	doldaiin	OL+D_ADDR+AIIN	AIIN	WERT	STATEMENT_START	NONE	OL	P1008-E0051	2	f18r.8	qokchor	OK+CH+OR	NONE	OK	SETZEN	1	1	NO	NO	WRAP_WITHIN_SAME_OWNER	NO	BOUNDED_FORWARD	OK=SETZEN@NÄCHSTE_KARTE_ATOM1	OPENING_ARGUMENT_FORWARD	Die kopflose Anfangsfolge erreicht den ersten Kopf der unmittelbar folgenden Karte im selben Besitzer-/Proseblock.
OWNERNEXT-006	SAA0014	SA00348	f55v	HERBAL	P1009-S024	P912-E0237	1	22	f55v.2	große aromatische Doldenpflanze	qoaiin	CARRIER_Q+O+AIIN	AIIN	WERT	STATEMENT_START	NONE	CARRIER_Q	P912-E0238	2	f55v.2	okeody	OK+E+O+D_ADDR+Y	NONE	OK	SETZEN	1	1	NO	NO	SAME_LOCUS	NO	BOUNDED_FORWARD	OK=SETZEN@NÄCHSTE_KARTE_ATOM1	Q_PACKET_FORWARD	Q oeffnet das lokale Paket, dessen erster Kopf auf der unmittelbar folgenden Karte steht.
OWNERNEXT-007	SAA0016	SA00376	f55v	HERBAL	P1009-S026	P912-E0264	1	56	f55v.5	große aromatische Doldenpflanze	daiin	AIIN	AIIN	WERT	STATEMENT_START	NONE	NONE	P912-E0265	2	f55v.5	chedy	CHD+Y	NONE	CHD	UMSETZEN	1	1	NO	NO	SAME_LOCUS	NO	BOUNDED_FORWARD	CHD=UMSETZEN@NÄCHSTE_KARTE_ATOM1	OPENING_ARGUMENT_FORWARD	Die kopflose Anfangsfolge erreicht den ersten Kopf der unmittelbar folgenden Karte im selben Besitzer-/Proseblock.
OWNERNEXT-008	SAA0019	SA00440	f55v	HERBAL	P1009-S027	P912-E0320	1	15	f55v.11	große aromatische Doldenpflanze	aiin	AIIN	AIIN	WERT	STATEMENT_START	NONE	NONE	P912-E0321	2	f55v.11	okal	OK+AL	NONE	OK	SETZEN	1	1	NO	NO	SAME_LOCUS	NO	BOUNDED_FORWARD	OK=SETZEN@NÄCHSTE_KARTE_ATOM1	OPENING_ARGUMENT_FORWARD	Die kopflose Anfangsfolge erreicht den ersten Kopf der unmittelbar folgenden Karte im selben Besitzer-/Proseblock.
OWNERNEXT-009	SAA0021	SA00462	f56r	HERBAL	P1009-S029	P912-E0341	1	45	f56r.1	stachelköpfiges Kraut in mehreren Reifestufen	chy	Y	Y	AKTIVER POSTEN	STATEMENT_START	NONE	NONE	P912-E0342	2	f56r.1	ychocphy	Y+CH+O+CH+P+Y	NONE	CH	NEHMEN	2	1	NO	NO	SAME_LOCUS	NO	BOUNDED_FORWARD	CH=NEHMEN@NÄCHSTE_KARTE_ATOM2	OPENING_ARGUMENT_FORWARD	Die kopflose Anfangsfolge erreicht den ersten Kopf der unmittelbar folgenden Karte im selben Besitzer-/Proseblock.
OWNERNEXT-010	SAA0027	SA00556	f67r2	CELESTIAL	P1009-S032	P912-E1785	1	19	f67r2.16	zwei getrennte Himmelsräder und Tabelle	odaeiin	O+DA+E+IIN	E	GRAD I	STATEMENT_START	NONE	NONE	P912-E1786	2	f67r2.16	okoes	OK+O+E+S	NONE	OK	SETZEN	1	1	NO	NO	SAME_LOCUS	NO	BOUNDED_FORWARD	OK=SETZEN@NÄCHSTE_KARTE_ATOM1	GRADE_TO_NEXT_COMPATIBLE_HEAD	Der Grad erreicht den ersten kompatiblen Kopf der naechsten Karte; keine Grenze liegt dazwischen.
