ambiguity_id	attachment_id	physical_page	statement_id	r_event_id	r_card_ordinal	r_locus	r_surface	r_component_recipe	r_active_head_before_de	previous_card_recipe	next_card_recipe	neighbourhood_de	package_pattern	r_decision	rule_id	focus_event_id	focus_card_ordinal	focus_surface	focus_component_recipe	focus_core	focus_value_de	focus_distance_cards	selected_attachment	rejected_attachment	changed_from_pass1022_default	rationale_de
SAA0009	SA00267	f18r	P1009-S018	P1008-E0001	1	f18r.1	pdrairdy	P+D_ADDR+R+AIR+DY	NONE	STATEMENT_START	STATEMENT_END	STATEMENT_START | [P+D_ADDR+R+AIR+DY] | STATEMENT_END	INNER_R_WITH_RIGHT_COMPLEMENT	NESTED	R2_NESTED_LOCAL	P1008-E0001	1	pdrairdy	P+D_ADDR+R+AIR+DY	AIR	LAUF	0	R=MARKIEREN[AIR=LAUF]	P=EINSETZEN@ATOM1	NO	P=EINSETZEN steht links im selben Paket; AIR steht rechts von R vor jeder neuen Handlung. R ist deshalb der innere Kopf MARKIEREN.
SAA0013	SA00311	f18r	P1009-S022	P1008-E0056	3	f18r.8	dary	DA+R+Y	SETZEN	Y	OL	Y | [DA+R+Y] | OL	FIRST_ACTION_R_WITH_COMPLEMENT	HEAD	R1_HEAD_WITH_LOCAL_RIGHT	P1008-E0056	3	dary	DA+R+Y	Y	AKTIVER POSTEN	0	R=MARKIEREN[Y=AKTIVER POSTEN]	OK=SETZEN@VORAUSGEHENDER_RAHMEN	NO	R ist der erste Handlungskopf des Pakets und erhält rechts vor jeder neuen Handlung Y; es eröffnet MARKIEREN.
SAA0018	SA00400	f55v	P1009-S026	P912-E0282	19	f55v.7	dary	DA+R+Y	EINSETZEN	AL+D_ADDR+Y	T+AR	AL+D_ADDR+Y | [DA+R+Y] | T+AR	FIRST_ACTION_R_WITH_COMPLEMENT	HEAD	R1_HEAD_WITH_LOCAL_RIGHT	P912-E0282	19	dary	DA+R+Y	Y	AKTIVER POSTEN	0	R=MARKIEREN[Y=AKTIVER POSTEN]	CH=NEHMEN@VORAUSGEHENDER_RAHMEN	NO	R ist der erste Handlungskopf des Pakets und erhält rechts vor jeder neuen Handlung Y; es eröffnet MARKIEREN.
SAA0026	SA00536	f56r	P1009-S030	P912-E0424	39	f56r.16	r	R	NEHMEN	CH+T+O	Y	CH+T+O | [R] | Y	STANDALONE_R_BEFORE_ARGUMENT	HEAD	R1_HEAD_STANDALONE	P912-E0425	40	chey	Y	Y	AKTIVER POSTEN	1	R=MARKIEREN⟨VORIGE KARTE⟩[Y=AKTIVER POSTEN]	T=EINSTELLEN@VORAUSGEHENDER_RAHMEN	NO	R steht als eigene Karte und die nächste Karte beginnt sofort mit seinem Zusatz; damit eröffnet R den Kopf MARKIEREN.
SAA0028	SA00564	f67r2	P1009-S032	P912-E1790	6	f67r2.17	soraiir	S+OR+AIIN+R	GEBEN	OT+Y	Y	OT+Y | [S+OR+AIIN+R] | Y	CARD_FINAL_R_AFTER_ACTION	TAIL	R3_TAIL_AFTER_ACTION	P912-E1791	7	dy	Y	Y	AKTIVER POSTEN	1	S=WÄHLEN@VORAUSGEHENDER_RAHMEN	R=MARKIEREN⟨VORIGE KARTE⟩[Y=AKTIVER POSTEN]	YES	S=WÄHLEN steht bereits links im selben Paket; rechts von R folgt darin kein eigenes Argument. R markiert den äußeren Kopf, statt einen neuen offenen Kopf zu beginnen.
SAA0031	SA00581	f67r2	P1009-S033	P912-E1807	3	f67r2.24	sodar	S+O+DA+R	WÄHLEN	S+AL+S+AIN	O+LOCAL_CHAR_F+AR	S+AL+S+AIN | [S+O+DA+R] | O+LOCAL_CHAR_F+AR	CARD_FINAL_R_AFTER_ACTION	TAIL	R3_TAIL_AFTER_ACTION	P912-E1808	4	ofar	O+LOCAL_CHAR_F+AR	AR	AUSGANG	1	S=WÄHLEN@VORAUSGEHENDER_RAHMEN	R=MARKIEREN⟨VORIGE KARTE⟩[AR=AUSGANG]	YES	S=WÄHLEN steht bereits links im selben Paket; rechts von R folgt darin kein eigenes Argument. R markiert den äußeren Kopf, statt einen neuen offenen Kopf zu beginnen.
SAA0032	SA00582	f67r2	P1009-S033	P912-E1807	3	f67r2.24	sodar	S+O+DA+R	WÄHLEN	S+AL+S+AIN	O+LOCAL_CHAR_F+AR	S+AL+S+AIN | [S+O+DA+R] | O+LOCAL_CHAR_F+AR	CARD_FINAL_R_AFTER_ACTION	TAIL	R3_TAIL_AFTER_ACTION	P912-E1809	5	ar	AR	AR	AUSGANG	2	S=WÄHLEN@VORAUSGEHENDER_RAHMEN	R=MARKIEREN⟨GEERBT⟩[AR=AUSGANG]	YES	S=WÄHLEN steht bereits links im selben Paket; rechts von R folgt darin kein eigenes Argument. R markiert den äußeren Kopf, statt einen neuen offenen Kopf zu beginnen.
SAA0033	SA00583	f67r2	P1009-S033	P912-E1807	3	f67r2.24	sodar	S+O+DA+R	WÄHLEN	S+AL+S+AIN	O+LOCAL_CHAR_F+AR	S+AL+S+AIN | [S+O+DA+R] | O+LOCAL_CHAR_F+AR	CARD_FINAL_R_AFTER_ACTION	TAIL	R3_TAIL_AFTER_ACTION	P912-E1810	6	ydam	Y+DA+AM_ADDR	Y	AKTIVER POSTEN	3	S=WÄHLEN@VORAUSGEHENDER_RAHMEN	R=MARKIEREN⟨GEERBT⟩[Y=AKTIVER POSTEN]	YES	S=WÄHLEN steht bereits links im selben Paket; rechts von R folgt darin kein eigenes Argument. R markiert den äußeren Kopf, statt einen neuen offenen Kopf zu beginnen.
SAA0034	SA00591	f67r2	P1009-S033	P912-E1815	11	f67r2.27	r	R	SETZEN	OK+E+O	AIIN	OK+E+O | [R] | AIIN	STANDALONE_R_BEFORE_ARGUMENT	HEAD	R1_HEAD_STANDALONE	P912-E1816	12	aiin	AIIN	AIIN	WERT	1	R=MARKIEREN⟨VORIGE KARTE⟩[AIIN=WERT]	OK=SETZEN@VORAUSGEHENDER_RAHMEN	NO	R steht als eigene Karte und die nächste Karte beginnt sofort mit seinem Zusatz; damit eröffnet R den Kopf MARKIEREN.
SAA0037	SA00637	f67r2	P1009-S040	P912-E1871	5	f67r2.49	choer	CH+O+E+R	EINSTELLEN	OS	AIIN	OS | [CH+O+E+R] | AIIN	CARD_FINAL_R_AFTER_ACTION	TAIL	R3_TAIL_AFTER_ACTION	P912-E1872	6	aiin	AIIN	AIIN	WERT	1	CH=NEHMEN@VORAUSGEHENDER_RAHMEN	R=MARKIEREN⟨VORIGE KARTE⟩[AIIN=WERT]	YES	CH=NEHMEN steht bereits links im selben Paket; rechts von R folgt darin kein eigenes Argument. R markiert den äußeren Kopf, statt einen neuen offenen Kopf zu beginnen.
