audit_id	attachment_id	physical_page	register	statement_id	event_id	locus	surface_card	component_recipe	focus_core	focus_value_de	focus_family	focus_atom_ordinal	local_head_configuration	nearest_left_core	nearest_left_value_de	nearest_left_atom_ordinal	left_distance	nearest_right_core	nearest_right_value_de	nearest_right_atom_ordinal	right_distance	existing_trace_token	existing_target_de	active_head_before_de	strict_rule_branch	strict_expected_side	strict_expected_core	strict_expected_value_de	strict_rule_verdict	strict_reason_de	safe_rule_branch	safe_decision	safe_target_core	safe_target_value_de	safe_trace_match	safe_reason_de
EDG00001	SA00001	f10r	HERBAL	P1009-S001	P912-E0001	f10r.1	pchocthy	P+CH+O+CH+T+Y	Y	AKTIVER POSTEN	ARGUMENT	6	LEFT_ONLY	T	EINSTELLEN	5	1	NONE	NONE	NONE	NONE	AKTIVER POSTEN→EINSTELLEN	EINSTELLEN	NONE	NON_L_AIR_CLOSE_LEFT	LEFT	T	EINSTELLEN	CONSISTENT	Die vorhandene Pass1022-Bindung trifft den von der Kurzregel erwarteten Handlungskopf.	ARGUMENT_GRADE_ONLY_LEFT	LEFT	T	EINSTELLEN	MATCH	Nur der linke örtliche Kopf ist vorhanden.
EDG00002	SA00002	f10r	HERBAL	P1009-S001	P912-E0002	f10r.1	shor	SH+OR	OR	EINHEIT	ARGUMENT	2	LEFT_ONLY	SH	HALTEN	1	1	NONE	NONE	NONE	NONE	EINHEIT→HALTEN	HALTEN	EINSETZEN	NON_L_AIR_CLOSE_LEFT	LEFT	SH	HALTEN	CONSISTENT	Die vorhandene Pass1022-Bindung trifft den von der Kurzregel erwarteten Handlungskopf.	ARGUMENT_GRADE_ONLY_LEFT	LEFT	SH	HALTEN	MATCH	Nur der linke örtliche Kopf ist vorhanden.
EDG00003	SA00003	f10r	HERBAL	P1009-S001	P912-E0003	f10r.1	octhody	O+CH+T+O+D_ADDR+Y	Y	AKTIVER POSTEN	ARGUMENT	6	LEFT_ONLY	T	EINSTELLEN	3	3	NONE	NONE	NONE	NONE	AKTIVER POSTEN→EINSTELLEN	EINSTELLEN	HALTEN	NON_L_AIR_CLOSE_LEFT	LEFT	T	EINSTELLEN	CONSISTENT	Die vorhandene Pass1022-Bindung trifft den von der Kurzregel erwarteten Handlungskopf.	ARGUMENT_GRADE_ONLY_LEFT	LEFT	T	EINSTELLEN	MATCH	Nur der linke örtliche Kopf ist vorhanden.
EDG00004	SA00004	f10r	HERBAL	P1009-S001	P912-E0004	f10r.1	chorchy	CH+OR+CH+Y	OR	EINHEIT	ARGUMENT	2	BOTH	CH	NEHMEN	1	1	CH	NEHMEN	3	1	EINHEIT→NEHMEN	NEHMEN	NEHMEN	NON_L_AIR_CLOSE_LEFT	LEFT	CH	NEHMEN	POSITIONALLY_UNRESOLVED_SAME_VALUE	Beide Seiten tragen denselben Handlungskern; die vorhandene Wertspur unterscheidet die beiden Atompositionen nicht.	ARGUMENT_GRADE_EQUAL_TIE_LEFT	LEFT	CH	NEHMEN	MATCH	Argument/Grad steht gleich weit; nur in diesem Gleichstand schließt der bereits offene linke Kopf.
EDG00005	SA00005	f10r	HERBAL	P1009-S001	P912-E0004	f10r.1	chorchy	CH+OR+CH+Y	Y	AKTIVER POSTEN	ARGUMENT	4	LEFT_ONLY	CH	NEHMEN	3	1	NONE	NONE	NONE	NONE	AKTIVER POSTEN→NEHMEN	NEHMEN	NEHMEN	NON_L_AIR_CLOSE_LEFT	LEFT	CH	NEHMEN	CONSISTENT	Die vorhandene Pass1022-Bindung trifft den von der Kurzregel erwarteten Handlungskopf.	ARGUMENT_GRADE_ONLY_LEFT	LEFT	CH	NEHMEN	MATCH	Nur der linke örtliche Kopf ist vorhanden.
EDG00006	SA00006	f10r	HERBAL	P1009-S001	P912-E0006	f10r.1	chopchal	CH+O+P+CH+AL	AL	ZIELORT	RELATION	5	LEFT_ONLY	CH	NEHMEN	4	1	NONE	NONE	NONE	NONE	ZIELORT→NEHMEN	NEHMEN	EINSETZEN	NON_L_AIR_CLOSE_LEFT	LEFT	CH	NEHMEN	CONSISTENT	Die vorhandene Pass1022-Bindung trifft den von der Kurzregel erwarteten Handlungskopf.	AL_AR_LOCAL_LEFT	LEFT	CH	NEHMEN	MATCH	AUSGANG/ZIELORT schließt an den örtlichen linken Kopf.
EDG00007	SA00007	f10r	HERBAL	P1009-S001	P912-E0007	f10r.1	ypch	Y+P+CH	Y	AKTIVER POSTEN	ARGUMENT	1	RIGHT_ONLY	NONE	NONE	NONE	NONE	P	EINSETZEN	2	1	AKTIVER POSTEN→EINSETZEN	EINSETZEN	NEHMEN	NON_L_AIR_NO_LEFT_OUTSIDE_LOCAL_RULE	NONE	NONE	NONE	OUTSIDE_LOCAL_RULE	Die von der Kurzregel verlangte Seite enthält keinen örtlichen Handlungskopf; der Pass1022-Stapel entscheidet.	ARGUMENT_GRADE_ONLY_RIGHT	RIGHT	P	EINSETZEN	MATCH	Nur der rechte örtliche Kopf ist vorhanden.
EDG00008	SA00008	f10r	HERBAL	P1009-S001	P912-E0009	f10r.2	dchey	CH+E+Y	E	GRAD I	GRADE	2	LEFT_ONLY	CH	NEHMEN	1	1	NONE	NONE	NONE	NONE	GRAD I→NEHMEN	NEHMEN	GEBEN	NON_L_AIR_CLOSE_LEFT	LEFT	CH	NEHMEN	CONSISTENT	Die vorhandene Pass1022-Bindung trifft den von der Kurzregel erwarteten Handlungskopf.	ARGUMENT_GRADE_ONLY_LEFT	LEFT	CH	NEHMEN	MATCH	Nur der linke örtliche Kopf ist vorhanden.
EDG00009	SA00009	f10r	HERBAL	P1009-S001	P912-E0009	f10r.2	dchey	CH+E+Y	Y	AKTIVER POSTEN	ARGUMENT	3	LEFT_ONLY	CH	NEHMEN	1	2	NONE	NONE	NONE	NONE	AKTIVER POSTEN→NEHMEN	NEHMEN	GEBEN	NON_L_AIR_CLOSE_LEFT	LEFT	CH	NEHMEN	CONSISTENT	Die vorhandene Pass1022-Bindung trifft den von der Kurzregel erwarteten Handlungskopf.	ARGUMENT_GRADE_ONLY_LEFT	LEFT	CH	NEHMEN	MATCH	Nur der linke örtliche Kopf ist vorhanden.
EDG00010	SA00010	f10r	HERBAL	P1009-S001	P912-E0010	f10r.2	cthoor	CH+T+O+OR	OR	EINHEIT	ARGUMENT	4	LEFT_ONLY	T	EINSTELLEN	2	2	NONE	NONE	NONE	NONE	EINHEIT→EINSTELLEN	EINSTELLEN	NEHMEN	NON_L_AIR_CLOSE_LEFT	LEFT	T	EINSTELLEN	CONSISTENT	Die vorhandene Pass1022-Bindung trifft den von der Kurzregel erwarteten Handlungskopf.	ARGUMENT_GRADE_ONLY_LEFT	LEFT	T	EINSTELLEN	MATCH	Nur der linke örtliche Kopf ist vorhanden.
