resolution_id	source_ambiguity_id	source_attachment_id	physical_page	register	statement_id	event_id	card_ordinal_in_statement	locus	owner_de	surface_card	component_recipe	focus_core	focus_value_de	focus_family	focus_atom_ordinal	left_action_core	left_action_value_de	left_action_atom_ordinal	right_action_core	right_action_value_de	right_action_atom_ordinal	equal_distance	between_left_and_focus	between_focus_and_right	pass1021_duplicate_overlap	pass1021_duplicate_rule	tie_rule_branch	decision	direct_governor_core	direct_governor_value_de	direct_governor_atom_ordinal	package_reading	reason_de	pass1022_binding_trace_de	pass1022_trace_match	active_head_before_de	active_head_after_de
ED001	SAA0001	SA00004	f10r	HERBAL	P1009-S001	P912-E0004	4	f10r.1	zweiknolliges blauköpfiges Heilkraut	chorchy	CH+OR+CH+Y	OR	EINHEIT	ARGUMENT	2	CH	NEHMEN	1	CH	NEHMEN	3	1	NONE	NONE	NO	NONE	CLOSE_OPEN_HEAD_BEFORE_NEXT_HEAD	LEFT	CH	NEHMEN	1	CH@1[OR@2; CH@3[…]]	Das Argument vervollständigt den offenen linken Kopf; der rechte Handlungskopf beginnt erst an seiner eigenen Position.	NEHMEN=KOPF | EINHEIT→NEHMEN | NEHMEN=KOPF | AKTIVER POSTEN→NEHMEN	YES	NEHMEN	NEHMEN
ED002	SAA0002	SA00106	f11r	HERBAL	P1009-S004	P912-E0114	15	f11r.3	blühender dreikroniger Sodenstock	ykychy	Y+K+Y+CH+Y	Y	AKTIVER POSTEN	ARGUMENT	3	K	GEBEN	2	CH	NEHMEN	4	1	NONE	NONE	NO	NONE	CLOSE_OPEN_HEAD_BEFORE_NEXT_HEAD	LEFT	K	GEBEN	2	K@2[Y@3; CH@4[…]]	Das Argument vervollständigt den offenen linken Kopf; der rechte Handlungskopf beginnt erst an seiner eigenen Position.	AKTIVER POSTEN→GEBEN | GEBEN=KOPF | AKTIVER POSTEN→GEBEN | NEHMEN=KOPF | AKTIVER POSTEN→NEHMEN	YES	NEHMEN	GEBEN
ED003	SAA0003	SA00137	f13r	HERBAL	P1009-S005	P912-E0152	1	f13r.1	große Wurzelkrone mit Blatt und Blütenstand	torshor	T+OR+SH+OR	OR	EINHEIT	ARGUMENT	2	T	EINSTELLEN	1	SH	HALTEN	3	1	NONE	NONE	NO	NONE	CLOSE_OPEN_HEAD_BEFORE_NEXT_HEAD	LEFT	T	EINSTELLEN	1	T@1[OR@2; SH@3[…]]	Das Argument vervollständigt den offenen linken Kopf; der rechte Handlungskopf beginnt erst an seiner eigenen Position.	EINSTELLEN=KOPF | EINHEIT→EINSTELLEN | HALTEN=KOPF | EINHEIT→HALTEN	YES	NONE	EINSTELLEN
ED004	SAA0006	SA00240	f17r	HERBAL	P1009-S016	P1003-E0049	5	f17r.6	abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen	cheteg	CH+E+T+E+LOCAL_CHAR_G	E	GRAD I	GRADE	2	CH	NEHMEN	1	T	EINSTELLEN	3	1	NONE	NONE	NO	NONE	CLOSE_OPEN_HEAD_BEFORE_NEXT_HEAD	LEFT	CH	NEHMEN	1	CH@1[E@2; T@3[…]]	Der Grad schließt die bereits links geöffnete Handlung; der rechte Kopf eröffnet danach die innere Folgehandlung.	NEHMEN=KOPF | GRAD I→NEHMEN | EINSTELLEN=KOPF | GRAD I→EINSTELLEN | VARIANTE→BESITZER	YES	SETZEN	NEHMEN
ED005	SAA0007	SA00245	f17r	HERBAL	P1009-S016	P1003-E0053	9	f17r.7	abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen	zepchy	S+E+P+CH+Y	E	GRAD I	GRADE	2	S	WÄHLEN	1	P	EINSETZEN	3	1	NONE	NONE	NO	NONE	CLOSE_OPEN_HEAD_BEFORE_NEXT_HEAD	LEFT	S	WÄHLEN	1	S@1[E@2; P@3[…]]	Der Grad schließt die bereits links geöffnete Handlung; der rechte Kopf eröffnet danach die innere Folgehandlung.	WÄHLEN=KOPF | GRAD I→WÄHLEN | EINSETZEN=KOPF | NEHMEN=KOPF | AKTIVER POSTEN→NEHMEN	YES	NEHMEN	WÄHLEN
ED006	SAA0008	SA00256	f17r	HERBAL	P1009-S017	P1003-E0064	9	f17r.9	abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen	chypcham	CH+Y+P+CH+AM_ADDR	Y	AKTIVER POSTEN	ARGUMENT	2	CH	NEHMEN	1	P	EINSETZEN	3	1	NONE	NONE	NO	NONE	CLOSE_OPEN_HEAD_BEFORE_NEXT_HEAD	LEFT	CH	NEHMEN	1	CH@1[Y@2; P@3[…]]	Das Argument vervollständigt den offenen linken Kopf; der rechte Handlungskopf beginnt erst an seiner eigenen Position.	NEHMEN=KOPF | AKTIVER POSTEN→NEHMEN | EINSETZEN=KOPF | NEHMEN=KOPF | HIER→BESITZER	YES	WÄHLEN	NEHMEN
ED007	SAA0015	SA00352	f55v	HERBAL	P1009-S024	P912-E0239	3	f55v.2	große aromatische Doldenpflanze	ykeesan	Y+K+EE+S+AN	EE	GRAD II	GRADE	3	K	GEBEN	2	S	WÄHLEN	4	1	NONE	NONE	NO	NONE	CLOSE_OPEN_HEAD_BEFORE_NEXT_HEAD	LEFT	K	GEBEN	2	K@2[EE@3; S@4[…]]	Der Grad schließt die bereits links geöffnete Handlung; der rechte Kopf eröffnet danach die innere Folgehandlung.	AKTIVER POSTEN→GEBEN | GEBEN=KOPF | GRAD II→GEBEN | WÄHLEN=KOPF | KLASSE→BESITZER	YES	SETZEN	GEBEN
ED008	SAA0017	SA00390	f55v	HERBAL	P1009-S026	P912-E0274	11	f55v.7	große aromatische Doldenpflanze	sheokey	SH+E+OK+E+Y	E	GRAD I	GRADE	2	SH	HALTEN	1	OK	SETZEN	3	1	NONE	NONE	NO	NONE	CLOSE_OPEN_HEAD_BEFORE_NEXT_HEAD	LEFT	SH	HALTEN	1	SH@1[E@2; OK@3[…]]	Der Grad schließt die bereits links geöffnete Handlung; der rechte Kopf eröffnet danach die innere Folgehandlung.	HALTEN=KOPF | GRAD I→HALTEN | SETZEN=KOPF | GRAD I→SETZEN | AKTIVER POSTEN→SETZEN	YES	GEBEN	HALTEN
ED009	SAA0020	SA00451	f55v	HERBAL	P1009-S027	P912-E0329	10	f55v.12	große aromatische Doldenpflanze	olkeechy	OL+K+EE+CH+Y	EE	GRAD II	GRADE	3	K	GEBEN	2	CH	NEHMEN	4	1	NONE	NONE	NO	NONE	CLOSE_OPEN_HEAD_BEFORE_NEXT_HEAD	LEFT	K	GEBEN	2	K@2[EE@3; CH@4[…]]	Der Grad schließt die bereits links geöffnete Handlung; der rechte Kopf eröffnet danach die innere Folgehandlung.	FORTSETZEN→GEBEN | GEBEN=KOPF | GRAD II→GEBEN | NEHMEN=KOPF | AKTIVER POSTEN→NEHMEN	YES	NEHMEN	GEBEN
ED010	SAA0022	SA00465	f56r	HERBAL	P1009-S029	P912-E0343	3	f56r.1	stachelköpfiges Kraut in mehreren Reifestufen	chorchy	CH+OR+CH+Y	OR	EINHEIT	ARGUMENT	2	CH	NEHMEN	1	CH	NEHMEN	3	1	NONE	NONE	NO	NONE	CLOSE_OPEN_HEAD_BEFORE_NEXT_HEAD	LEFT	CH	NEHMEN	1	CH@1[OR@2; CH@3[…]]	Das Argument vervollständigt den offenen linken Kopf; der rechte Handlungskopf beginnt erst an seiner eigenen Position.	NEHMEN=KOPF | EINHEIT→NEHMEN | NEHMEN=KOPF | AKTIVER POSTEN→NEHMEN	YES	NEHMEN	NEHMEN
