attachment_id	focus_core	focus_value_de	focus_family	event_id	book_event_ordinal	physical_page	register	statement_id	card_ordinal_in_statement	locus	owner_de	surface_card	component_recipe	focus_atom_ordinal	left_atom	right_atom	same_card_left_actions	nearest_left_action	same_card_right_actions	nearest_right_action	previous_card_event_id	previous_card_recipe	previous_card_actions	previous_card_last_action	inherited_action_before_card	inherited_from_event_id	inherited_from_card_ordinal	owner_only_attachment	chosen_attachment_class	chosen_action	chosen_action_value_de	chosen_action_event_id	chosen_action_card_ordinal	chosen_action_atom_ordinal	bracket_reading_de	duplicate_scope_mode	duplicate_scope_role	paired_focus_atom_ordinal	next_card_event_id	next_card_recipe	next_card_actions	ambiguity_codes	pass1023_resolution_status	pass1023_ambiguity_classes	pass1023_decisions	pass1023_selected_attachment_de	pass1023_scope_de	pass1023_rule_ids	pass1023_changed_from_pass1022	pass1023_note_de
SA00001	Y	AKTIVER POSTEN	ARGUMENT	P912-E0001	1	f10r	HERBAL	P1009-S001	1	f10r.1	zweiknolliges blauköpfiges Heilkraut	pchocthy	P+CH+O+CH+T+Y	6	T	CARD_END	P@1|CH@2|CH@4|T@5	T=EINSTELLEN	NONE	NONE	STATEMENT_START	STATEMENT_START	NONE	NONE	NONE	NONE	NONE	NO	SAME_CARD_LEFT_ACTION	T	EINSTELLEN	P912-E0001	1	5	T=EINSTELLEN[Y=AKTIVER POSTEN]	SINGLE	SINGLE	NONE	P912-E0002	SH+OR	SH@1	NONE	ALREADY_UNAMBIGUOUS	NONE	KEEP_PASS1022	T=EINSTELLEN[Y=AKTIVER POSTEN]	T=EINSTELLEN[Y=AKTIVER POSTEN]	PASS1022_CLEAR_ATTACHMENT	NO	Keine offene Anschlussalternative in Pass1022.
SA00002	OR	EINHEIT	ARGUMENT	P912-E0002	2	f10r	HERBAL	P1009-S001	2	f10r.1	zweiknolliges blauköpfiges Heilkraut	shor	SH+OR	2	SH	CARD_END	SH@1	SH=HALTEN	NONE	NONE	P912-E0001	P+CH+O+CH+T+Y	P@1|CH@2|CH@4|T@5	T=EINSTELLEN	T=EINSTELLEN	P912-E0001	1	NO	SAME_CARD_LEFT_ACTION	SH	HALTEN	P912-E0002	2	1	SH=HALTEN[OR=EINHEIT]	SINGLE	SINGLE	NONE	P912-E0003	O+CH+T+O+D_ADDR+Y	CH@2|T@3	NONE	ALREADY_UNAMBIGUOUS	NONE	KEEP_PASS1022	SH=HALTEN[OR=EINHEIT]	SH=HALTEN[OR=EINHEIT]	PASS1022_CLEAR_ATTACHMENT	NO	Keine offene Anschlussalternative in Pass1022.
SA00003	Y	AKTIVER POSTEN	ARGUMENT	P912-E0003	3	f10r	HERBAL	P1009-S001	3	f10r.1	zweiknolliges blauköpfiges Heilkraut	octhody	O+CH+T+O+D_ADDR+Y	6	D_ADDR	CARD_END	CH@2|T@3	T=EINSTELLEN	NONE	NONE	P912-E0002	SH+OR	SH@1	SH=HALTEN	SH=HALTEN	P912-E0002	2	NO	SAME_CARD_LEFT_ACTION	T	EINSTELLEN	P912-E0003	3	3	T=EINSTELLEN[Y=AKTIVER POSTEN]	SINGLE	SINGLE	NONE	P912-E0004	CH+OR+CH+Y	CH@1|CH@3	NONE	ALREADY_UNAMBIGUOUS	NONE	KEEP_PASS1022	T=EINSTELLEN[Y=AKTIVER POSTEN]	T=EINSTELLEN[Y=AKTIVER POSTEN]	PASS1022_CLEAR_ATTACHMENT	NO	Keine offene Anschlussalternative in Pass1022.
SA00004	OR	EINHEIT	ARGUMENT	P912-E0004	4	f10r	HERBAL	P1009-S001	4	f10r.1	zweiknolliges blauköpfiges Heilkraut	chorchy	CH+OR+CH+Y	2	CH	CH	CH@1	CH=NEHMEN	CH@3	CH=NEHMEN	P912-E0003	O+CH+T+O+D_ADDR+Y	CH@2|T@3	T=EINSTELLEN	T=EINSTELLEN	P912-E0003	3	NO	SAME_CARD_LEFT_ACTION	CH	NEHMEN	P912-E0004	4	1	CH=NEHMEN[OR=EINHEIT]	SINGLE	SINGLE	NONE	P912-E0005	P+CH+O+D_ADDR+OL	P@1|CH@2	EQUAL_DISTANCE_TWO_HEADS	RESOLVED_BY_WORKSHOP_RULE	EQUAL_DISTANCE_TWO_HEADS	EQUAL_LEFT	CH=NEHMEN@CURRENT_CARD_ATOM1	CH@1[OR@2; CH@3[…]]	CLOSE_OPEN_HEAD_BEFORE_NEXT_HEAD	NO	Das Argument vervollständigt den offenen linken Kopf; der rechte Handlungskopf beginnt erst an seiner eigenen Position.
SA00005	Y	AKTIVER POSTEN	ARGUMENT	P912-E0004	4	f10r	HERBAL	P1009-S001	4	f10r.1	zweiknolliges blauköpfiges Heilkraut	chorchy	CH+OR+CH+Y	4	CH	CARD_END	CH@1|CH@3	CH=NEHMEN	NONE	NONE	P912-E0003	O+CH+T+O+D_ADDR+Y	CH@2|T@3	T=EINSTELLEN	T=EINSTELLEN	P912-E0003	3	NO	SAME_CARD_LEFT_ACTION	CH	NEHMEN	P912-E0004	4	3	CH=NEHMEN[Y=AKTIVER POSTEN]	SINGLE	SINGLE	NONE	P912-E0005	P+CH+O+D_ADDR+OL	P@1|CH@2	NONE	ALREADY_UNAMBIGUOUS	NONE	KEEP_PASS1022	CH=NEHMEN[Y=AKTIVER POSTEN]	CH=NEHMEN[Y=AKTIVER POSTEN]	PASS1022_CLEAR_ATTACHMENT	NO	Keine offene Anschlussalternative in Pass1022.
SA00006	AL	ZIELORT	RELATION	P912-E0006	6	f10r	HERBAL	P1009-S001	6	f10r.1	zweiknolliges blauköpfiges Heilkraut	chopchal	CH+O+P+CH+AL	5	CH	CARD_END	CH@1|P@3|CH@4	CH=NEHMEN	NONE	NONE	P912-E0005	P+CH+O+D_ADDR+OL	P@1|CH@2	CH=NEHMEN	CH=NEHMEN	P912-E0005	5	NO	SAME_CARD_LEFT_ACTION	CH	NEHMEN	P912-E0006	6	4	CH=NEHMEN[AL=ZIELORT]	SINGLE	SINGLE	NONE	P912-E0007	Y+P+CH	P@2|CH@3	NONE	ALREADY_UNAMBIGUOUS	NONE	KEEP_PASS1022	CH=NEHMEN[AL=ZIELORT]	CH=NEHMEN[AL=ZIELORT]	PASS1022_CLEAR_ATTACHMENT	NO	Keine offene Anschlussalternative in Pass1022.
SA00007	Y	AKTIVER POSTEN	ARGUMENT	P912-E0007	7	f10r	HERBAL	P1009-S001	7	f10r.1	zweiknolliges blauköpfiges Heilkraut	ypch	Y+P+CH	1	CARD_START	P	NONE	NONE	P@2|CH@3	P=EINSETZEN	P912-E0006	CH+O+P+CH+AL	CH@1|P@3|CH@4	CH=NEHMEN	CH=NEHMEN	P912-E0006	6	NO	SAME_CARD_RIGHT_ACTION	P	EINSETZEN	P912-E0007	7	2	[Y=AKTIVER POSTEN]→P=EINSETZEN	SINGLE	SINGLE	NONE	P912-E0008	K+O+M_LOCAL	K@1	NONE	ALREADY_UNAMBIGUOUS	NONE	KEEP_PASS1022	[Y=AKTIVER POSTEN]→P=EINSETZEN	[Y=AKTIVER POSTEN]→P=EINSETZEN	PASS1022_CLEAR_ATTACHMENT	NO	Keine offene Anschlussalternative in Pass1022.
SA00008	E	GRAD I	GRADE	P912-E0009	9	f10r	HERBAL	P1009-S001	9	f10r.2	zweiknolliges blauköpfiges Heilkraut	dchey	CH+E+Y	2	CH	Y	CH@1	CH=NEHMEN	NONE	NONE	P912-E0008	K+O+M_LOCAL	K@1	K=GEBEN	K=GEBEN	P912-E0008	8	NO	SAME_CARD_LEFT_ACTION	CH	NEHMEN	P912-E0009	9	1	CH=NEHMEN[E=GRAD I]	SINGLE	SINGLE	NONE	P912-E0010	CH+T+O+OR	CH@1|T@2	NONE	ALREADY_UNAMBIGUOUS	NONE	KEEP_PASS1022	CH=NEHMEN[E=GRAD I]	CH=NEHMEN[E=GRAD I]	PASS1022_CLEAR_ATTACHMENT	NO	Keine offene Anschlussalternative in Pass1022.
SA00009	Y	AKTIVER POSTEN	ARGUMENT	P912-E0009	9	f10r	HERBAL	P1009-S001	9	f10r.2	zweiknolliges blauköpfiges Heilkraut	dchey	CH+E+Y	3	E	CARD_END	CH@1	CH=NEHMEN	NONE	NONE	P912-E0008	K+O+M_LOCAL	K@1	K=GEBEN	K=GEBEN	P912-E0008	8	NO	SAME_CARD_LEFT_ACTION	CH	NEHMEN	P912-E0009	9	1	CH=NEHMEN[Y=AKTIVER POSTEN]	SINGLE	SINGLE	NONE	P912-E0010	CH+T+O+OR	CH@1|T@2	NONE	ALREADY_UNAMBIGUOUS	NONE	KEEP_PASS1022	CH=NEHMEN[Y=AKTIVER POSTEN]	CH=NEHMEN[Y=AKTIVER POSTEN]	PASS1022_CLEAR_ATTACHMENT	NO	Keine offene Anschlussalternative in Pass1022.
SA00010	OR	EINHEIT	ARGUMENT	P912-E0010	10	f10r	HERBAL	P1009-S001	10	f10r.2	zweiknolliges blauköpfiges Heilkraut	cthoor	CH+T+O+OR	4	O	CARD_END	CH@1|T@2	T=EINSTELLEN	NONE	NONE	P912-E0009	CH+E+Y	CH@1	CH=NEHMEN	CH=NEHMEN	P912-E0009	9	NO	SAME_CARD_LEFT_ACTION	T	EINSTELLEN	P912-E0010	10	2	T=EINSTELLEN[OR=EINHEIT]	SINGLE	SINGLE	NONE	P912-E0011	AR	NONE	NONE	ALREADY_UNAMBIGUOUS	NONE	KEEP_PASS1022	T=EINSTELLEN[OR=EINHEIT]	T=EINSTELLEN[OR=EINHEIT]	PASS1022_CLEAR_ATTACHMENT	NO	Keine offene Anschlussalternative in Pass1022.
