resolution_id	attachment_id	ambiguity_ids	ambiguity_classes	physical_page	register	statement_id	event_id	locus	card_ordinal_in_statement	surface_card	component_recipe	focus_core	focus_value_de	pass1022_attachment_class	pass1022_chosen_attachment_de	pass1023_decisions	pass1023_selected_target_de	pass1023_scope_de	pass1023_rule_ids	changed_from_pass1022	reason_de	former_alternatives_de	resolution_status
P1023-R0001	SA00004	SAA0001	EQUAL_DISTANCE_TWO_HEADS	f10r	HERBAL	P1009-S001	P912-E0004	f10r.1	4	chorchy	CH+OR+CH+Y	OR	EINHEIT	SAME_CARD_LEFT_ACTION	CH=NEHMEN[OR=EINHEIT]	EQUAL_LEFT	CH=NEHMEN@CURRENT_CARD_ATOM1	CH@1[OR@2; CH@3[…]]	CLOSE_OPEN_HEAD_BEFORE_NEXT_HEAD	NO	Das Argument vervollständigt den offenen linken Kopf; der rechte Handlungskopf beginnt erst an seiner eigenen Position.	CH=NEHMEN@ATOM3	SELECTED_WORKSHOP_SCOPE
P1023-R0002	SA00106	SAA0002	EQUAL_DISTANCE_TWO_HEADS	f11r	HERBAL	P1009-S004	P912-E0114	f11r.3	15	ykychy	Y+K+Y+CH+Y	Y	AKTIVER POSTEN	SAME_CARD_LEFT_ACTION	K=GEBEN[Y=AKTIVER POSTEN]	EQUAL_LEFT	K=GEBEN@CURRENT_CARD_ATOM2	K@2[Y@3; CH@4[…]]	CLOSE_OPEN_HEAD_BEFORE_NEXT_HEAD	NO	Das Argument vervollständigt den offenen linken Kopf; der rechte Handlungskopf beginnt erst an seiner eigenen Position.	CH=NEHMEN@ATOM4	SELECTED_WORKSHOP_SCOPE
P1023-R0003	SA00137	SAA0003	EQUAL_DISTANCE_TWO_HEADS	f13r	HERBAL	P1009-S005	P912-E0152	f13r.1	1	torshor	T+OR+SH+OR	OR	EINHEIT	SAME_CARD_LEFT_ACTION	T=EINSTELLEN[OR=EINHEIT]	EQUAL_LEFT	T=EINSTELLEN@CURRENT_CARD_ATOM1	T@1[OR@2; SH@3[…]]	CLOSE_OPEN_HEAD_BEFORE_NEXT_HEAD	NO	Das Argument vervollständigt den offenen linken Kopf; der rechte Handlungskopf beginnt erst an seiner eigenen Position.	SH=HALTEN@ATOM3	SELECTED_WORKSHOP_SCOPE
P1023-R0004	SA00216	SAA0004	OWNER_OR_NEXT_CARD_ACTION	f17r	HERBAL	P1009-S014	P1003-E0016	f17r.2	1	dor	D_ADDR+OR	OR	EINHEIT	OWNER_ONLY	BESITZER=abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen[OR=EINHEIT]	BOUNDED_FORWARD	CH=NEHMEN@NÄCHSTE_KARTE_ATOM2	CH=NEHMEN@NÄCHSTE_KARTE_ATOM2	OPENING_ARGUMENT_FORWARD	YES	Die kopflose Anfangsfolge erreicht den ersten Kopf der unmittelbar folgenden Karte im selben Besitzer-/Proseblock.	CH=NEHMEN@NÄCHSTE_KARTE_ATOM2	SELECTED_WORKSHOP_SCOPE
P1023-R0005	SA00236	SAA0005	OWNER_OR_NEXT_CARD_ACTION	f17r	HERBAL	P1009-S015	P1003-E0042	f17r.5	1	dair	D_ADDR+AIR	AIR	LAUF	OWNER_ONLY	BESITZER=abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen[AIR=LAUF]	BOUNDED_FORWARD	CH=NEHMEN@NÄCHSTE_KARTE_ATOM1	CH=NEHMEN@NÄCHSTE_KARTE_ATOM1	L_OR_AIR_RIGHT_FRAME	YES	L/AIR bildet hier einen rechten Rahmen bis zum ersten Kopf der unmittelbar folgenden Karte.	CH=NEHMEN@NÄCHSTE_KARTE_ATOM1	SELECTED_WORKSHOP_SCOPE
P1023-R0006	SA00240	SAA0006	EQUAL_DISTANCE_TWO_HEADS	f17r	HERBAL	P1009-S016	P1003-E0049	f17r.6	5	cheteg	CH+E+T+E+LOCAL_CHAR_G	E	GRAD I	SAME_CARD_LEFT_ACTION	CH=NEHMEN[E=GRAD I]	EQUAL_LEFT	CH=NEHMEN@CURRENT_CARD_ATOM1	CH@1[E@2; T@3[…]]	CLOSE_OPEN_HEAD_BEFORE_NEXT_HEAD	NO	Der Grad schließt die bereits links geöffnete Handlung; der rechte Kopf eröffnet danach die innere Folgehandlung.	T=EINSTELLEN@ATOM3	SELECTED_WORKSHOP_SCOPE
P1023-R0007	SA00245	SAA0007	EQUAL_DISTANCE_TWO_HEADS	f17r	HERBAL	P1009-S016	P1003-E0053	f17r.7	9	zepchy	S+E+P+CH+Y	E	GRAD I	SAME_CARD_LEFT_ACTION	S=WÄHLEN[E=GRAD I]	EQUAL_LEFT	S=WÄHLEN@CURRENT_CARD_ATOM1	S@1[E@2; P@3[…]]	CLOSE_OPEN_HEAD_BEFORE_NEXT_HEAD	NO	Der Grad schließt die bereits links geöffnete Handlung; der rechte Kopf eröffnet danach die innere Folgehandlung.	P=EINSETZEN@ATOM3	SELECTED_WORKSHOP_SCOPE
P1023-R0008	SA00256	SAA0008	EQUAL_DISTANCE_TWO_HEADS	f17r	HERBAL	P1009-S017	P1003-E0064	f17r.9	9	chypcham	CH+Y+P+CH+AM_ADDR	Y	AKTIVER POSTEN	SAME_CARD_LEFT_ACTION	CH=NEHMEN[Y=AKTIVER POSTEN]	EQUAL_LEFT	CH=NEHMEN@CURRENT_CARD_ATOM1	CH@1[Y@2; P@3[…]]	CLOSE_OPEN_HEAD_BEFORE_NEXT_HEAD	NO	Das Argument vervollständigt den offenen linken Kopf; der rechte Handlungskopf beginnt erst an seiner eigenen Position.	P=EINSETZEN@ATOM3	SELECTED_WORKSHOP_SCOPE
P1023-R0009	SA00267	SAA0009	R_HEAD_OR_TAIL	f18r	HERBAL	P1009-S018	P1008-E0001	f18r.1	1	pdrairdy	P+D_ADDR+R+AIR+DY	AIR	LAUF	SAME_CARD_LEFT_ACTION	R=MARKIEREN[AIR=LAUF]	R_NESTED	R=MARKIEREN[AIR=LAUF]	R=MARKIEREN[AIR=LAUF]	R2_NESTED_LOCAL	NO	P=EINSETZEN steht links im selben Paket; AIR steht rechts von R vor jeder neuen Handlung. R ist deshalb der innere Kopf MARKIEREN.	P=EINSETZEN@ATOM1	SELECTED_WORKSHOP_SCOPE
P1023-R0010	SA00268	SAA0010	OWNER_OR_NEXT_CARD_ACTION	f18r	HERBAL	P1009-S019	P1008-E0002	f18r.1	1	darod	D_ADDR+AR+OR	AR	AUSGANG	OWNER_ONLY	BESITZER=große abgebildete Blütenpflanze[AR=AUSGANG]	OWNER_ONLY	BESITZER=große abgebildete Blütenpflanze[AR=AUSGANG]	BESITZER=große abgebildete Blütenpflanze[AR=AUSGANG]	AR_AL_DEFAULT_OWNER	NO	AR/AL bevorzugt links; ohne lokalen oder geerbten Kopf und ohne Q/OT/L/AIR-Lizenz bleibt der Wert beim Besitzer.	K=GEBEN@NÄCHSTE_KARTE_ATOM2	SELECTED_WORKSHOP_SCOPE
P1023-R0011	SA00269	SAA0011	OWNER_OR_NEXT_CARD_ACTION	f18r	HERBAL	P1009-S019	P1008-E0002	f18r.1	1	darod	D_ADDR+AR+OR	OR	EINHEIT	OWNER_ONLY	BESITZER=große abgebildete Blütenpflanze[OR=EINHEIT]	BOUNDED_FORWARD	K=GEBEN@NÄCHSTE_KARTE_ATOM2	K=GEBEN@NÄCHSTE_KARTE_ATOM2	OPENING_ARGUMENT_FORWARD	YES	Die kopflose Anfangsfolge erreicht den ersten Kopf der unmittelbar folgenden Karte im selben Besitzer-/Proseblock.	K=GEBEN@NÄCHSTE_KARTE_ATOM2	SELECTED_WORKSHOP_SCOPE
P1023-R0012	SA00307	SAA0012	OWNER_OR_NEXT_CARD_ACTION	f18r	HERBAL	P1009-S021	P1008-E0050	f18r.7	1	doldaiin	OL+D_ADDR+AIIN	AIIN	WERT	OWNER_ONLY	BESITZER=große abgebildete Blütenpflanze[AIIN=WERT]	BOUNDED_FORWARD	OK=SETZEN@NÄCHSTE_KARTE_ATOM1	OK=SETZEN@NÄCHSTE_KARTE_ATOM1	OPENING_ARGUMENT_FORWARD	YES	Die kopflose Anfangsfolge erreicht den ersten Kopf der unmittelbar folgenden Karte im selben Besitzer-/Proseblock.	OK=SETZEN@NÄCHSTE_KARTE_ATOM1	SELECTED_WORKSHOP_SCOPE
