target_surface	target_recipe	target_context_modes	old_event_id	old_surface	old_supercard_recipe	physical_page	register	statement_id	target_start_atom	old_left_extra_atoms	old_right_extra_atoms	reduced_target_context_mode	target_mode_present	guard
cheod	CH+E+O+D_ADDR	SELF_CONTAINED	G407-E0978	ycheody	Y+CH+E+O+D_ADDR+Y	f67r2	CELESTIAL	P1009-S039	2	Y	Y	REQUIRES_ACTIVE_ARGUMENT	NO	EXACT_CONTIGUOUS_TARGET_RECIPE_INSIDE_LONGER_OLD_COMPLETE_CARD
cheod	CH+E+O+D_ADDR	SELF_CONTAINED	G407-E1076	otcheodal	OT+CH+E+O+D_ADDR+AL	f71v	CELESTIAL	P1009-S045	2	OT	AL	REQUIRES_ACTIVE_ARGUMENT	NO	EXACT_CONTIGUOUS_TARGET_RECIPE_INSIDE_LONGER_OLD_COMPLETE_CARD
cheod	CH+E+O+D_ADDR	SELF_CONTAINED	G407-E4184	cheodain	CH+E+O+D_ADDR+AIN	f89r	PHARMA	P1009-S614	1	NONE	AIN	REQUIRES_ACTIVE_ARGUMENT	NO	EXACT_CONTIGUOUS_TARGET_RECIPE_INSIDE_LONGER_OLD_COMPLETE_CARD
cholpchd	OL+P+CHD	REQUIRES_ACTIVE_ARGUMENT	G407-E2718	olpchedy	OL+P+CHD+DY	f81r	BIOLOGICAL	G404-S013	1	NONE	DY	SELF_CONTAINED	NO	EXACT_CONTIGUOUS_TARGET_RECIPE_INSIDE_LONGER_OLD_COMPLETE_CARD
cholpchd	OL+P+CHD	REQUIRES_ACTIVE_ARGUMENT	G407-E2811	olpchedy	OL+P+CHD+DY	f81r	BIOLOGICAL	G404-S032	1	NONE	DY	REQUIRES_ACTIVE_ARGUMENT	YES	EXACT_CONTIGUOUS_TARGET_RECIPE_INSIDE_LONGER_OLD_COMPLETE_CARD
dard	D_ADDR+AR+D_ADDR	REQUIRES_ACTIVE_ACTION_AND_ARGUMENT	G407-E1755	dardardy	D_ADDR+AR+D_ADDR+AR+DY	f75r	BIOLOGICAL	P1009-S139	1	NONE	AR+DY	REQUIRES_ACTIVE_ACTION_AND_ARGUMENT	YES	EXACT_CONTIGUOUS_TARGET_RECIPE_INSIDE_LONGER_OLD_COMPLETE_CARD
kody	K+O+DY	SELF_CONTAINED	G407-E0457	ckhody	CH+K+O+DY	f17r	HERBAL	P1009-S013	2	CH	NONE	REQUIRES_ACTIVE_ARGUMENT	NO	EXACT_CONTIGUOUS_TARGET_RECIPE_INSIDE_LONGER_OLD_COMPLETE_CARD
kody	K+O+DY	SELF_CONTAINED	G407-E0847	cheeckhody	CH+EE+CH+K+O+DY	f56r	HERBAL	P1009-S029	4	CH+EE+CH	NONE	REQUIRES_ACTIVE_ARGUMENT	NO	EXACT_CONTIGUOUS_TARGET_RECIPE_INSIDE_LONGER_OLD_COMPLETE_CARD
qoteeod	OT+EE+O+D_ADDR	REQUIRES_ACTIVE_ACTION_AND_ARGUMENT	G407-E1061	oteeodaiin	OT+EE+O+D_ADDR+AIIN	f71v	CELESTIAL	P1009-S045	1	NONE	AIIN	REQUIRES_ACTIVE_ACTION	NO	EXACT_CONTIGUOUS_TARGET_RECIPE_INSIDE_LONGER_OLD_COMPLETE_CARD
saiis	S+A_ADDR+IIN+S	SELF_CONTAINED	G407-E2706	saiisol	S+A_ADDR+IIN+S+OL	f77r	BIOLOGICAL	P1009-S382	1	NONE	OL	REQUIRES_ACTIVE_ARGUMENT	NO	EXACT_CONTIGUOUS_TARGET_RECIPE_INSIDE_LONGER_OLD_COMPLETE_CARD
sheod	SH+E+O+D_ADDR	SELF_CONTAINED	G407-E0976	sheody	SH+E+O+D_ADDR+Y	f67r2	CELESTIAL	P1009-S039	1	NONE	Y	SELF_CONTAINED	YES	EXACT_CONTIGUOUS_TARGET_RECIPE_INSIDE_LONGER_OLD_COMPLETE_CARD
sheod	SH+E+O+D_ADDR	SELF_CONTAINED	G407-E1407	sheshdy	SH+E+O+D_ADDR+Y	f72r	CELESTIAL	P1009-S069	1	NONE	Y	REQUIRES_ACTIVE_ARGUMENT	NO	EXACT_CONTIGUOUS_TARGET_RECIPE_INSIDE_LONGER_OLD_COMPLETE_CARD
sheod	SH+E+O+D_ADDR	SELF_CONTAINED	G407-E3870	olsheody	O+L+SH+E+O+D_ADDR+Y	f88r	PHARMA	P1009-S592	3	O+L	Y	REQUIRES_ACTIVE_ARGUMENT	NO	EXACT_CONTIGUOUS_TARGET_RECIPE_INSIDE_LONGER_OLD_COMPLETE_CARD
sheod	SH+E+O+D_ADDR	SELF_CONTAINED	G407-E3976	ysheod	Y+SH+E+O+D_ADDR	f88v	PHARMA	P1009-S600	2	Y	NONE	REQUIRES_ACTIVE_ARGUMENT	NO	EXACT_CONTIGUOUS_TARGET_RECIPE_INSIDE_LONGER_OLD_COMPLETE_CARD
sheod	SH+E+O+D_ADDR	SELF_CONTAINED	G407-E3978	sheody	SH+E+O+D_ADDR+Y	f88v	PHARMA	P1009-S600	1	NONE	Y	REQUIRES_ACTIVE_ARGUMENT	NO	EXACT_CONTIGUOUS_TARGET_RECIPE_INSIDE_LONGER_OLD_COMPLETE_CARD
sheod	SH+E+O+D_ADDR	SELF_CONTAINED	G407-E4176	sheody	SH+E+O+D_ADDR+Y	f89r	PHARMA	P1009-S614	1	NONE	Y	REQUIRES_ACTIVE_ARGUMENT	NO	EXACT_CONTIGUOUS_TARGET_RECIPE_INSIDE_LONGER_OLD_COMPLETE_CARD
sheod	SH+E+O+D_ADDR	SELF_CONTAINED	G407-E4484	sheody	SH+E+O+D_ADDR+Y	f95v	HERBAL	G404-S070	1	NONE	Y	REQUIRES_ACTIVE_ARGUMENT	NO	EXACT_CONTIGUOUS_TARGET_RECIPE_INSIDE_LONGER_OLD_COMPLETE_CARD
tcheo	T+CH+E+O	REQUIRES_ACTIVE_ARGUMENT	G407-E3265	tcheol	T+CH+E+O+L	f82r	BIOLOGICAL	P1009-S452	1	NONE	L	REQUIRES_ACTIVE_ARGUMENT	YES	EXACT_CONTIGUOUS_TARGET_RECIPE_INSIDE_LONGER_OLD_COMPLETE_CARD
tcheo	T+CH+E+O	REQUIRES_ACTIVE_ARGUMENT	G407-E4108	tcheol	T+CH+E+O+L	f89r	PHARMA	P1009-S611	1	NONE	L	SELF_CONTAINED	NO	EXACT_CONTIGUOUS_TARGET_RECIPE_INSIDE_LONGER_OLD_COMPLETE_CARD
