channel_ordinal	side	visible_affix	observation_count	target_count	recipe_extension_variant_count	recipe_extension_variants	recipe_extension_counts	dominant_recipe_extension	dominant_recipe_count	channel_class	target_surfaces	anchor_recipes	guard
1	LEFT	a	1	1	1	A_ADDR	A_ADDR:1	A_ADDR	1	SINGLETON_VISIBLE_CHANNEL	akar	K+AR	EXACT_VISIBLE_RESIDUE_AROUND_DIRECTION_ALIGNED_OLD_SURFACE_STEM
2	LEFT	aii	1	1	1	AIIN	AIIN:1	AIIN	1	SINGLETON_VISIBLE_CHANNEL	aiicthy	CH+T+Y	EXACT_VISIBLE_RESIDUE_AROUND_DIRECTION_ALIGNED_OLD_SURFACE_STEM
3	LEFT	al	1	1	1	AL	AL:1	AL	1	SINGLETON_VISIBLE_CHANNEL	alkey	K+E+Y	EXACT_VISIBLE_RESIDUE_AROUND_DIRECTION_ALIGNED_OLD_SURFACE_STEM
4	LEFT	ch	2	2	1	CH	CH:2	CH	2	REPEATED_INVARIANT_VISIBLE_CHANNEL	chctho|choiin	CH+T+O|O+IIN	EXACT_VISIBLE_RESIDUE_AROUND_DIRECTION_ALIGNED_OLD_SURFACE_STEM
5	LEFT	chek	1	1	1	CH+K	CH+K:1	CH+K	1	SINGLETON_VISIBLE_CHANNEL	chekeody	E+O	EXACT_VISIBLE_RESIDUE_AROUND_DIRECTION_ALIGNED_OLD_SURFACE_STEM
6	LEFT	choe	1	1	1	CH+O+E	CH+O+E:1	CH+O+E	1	SINGLETON_VISIBLE_CHANNEL	choekeey	K+EE+Y	EXACT_VISIBLE_RESIDUE_AROUND_DIRECTION_ALIGNED_OLD_SURFACE_STEM
7	LEFT	d	4	4	1	D_ADDR	D_ADDR:4	D_ADDR	4	REPEATED_INVARIANT_VISIBLE_CHANNEL	dcheol|dkar|dsholdaiir|dytcheey	CH+E+O+L|K+AR|SH+OL|Y+T	EXACT_VISIBLE_RESIDUE_AROUND_DIRECTION_ALIGNED_OLD_SURFACE_STEM
8	LEFT	dal	1	1	1	AL	AL:1	AL	1	SINGLETON_VISIBLE_CHANNEL	dalky	K+Y	EXACT_VISIBLE_RESIDUE_AROUND_DIRECTION_ALIGNED_OLD_SURFACE_STEM
9	LEFT	f	2	2	1	LOCAL_CHAR_F	LOCAL_CHAR_F:2	LOCAL_CHAR_F	2	REPEATED_INVARIANT_VISIBLE_CHANNEL	fchedyr|fshodchy	CHD+Y|SH+O+D_ADDR	EXACT_VISIBLE_RESIDUE_AROUND_DIRECTION_ALIGNED_OLD_SURFACE_STEM
10	LEFT	k	3	3	1	K	K:3	K	3	REPEATED_INVARIANT_VISIBLE_CHANNEL	kcheody|kchody|kody	CH+E+O|CH+O+D_ADDR+Y|O+DY	EXACT_VISIBLE_RESIDUE_AROUND_DIRECTION_ALIGNED_OLD_SURFACE_STEM
11	LEFT	kchee	1	1	1	K+CH+EE	K+CH+EE:1	K+CH+EE	1	SINGLETON_VISIBLE_CHANNEL	kcheeky	K+Y	EXACT_VISIBLE_RESIDUE_AROUND_DIRECTION_ALIGNED_OLD_SURFACE_STEM
12	LEFT	ke	1	1	1	K+E	K+E:1	K+E	1	SINGLETON_VISIBLE_CHANNEL	kechody	CH+O+D_ADDR+Y	EXACT_VISIBLE_RESIDUE_AROUND_DIRECTION_ALIGNED_OLD_SURFACE_STEM
13	LEFT	keed	1	1	1	K+EE+D_ADDR	K+EE+D_ADDR:1	K+EE+D_ADDR	1	SINGLETON_VISIBLE_CHANNEL	keedey	E+Y	EXACT_VISIBLE_RESIDUE_AROUND_DIRECTION_ALIGNED_OLD_SURFACE_STEM
14	LEFT	l	3	3	1	L	L:3	L	3	REPEATED_INVARIANT_VISIBLE_CHANNEL	lkeol|lodaiin|ltsholy	K+E+OL|O+D_ADDR+AIIN|T+SH+OL	EXACT_VISIBLE_RESIDUE_AROUND_DIRECTION_ALIGNED_OLD_SURFACE_STEM
15	LEFT	ol	1	1	1	OL	OL:1	OL	1	SINGLETON_VISIBLE_CHANNEL	olsheor	SH+E+OR	EXACT_VISIBLE_RESIDUE_AROUND_DIRECTION_ALIGNED_OLD_SURFACE_STEM
16	LEFT	p	2	2	1	P	P:2	P	2	REPEATED_INVARIANT_VISIBLE_CHANNEL	psheody|pydaiin	SH+E+O+D_ADDR+Y|Y+D_ADDR+AIIN	EXACT_VISIBLE_RESIDUE_AROUND_DIRECTION_ALIGNED_OLD_SURFACE_STEM
