target_surface	target_recipe	side	anchor_recipe	extension_recipe	extension_atom_count	interface_pair	old_interface_event_count	old_interface_recipe_count	old_interface_surfaces	deepest_joint_extension_atoms	deepest_joint_sequence	deepest_joint_old_event_count	full_arm_seen_with_anchor	aligned_visible_affix	visible_channel_class	visible_channel_observation_count	visible_channel_recipe_variants	guard
aiicthy	AIIN+CH+T+Y	LEFT	CH+T+Y	AIIN	1	AIIN>CH	0	0	NONE	0	NONE	0	NO	aii	SINGLETON_VISIBLE_CHANNEL	1	AIIN	DIRECTIONAL_EXTENSION_FROM_EXACT_OLD_COMPLETE_RECIPE_ANCHOR
akar	A_ADDR+K+AR	LEFT	K+AR	A_ADDR	1	A_ADDR>K	2	2	otaky|ykaky	0	NONE	0	NO	a	SINGLETON_VISIBLE_CHANNEL	1	A_ADDR	DIRECTIONAL_EXTENSION_FROM_EXACT_OLD_COMPLETE_RECIPE_ANCHOR
alkey	AL+K+E+Y	LEFT	K+E+Y	AL	1	AL>K	1	1	alkain	0	NONE	0	NO	al	SINGLETON_VISIBLE_CHANNEL	1	AL	DIRECTIONAL_EXTENSION_FROM_EXACT_OLD_COMPLETE_RECIPE_ANCHOR
chady	CH+A_ADDR+DY	RIGHT	CH+A_ADDR	DY	1	A_ADDR>DY	0	0	NONE	0	NONE	0	NO	dy	REPEATED_AMBIGUOUS_VISIBLE_CHANNEL	6	DY|D_ADDR+Y	DIRECTIONAL_EXTENSION_FROM_EXACT_OLD_COMPLETE_RECIPE_ANCHOR
chap	CH+A_ADDR+P	RIGHT	CH+A_ADDR	P	1	A_ADDR>P	0	0	NONE	0	NONE	0	NO	p	SINGLETON_VISIBLE_CHANNEL	1	P	DIRECTIONAL_EXTENSION_FROM_EXACT_OLD_COMPLETE_RECIPE_ANCHOR
chckhedy	CH+CH+K+E+DY	LEFT	K+E+DY	CH+CH	2	CH>K	166	60	chchky|chckh|chckhal|chckhdy|chckheed|chckhey|chckho|chckhol|chckhy|checkhey|checkho|checkhy|cheeckhody|cheekaiin|cheeky|chekackhy|chekaiin|chekain|chekair|chekal|chekam|chekar|chekeedy|chekeol|chekody|chekol|chekoy|cheky|cheockhy|chkaiin|chkain|chkal|chkar|chkchykoly|chkedy|chkeeal|chkeedy|chkeey|chkeor|chkor|chkorol|chky|chockhy|ckhal|ckhar|ckhey|ckho|ckhody|ckhol|ckhor|ckhy|ckhyds|dackhy|dolchsyckheol|dsheckhy|eckhear|kochky|lcheckhedy|lcheckhy|ockhey|ockhy|oeckhy|oldckhy|qckhsy|qockhedy|qockhey|qockhol|qockhy|roshckhy|sckhey|shckhedy|shckhey|shckhy|sheckhal|sheckhdy|sheckhedy|sheckhey|sheckhy|solchkal|ssheckhy|ychekch|ychekchy	1	CH+K+E+DY	6	NO	NONE	NO_ALIGNED_VISIBLE_CHANNEL	0	NONE	DIRECTIONAL_EXTENSION_FROM_EXACT_OLD_COMPLETE_RECIPE_ANCHOR
chctho	CH+CH+T+O	LEFT	CH+T+O	CH	1	CH>CH	36	15	chchs|chckhal|chckhdy|chckheed|chckhey|chcphdy|chcphedy|chcphey|chcphy|chcth|chcthdy|chcthedy|chcthey|chcthol|chcthy|chcthykedy|cheocphey|lchcphedy	0	NONE	0	NO	ch	REPEATED_INVARIANT_VISIBLE_CHANNEL	2	CH	DIRECTIONAL_EXTENSION_FROM_EXACT_OLD_COMPLETE_RECIPE_ANCHOR
chefchy	CH+E+LOCAL_CHAR_F+CH+Y	RIGHT	CH+E	LOCAL_CHAR_F+CH+Y	3	E>LOCAL_CHAR_F	1	1	chefar	1	CH+E+LOCAL_CHAR_F	1	NO	fchy	SINGLETON_VISIBLE_CHANNEL	1	LOCAL_CHAR_F+CH+Y	DIRECTIONAL_EXTENSION_FROM_EXACT_OLD_COMPLETE_RECIPE_ANCHOR
chekeody	CH+K+E+O+DY	LEFT	E+O	CH+K	2	K>E	91	47	chckheed|chckhey|chcthykedy|checkhey|chekeol|cheky|chkedy|chkeor|chykey|ckhey|dcheokedy|dolchsyckheol|eckhear|kedy|keeokechy|keishy|keodal|keol|keor|kesd|key|lcheckhedy|lkedey|lkedy|lkeo|lkeopol|lkey|ockhey|olkedy|olkeol|olkey|olsheol|opykey|qekey|qockhedy|qockhey|qoekeol|qoekeor|sckhey|shckhedy|shckhey|sheckhedy|sheckhey|shedkedy|solkey|ykeday|ykedy|ykeo|ykeodain|ykeody|ykeolol|ykeor|ykeshey	1	K+E+O	6	NO	chek	SINGLETON_VISIBLE_CHANNEL	1	CH+K	DIRECTIONAL_EXTENSION_FROM_EXACT_OLD_COMPLETE_RECIPE_ANCHOR
chekeody	CH+K+E+O+DY	RIGHT	E+O	DY	1	O>DY	46	26	cheeckhody|ckhody|cpheody|dchody|dody|dodyd|dshody|fshody|ody|okalody|olcheody|olcheol|olcheor|olody|opshody|oteeody|otody|qody|qokody|qoteeody|qoteody|qotody|sheealody|shody|tchody|teeody|teody|ykeody|yody|yteody|ytody	1	E+O+DY	8	YES	dy	REPEATED_AMBIGUOUS_VISIBLE_CHANNEL	6	DY|D_ADDR+Y	DIRECTIONAL_EXTENSION_FROM_EXACT_OLD_COMPLETE_RECIPE_ANCHOR
