target_ordinal	surface	final_recipe	anchor_recipe	anchor_start_atom	anchor_atom_count	extension_direction	left_extension_recipe	right_extension_recipe	old_anchor_event_count	old_anchor_surface_count	old_anchor_surfaces	interface_count	old_supported_interface_count	all_interfaces_old	aligned_visible_match_count	any_visible_match_count	best_visible_stem_surface	best_visible_stem_event_count	best_visible_stem_char_start	best_visible_stem_direction	selected	guard
1	aiicthy	AIIN+CH+T+Y	CH+T+Y	2	3	LEFT_EXTENSION	AIIN	NONE	19	3	checthy|chty|cthy	1	0	NO	1	1	cthy	13	4	LEFT_EXTENSION	YES	EXACT_LONGEST_OLD_COMPLETE_RECIPE_ANCHOR__NO_FUZZY_MATCH
2	akar	A_ADDR+K+AR	K+AR	2	2	LEFT_EXTENSION	A_ADDR	NONE	6	2	kar|skar	1	1	YES	1	1	kar	5	2	LEFT_EXTENSION	YES	EXACT_LONGEST_OLD_COMPLETE_RECIPE_ANCHOR__NO_FUZZY_MATCH
3	alkey	AL+K+E+Y	K+E+Y	2	3	LEFT_EXTENSION	AL	NONE	1	1	key	1	1	YES	1	1	key	1	3	LEFT_EXTENSION	YES	EXACT_LONGEST_OLD_COMPLETE_RECIPE_ANCHOR__NO_FUZZY_MATCH
5	chady	CH+A_ADDR+DY	CH+A_ADDR	1	2	RIGHT_EXTENSION	NONE	DY	1	1	cha	1	0	NO	1	1	cha	1	1	RIGHT_EXTENSION	YES	EXACT_LONGEST_OLD_COMPLETE_RECIPE_ANCHOR__NO_FUZZY_MATCH
6	chap	CH+A_ADDR+P	CH+A_ADDR	1	2	RIGHT_EXTENSION	NONE	P	1	1	cha	1	0	NO	1	1	cha	1	1	RIGHT_EXTENSION	YES	EXACT_LONGEST_OLD_COMPLETE_RECIPE_ANCHOR__NO_FUZZY_MATCH
7	chckhedy	CH+CH+K+E+DY	K+E+DY	3	3	LEFT_EXTENSION	CH+CH	NONE	1	1	kedy	1	1	YES	0	0	NONE	0	0	NONE	YES	EXACT_LONGEST_OLD_COMPLETE_RECIPE_ANCHOR__NO_FUZZY_MATCH
9	chctho	CH+CH+T+O	CH+CH+T	1	3	RIGHT_EXTENSION	NONE	O	1	1	chcth	1	1	YES	1	1	chcth	1	1	RIGHT_EXTENSION	NO	EXACT_LONGEST_OLD_COMPLETE_RECIPE_ANCHOR__NO_FUZZY_MATCH
9	chctho	CH+CH+T+O	CH+T+O	2	3	LEFT_EXTENSION	CH	NONE	2	1	ctho	1	1	YES	1	1	ctho	2	3	LEFT_EXTENSION	YES	EXACT_LONGEST_OLD_COMPLETE_RECIPE_ANCHOR__NO_FUZZY_MATCH
13	chefchy	CH+E+LOCAL_CHAR_F+CH+Y	CH+E	1	2	RIGHT_EXTENSION	NONE	LOCAL_CHAR_F+CH+Y	1	1	che	1	1	YES	1	1	che	1	1	RIGHT_EXTENSION	YES	EXACT_LONGEST_OLD_COMPLETE_RECIPE_ANCHOR__NO_FUZZY_MATCH
16	chekeody	CH+K+E+O+DY	CH+K	1	2	RIGHT_EXTENSION	NONE	E+O+DY	1	1	chckh	1	1	YES	0	0	NONE	0	0	NONE	NO	EXACT_LONGEST_OLD_COMPLETE_RECIPE_ANCHOR__NO_FUZZY_MATCH
16	chekeody	CH+K+E+O+DY	E+O	3	2	BOTH_SIDES	CH+K	DY	2	1	eo	2	2	YES	1	1	eo	2	5	BOTH_SIDES	YES	EXACT_LONGEST_OLD_COMPLETE_RECIPE_ANCHOR__NO_FUZZY_MATCH
16	chekeody	CH+K+E+O+DY	O+DY	4	2	LEFT_EXTENSION	CH+K+E	NONE	5	1	ody	1	1	YES	1	1	ody	5	6	LEFT_EXTENSION	NO	EXACT_LONGEST_OLD_COMPLETE_RECIPE_ANCHOR__NO_FUZZY_MATCH
17	cheod	CH+E+O+D_ADDR	CH+E+O	1	3	RIGHT_EXTENSION	NONE	D_ADDR	6	1	cheo	1	1	YES	1	1	cheo	6	1	RIGHT_EXTENSION	YES	EXACT_LONGEST_OLD_COMPLETE_RECIPE_ANCHOR__NO_FUZZY_MATCH
18	chepakeo	CH+E+P+A_ADDR+K+E+O	CH+E+P	1	3	RIGHT_EXTENSION	NONE	A_ADDR+K+E+O	1	1	chep	1	0	NO	1	1	chep	1	1	RIGHT_EXTENSION	YES	EXACT_LONGEST_OLD_COMPLETE_RECIPE_ANCHOR__NO_FUZZY_MATCH
19	chepos	CH+E+P+O+S	CH+E+P	1	3	RIGHT_EXTENSION	NONE	O+S	1	1	chep	1	1	YES	1	1	chep	1	1	RIGHT_EXTENSION	YES	EXACT_LONGEST_OLD_COMPLETE_RECIPE_ANCHOR__NO_FUZZY_MATCH
20	cheta	CH+E+T+A_ADDR	CH+E	1	2	RIGHT_EXTENSION	NONE	T+A_ADDR	1	1	che	1	1	YES	1	1	che	1	1	RIGHT_EXTENSION	YES	EXACT_LONGEST_OLD_COMPLETE_RECIPE_ANCHOR__NO_FUZZY_MATCH
21	choekeey	CH+O+E+K+EE+Y	K+EE+Y	4	3	LEFT_EXTENSION	CH+O+E	NONE	9	1	keey	1	1	YES	1	1	keey	9	5	LEFT_EXTENSION	YES	EXACT_LONGEST_OLD_COMPLETE_RECIPE_ANCHOR__NO_FUZZY_MATCH
22	choiin	CH+O+IIN	O+IIN	2	2	LEFT_EXTENSION	CH	NONE	13	4	oiiiin|oiiin|oiin|oin	1	1	YES	1	1	oiin	6	3	LEFT_EXTENSION	YES	EXACT_LONGEST_OLD_COMPLETE_RECIPE_ANCHOR__NO_FUZZY_MATCH
23	cholpchd	OL+P+CHD	OL+P	1	2	RIGHT_EXTENSION	NONE	CHD	1	1	qolp	1	1	YES	0	0	NONE	0	0	NONE	YES	EXACT_LONGEST_OLD_COMPLETE_RECIPE_ANCHOR__NO_FUZZY_MATCH
24	choraiin	CH+OR+AIIN	CH+OR	1	2	RIGHT_EXTENSION	NONE	AIIN	23	1	chor	1	1	YES	1	1	chor	23	1	RIGHT_EXTENSION	YES	EXACT_LONGEST_OLD_COMPLETE_RECIPE_ANCHOR__NO_FUZZY_MATCH
24	choraiin	CH+OR+AIIN	OR+AIIN	2	2	LEFT_EXTENSION	CH	NONE	3	1	oraiin	1	1	YES	1	1	oraiin	3	3	LEFT_EXTENSION	NO	EXACT_LONGEST_OLD_COMPLETE_RECIPE_ANCHOR__NO_FUZZY_MATCH
26	chory	CH+OR+Y	CH+OR	1	2	RIGHT_EXTENSION	NONE	Y	23	1	chor	1	1	YES	1	1	chor	23	1	RIGHT_EXTENSION	YES	EXACT_LONGEST_OLD_COMPLETE_RECIPE_ANCHOR__NO_FUZZY_MATCH
26	chory	CH+OR+Y	OR+Y	2	2	LEFT_EXTENSION	CH	NONE	3	3	orchey|ory|sorcheey	1	1	YES	1	1	ory	1	3	LEFT_EXTENSION	NO	EXACT_LONGEST_OLD_COMPLETE_RECIPE_ANCHOR__NO_FUZZY_MATCH
29	ckhochy	CH+K+O+CH+Y	CH+K+O	1	3	RIGHT_EXTENSION	NONE	CH+Y	2	2	chckho|ckho	1	1	YES	1	1	ckho	1	1	RIGHT_EXTENSION	YES	EXACT_LONGEST_OLD_COMPLETE_RECIPE_ANCHOR__NO_FUZZY_MATCH
31	cpholdy	CH+P+OL+DY	CH+P+OL	1	3	RIGHT_EXTENSION	NONE	DY	2	1	cphol	1	1	YES	1	1	cphol	2	1	RIGHT_EXTENSION	YES	EXACT_LONGEST_OLD_COMPLETE_RECIPE_ANCHOR__NO_FUZZY_MATCH
