family_ordinal	anchor_recipe	target_count	target_surfaces	extension_directions	left_extension_recipes	right_extension_recipes	aligned_visible_stem_target_count	context_compatible_target_count	old_anchor_event_count	old_anchor_surfaces	guard
1	CH+A_ADDR	2	chady|chap	RIGHT_EXTENSION	NONE	DY|P	2	0	1	cha	RECURRENT_SELECTED_ANCHOR_FAMILY__TARGET_EXTENSIONS_REMAIN_SEPARATE
2	CH+E	2	chefchy|cheta	RIGHT_EXTENSION	NONE	LOCAL_CHAR_F+CH+Y|T+A_ADDR	2	2	1	che	RECURRENT_SELECTED_ANCHOR_FAMILY__TARGET_EXTENSIONS_REMAIN_SEPARATE
3	CH+E+O	3	cheod|kcheody|tcheo	BOTH_SIDES|LEFT_EXTENSION|RIGHT_EXTENSION	K|NONE|T	D_ADDR|D_ADDR+Y|NONE	3	3	6	cheo	RECURRENT_SELECTED_ANCHOR_FAMILY__TARGET_EXTENSIONS_REMAIN_SEPARATE
4	CH+E+P	2	chepakeo|chepos	RIGHT_EXTENSION	NONE	A_ADDR+K+E+O|O+S	2	1	1	chep	RECURRENT_SELECTED_ANCHOR_FAMILY__TARGET_EXTENSIONS_REMAIN_SEPARATE
5	CH+O+D_ADDR+Y	2	kchody|kechody	LEFT_EXTENSION	K|K+E	NONE	2	2	8	chody	RECURRENT_SELECTED_ANCHOR_FAMILY__TARGET_EXTENSIONS_REMAIN_SEPARATE
6	CH+OR	2	choraiin|chory	RIGHT_EXTENSION	NONE	AIIN|Y	2	2	23	chor	RECURRENT_SELECTED_ANCHOR_FAMILY__TARGET_EXTENSIONS_REMAIN_SEPARATE
7	CH+T+O	2	chctho|cthom	LEFT_EXTENSION|RIGHT_EXTENSION	CH|NONE	M_LOCAL|NONE	2	2	2	ctho	RECURRENT_SELECTED_ANCHOR_FAMILY__TARGET_EXTENSIONS_REMAIN_SEPARATE
8	D_ADDR+AR	2	dard|ykeedar	LEFT_EXTENSION|RIGHT_EXTENSION	NONE|Y+K+EE	D_ADDR|NONE	2	2	47	dar	RECURRENT_SELECTED_ANCHOR_FAMILY__TARGET_EXTENSIONS_REMAIN_SEPARATE
9	E+O	2	chekeody|shckheody	BOTH_SIDES	CH+K|SH+CH+K	DY	2	2	2	eo	RECURRENT_SELECTED_ANCHOR_FAMILY__TARGET_EXTENSIONS_REMAIN_SEPARATE
10	K+AR	3	akar|dkar|kardy	LEFT_EXTENSION|RIGHT_EXTENSION	A_ADDR|D_ADDR|NONE	DY|NONE	3	3	6	kar|skar	RECURRENT_SELECTED_ANCHOR_FAMILY__TARGET_EXTENSIONS_REMAIN_SEPARATE
11	K+E+DY	2	chckhedy|qoekedy	LEFT_EXTENSION	CARRIER_Q+O+E|CH+CH	NONE	1	0	1	kedy	RECURRENT_SELECTED_ANCHOR_FAMILY__TARGET_EXTENSIONS_REMAIN_SEPARATE
12	K+Y	2	dalky|kcheeky	LEFT_EXTENSION	AL|K+CH+EE	NONE	2	2	7	kchy|ky	RECURRENT_SELECTED_ANCHOR_FAMILY__TARGET_EXTENSIONS_REMAIN_SEPARATE
13	O+IIN	2	choiin|qotchoiin	LEFT_EXTENSION	CH|OT+CH	NONE	2	2	13	oiiiin|oiiin|oiin|oin	RECURRENT_SELECTED_ANCHOR_FAMILY__TARGET_EXTENSIONS_REMAIN_SEPARATE
14	SH+O	2	shofol|ykesho	LEFT_EXTENSION|RIGHT_EXTENSION	NONE|Y+K+E	LOCAL_CHAR_F+OL|NONE	2	2	10	sho	RECURRENT_SELECTED_ANCHOR_FAMILY__TARGET_EXTENSIONS_REMAIN_SEPARATE
15	SH+OL	2	dsholdaiir|sholfordaiin	BOTH_SIDES|RIGHT_EXTENSION	D_ADDR|NONE	DA+IIN+R|LOCAL_CHAR_F+OR+D_ADDR+AIIN	2	2	18	shol	RECURRENT_SELECTED_ANCHOR_FAMILY__TARGET_EXTENSIONS_REMAIN_SEPARATE
16	Y+T	2	dytcheey|shytchy	BOTH_SIDES	D_ADDR|SH	CH+EE+Y|CH+Y	2	2	1	yt	RECURRENT_SELECTED_ANCHOR_FAMILY__TARGET_EXTENSIONS_REMAIN_SEPARATE
