metric	value
target_count	81
longest_anchor_candidate_count	104
selected_anchor_count	81
directional_arm_count	93
visible_stem_status_counts	"{""ALIGNED_EXACT_OLD_SURFACE_STEM"": 72, ""DIRECTION_MISMATCH_EXACT_OLD_SURFACE_STEM"": 1, ""NO_EXACT_OLD_SURFACE_STEM"": 8}"
aligned_visible_stem_target_count	72
old_supported_interface_count	87
interface_count	93
full_arm_joint_count	15
arm_with_any_joint_extension_count	28
anchor_context_relation_counts	"{""TARGET_MODE_SET_DISJOINT"": 12, ""TARGET_MODE_SET_EQUAL"": 53, ""TARGET_MODE_SET_INCLUDED"": 16}"
anchor_context_compatible_target_count	69
visible_affix_observation_count	83
visible_affix_channel_count	53
repeated_invariant_visible_channel_count	13
repeated_ambiguous_visible_channel_count	1
targets_with_repeated_invariant_channel_count	34
recurrent_anchor_family_count	16
targets_in_recurrent_anchor_families	34
old_supercard_target_count	8
old_supercard_event_count	19
old_supercard_context_compatible_target_count	4
old_supercard_context_relation_counts	"{""TARGET_MODE_SET_DISJOINT"": 4, ""TARGET_MODE_SET_EQUAL"": 1, ""TARGET_MODE_SET_INCLUDED"": 3}"
structural_support_class_counts	"{""ALIGNED_VISIBLE_STEM_ALL_INTERFACES_OLD"": 31, ""ALIGNED_VISIBLE_STEM_WITH_NEW_INTERFACE"": 6, ""EXACT_TARGET_SEQUENCE_INSIDE_OLD_SUPERCARD"": 8, ""RECIPE_ANCHOR_ALL_INTERFACES_OLD"": 7, ""REPEATED_INVARIANT_VISIBLE_EXTENSION_CHANNEL"": 29}"
new_pages	0
recipe_changes	0
root_meaning_changes	0
