target_ordinal	surface	final_recipe	observed_requirement_modes	anchor_recipe	anchor_start_atom	anchor_atom_count	old_anchor_event_count	old_anchor_surface_count	old_anchor_surfaces	extension_direction	left_extension_recipe	right_extension_recipe	visible_stem_status	visible_stem_surface	visible_left_extension	visible_right_extension	interface_count	old_supported_interface_count	full_arm_joint_count	repeated_invariant_visible_channel_count	anchor_context_modes	anchor_context_relation	old_supercard_event_count	old_supercard_recipe_count	old_supercard_recipes	old_supercard_context_modes	old_supercard_context_relation	structural_support_class	neutral_surface_phrase_de	known_contextual_readings_de	working_default	guard
1	aiicthy	AIIN+CH+T+Y	SELF_CONTAINED	CH+T+Y	2	3	19	3	checthy|chty|cthy	LEFT_EXTENSION	AIIN	NONE	ALIGNED_EXACT_OLD_SURFACE_STEM	cthy	aii	NONE	1	0	0	0	SELF_CONTAINED	TARGET_MODE_SET_EQUAL	0	0	NONE	NONE	NO_OLD_SUPERCARD	ALIGNED_VISIBLE_STEM_WITH_NEW_INTERFACE	Den Wert und den Posten nehmen und einstellen.	Nimm den Arbeitswert und den Pflanzenposten und stelle den Arbeitswert und den Pflanzenposten ein.	KEEP_COMPOSITION_WITH_NAMED_OLD_FRAGMENT_AND_DIRECTIONAL_EXTENSIONS	WORKING_EXTENSION_CARD__NO_WHOLE_WORD_OR_PLAINTEXT_CLAIM
2	akar	A_ADDR+K+AR	REQUIRES_ACTIVE_ARGUMENT	K+AR	2	2	6	2	kar|skar	LEFT_EXTENSION	A_ADDR	NONE	ALIGNED_EXACT_OLD_SURFACE_STEM	kar	a	NONE	1	1	0	0	REQUIRES_ACTIVE_ARGUMENT	TARGET_MODE_SET_EQUAL	0	0	NONE	NONE	NO_OLD_SUPERCARD	ALIGNED_VISIBLE_STEM_ALL_INTERFACES_OLD	Hier; geben; vom Ausgang.	Ordne die Eintragseinheit [wie zuvor] zu; von der Ausgangszeile; an der bezeichneten Stelle.	KEEP_COMPOSITION_WITH_NAMED_OLD_FRAGMENT_AND_DIRECTIONAL_EXTENSIONS	WORKING_EXTENSION_CARD__NO_WHOLE_WORD_OR_PLAINTEXT_CLAIM
3	alkey	AL+K+E+Y	SELF_CONTAINED	K+E+Y	2	3	1	1	key	LEFT_EXTENSION	AL	NONE	ALIGNED_EXACT_OLD_SURFACE_STEM	key	al	NONE	1	1	0	0	SELF_CONTAINED	TARGET_MODE_SET_EQUAL	0	0	NONE	NONE	NO_OLD_SUPERCARD	ALIGNED_VISIBLE_STEM_ALL_INTERFACES_OLD	Am Zielort; den Posten geben; auf Grad I.	Ordne den laufenden Eintrag zu; zur Zielspalte; auf Grad I.	KEEP_COMPOSITION_WITH_NAMED_OLD_FRAGMENT_AND_DIRECTIONAL_EXTENSIONS	WORKING_EXTENSION_CARD__NO_WHOLE_WORD_OR_PLAINTEXT_CLAIM
5	chady	CH+A_ADDR+DY	SELF_CONTAINED	CH+A_ADDR	1	2	1	1	cha	RIGHT_EXTENSION	NONE	DY	ALIGNED_EXACT_OLD_SURFACE_STEM	cha	NONE	dy	1	0	0	0	REQUIRES_ACTIVE_ARGUMENT	TARGET_MODE_SET_DISJOINT	0	0	NONE	NONE	NO_OLD_SUPERCARD	ALIGNED_VISIBLE_STEM_WITH_NEW_INTERFACE	Nehmen; hier; abschließen.	Entnimm; an der bezeichneten Stelle; schließe den Schritt.	KEEP_COMPOSITION_WITH_NAMED_OLD_FRAGMENT_AND_DIRECTIONAL_EXTENSIONS	WORKING_EXTENSION_CARD__NO_WHOLE_WORD_OR_PLAINTEXT_CLAIM
6	chap	CH+A_ADDR+P	SELF_CONTAINED	CH+A_ADDR	1	2	1	1	cha	RIGHT_EXTENSION	NONE	P	ALIGNED_EXACT_OLD_SURFACE_STEM	cha	NONE	p	1	0	0	0	REQUIRES_ACTIVE_ARGUMENT	TARGET_MODE_SET_DISJOINT	0	0	NONE	NONE	NO_OLD_SUPERCARD	ALIGNED_VISIBLE_STEM_WITH_NEW_INTERFACE	Nehmen und einsetzen; hier.	Entnimm und setze ein; an der bezeichneten Stelle.	KEEP_COMPOSITION_WITH_NAMED_OLD_FRAGMENT_AND_DIRECTIONAL_EXTENSIONS	WORKING_EXTENSION_CARD__NO_WHOLE_WORD_OR_PLAINTEXT_CLAIM
7	chckhedy	CH+CH+K+E+DY	REQUIRES_ACTIVE_ARGUMENT	K+E+DY	3	3	1	1	kedy	LEFT_EXTENSION	CH+CH	NONE	NO_EXACT_OLD_SURFACE_STEM	NONE	NONE	NONE	1	1	0	0	SELF_CONTAINED	TARGET_MODE_SET_DISJOINT	0	0	NONE	NONE	NO_OLD_SUPERCARD	RECIPE_ANCHOR_ALL_INTERFACES_OLD	Nehmen, erneut nehmen und geben; auf Grad I; abschließen.	Entnimm den laufenden Eintrag [wie zuvor], entnimm den laufenden Eintrag [wie zuvor] und ordne den laufenden Eintrag [wie zuvor] zu; auf Grad I; schließe den Schritt.	KEEP_COMPOSITION_WITH_NAMED_OLD_FRAGMENT_AND_DIRECTIONAL_EXTENSIONS	WORKING_EXTENSION_CARD__NO_WHOLE_WORD_OR_PLAINTEXT_CLAIM
9	chctho	CH+CH+T+O	REQUIRES_ACTIVE_ARGUMENT	CH+T+O	2	3	2	1	ctho	LEFT_EXTENSION	CH	NONE	ALIGNED_EXACT_OLD_SURFACE_STEM	ctho	ch	NONE	1	1	0	1	REQUIRES_ACTIVE_ARGUMENT	TARGET_MODE_SET_EQUAL	0	0	NONE	NONE	NO_OLD_SUPERCARD	REPEATED_INVARIANT_VISIBLE_EXTENSION_CHANNEL	Nehmen, erneut nehmen und einstellen; zur Ausführung.	Entnimm den laufenden Eintrag [wie zuvor], entnimm den laufenden Eintrag [wie zuvor] und lege den laufenden Eintrag [wie zuvor] fest; zur Ausführung.	KEEP_COMPOSITION_WITH_NAMED_OLD_FRAGMENT_AND_DIRECTIONAL_EXTENSIONS	WORKING_EXTENSION_CARD__NO_WHOLE_WORD_OR_PLAINTEXT_CLAIM
13	chefchy	CH+E+LOCAL_CHAR_F+CH+Y	SELF_CONTAINED	CH+E	1	2	1	1	che	RIGHT_EXTENSION	NONE	LOCAL_CHAR_F+CH+Y	ALIGNED_EXACT_OLD_SURFACE_STEM	che	NONE	fchy	1	1	0	0	SELF_CONTAINED	TARGET_MODE_SET_EQUAL	0	0	NONE	NONE	NO_OLD_SUPERCARD	ALIGNED_VISIBLE_STEM_ALL_INTERFACES_OLD	Den Posten zweimal nehmen; auf Grad I; hier.	Entnimm den laufenden Eintrag und entnimm den laufenden Eintrag; auf Grad I; an der bezeichneten Stelle.	KEEP_COMPOSITION_WITH_NAMED_OLD_FRAGMENT_AND_DIRECTIONAL_EXTENSIONS	WORKING_EXTENSION_CARD__NO_WHOLE_WORD_OR_PLAINTEXT_CLAIM
16	chekeody	CH+K+E+O+DY	REQUIRES_ACTIVE_ARGUMENT	E+O	3	2	2	1	eo	BOTH_SIDES	CH+K	DY	ALIGNED_EXACT_OLD_SURFACE_STEM	eo	chek	dy	2	2	1	0	REQUIRES_ACTIVE_ARGUMENT	TARGET_MODE_SET_EQUAL	0	0	NONE	NONE	NO_OLD_SUPERCARD	ALIGNED_VISIBLE_STEM_ALL_INTERFACES_OLD	Nehmen und geben; auf Grad I; zur Ausführung; abschließen.	Entnimm den laufenden Eintrag [wie zuvor] und ordne den laufenden Eintrag [wie zuvor] zu; auf Grad I und zur Ausführung; schließe den Schritt.	KEEP_COMPOSITION_WITH_NAMED_OLD_FRAGMENT_AND_DIRECTIONAL_EXTENSIONS	WORKING_EXTENSION_CARD__NO_WHOLE_WORD_OR_PLAINTEXT_CLAIM
17	cheod	CH+E+O+D_ADDR	SELF_CONTAINED	CH+E+O	1	3	6	1	cheo	RIGHT_EXTENSION	NONE	D_ADDR	ALIGNED_EXACT_OLD_SURFACE_STEM	cheo	NONE	d	1	1	1	1	SELF_CONTAINED|REQUIRES_ACTIVE_ARGUMENT	TARGET_MODE_SET_INCLUDED	3	3	CH+E+O+D_ADDR+AIN|OT+CH+E+O+D_ADDR+AL|Y+CH+E+O+D_ADDR+Y	REQUIRES_ACTIVE_ARGUMENT	TARGET_MODE_SET_DISJOINT	EXACT_TARGET_SEQUENCE_INSIDE_OLD_SUPERCARD	Nehmen; auf Grad I; zur Ausführung; hier.	Nimm; auf Grad I und zur Ausführung; an der bezeichneten Stelle.	KEEP_COMPOSITION_WITH_NAMED_OLD_FRAGMENT_AND_DIRECTIONAL_EXTENSIONS	WORKING_EXTENSION_CARD__NO_WHOLE_WORD_OR_PLAINTEXT_CLAIM
