event_id	page	record_unit_id	statement_id	field_id	visible_surface	master_card_id	portable_value_de	visible_owner	curriculum_status	component_or_whole_analysis	lesson_two_value_de	final_teaching_status	lesson_two_revision
E101	f81v	B1	B1-S001	F021	qokedy	MC083	kurz einwirken; Schluss	gemeinsames zweireihiges Figuren-/Beckenfeld	BASE_TWENTY_RULE_CURRICULUM	OK+DY	kurz einwirken; Schluss	BASE_CURRICULUM	NO
E102	f81v	B1	B1-S002	F022	okaiin	MC120	bemessen	gemeinsames zweireihiges Figuren-/Beckenfeld	BASE_TWENTY_RULE_CURRICULUM	OK+AIIN	bemessen	BASE_CURRICULUM	NO
E103	f81v	B1	B1-S002	F022	kair	MC023	Beckenlauf	gemeinsames zweireihiges Figuren-/Beckenfeld	EXISTING_SPECIALIST_COMPOSITION	K + AIR	Beckenlauf	SPECIALIST_COMPONENT_COMPOSITION	NO
E104	f81v	B1	B1-S002	F022	okal	MC040	dorthin einsetzen	gemeinsames zweireihiges Figuren-/Beckenfeld	BASE_TWENTY_RULE_CURRICULUM	OK+AL	dorthin einsetzen	BASE_CURRICULUM	NO
E105	f81v	B1	B1-S002	F022	sar	MC055	davon	gemeinsames zweireihiges Figuren-/Beckenfeld	BASE_TWENTY_RULE_CURRICULUM	AR	davon	BASE_CURRICULUM	NO
E106	f81v	B1	B1-S002	F022	ol	MC153	weiter	gemeinsames zweireihiges Figuren-/Beckenfeld	BASE_TWENTY_RULE_CURRICULUM	OL	weiter	BASE_CURRICULUM	NO
E107	f81v	B1	B1-S002	F022	kain	MC105	Portion	gemeinsames zweireihiges Figuren-/Beckenfeld	EXISTING_SPECIALIST_COMPOSITION	AIN	Portion	SPECIALIST_COMPONENT_COMPOSITION	NO
E108	f81v	B1	B1-S002	F022	olkain	MC097	weiterer Anteil	gemeinsames zweireihiges Figuren-/Beckenfeld	BASE_TWENTY_RULE_CURRICULUM	OL	weiterer Anteil	BASE_CURRICULUM	NO
E109	f81v	B1	B1-S002	F022	al	MC154	dorthin	gemeinsames zweireihiges Figuren-/Beckenfeld	BASE_TWENTY_RULE_CURRICULUM	AL	dorthin	BASE_CURRICULUM	NO
E110	f81v	B1	B1-S002	F022	ol	MC153	weiter	gemeinsames zweireihiges Figuren-/Beckenfeld	BASE_TWENTY_RULE_CURRICULUM	OL	weiter	BASE_CURRICULUM	NO
