record	event_id	candidate_de	local_sequence_fit	shared_grammar_fit	brevity	total	decision
H1	E002	ABSCHABEN	3	4	3	10	KEEP_RIVAL
H1	E002	SÄUBERN	4	2	4	10	KEEP_RIVAL
H1	E002	SCHÄLEN	4	4	4	12	SELECT
H1	E002	WASCHEN	4	1	4	9	REJECT_DUPLICATES_WASH_DECK
H2	E038	PASTE	4	4	3	11	KEEP_RIVAL
H2	E038	SALBE	4	2	4	10	KEEP_MEDICAL_RIVAL
H2	E038	BREI	4	4	4	12	SELECT
H2	E038	AUFLAGE	3	1	4	8	REJECT_ADDS_USE
H3	E049	TRANK	4	3	4	11	SELECT
H3	E049	SPÜLUNG	3	2	4	9	KEEP_TECHNICAL_RIVAL
H3	E049	AUSZUG	3	3	4	10	KEEP_PRODUCT_RIVAL
H3	E049	MISCHUNG	3	3	3	9	REJECT_TOO_GENERIC
H4	E063	VERWAHREN	4	3	4	11	KEEP_RIVAL
H4	E063	RUHEN	3	2	4	9	KEEP_PROCESS_RIVAL
H4	E063	LAGERN	4	4	4	12	SELECT
H4	E063	VORRAT	3	3	4	10	REJECT_NOUN_IN_ACTION_SLOT
H5	E076	BLÜTEBEGINN	3	1	3	7	REJECT_UNNEEDED_TIME
H5	E076	ERSTE ZUTAT	4	4	4	12	SELECT
H5	E076	OBERER TEIL	3	2	3	8	KEEP_PICTURE_RIVAL
H5	E076	FRÜH	2	1	4	7	REJECT_INCOMPLETE_ITEM
