component	selected_value_de	event_id	page	statement_id	owner_de	surface	component_recipe	role_question	full_statement_de
AIIN	SOLLMASS	E009	f10r	H1-S001	abgebildete breit gezähnte radialblütige Pflanze	daiin	AIIN	What prescribed value should be reached?	Bei der breiten gezahnten Bluetenpflanze: Den laufenden Posten kurz entnehmen; den Ansatz im Arbeitsgang bereiten, aus der Quelle nehmen und bearbeiten; dazu Wasser entnehmen, danach den Posten bearbeiten, entnehmen und weiterfuehren, nach Sollmass ansetzen und kurz bearbeiten.
AIIN	SOLLMASS	E018	f10r	H2-S001	abgebildete breit gezähnte radialblütige Pflanze	cthaiin	CTH+AIIN	What prescribed value should be reached?	Bei der breiten gezahnten Bluetenpflanze: Vom laufenden Ansatz kurz entnehmen; den Posten bereitet halten, den Ansatz nach Sollmass weiterbearbeiten und als aktuellen Posten verfuegbar lassen.
AIIN	SOLLMASS	E022	f10r	H2-S001	abgebildete breit gezähnte radialblütige Pflanze	taiin	AIIN	What prescribed value should be reached?	Bei der breiten gezahnten Bluetenpflanze: Vom laufenden Ansatz kurz entnehmen; den Posten bereitet halten, den Ansatz nach Sollmass weiterbearbeiten und als aktuellen Posten verfuegbar lassen.
AIIN	SOLLMASS	E030	f10r	H2-S002	abgebildete breit gezähnte radialblütige Pflanze	daiin	AIIN	What prescribed value should be reached?	Bei der breiten gezahnten Bluetenpflanze: Danach vom Ansatz entnehmen; denselben Ansatz in mehreren weiteren Arbeitsschritten nach Sollmass aus der Quelle weiterfuehren.
IIN	STUFE	E036	f10r	H2-S003	abgebildete breit gezähnte radialblütige Pflanze	kaiiin	K+IIN	At which process stage is the work?	Bei der breiten gezahnten Bluetenpflanze: Im Arbeitsgang den aktuellen Ansatz zugeben; denselben Ansatz als laufenden Posten beibehalten, bis zur Stufe weiter zugeben und anschliessend im Arbeitsgang nach Sollmass entnehmen.
AIIN	SOLLMASS	E038	f10r	H2-S003	abgebildete breit gezähnte radialblütige Pflanze	chodaiin	CH+O+AIIN	What prescribed value should be reached?	Bei der breiten gezahnten Bluetenpflanze: Im Arbeitsgang den aktuellen Ansatz zugeben; denselben Ansatz als laufenden Posten beibehalten, bis zur Stufe weiter zugeben und anschliessend im Arbeitsgang nach Sollmass entnehmen.
AIIN	SOLLMASS	E042	f11r	H3-S001	abgebildete dicht blau blühende Kronenpflanze	shfydaiin	SH+Y+AIIN	What prescribed value should be reached?	Bei der dicht bluehenden Kronenpflanze: Den Ansatz an der Zielstelle bearbeiten und weiter halten; auspressen, bis zum Sollmass halten, in den lokalen Empfaenger einbringen, laenger halten, bearbeiten, entnehmen und den Schritt schliessen.
AIIN	SOLLMASS	E051	f11r	H3-S003	abgebildete dicht blau blühende Kronenpflanze	daiin	AIIN	What prescribed value should be reached?	Bei der dicht bluehenden Kronenpflanze: Davon, den aktuellen Posten beibehalten, ihm zugeben und ihn bis zum Sollmass weiterfuehren.
AIIN	SOLLMASS	E056	f55v	H4-S001	abgebildete breitblättrige rispige Pflanze	qokaiin	OK+AIIN	What prescribed value should be reached?	Bei der breitblaettrigen rispigen Pflanze: Nach Sollmass ansetzen; dem laufenden Posten eine Portion und danach eine Nachgabe zugeben; den Arbeitsgang schliessen.
AIIN	SOLLMASS	E057	f55v	H4-S001	abgebildete breitblättrige rispige Pflanze	chaiin	AIIN	What prescribed value should be reached?	Bei der breitblaettrigen rispigen Pflanze: Nach Sollmass ansetzen; dem laufenden Posten eine Portion und danach eine Nachgabe zugeben; den Arbeitsgang schliessen.
AIN	PORTION	E058	f55v	H4-S001	abgebildete breitblättrige rispige Pflanze	ykain	Y+K+AIN	How much working material is handled?	Bei der breitblaettrigen rispigen Pflanze: Nach Sollmass ansetzen; dem laufenden Posten eine Portion und danach eine Nachgabe zugeben; den Arbeitsgang schliessen.
AIIN	SOLLMASS	E061	f55v	H4-S002	abgebildete breitblättrige rispige Pflanze	daiin	AIIN	What prescribed value should be reached?	Bei der breitblaettrigen rispigen Pflanze: Nach Sollmass den laufenden Posten umsetzen und anschliessend beiseitestellen.
AIIN	SOLLMASS	E064	f55v	H4-S003	abgebildete breitblättrige rispige Pflanze	ykaiin	Y+K+AIIN	What prescribed value should be reached?	Bei der breitblaettrigen rispigen Pflanze: Den laufenden Posten nach Sollmass zugeben; dann kurz im Arbeitsgang aus der Quelle entnehmen; dann ihn laenger erwaermen; dann weiterarbeiten; den Schritt schliessen.
AIIN	SOLLMASS	E068	f55v	H4-S004	abgebildete breitblättrige rispige Pflanze	aiin	AIIN	What prescribed value should be reached?	Bei der breitblaettrigen rispigen Pflanze: Nach Sollmass an der Zielstelle ansetzen, den laufenden Posten weiter bearbeiten, als Ansatz beibehalten und als Ansatzportion fuehren.
AIN	PORTION	E073	f55v	H4-S004	abgebildete breitblättrige rispige Pflanze	orain	OR+AIN	How much working material is handled?	Bei der breitblaettrigen rispigen Pflanze: Nach Sollmass an der Zielstelle ansetzen, den laufenden Posten weiter bearbeiten, als Ansatz beibehalten und als Ansatzportion fuehren.
AIIN	SOLLMASS	E077	f56r	H5-S001	abgebildete mehrköpfige stachelige Pflanze	daiin	AIIN	What prescribed value should be reached?	Bei der mehrkoepfigen stacheligen Pflanze: Eine Zutat fuer den Ansatz entnehmen, zur Zielstelle bringen und nach Sollmass weiter zugeben; danach vom Ansatz entnehmen und den Posten an der Zielstelle ansetzen.
AIN	PORTION	E097	f56r	H5-S005	abgebildete mehrköpfige stachelige Pflanze	sotodan	OT+O+AIN	How much working material is handled?	Bei der mehrkoepfigen stacheligen Pflanze: Die Zutat bereiten, den laufenden Posten ansetzen und die Zutat aus der Quelle zugeben; danach eine Portion in den Arbeitsgang nehmen.
AIIN	SOLLMASS	E100	f56r	H5-S006	abgebildete mehrköpfige stachelige Pflanze	daiin	AIIN	What prescribed value should be reached?	Bei der mehrkoepfigen stacheligen Pflanze: Danach den laufenden Posten kurz weiter zugeben, bis das Sollmass erreicht ist.
AIIN	SOLLMASS	E102	f81v	B1-S002	gemeinsame zweireihige Figuren-/Beckenstation	okaiin	OK+AIIN	What prescribed value should be reached?	Am gemeinsamen zweireihigen Becken: Nach Sollmass ansetzen und die laufende Fluessigkeit zugeben. An der Zielstelle aus der Quelle weiterarbeiten: eine Portion und dann eine weitere Portion zugeben, weiter kuehlen und leiten. Den Ansatz weiterarbeiten, kurz am Durchlass der Zielstelle halten, erneut nach Sollmass laenger ansetzen, den Posten durch den Durchlass umsetzen und schliessen.
AIN	PORTION	E107	f81v	B1-S002	gemeinsame zweireihige Figuren-/Beckenstation	kain	K+AIN	How much working material is handled?	Am gemeinsamen zweireihigen Becken: Nach Sollmass ansetzen und die laufende Fluessigkeit zugeben. An der Zielstelle aus der Quelle weiterarbeiten: eine Portion und dann eine weitere Portion zugeben, weiter kuehlen und leiten. Den Ansatz weiterarbeiten, kurz am Durchlass der Zielstelle halten, erneut nach Sollmass laenger ansetzen, den Posten durch den Durchlass umsetzen und schliessen.
AIN	PORTION	E108	f81v	B1-S002	gemeinsame zweireihige Figuren-/Beckenstation	olkain	OL+K+AIN	How much working material is handled?	Am gemeinsamen zweireihigen Becken: Nach Sollmass ansetzen und die laufende Fluessigkeit zugeben. An der Zielstelle aus der Quelle weiterarbeiten: eine Portion und dann eine weitere Portion zugeben, weiter kuehlen und leiten. Den Ansatz weiterarbeiten, kurz am Durchlass der Zielstelle halten, erneut nach Sollmass laenger ansetzen, den Posten durch den Durchlass umsetzen und schliessen.
AIIN	SOLLMASS	E116	f81v	B1-S002	gemeinsame zweireihige Figuren-/Beckenstation	daiin	AIIN	What prescribed value should be reached?	Am gemeinsamen zweireihigen Becken: Nach Sollmass ansetzen und die laufende Fluessigkeit zugeben. An der Zielstelle aus der Quelle weiterarbeiten: eine Portion und dann eine weitere Portion zugeben, weiter kuehlen und leiten. Den Ansatz weiterarbeiten, kurz am Durchlass der Zielstelle halten, erneut nach Sollmass laenger ansetzen, den Posten durch den Durchlass umsetzen und schliessen.
AIIN	SOLLMASS	E118	f81v	B1-S002	gemeinsame zweireihige Figuren-/Beckenstation	daiin	AIIN	What prescribed value should be reached?	Am gemeinsamen zweireihigen Becken: Nach Sollmass ansetzen und die laufende Fluessigkeit zugeben. An der Zielstelle aus der Quelle weiterarbeiten: eine Portion und dann eine weitere Portion zugeben, weiter kuehlen und leiten. Den Ansatz weiterarbeiten, kurz am Durchlass der Zielstelle halten, erneut nach Sollmass laenger ansetzen, den Posten durch den Durchlass umsetzen und schliessen.
AIN	PORTION	E127	f81v	B1-S006	gemeinsame zweireihige Figuren-/Beckenstation	qokain	OK+AIN	How much working material is handled?	Am gemeinsamen zweireihigen Becken: Als Portion ansetzen; dann den laufenden Posten durch den Durchlass; dann leiten; dann zur Zielstelle kuehlen.
IIN	STUFE	E161	f81v	B1-S018	gemeinsame zweireihige Figuren-/Beckenstation	oiiin	O+IIN	At which process stage is the work?	Am gemeinsamen zweireihigen Becken: Den laufenden Posten leiten; dann kurz weiter halten; dann im Arbeitsgang bis zur Stufe; dann laenger an der Sammelstelle halten; den Schritt schliessen.
AIN	PORTION	E169	f82r	B2-S003	oberes Beckenpaar mit Zylinder	qokain	OK+AIN	How much working material is handled?	An den oberen Paarbecken mit Zylinder: Als Portion ansetzen; dann den laufenden Posten beibehalten; dann laenger ansetzen; den Schritt schliessen.
AIIN	SOLLMASS	E178	f82r	B2-S005	oberes Beckenpaar mit Zylinder	solkaiin	SOLK+AIIN	What prescribed value should be reached?	An den oberen Paarbecken mit Zylinder: Den Posten an der Zielstelle ansetzen und bis zum Sollmass an der Sammelstelle halten. Ihn durch den Durchlass fuehren, zweimal nach Sollmass ansetzen, im Arbeitsgang kurz bis zur Bereitschaft weiterarbeiten, laenger erwaermen, leiten und schliessen.
AIIN	SOLLMASS	E180	f82r	B2-S005	oberes Beckenpaar mit Zylinder	qokaiin	OK+AIIN	What prescribed value should be reached?	An den oberen Paarbecken mit Zylinder: Den Posten an der Zielstelle ansetzen und bis zum Sollmass an der Sammelstelle halten. Ihn durch den Durchlass fuehren, zweimal nach Sollmass ansetzen, im Arbeitsgang kurz bis zur Bereitschaft weiterarbeiten, laenger erwaermen, leiten und schliessen.
AIIN	SOLLMASS	E181	f82r	B2-S005	oberes Beckenpaar mit Zylinder	qokaiin	OK+AIIN	What prescribed value should be reached?	An den oberen Paarbecken mit Zylinder: Den Posten an der Zielstelle ansetzen und bis zum Sollmass an der Sammelstelle halten. Ihn durch den Durchlass fuehren, zweimal nach Sollmass ansetzen, im Arbeitsgang kurz bis zur Bereitschaft weiterarbeiten, laenger erwaermen, leiten und schliessen.
