clause_id	instruction_id	record	page	clause_no	anchor_card_no	action_components	member_card_nos	source_position_ids	visible_event_ids	attachment_status	reparsed_clause_de	component_values_unchanged
I001-C01	I001	H1	f10r	1	PROC001	CH	PROC001	SRC_E001	E001	DIRECT_ACTION_BUNDLE	den laufenden Posten kurz abziehen	YES
I001-C02	I001	H1	f10r	2	PROC004	T	PROC002|PROC003|PROC004	SRC_E002|SRC_E003|SRC_E004	E002|E003|E004	DIRECT_ACTION_BUNDLE	den laufenden Posten von dort im Arbeitsgang bis bereit eintragen	YES
I001-C03	I001	H1	f10r	3	PROC006	CH	PROC005|PROC006	SRC_E005|SRC_E006	E005|E006	DIRECT_ACTION_BUNDLE	den laufenden Posten im Lauf im Arbeitsfach abziehen	YES
I001-C04	I001	H1	f10r	4	PROC007	T|CH	PROC007	SRC_E007	E007	DIRECT_ACTION_BUNDLE	danach den laufenden Posten weiter eintragen und abziehen	YES
I001-C05	I001	H1	f10r	5	PROC008	OK	PROC008	SRC_E008	E008	DIRECT_ACTION_BUNDLE	den laufenden Posten ansetzen	YES
I001-C06	I001	H1	f10r	6	PROC010	T	PROC009|PROC010	SRC_E009|SRC_E010	E009|E010	DIRECT_ACTION_BUNDLE	den laufenden Posten nach vorgeschriebenem Maß kurz eintragen	YES
I001-C07	I001	H1	f10r	7	PROC011	OK	PROC011	SRC_E011	E011	DIRECT_ACTION_BUNDLE	den laufenden Posten ansetzen	YES
I001-C08	I001	H1	f10r	8	PROC012	CH	PROC012|PROC013|PROC014	SRC_E012|SRC_E013|SRC_E014	E012|E013|E014	DIRECT_ACTION_BUNDLE	danach den laufenden Posten weiter bis bereit abziehen	YES
I002-C01	I002	H2	f10r	1	PROC015	CH	PROC015	SRC_E015	E015	DIRECT_ACTION_BUNDLE	den laufenden Posten kurz abziehen	YES
I002-C02	I002	H2	f10r	2	PROC020	CH	PROC014|PROC016|PROC017|PROC018|PROC019|PROC019|PROC009|PROC019|PROC020	SRC_E016|SRC_E017|SRC_E018|SRC_E019|SRC_E020|SRC_E021|SRC_E022|SRC_E023|SRC_E024	E016|E017|E018|E019|E020|E021|E022|E023|E024	DIRECT_ACTION_BUNDLE	danach den laufenden Posten weiter nach vorgeschriebenem Maß im Arbeitsgang bis bereit abziehen	YES
I002-C03	I002	H2	f10r	3	PROC023	K	PROC016|PROC021|PROC013|PROC022|PROC013|PROC009|PROC003|PROC023	SRC_E025|SRC_E026|SRC_E027|SRC_E028|SRC_E029|SRC_E030|SRC_E031|SRC_E032	E025|E026|E027|E028|E029|E030|E031|E032	DIRECT_ACTION_BUNDLE	danach den laufenden Posten weiter von dort nach vorgeschriebenem Maß im Arbeitsgang zuführen	YES
I002-C04	I002	H2	f10r	4	PROC024	K	PROC016|PROC016|PROC019|PROC024	SRC_E033|SRC_E034|SRC_E035|SRC_E036	E033|E034|E035|E036	DIRECT_ACTION_BUNDLE	den laufenden Posten bis zur Sollstufe zuführen	YES
I002-C05	I002	H2	f10r	5	PROC025	CH	PROC019|PROC025	SRC_E037|SRC_E038	E037|E038	DIRECT_ACTION_BUNDLE	den laufenden Posten nach vorgeschriebenem Maß im Arbeitsgang abziehen	YES
I003-C01	I003	H3	f11r	1	PROC026	T|SH	PROC026	SRC_E039	E039	DIRECT_ACTION_BUNDLE	den laufenden Posten weiter eintragen und halten	YES
I003-C02	I003	H3	f11r	2	PROC027	SH	PROC027	SRC_E040	E040	DIRECT_ACTION_BUNDLE	den laufenden Posten an der bezeichneten Stelle im Arbeitsgang halten	YES
I003-C03	I003	H3	f11r	3	PROC028	CFH	PROC028	SRC_E041	E041	DIRECT_ACTION_BUNDLE	den laufenden Posten auswringen	YES
