alias_ordinal	alias_id	alias_class	event_id	statement_id	physical_page	register	owner_id	inherited_root	lexical_source_kind	lexical_source_event_id	lexical_source_atom_position	lexical_source_key	source_layer	guard
1	GDT581-I0001	ACTION_ALIAS	G407-E0003	G407-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	K	SAME_STATEMENT_EVENT	G407-E0002	2	G407-E0002@2:K	GDT416	ALIAS_IS_NOT_A_NEW_WRITTEN_OR_DICTIONARY_SLOT
2	GDT581-I0002	ACTION_ALIAS	G407-E0008	G407-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	S	SAME_STATEMENT_EVENT	G407-E0007	5	G407-E0007@5:S	GDT416	ALIAS_IS_NOT_A_NEW_WRITTEN_OR_DICTIONARY_SLOT
3	GDT581-I0003	ACTION_ALIAS	G407-E0013	G407-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	K	SAME_STATEMENT_EVENT	G407-E0012	2	G407-E0012@2:K	GDT416	ALIAS_IS_NOT_A_NEW_WRITTEN_OR_DICTIONARY_SLOT
4	GDT581-I0004	ACTION_ALIAS	G407-E0014	G407-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	K	SAME_STATEMENT_EVENT	G407-E0012	2	G407-E0012@2:K	GDT416	ALIAS_IS_NOT_A_NEW_WRITTEN_OR_DICTIONARY_SLOT
5	GDT581-I0005	ACTION_ALIAS	G407-E0021	G407-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	T	SAME_STATEMENT_EVENT	G407-E0020	2	G407-E0020@2:T	GDT416	ALIAS_IS_NOT_A_NEW_WRITTEN_OR_DICTIONARY_SLOT
6	GDT581-I0006	ACTION_ALIAS	G407-E0024	G407-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	K	SAME_STATEMENT_EVENT	G407-E0023	3	G407-E0023@3:K	GDT416	ALIAS_IS_NOT_A_NEW_WRITTEN_OR_DICTIONARY_SLOT
7	GDT581-I0007	ACTION_ALIAS	G407-E0029	G407-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	S	SAME_STATEMENT_EVENT	G407-E0028	4	G407-E0028@4:S	GDT416	ALIAS_IS_NOT_A_NEW_WRITTEN_OR_DICTIONARY_SLOT
8	GDT581-I0008	ACTION_ALIAS	G407-E0030	G407-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	S	SAME_STATEMENT_EVENT	G407-E0028	4	G407-E0028@4:S	GDT416	ALIAS_IS_NOT_A_NEW_WRITTEN_OR_DICTIONARY_SLOT
9	GDT581-I0009	ACTION_ALIAS	G407-E0032	G407-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	S	SAME_STATEMENT_EVENT	G407-E0031	1	G407-E0031@1:S	GDT416	ALIAS_IS_NOT_A_NEW_WRITTEN_OR_DICTIONARY_SLOT
10	GDT581-I0010	ACTION_ALIAS	G407-E0033	G407-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	S	SAME_STATEMENT_EVENT	G407-E0031	1	G407-E0031@1:S	GDT416	ALIAS_IS_NOT_A_NEW_WRITTEN_OR_DICTIONARY_SLOT
