modifier_host_ordinal	slot_id	event_id	statement_id	physical_page	register	owner_id	surface	final_recipe	atom_position	atom_root	modifier_subtype	primary_governor_kind	primary_governor_key	host_source	guard
1	RUNNING:G407-E0001@1	G407-E0001	G407-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	fachys	LOCAL_CHAR_F+A_ADDR+CH+Y+S	1	LOCAL_CHAR_F	LEARNED_SIGLA	SAME_CARD_ACTION	ACTION:G407-E0001@3:CH	NEAREST_VISIBLE_ACTION_LEFT_TIE	NON_GRADE_MODIFIER_HAS_EXACTLY_ONE_PRIMARY_GOVERNOR
2	RUNNING:G407-E0001@2	G407-E0001	G407-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	fachys	LOCAL_CHAR_F+A_ADDR+CH+Y+S	2	A_ADDR	LEARNED_SIGLA	SAME_CARD_ACTION	ACTION:G407-E0001@3:CH	NEAREST_VISIBLE_ACTION_LEFT_TIE	NON_GRADE_MODIFIER_HAS_EXACTLY_ONE_PRIMARY_GOVERNOR
3	RUNNING:G407-E0004@1	G407-E0004	G407-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	ataiin	A_ADDR+T+AIIN	1	A_ADDR	LEARNED_SIGLA	SAME_CARD_ACTION	ACTION:G407-E0004@2:T	NEAREST_VISIBLE_ACTION_LEFT_TIE	NON_GRADE_MODIFIER_HAS_EXACTLY_ONE_PRIMARY_GOVERNOR
4	RUNNING:G407-E0010@3	G407-E0010	G407-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	sholdy	SH+OL+D_ADDR+Y	3	D_ADDR	LEARNED_SIGLA	SAME_CARD_ACTION	ACTION:G407-E0010@1:SH	NEAREST_VISIBLE_ACTION_LEFT_TIE	NON_GRADE_MODIFIER_HAS_EXACTLY_ONE_PRIMARY_GOVERNOR
5	RUNNING:G407-E0018@1	G407-E0018	G407-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	ase	A_ADDR+S+E	1	A_ADDR	LEARNED_SIGLA	SAME_CARD_ACTION	ACTION:G407-E0018@2:S	NEAREST_VISIBLE_ACTION_LEFT_TIE	NON_GRADE_MODIFIER_HAS_EXACTLY_ONE_PRIMARY_GOVERNOR
6	RUNNING:G407-E0022@3	G407-E0022	G407-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	syaiir	S+Y+IIN+R	3	IIN	FORM_STAGE	SAME_CARD_ACTION	ACTION:G407-E0022@4:R	NEAREST_VISIBLE_ACTION_LEFT_TIE	NON_GRADE_MODIFIER_HAS_EXACTLY_ONE_PRIMARY_GOVERNOR
7	RUNNING:G407-E0026@2	G407-E0026	G407-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	shod	SH+O+D_ADDR	2	O	FORM_STAGE	SAME_CARD_ACTION	ACTION:G407-E0026@1:SH	NEAREST_VISIBLE_ACTION_LEFT_TIE	NON_GRADE_MODIFIER_HAS_EXACTLY_ONE_PRIMARY_GOVERNOR
8	RUNNING:G407-E0026@3	G407-E0026	G407-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	shod	SH+O+D_ADDR	3	D_ADDR	LEARNED_SIGLA	SAME_CARD_ACTION	ACTION:G407-E0026@1:SH	NEAREST_VISIBLE_ACTION_LEFT_TIE	NON_GRADE_MODIFIER_HAS_EXACTLY_ONE_PRIMARY_GOVERNOR
9	RUNNING:G407-E0027@3	G407-E0027	G407-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	cthoary	CH+T+O+AR+Y	3	O	FORM_STAGE	SAME_CARD_ACTION	ACTION:G407-E0027@2:T	NEAREST_VISIBLE_ACTION_LEFT_TIE	NON_GRADE_MODIFIER_HAS_EXACTLY_ONE_PRIMARY_GOVERNOR
10	RUNNING:G407-E0029@1	G407-E0029	G407-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	daraiin	D_ADDR+AR+AIIN	1	D_ADDR	LEARNED_SIGLA	FOCUS_CONSENSUS_ACTION_OCCURRENCE	ACTION:G407-E0028@4:S	SAME_CARD_FOCUS_GOVERNOR_CONSENSUS	NON_GRADE_MODIFIER_HAS_EXACTLY_ONE_PRIMARY_GOVERNOR
11	RUNNING:G407-E0031@2	G407-E0031	G407-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	soiin	S+O+IIN	2	O	FORM_STAGE	SAME_CARD_ACTION	ACTION:G407-E0031@1:S	NEAREST_VISIBLE_ACTION_LEFT_TIE	NON_GRADE_MODIFIER_HAS_EXACTLY_ONE_PRIMARY_GOVERNOR
12	RUNNING:G407-E0031@3	G407-E0031	G407-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	soiin	S+O+IIN	3	IIN	FORM_STAGE	SAME_CARD_ACTION	ACTION:G407-E0031@1:S	NEAREST_VISIBLE_ACTION_LEFT_TIE	NON_GRADE_MODIFIER_HAS_EXACTLY_ONE_PRIMARY_GOVERNOR
13	RUNNING:G407-E0033@3	G407-E0033	G407-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	oteos	OT+E+O+S_ADDR	3	O	FORM_STAGE	CONTROL_ENVELOPE	CONTROL:G407-E0033:STATE_CARD	VISIBLE_STATE_CONTROL_ENVELOPE	NON_GRADE_MODIFIER_HAS_EXACTLY_ONE_PRIMARY_GOVERNOR
14	RUNNING:G407-E0033@4	G407-E0033	G407-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	oteos	OT+E+O+S_ADDR	4	S_ADDR	LEARNED_SIGLA	CONTROL_ENVELOPE	CONTROL:G407-E0033:STATE_CARD	VISIBLE_STATE_CONTROL_ENVELOPE	NON_GRADE_MODIFIER_HAS_EXACTLY_ONE_PRIMARY_GOVERNOR
15	RUNNING:G407-E0035@3	G407-E0035	G407-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	cthiar	CH+T+LOCAL_CHAR_I+AR	3	LOCAL_CHAR_I	LEARNED_SIGLA	SAME_CARD_ACTION	ACTION:G407-E0035@2:T	NEAREST_VISIBLE_ACTION_LEFT_TIE	NON_GRADE_MODIFIER_HAS_EXACTLY_ONE_PRIMARY_GOVERNOR
16	RUNNING:G407-E0039@2	G407-E0039	G407-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	okan	OK+AN	2	AN	CLASS	SAME_CARD_ACTION	ACTION:G407-E0039@1:OK	NEAREST_VISIBLE_ACTION_LEFT_TIE	NON_GRADE_MODIFIER_HAS_EXACTLY_ONE_PRIMARY_GOVERNOR
17	RUNNING:G407-E0045@2	G407-E0045	G407-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	cfhaiin	CH+LOCAL_CHAR_F+AIIN	2	LOCAL_CHAR_F	LEARNED_SIGLA	SAME_CARD_ACTION	ACTION:G407-E0045@1:CH	NEAREST_VISIBLE_ACTION_LEFT_TIE	NON_GRADE_MODIFIER_HAS_EXACTLY_ONE_PRIMARY_GOVERNOR
18	RUNNING:G407-E0046@2	G407-E0046	G407-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	ydaraishy	Y+D_ADDR+AR+A_ADDR+LOCAL_CHAR_I+SH+Y	2	D_ADDR	LEARNED_SIGLA	SAME_CARD_ACTION	ACTION:G407-E0046@6:SH	NEAREST_VISIBLE_ACTION_LEFT_TIE	NON_GRADE_MODIFIER_HAS_EXACTLY_ONE_PRIMARY_GOVERNOR
19	RUNNING:G407-E0046@4	G407-E0046	G407-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	ydaraishy	Y+D_ADDR+AR+A_ADDR+LOCAL_CHAR_I+SH+Y	4	A_ADDR	LEARNED_SIGLA	SAME_CARD_ACTION	ACTION:G407-E0046@6:SH	NEAREST_VISIBLE_ACTION_LEFT_TIE	NON_GRADE_MODIFIER_HAS_EXACTLY_ONE_PRIMARY_GOVERNOR
20	RUNNING:G407-E0046@5	G407-E0046	G407-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	ydaraishy	Y+D_ADDR+AR+A_ADDR+LOCAL_CHAR_I+SH+Y	5	LOCAL_CHAR_I	LEARNED_SIGLA	SAME_CARD_ACTION	ACTION:G407-E0046@6:SH	NEAREST_VISIBLE_ACTION_LEFT_TIE	NON_GRADE_MODIFIER_HAS_EXACTLY_ONE_PRIMARY_GOVERNOR
21	RUNNING:G407-E0047@1	G407-E0047	G407-S002	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_B	odar	O+D_ADDR+AR	1	O	FORM_STAGE	FOCUS_CONSENSUS_OWNER_CONTEXT	OWNER:F1R_TEXT_BLOCK_B	SAME_CARD_FOCUS_GOVERNOR_CONSENSUS	NON_GRADE_MODIFIER_HAS_EXACTLY_ONE_PRIMARY_GOVERNOR
22	RUNNING:G407-E0047@2	G407-E0047	G407-S002	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_B	odar	O+D_ADDR+AR	2	D_ADDR	LEARNED_SIGLA	FOCUS_CONSENSUS_OWNER_CONTEXT	OWNER:F1R_TEXT_BLOCK_B	SAME_CARD_FOCUS_GOVERNOR_CONSENSUS	NON_GRADE_MODIFIER_HAS_EXACTLY_ONE_PRIMARY_GOVERNOR
23	RUNNING:G407-E0049@3	G407-E0049	G407-S002	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_B	cphoy	CH+P+O+Y	3	O	FORM_STAGE	SAME_CARD_ACTION	ACTION:G407-E0049@2:P	NEAREST_VISIBLE_ACTION_LEFT_TIE	NON_GRADE_MODIFIER_HAS_EXACTLY_ONE_PRIMARY_GOVERNOR
24	RUNNING:G407-E0050@1	G407-E0050	G407-S002	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_B	oydar	O+Y+D_ADDR+AR	1	O	FORM_STAGE	FOCUS_CONSENSUS_ACTION_OCCURRENCE	ACTION:G407-E0049@2:P	SAME_CARD_FOCUS_GOVERNOR_CONSENSUS	NON_GRADE_MODIFIER_HAS_EXACTLY_ONE_PRIMARY_GOVERNOR
