hazard_ordinal	event_id	physical_page	register	surface	recipe	grade	grade_value_de	carrier_envelope	inherited_action_root	inherited_action_value_de	inherited_head_licensed_grades	false_reading_to_avoid_de	retained_default_de	resolution
1	G407-E1145	f72r	CELESTIAL	oteedy	OT+EE+DY	EE	GRAD II	OT>G<DY	CHD	bearbeiten	NONE	bearbeiten auf Grad II	danach Träger auf Grad II; den Schritt abschließen	CONTROL_BOUNDARY_BLOCKS_FORCED_GRADE_TO_INHERITED_HEAD_ATTACHMENT
2	G407-E1349	f72r	CELESTIAL	otey	OT+E+Y	E	GRAD I	OT>G<END	CHD	bearbeiten	NONE	bearbeiten auf Grad I	danach Träger auf Grad I	CONTROL_BOUNDARY_BLOCKS_FORCED_GRADE_TO_INHERITED_HEAD_ATTACHMENT
3	G407-E1399	f72r	CELESTIAL	oteees	OT+EEE+S_ADDR	EEE	GRAD III	OT>G<END	CH	nehmen	E|EE	nehmen auf Grad III	danach Träger auf Grad III	CONTROL_BOUNDARY_BLOCKS_FORCED_GRADE_TO_INHERITED_HEAD_ATTACHMENT
4	G407-E2009	f76r	BIOLOGICAL	otedyl	OT+E+DY+L	E	GRAD I	OT>G<DY	CHD	bearbeiten	NONE	bearbeiten auf Grad I	danach Träger auf Grad I; den Schritt abschließen	CONTROL_BOUNDARY_BLOCKS_FORCED_GRADE_TO_INHERITED_HEAD_ATTACHMENT
5	G407-E2033	f76r	BIOLOGICAL	oleeed	OL+EEE+D_ADDR	EEE	GRAD III	OL>G<END	SH	halten	E|EE	halten auf Grad III	weiter mit Träger auf Grad III	CONTROL_BOUNDARY_BLOCKS_FORCED_GRADE_TO_INHERITED_HEAD_ATTACHMENT
6	G407-E2543	f77r	BIOLOGICAL	qoteedy	OT+EE+DY	EE	GRAD II	OT>G<DY	CHD	bearbeiten	NONE	bearbeiten auf Grad II	danach Träger auf Grad II; den Schritt abschließen	CONTROL_BOUNDARY_BLOCKS_FORCED_GRADE_TO_INHERITED_HEAD_ATTACHMENT
7	G407-E2830	f81r	BIOLOGICAL	qoteedy	OT+EE+DY	EE	GRAD II	OT>G<DY	CHD	bearbeiten	NONE	bearbeiten auf Grad II	danach Träger auf Grad II; den Schritt abschließen	CONTROL_BOUNDARY_BLOCKS_FORCED_GRADE_TO_INHERITED_HEAD_ATTACHMENT
8	G407-E3213	f82r	BIOLOGICAL	qoteedy	OT+EE+DY	EE	GRAD II	OT>G<DY	CHD	bearbeiten	NONE	bearbeiten auf Grad II	danach Träger auf Grad II; den Schritt abschließen	CONTROL_BOUNDARY_BLOCKS_FORCED_GRADE_TO_INHERITED_HEAD_ATTACHMENT
9	G407-E3242	f82r	BIOLOGICAL	qoteor	OT+E+OR	E	GRAD I	OT>G<END	CHD	bearbeiten	NONE	bearbeiten auf Grad I	danach Träger auf Grad I	CONTROL_BOUNDARY_BLOCKS_FORCED_GRADE_TO_INHERITED_HEAD_ATTACHMENT
10	G407-E3500	f83r	BIOLOGICAL	qoteedy	OT+EE+DY	EE	GRAD II	OT>G<DY	CHD	bearbeiten	NONE	bearbeiten auf Grad II	danach Träger auf Grad II; den Schritt abschließen	CONTROL_BOUNDARY_BLOCKS_FORCED_GRADE_TO_INHERITED_HEAD_ATTACHMENT
11	G407-E3522	f83r	BIOLOGICAL	otedy	OT+E+DY	E	GRAD I	OT>G<DY	CHD	bearbeiten	NONE	bearbeiten auf Grad I	danach Träger auf Grad I; den Schritt abschließen	CONTROL_BOUNDARY_BLOCKS_FORCED_GRADE_TO_INHERITED_HEAD_ATTACHMENT
12	G407-E3655	f83r	BIOLOGICAL	qotedaiin	OT+E+AIIN	E	GRAD I	OT>G<END	CHD	bearbeiten	NONE	bearbeiten auf Grad I	danach Träger auf Grad I	CONTROL_BOUNDARY_BLOCKS_FORCED_GRADE_TO_INHERITED_HEAD_ATTACHMENT
13	G407-E3657	f83r	BIOLOGICAL	otedy	OT+E+DY	E	GRAD I	OT>G<DY	CHD	bearbeiten	NONE	bearbeiten auf Grad I	danach Träger auf Grad I; den Schritt abschließen	CONTROL_BOUNDARY_BLOCKS_FORCED_GRADE_TO_INHERITED_HEAD_ATTACHMENT
14	G407-E3660	f83r	BIOLOGICAL	qotedy	OT+E+DY	E	GRAD I	OT>G<DY	CHD	bearbeiten	NONE	bearbeiten auf Grad I	danach Träger auf Grad I; den Schritt abschließen	CONTROL_BOUNDARY_BLOCKS_FORCED_GRADE_TO_INHERITED_HEAD_ATTACHMENT
15	G407-E3832	f88r	PHARMA	doleeey	D_ADDR+OL+EEE+Y	EEE	GRAD III	OL>G<END	CH	nehmen	E|EE	nehmen auf Grad III	weiter mit Träger auf Grad III	CONTROL_BOUNDARY_BLOCKS_FORCED_GRADE_TO_INHERITED_HEAD_ATTACHMENT
16	G407-E4404	f95v	HERBAL	otedy	OT+E+DY	E	GRAD I	OT>G<DY	CHD	bearbeiten	NONE	bearbeiten auf Grad I	danach Träger auf Grad I; den Schritt abschließen	CONTROL_BOUNDARY_BLOCKS_FORCED_GRADE_TO_INHERITED_HEAD_ATTACHMENT
17	G407-E4405	f95v	HERBAL	qotedaiin	OT+E+AIIN	E	GRAD I	OT>G<END	CHD	bearbeiten	NONE	bearbeiten auf Grad I	danach Träger auf Grad I	CONTROL_BOUNDARY_BLOCKS_FORCED_GRADE_TO_INHERITED_HEAD_ATTACHMENT
18	G515-E0332	f66r	SOURCE_SECTION_T	qotedal	OT+E+AL	E	GRAD I	OT>G<END	CHD	bearbeiten	NONE	bearbeiten auf Grad I	danach Träger auf Grad I	CONTROL_BOUNDARY_BLOCKS_FORCED_GRADE_TO_INHERITED_HEAD_ATTACHMENT
