voice_repair_ordinal	voice_repair_id	focus_host_id	event_id	statement_id	physical_page	register	owner_id	surface	final_recipe	focus_root	focus_family	focus_final_position	focus_machine_link	attachment_geometry	selected_head_link	selected_head_root	effective_grammar_host_kind	effective_grammar_host_key	voice_head_link	audible_first_action_root	audible_first_imperative	selector_trigger_class	voice_repair_class	source_clause_de	event_repair_id	explicit_head_block_de	guard
1	GDT581-V001	G407-A00052	G407-E0046	G407-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	ydaraishy	Y+D_ADDR+AR+A_ADDR+LOCAL_CHAR_I+SH+Y	AR	RELATION	3	G407-A00052:G407-E0046@3:AR#1	PREVIOUS_CARD_ACTION	G407-E0045@1:CH	CH	PRIMARY_ACTION	ACTION:G407-E0045@1:CH	G407-E0045@1:CH	SH	halte	REMOTE_HEAD_ROOT_DIFFERS_FROM_AUDIBLE_ACTION	EXPLICIT_PRIMARY_HEAD_BLOCK	Halte den äußeren laufenden Eintrag und den inneren laufenden Eintrag fest; von der Ausgangszeile; an der D-Stelle, an der A-Stelle und mit der i-Variante.	GDT581-EV001	Bezug auf das vorangehende Entnehmen [G407-E0045@1:CH]: von der Ausgangszeile [G407-A00052:G407-E0046@3:AR#1].	FOCUS_SPECIFIC_HEAD_BEATS_EVENT_WIDE_WORDING
2	GDT581-V002	G407-A00070	G407-E0069	G407-S004	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_B	dain	AIN	AIN	ARGUMENT	1	G407-A00070:G407-E0069@1:AIN#1	OWNER_ONLY	OWNER:F1R_TEXT_BLOCK_B	OWNER	OWNER_CONTEXT	OWNER:F1R_TEXT_BLOCK_B	OWNER:F1R_TEXT_BLOCK_B	SH	halte	OWNER_CONTENT_AUDIBLE_AS_LOCAL_ACTION	EXPLICIT_PRIMARY_HEAD_BLOCK	Im laufenden Gang halte den Teilwert fest.	GDT581-EV002	Bezug auf den Besitzerrahmen [OWNER:F1R_TEXT_BLOCK_B]: den Teilwert [G407-A00070:G407-E0069@1:AIN#1].	FOCUS_SPECIFIC_HEAD_BEATS_EVENT_WIDE_WORDING
3	GDT581-V003	G407-A00141	G407-E0148	G407-S005	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_C	chey	Y	Y	ARGUMENT	1	G407-A00141:G407-E0148@1:Y#1	PREVIOUS_CARD_ACTION	G407-E0147@1:OK	OK	PRIMARY_ACTION	ACTION:G407-E0147@1:OK	G407-E0147@1:OK	R	kennzeichne	REMOTE_HEAD_ROOT_DIFFERS_FROM_AUDIBLE_ACTION	EXPLICIT_PRIMARY_HEAD_BLOCK	Im laufenden Gang kennzeichne den laufenden Eintrag.	GDT581-EV003	Bezug auf das vorangehende Eintragen [G407-E0147@1:OK]: den laufenden Eintrag [G407-A00141:G407-E0148@1:Y#1].	FOCUS_SPECIFIC_HEAD_BEATS_EVENT_WIDE_WORDING
4	GDT581-V004	G407-A00142	G407-E0149	G407-S005	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_C	chy	Y	Y	ARGUMENT	1	G407-A00142:G407-E0149@1:Y#1	INHERITED_ACTION	G407-E0147@1:OK	OK	PRIMARY_ACTION	ACTION:G407-E0147@1:OK	G407-E0147@1:OK	R	kennzeichne	REMOTE_HEAD_ROOT_DIFFERS_FROM_AUDIBLE_ACTION	EXPLICIT_PRIMARY_HEAD_BLOCK	Im laufenden Gang kennzeichne den laufenden Eintrag.	GDT581-EV004	Bezug auf das fortgeführte Eintragen [G407-E0147@1:OK]: den laufenden Eintrag [G407-A00142:G407-E0149@1:Y#1].	FOCUS_SPECIFIC_HEAD_BEATS_EVENT_WIDE_WORDING
5	GDT581-V005	G407-A00419	G407-E0458	G407-S021	f17r	HERBAL	abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen	dor	D_ADDR+OR	OR	ARGUMENT	2	G407-A00419:G407-E0458@2:OR#1	BOUNDED_NEXT_CARD_ACTION	G407-E0459@2:CH	CH	PRIMARY_ACTION	ACTION:G407-E0459@2:CH	G407-E0459@2:CH	K	gib	NEXT_HEAD_ROOT_DIFFERS_FROM_AUDIBLE_ACTION	EXPLICIT_PRIMARY_HEAD_BLOCK	Im laufenden Gang gib die Arbeitseinheit zu; an der D-Stelle.	GDT581-EV005	Bezug auf das folgende Nehmen [G407-E0459@2:CH]: die Arbeitseinheit [G407-A00419:G407-E0458@2:OR#1].	FOCUS_SPECIFIC_HEAD_BEATS_EVENT_WIDE_WORDING
6	GDT581-V006	G407-A00439	G407-E0484	G407-S022	f17r	HERBAL	abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen	dair	D_ADDR+AIR	AIR	RELATION	2	G407-A00439:G407-E0484@2:AIR#1	BOUNDED_NEXT_CARD_ACTION	G407-E0485@1:CH	CH	PRIMARY_ACTION	ACTION:G407-E0485@1:CH	G407-E0485@1:CH	P	setze	NEXT_HEAD_ROOT_DIFFERS_FROM_AUDIBLE_ACTION	EXPLICIT_PRIMARY_HEAD_BLOCK	Im laufenden Gang setze dieselbe Arbeitseinheit ein; entlang der Verarbeitungsbahn; an der D-Stelle.	GDT581-EV006	Bezug auf das folgende Nehmen [G407-E0485@1:CH]: entlang der Verarbeitungsbahn [G407-A00439:G407-E0484@2:AIR#1].	FOCUS_SPECIFIC_HEAD_BEATS_EVENT_WIDE_WORDING
7	GDT581-V007	G407-A00471	G407-E0522	G407-S026	f18r	HERBAL	große abgebildete Blütenpflanze	darod	D_ADDR+AR+O+D_ADDR	AR	RELATION	2	G407-A00471:G407-E0522@2:AR#1	OWNER_ONLY	OWNER:große abgebildete Blütenpflanze	OWNER	OWNER_CONTEXT	OWNER:große abgebildete Blütenpflanze	OWNER:große abgebildete Blütenpflanze	R	markiere	OWNER_CONTENT_AUDIBLE_AS_LOCAL_ACTION	EXPLICIT_PRIMARY_HEAD_BLOCK	Im laufenden Gang markiere; beim fortgeführten Markieren: an der D-Stelle; vom Ausgangsmaterial; als Ausführung; beim fortgeführten Markieren: wieder an der D-Stelle.	GDT581-EV007	Bezug auf den Besitzerrahmen [OWNER:große abgebildete Blütenpflanze]: vom Ausgangsmaterial [G407-A00471:G407-E0522@2:AR#1].	FOCUS_SPECIFIC_HEAD_BEATS_EVENT_WIDE_WORDING
8	GDT581-V008	G407-A00472	G407-E0523	G407-S026	f18r	HERBAL	große abgebildete Blütenpflanze	yoar	Y+O+AR	Y	ARGUMENT	1	G407-A00472:G407-E0523@1:Y#1	BOUNDED_NEXT_CARD_ACTION	G407-E0524@2:K	K	PRIMARY_ACTION	ACTION:G407-E0524@2:K	G407-E0524@2:K	R	markiere	NEXT_HEAD_ROOT_DIFFERS_FROM_AUDIBLE_ACTION	EXPLICIT_PRIMARY_HEAD_BLOCK	Im laufenden Gang markiere den Pflanzenposten; vom Ausgangsmaterial; als Ausführung.	GDT581-EV008	Bezug auf das folgende Zugeben [G407-E0524@2:K]: den Pflanzenposten [G407-A00472:G407-E0523@1:Y#1].	FOCUS_SPECIFIC_HEAD_BEATS_EVENT_WIDE_WORDING
9	GDT581-V009	G407-A00473	G407-E0523	G407-S026	f18r	HERBAL	große abgebildete Blütenpflanze	yoar	Y+O+AR	AR	RELATION	3	G407-A00473:G407-E0523@3:AR#1	OWNER_ONLY	OWNER:große abgebildete Blütenpflanze	OWNER	OWNER_CONTEXT	OWNER:große abgebildete Blütenpflanze	OWNER:große abgebildete Blütenpflanze	R	markiere	OWNER_CONTENT_AUDIBLE_AS_LOCAL_ACTION	EXPLICIT_PRIMARY_HEAD_BLOCK	Im laufenden Gang markiere den Pflanzenposten; vom Ausgangsmaterial; als Ausführung.	GDT581-EV008	Bezug auf den Besitzerrahmen [OWNER:große abgebildete Blütenpflanze]: vom Ausgangsmaterial [G407-A00473:G407-E0523@3:AR#1].	FOCUS_SPECIFIC_HEAD_BEATS_EVENT_WIDE_WORDING
10	GDT581-V010	G407-A00516	G407-E0570	G407-S028	f18r	HERBAL	große abgebildete Blütenpflanze	doldaiin	OL+AIIN	AIIN	ARGUMENT	2	G407-A00516:G407-E0570@2:AIIN#1	BOUNDED_NEXT_CARD_ACTION	G407-E0571@1:OK	OK	PRIMARY_ACTION	ACTION:G407-E0571@1:OK	G407-E0571@1:OK	SH	halte	NEXT_HEAD_ROOT_DIFFERS_FROM_AUDIBLE_ACTION	EXPLICIT_PRIMARY_HEAD_BLOCK	Weiter im laufenden Gang: halte den Arbeitswert.	GDT581-EV009	Bezug auf das folgende Ansetzen [G407-E0571@1:OK]: den Arbeitswert [G407-A00516:G407-E0570@2:AIIN#1].	FOCUS_SPECIFIC_HEAD_BEATS_EVENT_WIDE_WORDING
