local_card_ordinal	local_card_host_key	source_partition	source_layer	source_event_id	physical_page	register	locus	owner_de	surface	component_recipe	component_count	source_local_role	record_id	record_governor_key	bundle_id	bundle_governor_key	active_local_model	guard
1	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1003-E0079	GDT479_MICRORECORD_183	ORIGINAL22_LOCAL_ADDRESS	P1003-E0079	f17r	HERBAL	f17r.13	Name oder Kennung fuer Bezeichnung bei der abgebildeten ganzen Bluetenpflanze	oteeeon	OT	1	LOCAL_ADDRESS_OR_LABEL	G475-R001	LOCAL_RECORD:G475-R001	G474-B001	LOCAL_BUNDLE:G474-B001	CATALOGUE	EXACT_CARD_ID__OWNER_AND_LOCUS_REQUIRED__NO_RUNNING_SENTENCE_INHERITANCE
2	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1003-E0080	GDT479_MICRORECORD_183	ORIGINAL22_LOCAL_ADDRESS	P1003-E0080	f17r	HERBAL	f17r.13	Name oder Kennung fuer Bezeichnung bei der abgebildeten ganzen Bluetenpflanze	oiil	NONE	0	LOCAL_ADDRESS_OR_LABEL	G475-R001	LOCAL_RECORD:G475-R001	G474-B001	LOCAL_BUNDLE:G474-B001	CATALOGUE	EXACT_CARD_ID__OWNER_AND_LOCUS_REQUIRED__NO_RUNNING_SENTENCE_INHERITANCE
3	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P912-E1749	GDT513_REMAINDER_510	ORIGINAL22_LOCAL_ADDRESS	P912-E1749	f67r2	CELESTIAL	f67r2.1	zwei lokale Himmelsraeder	ykshy	Y+K+Y	3	LOCAL_ADDRESS_OR_LABEL	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	ORDERED_INSTRUCTION_CARD	EXACT_CARD_ID__OWNER_AND_LOCUS_REQUIRED__NO_RUNNING_SENTENCE_INHERITANCE
4	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P912-E1750	GDT513_REMAINDER_510	ORIGINAL22_LOCAL_ADDRESS	P912-E1750	f67r2	CELESTIAL	f67r2.1	zwei lokale Himmelsraeder	s	S	1	LOCAL_ADDRESS_OR_LABEL	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	ORDERED_INSTRUCTION_CARD	EXACT_CARD_ID__OWNER_AND_LOCUS_REQUIRED__NO_RUNNING_SENTENCE_INHERITANCE
5	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P912-E1751	GDT513_REMAINDER_510	ORIGINAL22_LOCAL_ADDRESS	P912-E1751	f67r2	CELESTIAL	f67r2.1	zwei lokale Himmelsraeder	aram	AR+AM_ADDR	2	LOCAL_ADDRESS_OR_LABEL	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	COORDINATE_OR_CATALOGUE_CARD	EXACT_CARD_ID__OWNER_AND_LOCUS_REQUIRED__NO_RUNNING_SENTENCE_INHERITANCE
6	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P912-E1752	GDT513_REMAINDER_510	ORIGINAL22_LOCAL_ADDRESS	P912-E1752	f67r2	CELESTIAL	f67r2.2	zwei lokale Himmelsraeder	ykecho	Y+K+E+CH+O	5	LOCAL_ADDRESS_OR_LABEL	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	ORDERED_INSTRUCTION_CARD	EXACT_CARD_ID__OWNER_AND_LOCUS_REQUIRED__NO_RUNNING_SENTENCE_INHERITANCE
7	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P912-E1753	GDT513_REMAINDER_510	ORIGINAL22_LOCAL_ADDRESS	P912-E1753	f67r2	CELESTIAL	f67r2.2	zwei lokale Himmelsraeder	ols	OL+S	2	LOCAL_ADDRESS_OR_LABEL	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	ORDERED_INSTRUCTION_CARD	EXACT_CARD_ID__OWNER_AND_LOCUS_REQUIRED__NO_RUNNING_SENTENCE_INHERITANCE
8	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P912-E1754	GDT513_REMAINDER_510	ORIGINAL22_LOCAL_ADDRESS	P912-E1754	f67r2	CELESTIAL	f67r2.2	zwei lokale Himmelsraeder	eesydy	EE+S+Y+D_ADDR+Y	5	LOCAL_ADDRESS_OR_LABEL	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	ORDERED_INSTRUCTION_CARD	EXACT_CARD_ID__OWNER_AND_LOCUS_REQUIRED__NO_RUNNING_SENTENCE_INHERITANCE
9	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P912-E1755	GDT513_REMAINDER_510	ORIGINAL22_LOCAL_ADDRESS	P912-E1755	f67r2	CELESTIAL	f67r2.3	zwei lokale Himmelsraeder	ey	E+Y	2	LOCAL_ADDRESS_OR_LABEL	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	COORDINATE_OR_CATALOGUE_CARD	EXACT_CARD_ID__OWNER_AND_LOCUS_REQUIRED__NO_RUNNING_SENTENCE_INHERITANCE
10	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P912-E1756	GDT513_REMAINDER_510	ORIGINAL22_LOCAL_ADDRESS	P912-E1756	f67r2	CELESTIAL	f67r2.3	zwei lokale Himmelsraeder	shs	SH+S	2	LOCAL_ADDRESS_OR_LABEL	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	ORDERED_INSTRUCTION_CARD	EXACT_CARD_ID__OWNER_AND_LOCUS_REQUIRED__NO_RUNNING_SENTENCE_INHERITANCE
11	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P912-E1757	GDT513_REMAINDER_510	ORIGINAL22_LOCAL_ADDRESS	P912-E1757	f67r2	CELESTIAL	f67r2.3	zwei lokale Himmelsraeder	okar	OK+AR	2	LOCAL_ADDRESS_OR_LABEL	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	ORDERED_INSTRUCTION_CARD	EXACT_CARD_ID__OWNER_AND_LOCUS_REQUIRED__NO_RUNNING_SENTENCE_INHERITANCE
12	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P912-E1758	GDT513_REMAINDER_510	ORIGINAL22_LOCAL_ADDRESS	P912-E1758	f67r2	CELESTIAL	f67r2.4	zwei lokale Himmelsraeder	shekchy	SH+E+K+CH+Y	5	LOCAL_ADDRESS_OR_LABEL	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	ORDERED_INSTRUCTION_CARD	EXACT_CARD_ID__OWNER_AND_LOCUS_REQUIRED__NO_RUNNING_SENTENCE_INHERITANCE
13	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P912-E1759	GDT513_REMAINDER_510	ORIGINAL22_LOCAL_ADDRESS	P912-E1759	f67r2	CELESTIAL	f67r2.4	zwei lokale Himmelsraeder	sykos	S+Y+K+O+S_ADDR	5	LOCAL_ADDRESS_OR_LABEL	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	ORDERED_INSTRUCTION_CARD	EXACT_CARD_ID__OWNER_AND_LOCUS_REQUIRED__NO_RUNNING_SENTENCE_INHERITANCE
14	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P912-E1760	GDT513_REMAINDER_510	ORIGINAL22_LOCAL_ADDRESS	P912-E1760	f67r2	CELESTIAL	f67r2.5	zwei lokale Himmelsraeder	ykeody	Y+K+E+O+DY	5	LOCAL_ADDRESS_OR_LABEL	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	ORDERED_INSTRUCTION_CARD	EXACT_CARD_ID__OWNER_AND_LOCUS_REQUIRED__NO_RUNNING_SENTENCE_INHERITANCE
15	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P912-E1761	GDT513_REMAINDER_510	ORIGINAL22_LOCAL_ADDRESS	P912-E1761	f67r2	CELESTIAL	f67r2.5	zwei lokale Himmelsraeder	okchy	OK+Y	2	LOCAL_ADDRESS_OR_LABEL	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	ORDERED_INSTRUCTION_CARD	EXACT_CARD_ID__OWNER_AND_LOCUS_REQUIRED__NO_RUNNING_SENTENCE_INHERITANCE
