focus_host_ordinal	focus_host_id	source_layer	source_attachment_id	statement_id	event_id	physical_page	register	owner_id	surface	source_recipe	final_recipe	focus_root	focus_value_de	focus_family	focus_occurrence_rank	focus_source_position	focus_final_position	selector_rule	attachment_geometry	primary_governor_kind	primary_governor_event_id	primary_governor_atom_position	primary_governor_root	primary_governor_occurrence_rank	effective_grammar_host_kind	effective_grammar_host_key	grade_host_mode	grade_carrier_envelope	prose_realization_scope	coordinate_reconciled	lookahead_cards	owner_boundary_crossed	statement_boundary_crossed	guard
1	G407-A00001	GDT407_5051_ATTACHMENT_EDITION	G407-A00001	G407-S001	G407-E0001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	fachys	LOCAL_CHAR_F+A_ADDR+CH+Y+S	LOCAL_CHAR_F+A_ADDR+CH+Y+S	Y	AKTIVER POSTEN	ARGUMENT	1	4	4	NEAREST_HEAD_LEFT_TIE	SAME_CARD_LEFT_ACTION	ACTION_OCCURRENCE	G407-E0001	3	CH	1	PRIMARY_ACTION	ACTION:G407-E0001@3:CH	NOT_APPLICABLE	NOT_APPLICABLE	PRIMARY_GOVERNOR	NO	0	NO	NO	ONE_FINAL_FOCUS_OCCURRENCE__ONE_PRIMARY_GOVERNOR
2	G407-A00002	GDT407_5051_ATTACHMENT_EDITION	G407-A00002	G407-S001	G407-E0002	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	ykal	Y+K+AL	Y+K+AL	Y	AKTIVER POSTEN	ARGUMENT	1	1	1	NEAREST_HEAD_LEFT_TIE	SAME_CARD_RIGHT_ACTION	ACTION_OCCURRENCE	G407-E0002	2	K	1	PRIMARY_ACTION	ACTION:G407-E0002@2:K	NOT_APPLICABLE	NOT_APPLICABLE	PRIMARY_GOVERNOR	NO	0	NO	NO	ONE_FINAL_FOCUS_OCCURRENCE__ONE_PRIMARY_GOVERNOR
3	G407-A00003	GDT407_5051_ATTACHMENT_EDITION	G407-A00003	G407-S001	G407-E0002	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	ykal	Y+K+AL	Y+K+AL	AL	ZIELORT	RELATION	1	3	3	AL_AR_ORDERED_FALLBACK	SAME_CARD_LEFT_ACTION	ACTION_OCCURRENCE	G407-E0002	2	K	1	PRIMARY_ACTION	ACTION:G407-E0002@2:K	NOT_APPLICABLE	NOT_APPLICABLE	PRIMARY_GOVERNOR	NO	0	NO	NO	ONE_FINAL_FOCUS_OCCURRENCE__ONE_PRIMARY_GOVERNOR
4	G407-A00004	GDT407_5051_ATTACHMENT_EDITION	G407-A00004	G407-S001	G407-E0003	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	ar	AR	AR	AR	AUSGANG	RELATION	1	1	1	AL_AR_ORDERED_FALLBACK	PREVIOUS_CARD_ACTION	ACTION_OCCURRENCE	G407-E0002	2	K	1	PRIMARY_ACTION	ACTION:G407-E0002@2:K	NOT_APPLICABLE	NOT_APPLICABLE	PRIMARY_GOVERNOR	NO	0	NO	NO	ONE_FINAL_FOCUS_OCCURRENCE__ONE_PRIMARY_GOVERNOR
5	G407-A00005	GDT407_5051_ATTACHMENT_EDITION	G407-A00005	G407-S001	G407-E0004	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	ataiin	A_ADDR+T+AIIN	A_ADDR+T+AIIN	AIIN	WERT	ARGUMENT	1	3	3	NEAREST_HEAD_LEFT_TIE	SAME_CARD_LEFT_ACTION	ACTION_OCCURRENCE	G407-E0004	2	T	1	PRIMARY_ACTION	ACTION:G407-E0004@2:T	NOT_APPLICABLE	NOT_APPLICABLE	PRIMARY_GOVERNOR	NO	0	NO	NO	ONE_FINAL_FOCUS_OCCURRENCE__ONE_PRIMARY_GOVERNOR
6	G407-A00006	GDT407_5051_ATTACHMENT_EDITION	G407-A00006	G407-S001	G407-E0006	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	shory	SH+OR+Y	SH+OR+Y	OR	EINHEIT	ARGUMENT	1	2	2	NEAREST_HEAD_LEFT_TIE	SAME_CARD_LEFT_ACTION	ACTION_OCCURRENCE	G407-E0006	1	SH	1	PRIMARY_ACTION	ACTION:G407-E0006@1:SH	NOT_APPLICABLE	NOT_APPLICABLE	PRIMARY_GOVERNOR	NO	0	NO	NO	ONE_FINAL_FOCUS_OCCURRENCE__ONE_PRIMARY_GOVERNOR
7	G407-A00007	GDT407_5051_ATTACHMENT_EDITION	G407-A00007	G407-S001	G407-E0006	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	shory	SH+OR+Y	SH+OR+Y	Y	AKTIVER POSTEN	ARGUMENT	1	3	3	NEAREST_HEAD_LEFT_TIE	SAME_CARD_LEFT_ACTION	ACTION_OCCURRENCE	G407-E0006	1	SH	1	PRIMARY_ACTION	ACTION:G407-E0006@1:SH	NOT_APPLICABLE	NOT_APPLICABLE	PRIMARY_GOVERNOR	NO	0	NO	NO	ONE_FINAL_FOCUS_OCCURRENCE__ONE_PRIMARY_GOVERNOR
8	G407-A00008	GDT407_5051_ATTACHMENT_EDITION	G407-A00008	G407-S001	G407-E0007	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	cthres	CH+T+R+E+S	CH+T+R+E+S	E	GRAD I	GRADE	1	4	4	NEAREST_HEAD_LEFT_TIE	SAME_CARD_LEFT_ACTION	ACTION_OCCURRENCE	G407-E0007	2	T	1	PRIMARY_ACTION	ACTION:G407-E0007@2:T	NOT_APPLICABLE	NOT_APPLICABLE	PRIMARY_GOVERNOR	NO	0	NO	NO	ONE_FINAL_FOCUS_OCCURRENCE__ONE_PRIMARY_GOVERNOR
9	G407-A00009	GDT407_5051_ATTACHMENT_EDITION	G407-A00009	G407-S001	G407-E0008	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	y	Y	Y	Y	AKTIVER POSTEN	ARGUMENT	1	1	1	PREVIOUS_CARD_STACK	PREVIOUS_CARD_ACTION	ACTION_OCCURRENCE	G407-E0007	5	S	1	PRIMARY_ACTION	ACTION:G407-E0007@5:S	NOT_APPLICABLE	NOT_APPLICABLE	PRIMARY_GOVERNOR	NO	0	NO	NO	ONE_FINAL_FOCUS_OCCURRENCE__ONE_PRIMARY_GOVERNOR
10	G407-A00010	GDT407_5051_ATTACHMENT_EDITION	G407-A00010	G407-S001	G407-E0009	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	kor	K+OR	K+OR	OR	EINHEIT	ARGUMENT	1	2	2	NEAREST_HEAD_LEFT_TIE	SAME_CARD_LEFT_ACTION	ACTION_OCCURRENCE	G407-E0009	1	K	1	PRIMARY_ACTION	ACTION:G407-E0009@1:K	NOT_APPLICABLE	NOT_APPLICABLE	PRIMARY_GOVERNOR	NO	0	NO	NO	ONE_FINAL_FOCUS_OCCURRENCE__ONE_PRIMARY_GOVERNOR
