event_repair_ordinal	event_repair_id	event_id	statement_id	physical_page	register	owner_id	surface	final_recipe	audible_first_action_root	selected_repair_focus_count	represented_event_focus_count	represented_non_grade_modifier_count	explicit_focus_head_block_count	explicit_modifier_head_block_count	explicit_head_block_count	bare_local_action_block_count	visible_action_count	selector_trigger_classes	voice_repair_classes	repair_focus_ids	represented_focus_ids	visible_action_links	source_gdt580_clause_de	content_ready_boundary_clause_de	gdt580_exact_roundtrip_de	guard
1	GDT581-EV001	G407-E0046	G407-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	ydaraishy	Y+D_ADDR+AR+A_ADDR+LOCAL_CHAR_I+SH+Y	SH	1	3	3	3	3	6	0	1	REMOTE_HEAD_ROOT_DIFFERS_FROM_AUDIBLE_ACTION	EXPLICIT_PRIMARY_HEAD_BLOCK	G407-A00052	G407-A00051|G407-A00052|G407-A00053	G407-E0046@6:SH	Halte den äußeren laufenden Eintrag und den inneren laufenden Eintrag fest; von der Ausgangszeile; an der D-Stelle, an der A-Stelle und mit der i-Variante.	Lokales Festhalten [G407-E0046@6:SH]: den laufenden Eintrag [G407-A00051:G407-E0046@1:Y#1]. Lokales Festhalten [G407-E0046@6:SH]: an der D-Stelle [RUNNING:G407-E0046@2:D_ADDR]. Bezug auf das vorangehende Entnehmen [G407-E0045@1:CH]: von der Ausgangszeile [G407-A00052:G407-E0046@3:AR#1]. Lokales Festhalten [G407-E0046@6:SH]: an der A-Stelle [RUNNING:G407-E0046@4:A_ADDR]. Lokales Festhalten [G407-E0046@6:SH]: mit der i-Variante [RUNNING:G407-E0046@5:LOCAL_CHAR_I]. Lokales Festhalten [G407-E0046@6:SH]: den laufenden Eintrag [G407-A00053:G407-E0046@7:Y#2].	Halte den äußeren laufenden Eintrag und den inneren laufenden Eintrag fest; von der Ausgangszeile; an der D-Stelle, an der A-Stelle und mit der i-Variante.	ALL_EVENT_CONTENT_LINKS_ON_EXACT_HEADS__GDT580_BACKCHANNEL_EXACT
2	GDT581-EV002	G407-E0069	G407-S004	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_B	dain	AIN	SH	1	1	0	1	0	1	0	0	OWNER_CONTENT_AUDIBLE_AS_LOCAL_ACTION	EXPLICIT_PRIMARY_HEAD_BLOCK	G407-A00070	G407-A00070	NONE	Im laufenden Gang halte den Teilwert fest.	Bezug auf den Besitzerrahmen [OWNER:F1R_TEXT_BLOCK_B]: den Teilwert [G407-A00070:G407-E0069@1:AIN#1].	Im laufenden Gang halte den Teilwert fest.	ALL_EVENT_CONTENT_LINKS_ON_EXACT_HEADS__GDT580_BACKCHANNEL_EXACT
3	GDT581-EV003	G407-E0148	G407-S005	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_C	chey	Y	R	1	1	0	1	0	1	0	0	REMOTE_HEAD_ROOT_DIFFERS_FROM_AUDIBLE_ACTION	EXPLICIT_PRIMARY_HEAD_BLOCK	G407-A00141	G407-A00141	NONE	Im laufenden Gang kennzeichne den laufenden Eintrag.	Bezug auf das vorangehende Eintragen [G407-E0147@1:OK]: den laufenden Eintrag [G407-A00141:G407-E0148@1:Y#1].	Im laufenden Gang kennzeichne den laufenden Eintrag.	ALL_EVENT_CONTENT_LINKS_ON_EXACT_HEADS__GDT580_BACKCHANNEL_EXACT
4	GDT581-EV004	G407-E0149	G407-S005	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_C	chy	Y	R	1	1	0	1	0	1	0	0	REMOTE_HEAD_ROOT_DIFFERS_FROM_AUDIBLE_ACTION	EXPLICIT_PRIMARY_HEAD_BLOCK	G407-A00142	G407-A00142	NONE	Im laufenden Gang kennzeichne den laufenden Eintrag.	Bezug auf das fortgeführte Eintragen [G407-E0147@1:OK]: den laufenden Eintrag [G407-A00142:G407-E0149@1:Y#1].	Im laufenden Gang kennzeichne den laufenden Eintrag.	ALL_EVENT_CONTENT_LINKS_ON_EXACT_HEADS__GDT580_BACKCHANNEL_EXACT
5	GDT581-EV005	G407-E0458	G407-S021	f17r	HERBAL	abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen	dor	D_ADDR+OR	K	1	1	1	1	1	2	0	0	NEXT_HEAD_ROOT_DIFFERS_FROM_AUDIBLE_ACTION	EXPLICIT_PRIMARY_HEAD_BLOCK	G407-A00419	G407-A00419	NONE	Im laufenden Gang gib die Arbeitseinheit zu; an der D-Stelle.	Bezug auf das folgende Nehmen [G407-E0459@2:CH]: an der D-Stelle [RUNNING:G407-E0458@1:D_ADDR]. Bezug auf das folgende Nehmen [G407-E0459@2:CH]: die Arbeitseinheit [G407-A00419:G407-E0458@2:OR#1].	Im laufenden Gang gib die Arbeitseinheit zu; an der D-Stelle.	ALL_EVENT_CONTENT_LINKS_ON_EXACT_HEADS__GDT580_BACKCHANNEL_EXACT
6	GDT581-EV006	G407-E0484	G407-S022	f17r	HERBAL	abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen	dair	D_ADDR+AIR	P	1	1	1	1	1	2	0	0	NEXT_HEAD_ROOT_DIFFERS_FROM_AUDIBLE_ACTION	EXPLICIT_PRIMARY_HEAD_BLOCK	G407-A00439	G407-A00439	NONE	Im laufenden Gang setze dieselbe Arbeitseinheit ein; entlang der Verarbeitungsbahn; an der D-Stelle.	Bezug auf das folgende Nehmen [G407-E0485@1:CH]: an der D-Stelle [RUNNING:G407-E0484@1:D_ADDR]. Bezug auf das folgende Nehmen [G407-E0485@1:CH]: entlang der Verarbeitungsbahn [G407-A00439:G407-E0484@2:AIR#1].	Im laufenden Gang setze dieselbe Arbeitseinheit ein; entlang der Verarbeitungsbahn; an der D-Stelle.	ALL_EVENT_CONTENT_LINKS_ON_EXACT_HEADS__GDT580_BACKCHANNEL_EXACT
7	GDT581-EV007	G407-E0522	G407-S026	f18r	HERBAL	große abgebildete Blütenpflanze	darod	D_ADDR+AR+O+D_ADDR	R	1	1	3	1	3	4	0	0	OWNER_CONTENT_AUDIBLE_AS_LOCAL_ACTION	EXPLICIT_PRIMARY_HEAD_BLOCK	G407-A00471	G407-A00471	NONE	Im laufenden Gang markiere; beim fortgeführten Markieren: an der D-Stelle; vom Ausgangsmaterial; als Ausführung; beim fortgeführten Markieren: wieder an der D-Stelle.	Bezug auf das vorangehende Markieren [G407-E0521@3:R]: an der D-Stelle [RUNNING:G407-E0522@1:D_ADDR]. Bezug auf den Besitzerrahmen [OWNER:große abgebildete Blütenpflanze]: vom Ausgangsmaterial [G407-A00471:G407-E0522@2:AR#1]. Bezug auf den Besitzerrahmen [OWNER:große abgebildete Blütenpflanze]: als Ausführung [RUNNING:G407-E0522@3:O]. Bezug auf das vorangehende Markieren [G407-E0521@3:R]: an der D-Stelle [RUNNING:G407-E0522@4:D_ADDR].	Im laufenden Gang markiere; beim fortgeführten Markieren: an der D-Stelle; vom Ausgangsmaterial; als Ausführung; beim fortgeführten Markieren: wieder an der D-Stelle.	ALL_EVENT_CONTENT_LINKS_ON_EXACT_HEADS__GDT580_BACKCHANNEL_EXACT
8	GDT581-EV008	G407-E0523	G407-S026	f18r	HERBAL	große abgebildete Blütenpflanze	yoar	Y+O+AR	R	2	2	1	2	1	3	0	0	NEXT_HEAD_ROOT_DIFFERS_FROM_AUDIBLE_ACTION|OWNER_CONTENT_AUDIBLE_AS_LOCAL_ACTION	EXPLICIT_PRIMARY_HEAD_BLOCK	G407-A00472|G407-A00473	G407-A00472|G407-A00473	NONE	Im laufenden Gang markiere den Pflanzenposten; vom Ausgangsmaterial; als Ausführung.	Bezug auf das folgende Zugeben [G407-E0524@2:K]: den Pflanzenposten [G407-A00472:G407-E0523@1:Y#1]. Bezug auf den Besitzerrahmen [OWNER_DEFAULT:große abgebildete Blütenpflanze:R]: als Ausführung [RUNNING:G407-E0523@2:O]. Bezug auf den Besitzerrahmen [OWNER:große abgebildete Blütenpflanze]: vom Ausgangsmaterial [G407-A00473:G407-E0523@3:AR#1].	Im laufenden Gang markiere den Pflanzenposten; vom Ausgangsmaterial; als Ausführung.	ALL_EVENT_CONTENT_LINKS_ON_EXACT_HEADS__GDT580_BACKCHANNEL_EXACT
9	GDT581-EV009	G407-E0570	G407-S028	f18r	HERBAL	große abgebildete Blütenpflanze	doldaiin	OL+AIIN	SH	1	1	0	1	0	1	0	0	NEXT_HEAD_ROOT_DIFFERS_FROM_AUDIBLE_ACTION	EXPLICIT_PRIMARY_HEAD_BLOCK	G407-A00516	G407-A00516	NONE	Weiter im laufenden Gang: halte den Arbeitswert.	Bezug auf das folgende Ansetzen [G407-E0571@1:OK]: den Arbeitswert [G407-A00516:G407-E0570@2:AIIN#1]. Strukturspur: OL@1→CONTROL:G407-E0570@1:OL.	Weiter im laufenden Gang: halte den Arbeitswert.	ALL_EVENT_CONTENT_LINKS_ON_EXACT_HEADS__GDT580_BACKCHANNEL_EXACT
10	GDT581-EV010	G407-E0616	G407-S031	f24v	HERBAL	F24V_WHOLE_PLANT	ydals	Y+AL+S	S	1	2	0	2	0	2	0	1	REMOTE_HEAD_ROOT_DIFFERS_FROM_AUDIBLE_ACTION	EXPLICIT_PRIMARY_HEAD_BLOCK	G407-A00552	G407-A00551|G407-A00552	G407-E0616@3:S	Wähle den Pflanzenposten; zur Zielstelle.	Lokales Wählen [G407-E0616@3:S]: den Pflanzenposten [G407-A00551:G407-E0616@1:Y#1]. Bezug auf das fortgeführte Zugeben [G407-E0613@1:K]: zur Zielstelle [G407-A00552:G407-E0616@2:AL#1].	Wähle den Pflanzenposten; zur Zielstelle.	ALL_EVENT_CONTENT_LINKS_ON_EXACT_HEADS__GDT580_BACKCHANNEL_EXACT
11	GDT581-EV011	G407-E0643	G407-S032	f24v	HERBAL	F24V_WHOLE_PLANT	arsa	AR+S+A_ADDR	S	1	1	1	1	1	2	0	1	REMOTE_HEAD_ROOT_DIFFERS_FROM_AUDIBLE_ACTION	EXPLICIT_PRIMARY_HEAD_BLOCK	G407-A00575	G407-A00575	G407-E0643@2:S	Wähle dieselbe Arbeitseinheit; vom Ausgangsmaterial; an der A-Stelle.	Bezug auf das vorangehende Nehmen [G407-E0642@1:CH]: vom Ausgangsmaterial [G407-A00575:G407-E0643@1:AR#1]. Lokales Wählen [G407-E0643@2:S]: an der A-Stelle [RUNNING:G407-E0643@3:A_ADDR].	Wähle dieselbe Arbeitseinheit; vom Ausgangsmaterial; an der A-Stelle.	ALL_EVENT_CONTENT_LINKS_ON_EXACT_HEADS__GDT580_BACKCHANNEL_EXACT
12	GDT581-EV012	G407-E0726	G407-S036	f55v	HERBAL	große aromatische Doldenpflanze	daiin	AIIN	K	1	1	0	1	0	1	0	0	NEXT_HEAD_ROOT_DIFFERS_FROM_AUDIBLE_ACTION	EXPLICIT_PRIMARY_HEAD_BLOCK	G407-A00651	G407-A00651	NONE	Im laufenden Gang gib den Arbeitswert zu.	Bezug auf das folgende Bearbeiten [G407-E0727@1:CHD]: den Arbeitswert [G407-A00651:G407-E0726@1:AIIN#1].	Im laufenden Gang gib den Arbeitswert zu.	ALL_EVENT_CONTENT_LINKS_ON_EXACT_HEADS__GDT580_BACKCHANNEL_EXACT
13	GDT581-EV013	G407-E0782	G407-S037	f55v	HERBAL	große aromatische Doldenpflanze	aiin	AIIN	K	1	1	0	1	0	1	0	0	NEXT_HEAD_ROOT_DIFFERS_FROM_AUDIBLE_ACTION	EXPLICIT_PRIMARY_HEAD_BLOCK	G407-A00715	G407-A00715	NONE	Im laufenden Gang gib den Arbeitswert zu.	Bezug auf das folgende Ansetzen [G407-E0783@1:OK]: den Arbeitswert [G407-A00715:G407-E0782@1:AIIN#1].	Im laufenden Gang gib den Arbeitswert zu.	ALL_EVENT_CONTENT_LINKS_ON_EXACT_HEADS__GDT580_BACKCHANNEL_EXACT
14	GDT581-EV014	G407-E0803	G407-S039	f56r	HERBAL	stachelköpfiges Kraut in mehreren Reifestufen	chy	Y	S	1	1	0	1	0	1	0	0	NEXT_HEAD_ROOT_DIFFERS_FROM_AUDIBLE_ACTION	EXPLICIT_PRIMARY_HEAD_BLOCK	G407-A00737	G407-A00737	NONE	Im laufenden Gang wähle den Pflanzenposten.	Bezug auf das folgende Nehmen [G407-E0804@2:CH]: den Pflanzenposten [G407-A00737:G407-E0803@1:Y#1].	Im laufenden Gang wähle den Pflanzenposten.	ALL_EVENT_CONTENT_LINKS_ON_EXACT_HEADS__GDT580_BACKCHANNEL_EXACT
15	GDT581-EV015	G407-E0909	G407-S042	f67r2	CELESTIAL	zwei getrennte Himmelsräder und Tabelle	odaeiin	O+DA+E+IIN	S	1	1	3	1	3	4	0	0	NEXT_HEAD_ROOT_DIFFERS_FROM_AUDIBLE_ACTION	EXPLICIT_PRIMARY_HEAD_BLOCK	G407-A00831	G407-A00831	NONE	Im laufenden Gang wähle denselben Positionsposten; als Ausführung, auf der zweiten Stufe, auf Grad I und auf der bezeichneten Stufe.	Bezug auf das folgende Setzen [G407-E0910@1:OK]: als Ausführung [RUNNING:G407-E0909@1:O]. Bezug auf das folgende Setzen [G407-E0910@1:OK]: auf der zweiten Stufe [RUNNING:G407-E0909@2:DA]. Bezug auf das folgende Setzen [G407-E0910@1:OK]: auf Grad I [G407-A00831:G407-E0909@3:E#1]. Bezug auf das folgende Setzen [G407-E0910@1:OK]: auf der bezeichneten Stufe [RUNNING:G407-E0909@4:IIN].	Im laufenden Gang wähle denselben Positionsposten; als Ausführung, auf der zweiten Stufe, auf Grad I und auf der bezeichneten Stufe.	ALL_EVENT_CONTENT_LINKS_ON_EXACT_HEADS__GDT580_BACKCHANNEL_EXACT
16	GDT581-EV016	G407-E0915	G407-S042	f67r2	CELESTIAL	zwei getrennte Himmelsräder und Tabelle	dy	Y	R	1	1	0	1	0	1	0	0	REMOTE_HEAD_ROOT_DIFFERS_FROM_AUDIBLE_ACTION	EXPLICIT_PRIMARY_HEAD_BLOCK	G407-A00839	G407-A00839	NONE	Im laufenden Gang markiere den Positionsposten.	Bezug auf das vorangehende Wählen [G407-E0914@1:S]: den Positionsposten [G407-A00839:G407-E0915@1:Y#1].	Im laufenden Gang markiere den Positionsposten.	ALL_EVENT_CONTENT_LINKS_ON_EXACT_HEADS__GDT580_BACKCHANNEL_EXACT
17	GDT581-EV017	G407-E0931	G407-S043	f67r2	CELESTIAL	zwei getrennte Himmelsräder und Tabelle	ofar	O+LOCAL_CHAR_F+AR	R	1	1	2	1	2	3	0	0	REMOTE_HEAD_ROOT_DIFFERS_FROM_AUDIBLE_ACTION	EXPLICIT_PRIMARY_HEAD_BLOCK	G407-A00856	G407-A00856	NONE	Im laufenden Gang markiere denselben Sektoranteil; von der Ausgangsposition; als Ausführung; bei der f-Kennmarke.	Bezug auf das vorangehende Wählen [G407-E0930@1:S]: als Ausführung [RUNNING:G407-E0931@1:O]. Bezug auf das vorangehende Wählen [G407-E0930@1:S]: bei der f-Kennmarke [RUNNING:G407-E0931@2:LOCAL_CHAR_F]. Bezug auf das vorangehende Wählen [G407-E0930@1:S]: von der Ausgangsposition [G407-A00856:G407-E0931@3:AR#1].	Im laufenden Gang markiere denselben Sektoranteil; von der Ausgangsposition; als Ausführung; bei der f-Kennmarke.	ALL_EVENT_CONTENT_LINKS_ON_EXACT_HEADS__GDT580_BACKCHANNEL_EXACT
18	GDT581-EV018	G407-E0932	G407-S043	f67r2	CELESTIAL	zwei getrennte Himmelsräder und Tabelle	ar	AR	R	1	1	0	1	0	1	0	0	REMOTE_HEAD_ROOT_DIFFERS_FROM_AUDIBLE_ACTION	EXPLICIT_PRIMARY_HEAD_BLOCK	G407-A00857	G407-A00857	NONE	Im laufenden Gang markiere denselben Sektoranteil; von der Ausgangsposition.	Bezug auf das fortgeführte Wählen [G407-E0930@1:S]: von der Ausgangsposition [G407-A00857:G407-E0932@1:AR#1].	Im laufenden Gang markiere denselben Sektoranteil; von der Ausgangsposition.	ALL_EVENT_CONTENT_LINKS_ON_EXACT_HEADS__GDT580_BACKCHANNEL_EXACT
