local_component_ordinal	slot_id	source_event_id	local_card_host_key	source_partition	physical_page	register	locus	owner_de	record_governor_key	surface	component_recipe	component_position	component_root	local_component_subtype	boundary_class	fill_status	primary_governor_kind	primary_governor_key	guard
1	LOCAL_COMPONENT:P1003-E0079@1	P1003-E0079	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1003-E0079	GDT479_MICRORECORD_183	f17r	HERBAL	f17r.13	Name oder Kennung fuer Bezeichnung bei der abgebildeten ganzen Bluetenpflanze	LOCAL_RECORD:G475-R001	oteeeon	OT	1	OT	CONTROL	LOCAL_STATE_CONTROL	CONTROL_HOST_ONLY	LOCAL_CONTROL_OR_CARD	LOCAL_CONTROL:P1003-E0079@1:OT	ONE_LOCAL_COMPONENT__ONE_CARD__ONE_PRIMARY_GOVERNOR
2	LOCAL_COMPONENT:P912-E1749@1	P912-E1749	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P912-E1749	GDT513_REMAINDER_510	f67r2	CELESTIAL	f67r2.1	zwei lokale Himmelsraeder	NOT_APPLICABLE	ykshy	Y+K+Y	1	Y	OBJECT	LOCAL_OBJECT_FUNCTION	CONTENT_CARRIER	LOCAL_ACTION	LOCAL_ACTION:P912-E1749@2:K	ONE_LOCAL_COMPONENT__ONE_CARD__ONE_PRIMARY_GOVERNOR
3	LOCAL_COMPONENT:P912-E1749@2	P912-E1749	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P912-E1749	GDT513_REMAINDER_510	f67r2	CELESTIAL	f67r2.1	zwei lokale Himmelsraeder	NOT_APPLICABLE	ykshy	Y+K+Y	2	K	ACTION	LOCAL_ACTION_FUNCTION	CONTENT_CARRIER	SELF_ACTION	LOCAL_ACTION:P912-E1749@2:K	ONE_LOCAL_COMPONENT__ONE_CARD__ONE_PRIMARY_GOVERNOR
4	LOCAL_COMPONENT:P912-E1749@3	P912-E1749	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P912-E1749	GDT513_REMAINDER_510	f67r2	CELESTIAL	f67r2.1	zwei lokale Himmelsraeder	NOT_APPLICABLE	ykshy	Y+K+Y	3	Y	OBJECT	LOCAL_OBJECT_FUNCTION	CONTENT_CARRIER	LOCAL_ACTION	LOCAL_ACTION:P912-E1749@2:K	ONE_LOCAL_COMPONENT__ONE_CARD__ONE_PRIMARY_GOVERNOR
5	LOCAL_COMPONENT:P912-E1750@1	P912-E1750	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P912-E1750	GDT513_REMAINDER_510	f67r2	CELESTIAL	f67r2.1	zwei lokale Himmelsraeder	NOT_APPLICABLE	s	S	1	S	ACTION	LOCAL_ACTION_FUNCTION	CONTENT_CARRIER	SELF_ACTION	LOCAL_ACTION:P912-E1750@1:S	ONE_LOCAL_COMPONENT__ONE_CARD__ONE_PRIMARY_GOVERNOR
6	LOCAL_COMPONENT:P912-E1751@1	P912-E1751	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P912-E1751	GDT513_REMAINDER_510	f67r2	CELESTIAL	f67r2.1	zwei lokale Himmelsraeder	NOT_APPLICABLE	aram	AR+AM_ADDR	1	AR	RELATION	LOCAL_RELATION_FUNCTION	CONTENT_CARRIER	LOCAL_CARD_OR_RECORD	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P912-E1751	ONE_LOCAL_COMPONENT__ONE_CARD__ONE_PRIMARY_GOVERNOR
7	LOCAL_COMPONENT:P912-E1751@2	P912-E1751	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P912-E1751	GDT513_REMAINDER_510	f67r2	CELESTIAL	f67r2.1	zwei lokale Himmelsraeder	NOT_APPLICABLE	aram	AR+AM_ADDR	2	AM_ADDR	SIGLA_CLASS	LOCAL_MODIFIER_FUNCTION	CONTENT_CARRIER	LOCAL_CARD_OR_RECORD	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P912-E1751	ONE_LOCAL_COMPONENT__ONE_CARD__ONE_PRIMARY_GOVERNOR
8	LOCAL_COMPONENT:P912-E1752@1	P912-E1752	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P912-E1752	GDT513_REMAINDER_510	f67r2	CELESTIAL	f67r2.2	zwei lokale Himmelsraeder	NOT_APPLICABLE	ykecho	Y+K+E+CH+O	1	Y	OBJECT	LOCAL_OBJECT_FUNCTION	CONTENT_CARRIER	LOCAL_ACTION	LOCAL_ACTION:P912-E1752@2:K	ONE_LOCAL_COMPONENT__ONE_CARD__ONE_PRIMARY_GOVERNOR
9	LOCAL_COMPONENT:P912-E1752@2	P912-E1752	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P912-E1752	GDT513_REMAINDER_510	f67r2	CELESTIAL	f67r2.2	zwei lokale Himmelsraeder	NOT_APPLICABLE	ykecho	Y+K+E+CH+O	2	K	ACTION	LOCAL_ACTION_FUNCTION	CONTENT_CARRIER	SELF_ACTION	LOCAL_ACTION:P912-E1752@2:K	ONE_LOCAL_COMPONENT__ONE_CARD__ONE_PRIMARY_GOVERNOR
10	LOCAL_COMPONENT:P912-E1752@3	P912-E1752	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P912-E1752	GDT513_REMAINDER_510	f67r2	CELESTIAL	f67r2.2	zwei lokale Himmelsraeder	NOT_APPLICABLE	ykecho	Y+K+E+CH+O	3	E	GRADE	LOCAL_MODIFIER_FUNCTION	CONTENT_CARRIER	LOCAL_ACTION	LOCAL_ACTION:P912-E1752@2:K	ONE_LOCAL_COMPONENT__ONE_CARD__ONE_PRIMARY_GOVERNOR
