local_type_order	surface	occurrences	diagrams	namespaces	group_serials	label_frame_resolved	working_type_value_de
1	okeod	4	A3	A69_LEFT_28_PLACE_WHEEL	279|375|379|390	YES	ansetzen + kurz + Arbeitsgang + Platzetikett
2	s	4	A1	A67_RIGHT_CELESTIAL_WHEEL	2|30|145|151	YES	Sternetikett
3	am	3	A1	A67_LEFT_CELESTIAL_WHEEL	54|69|71	NO	gelernter Himmelsname AM
4	dair	3	A3	A69_LEFT_28_PLACE_WHEEL|A69_RIGHT_FACE_RAY_WHEEL	256|336|357	NO	gelernter Himmelsname DAIR
5	ay	2	A1	A67_RIGHT_CELESTIAL_WHEEL|A67_PAIRED_WHEEL_PAGE_LEGEND_UNRESOLVED	152|190	NO	gelernter Himmelsname AY
6	chocfhy	2	A1|A2	A67_LEFT_CELESTIAL_WHEEL|A68_MULTIPANEL_STAR_ATLAS	51|226	NO	gelernter Himmelsname CHOCFHY
7	chos	2	A1	A67_LEFT_CELESTIAL_WHEEL|A67_PAIRED_WHEEL_PAGE_LEGEND_UNRESOLVED	104|183	YES	Gabe + Sternetikett
8	dchor	2	A2|A3	A68_MULTIPANEL_STAR_ATLAS|A69_LEFT_28_PLACE_WHEEL	217|294	NO	gelernter Himmelsname DCHOR
9	ofar	2	A1	A67_LEFT_CELESTIAL_WHEEL	60|84	NO	gelernter Himmelsname OFAR
10	a	1	A3	A69_RIGHT_FACE_RAY_WHEEL	351	NO	gelernter Himmelsname A
11	alys	1	A3	A69_LEFT_28_PLACE_WHEEL	395	YES	Stelle + dies + Sternetikett
12	amy	1	A1	A67_LEFT_CELESTIAL_WHEEL	50	NO	gelernter Himmelsname AMY
13	aram	1	A1	A67_RIGHT_CELESTIAL_WHEEL	3	NO	gelernter Himmelsname ARAM
14	chda	1	A3	A69_RIGHT_FACE_RAY_WHEEL	344	NO	gelernter Himmelsname CHDA
15	chees	1	A3	A69_LEFT_28_PLACE_WHEEL	286	YES	abziehen + laenger + Sternetikett
16	cheos	1	A1	A67_PAIRED_WHEEL_PAGE_LEGEND_UNRESOLVED	180	YES	Auszug + Sternetikett
17	cheteeser	1	A3	A69_RIGHT_FACE_RAY_WHEEL	356	NO	gelernter Himmelsname CHETEESER
18	chod	1	A2	A68_MIDDLE_STAR_PANEL	208	YES	Gabe + Platzetikett
19	choeea	1	A1	A67_LEFT_CELESTIAL_WHEEL	125	NO	gelernter Himmelsname CHOEEA
20	chsdy	1	A3	A69_LEFT_28_PLACE_WHEEL	278	NO	gelernter Himmelsname CHSDY
21	chykchs	1	A1	A67_RIGHT_CELESTIAL_WHEEL	25	YES	dies + zufuehren + abziehen + Sternetikett
22	cpheey	1	A1	A67_RIGHT_CELESTIAL_WHEEL	148	NO	gelernter Himmelsname CPHEEY
23	cphocthy	1	A2	A68_MULTIPANEL_STAR_ATLAS	231	NO	gelernter Himmelsname CPHOCTHY
24	cphol	1	A2	A68_LEFT_STAR_PANEL	194	NO	gelernter Himmelsname CPHOL
25	d	1	A3	A69_LEFT_28_PLACE_WHEEL	389	YES	Platzetikett
26	dadaiin	1	A1	A67_LEFT_CELESTIAL_WHEEL	127	NO	gelernter Himmelsname DADAIIN
