resolution_order	group_serial	diagram_id	page	locus	surface	core_surface	label_frame	label_frame_value_de	core_parse_alternatives	selected_parse	selected_atomic_value_de	selection_rule
1	2	A1	f67r2	f67r2.1	s	EMPTY	S_LABEL	Sternetikett	EMPTY	S_LABEL	Sternetikett	UNIQUE_CORE_AFTER_LABEL_FRAME_REMOVAL
2	8	A1	f67r2	f67r2.3	shs	sh	S_LABEL	Sternetikett	SH	SH+S_LABEL	halten + Sternetikett	UNIQUE_CORE_AFTER_LABEL_FRAME_REMOVAL
3	11	A1	f67r2	f67r2.4	sykos	syko	S_LABEL	Sternetikett	Y+K+O	Y+K+O+S_LABEL	dies + zufuehren + Arbeitsgang + Sternetikett	UNIQUE_CORE_AFTER_LABEL_FRAME_REMOVAL
4	17	A1	f67r2	f67r2.7	ykchys	ykchy	S_LABEL	Sternetikett	Y+K+Y	Y+K+Y+S_LABEL	dies + zufuehren + dies + Sternetikett	UNIQUE_CORE_AFTER_LABEL_FRAME_REMOVAL
5	25	A1	f67r2	f67r2.11	chykchs	chykch	S_LABEL	Sternetikett	Y+K+CH	Y+K+CH+S_LABEL	dies + zufuehren + abziehen + Sternetikett	UNIQUE_CORE_AFTER_LABEL_FRAME_REMOVAL
6	27	A1	f67r2	f67r2.12	ykees	ykee	S_LABEL	Sternetikett	Y+K+EE	Y+K+EE+S_LABEL	dies + zufuehren + laenger + Sternetikett	UNIQUE_CORE_AFTER_LABEL_FRAME_REMOVAL
7	28	A1	f67r2	f67r2.12	ykchos	ykcho	S_LABEL	Sternetikett	Y+K+HO	Y+K+HO+S_LABEL	dies + zufuehren + Gabe + Sternetikett	UNIQUE_CORE_AFTER_LABEL_FRAME_REMOVAL
8	30	A1	f67r2	f67r2.13	s	EMPTY	S_LABEL	Sternetikett	EMPTY	S_LABEL	Sternetikett	UNIQUE_CORE_AFTER_LABEL_FRAME_REMOVAL
9	38	A1	f67r2	f67r2.16	okoes	okoe	S_LABEL	Sternetikett	OK+O+E	OK+O+E+S_LABEL	ansetzen + Arbeitsgang + kurz + Sternetikett	UNIQUE_CORE_AFTER_LABEL_FRAME_REMOVAL
10	98	A1	f67r2	f67r2.40	yteos	yteo	S_LABEL	Sternetikett	Y+T+E+O	Y+T+E+O+S_LABEL	dies + eintragen + kurz + Arbeitsgang + Sternetikett	UNIQUE_CORE_AFTER_LABEL_FRAME_REMOVAL
