visible_surface	occurrences	atom_sequence	common_nucleus_de	owners	composition_status	local_astro_reading_de	workshop_pronunciation_de
alaiin	1	AL+AIIN	ZIELWERT	A1_LEFT_LOCAL_FIELD_32	FAMILY_COMPOSITION	Sternplatz A1_LEFT_LOCAL_FIELD_32: Zielsektor, Zielstern oder Zielfeld + Sollwert oder Grad eines Diagrammplatzes.	ZIELWERT; am Besitzer A1_LEFT_LOCAL_FIELD_32
aldaiin	1	AL+AIIN	ZIELWERT	A1_LEFT_OUTER_RING_TEXT	FAMILY_COMPOSITION	Ring- oder Bandstelle A1_LEFT_OUTER_RING_TEXT: Zielsektor, Zielstern oder Zielfeld + Sollwert oder Grad eines Diagrammplatzes; lokaler Namensrest d.	ZIELWERT; am Besitzer A1_LEFT_OUTER_RING_TEXT
chedaiin	1	CHD+AIIN	ZUM SOLLWERT UMSETZEN	A1_LEFT_LOCAL_FIELD_39	FORWARD_SINGLE_CELL	Sternplatz A1_LEFT_LOCAL_FIELD_39: Wert oder Platzbezug uebertragen + Sollwert oder Grad eines Diagrammplatzes.	ZUM SOLLWERT UMSETZEN; am Besitzer A1_LEFT_LOCAL_FIELD_39
cheokorchey	1	CHEO+OR	Auszug/Ausgabe + Ansatz/Satz	A2_MIDDLE_PANEL_HEADER	LEARNED_ASTRO_WORD_WITH_COMPONENT_HINT	Sternplatz A2_MIDDLE_PANEL_HEADER: Diagrammposten setzen oder aktivieren + Bedingungs-, Tabellen- oder Wahlansatz; lokaler Namensrest che/chey.	Auszug/Ausgabe + Ansatz/Satz; am Besitzer A2_MIDDLE_PANEL_HEADER
chkchdar	1	KCH+AR	Bearbeiten + Quelle	A1_RIGHT_SECTOR_SLOT_08	LEARNED_ASTRO_WORD_WITH_COMPONENT_HINT	Sektorplatz A1_RIGHT_SECTOR_SLOT_08: Grad oder Diagrammzustand justieren + Wert oder Platzbezug uebertragen + Ausgangssektor, Ursprung oder Bezugswert.	Bearbeiten + Quelle; am Besitzer A1_RIGHT_SECTOR_SLOT_08
chkchykoly	1	KCH+OL	Bearbeiten + Fortsetzen	A2_MULTIPANEL_HEADER_FRAGMENT_07	LEARNED_ASTRO_WORD_WITH_COMPONENT_HINT	Tafelkopf A2_MULTIPANEL_HEADER_FRAGMENT_07: Diagrammplatz berechnen oder bearbeiten + im selben Ring, Band oder Satz fortsetzen; lokaler Namensrest ch/yk/y.	Bearbeiten + Fortsetzen; am Besitzer A2_MULTIPANEL_HEADER_FRAGMENT_07
choaiin	1	HO+AIIN	Eingangsposten + Sollwert/Maß	A3_LEFT_WHEEL_RING_TEXT	LEARNED_ASTRO_WORD_WITH_COMPONENT_HINT	Radstelle A3_LEFT_WHEEL_RING_TEXT: Himmelsobjekt oder Eingangsbedingung + Sollwert oder Grad eines Diagrammplatzes; lokaler Namensrest c.	Eingangsposten + Sollwert/Maß; am Besitzer A3_LEFT_WHEEL_RING_TEXT
choctheeey	1	HO+CTH	Eingangsposten + Bereitwert	A2_LEFT_PANEL_HEADER	LEARNED_ASTRO_WORD_WITH_COMPONENT_HINT	Sternplatz A2_LEFT_PANEL_HEADER: Himmelsobjekt oder Eingangsbedingung + lange oder volle Diagrammstufe; lokaler Namensrest c/cth/y.	Eingangsposten + Bereitwert; am Besitzer A2_LEFT_PANEL_HEADER
chokal	1	HO+AL	Eingangsposten + Ziel	A2_RIGHT_PANEL_HEADER	LEARNED_ASTRO_WORD_WITH_COMPONENT_HINT	Sektorplatz A2_RIGHT_PANEL_HEADER: Diagrammposten setzen oder aktivieren + Zielsektor, Zielstern oder Zielfeld; lokaler Namensrest ch.	Eingangsposten + Ziel; am Besitzer A2_RIGHT_PANEL_HEADER
dchdar	1	CHD+AR	Umsetzen + Quelle	A1_LEFT_OUTER_STAR_STATION_02	LEARNED_ASTRO_WORD_WITH_COMPONENT_HINT	Sternplatz A1_LEFT_OUTER_STAR_STATION_02: Wert oder Platzbezug uebertragen + Ausgangssektor, Ursprung oder Bezugswert; lokaler Namensrest d.	Umsetzen + Quelle; am Besitzer A1_LEFT_OUTER_STAR_STATION_02
dolchedy	1	OL+CHD	Fortsetzen + Umsetzen	A2_STAR_STATION_28	LEARNED_ASTRO_WORD_WITH_COMPONENT_HINT	Sternplatz A2_STAR_STATION_28: im selben Ring, Band oder Satz fortsetzen + Wert oder Platzbezug uebertragen; lokaler Namensrest d/y.	Fortsetzen + Umsetzen; am Besitzer A2_STAR_STATION_28
eckhear	1	CKHE+AR	Seihen/Trennen + Quelle	A2_RIGHT_PANEL_HEADER	LEARNED_ASTRO_WORD_WITH_COMPONENT_HINT	Sektorplatz A2_RIGHT_PANEL_HEADER: durch Sektor, Ring oder Pruefweg fuehren + Ausgangssektor, Ursprung oder Bezugswert; lokaler Namensrest e.	Seihen/Trennen + Quelle; am Besitzer A2_RIGHT_PANEL_HEADER
iokeeor	1	OK+OR	Aktivieren + Ansatz/Satz	A3_MIDDLE_WHEEL_RING_TEXT	LEARNED_ASTRO_WORD_WITH_COMPONENT_HINT	lokaler Himmels- oder Kalenderplatz A3_MIDDLE_WHEEL_RING_TEXT: Diagrammposten setzen oder aktivieren + lange oder volle Diagrammstufe + Bedingungs-, Tabellen- oder Wahlansatz; lokaler Namensrest i.	Aktivieren + Ansatz/Satz; am Besitzer A3_MIDDLE_WHEEL_RING_TEXT
octhole	1	CTH+OL	Bereitwert + Fortsetzen	A1_LEFT_LOCAL_FIELD_38	LEARNED_ASTRO_WORD_WITH_COMPONENT_HINT	Sternplatz A1_LEFT_LOCAL_FIELD_38: im selben Ring, Band oder Satz fortsetzen; lokaler Namensrest octh/e.	Bereitwert + Fortsetzen; am Besitzer A1_LEFT_LOCAL_FIELD_38
okaiiin	1	OK+IIN	Aktivieren + Stufe	A2_MULTIPANEL_HEADER_FRAGMENT_04	LEARNED_ASTRO_WORD_WITH_COMPONENT_HINT	Tafelkopf A2_MULTIPANEL_HEADER_FRAGMENT_04: Diagrammposten setzen oder aktivieren + Grad- oder Bedingungsstufe; lokaler Namensrest ai.	Aktivieren + Stufe; am Besitzer A2_MULTIPANEL_HEADER_FRAGMENT_04
okar	4	OK+AR	QUELLE AKTIVIEREN	A1_RIGHT_SECTOR_SLOT_03|A1_RIGHT_SECTOR_SLOT_10|A3_LEFT_WHEEL_RING_TEXT	FAMILY_COMPOSITION	Sektorplatz A1_RIGHT_SECTOR_SLOT_03: Diagrammposten setzen oder aktivieren + Ausgangssektor, Ursprung oder Bezugswert.	QUELLE AKTIVIEREN; am Besitzer A1_RIGHT_SECTOR_SLOT_03|A1_RIGHT_SECTOR_SLOT_10|A3_LEFT_WHEEL_RING_TEXT
okardy	1	OK+AR	QUELLE AKTIVIEREN	A2_CENTRAL_LEGEND_UNRESOLVED	FAMILY_COMPOSITION	Legendenstelle A2_CENTRAL_LEGEND_UNRESOLVED: Diagrammposten setzen oder aktivieren + Ausgangssektor, Ursprung oder Bezugswert; lokaler Namensrest dy.	QUELLE AKTIVIEREN; am Besitzer A2_CENTRAL_LEGEND_UNRESOLVED
