atom_sequence	common_nucleus_de	surface_type_count	astro_occurrences	owner_count	owners	surface_forms	pages	status	teaching_rule_de
OK+AR	QUELLE AKTIVIEREN	5	9	8	A1_LEFT_OUTER_STAR_STATION_10|A1_LEFT_OUTER_STAR_STATION_12|A1_RIGHT_PHASE_STATION_04|A1_RIGHT_SECTOR_SLOT_03|A1_RIGHT_SECTOR_SLOT_10|A2_CENTRAL_LEGEND_UNRESOLVED|A2_STAR_STATION_08|A3_LEFT_WHEEL_RING_TEXT	okar|okardy|okear|okodar|ytokar	OWNER_ENCODED	PROMOTED_PRODUCTIVE_FAMILY	lies die Kerne in Reihenfolge; der sichtbare Besitzer liefert Stern, Ring, Wert, Stoff oder Station
OK+AL	ZIEL AKTIVIEREN	5	5	5	A2_CENTRE_KEY_UNRESOLVED|A2_STAR_STATION_03|A2_STAR_STATION_24|A3_LEFT_RADIAL_SLOT_10|A3_RIGHT_WHEEL_RING_TEXT	okeal|okeeodal|okeodal|okoaly|okodaly	OWNER_ENCODED	PROMOTED_PRODUCTIVE_FAMILY	lies die Kerne in Reihenfolge; der sichtbare Besitzer liefert Stern, Ring, Wert, Stoff oder Station
OK+OL	FORTSETZUNG AKTIVIEREN	2	3	3	A1_LEFT_LOCAL_FIELD_35|A1_RIGHT_OUTER_RING_TEXT|A2_STAR_STATION_20	okol|okoldy	OWNER_ENCODED	PROMOTED_PRODUCTIVE_FAMILY	lies die Kerne in Reihenfolge; der sichtbare Besitzer liefert Stern, Ring, Wert, Stoff oder Station
OT+OL	ALS NÄCHSTES FORTSETZEN	3	3	3	A1_LEFT_LOCAL_FIELD_38|A3_LEFT_RADIAL_SLOT_13|A3_RIGHT_WHEEL_RING_TEXT	oteol|otoldos|otoly	OWNER_ENCODED	PROMOTED_PRODUCTIVE_FAMILY	lies die Kerne in Reihenfolge; der sichtbare Besitzer liefert Stern, Ring, Wert, Stoff oder Station
OT+OR	NÄCHSTER SATZ/ANSATZ	2	3	3	A2_LEFT_PANEL_HEADER|A2_STAR_STATION_18|A3_RIGHT_WHEEL_RING_TEXT	otor|qoteor	OWNER_ENCODED	PROMOTED_PRODUCTIVE_FAMILY	lies die Kerne in Reihenfolge; der sichtbare Besitzer liefert Stern, Ring, Wert, Stoff oder Station
AL+AIIN	ZIELWERT	2	2	2	A1_LEFT_LOCAL_FIELD_32|A1_LEFT_OUTER_RING_TEXT	alaiin|aldaiin	OWNER_ENCODED	PROMOTED_PRODUCTIVE_FAMILY	lies die Kerne in Reihenfolge; der sichtbare Besitzer liefert Stern, Ring, Wert, Stoff oder Station
AR+AL	VON QUELLE ZUM ZIEL	1	2	2	A1_LEFT_LOCAL_FIELD_20|A3_LEFT_RADIAL_SLOT_16	saral	OWNER_ENCODED	PROMOTED_PRODUCTIVE_FAMILY	lies die Kerne in Reihenfolge; der sichtbare Besitzer liefert Stern, Ring, Wert, Stoff oder Station
OT+AR	NÄCHSTE QUELLE	2	2	2	A1_LEFT_OUTER_STAR_STATION_01|A3_RIGHT_WHEEL_RING_TEXT	otoar|qotoear	OWNER_ENCODED	PROMOTED_PRODUCTIVE_FAMILY	lies die Kerne in Reihenfolge; der sichtbare Besitzer liefert Stern, Ring, Wert, Stoff oder Station
AL+AIN	ZIEL + PORTION	1	1	1	A1_LEFT_LOCAL_FIELD_23	salsain	OWNER_ENCODED	ONE_OFF_COMPOSITION	lies die Kerne in Reihenfolge; der sichtbare Besitzer liefert Stern, Ring, Wert, Stoff oder Station
AL+HO	ZIEL + EINGANGSPOSTEN	1	1	1	A1_LEFT_OUTER_RING_TEXT	ytalchos	OWNER_ENCODED	ONE_OFF_COMPOSITION	lies die Kerne in Reihenfolge; der sichtbare Besitzer liefert Stern, Ring, Wert, Stoff oder Station
CHD+AIIN	ZUM SOLLWERT UMSETZEN	1	1	1	A1_LEFT_LOCAL_FIELD_39	chedaiin	OWNER_ENCODED	FORWARD_PREDICTED_SINGLE_CELL	vor dem Astro-Scan aus dem Prosa-Paradigma gebildet; Besitzer liefert die lokale Expansion
CHD+AR	UMSETZEN + QUELLE	1	1	1	A1_LEFT_OUTER_STAR_STATION_02	dchdar	OWNER_ENCODED	ONE_OFF_COMPOSITION	lies die Kerne in Reihenfolge; der sichtbare Besitzer liefert Stern, Ring, Wert, Stoff oder Station
CHEO+OR	AUSGABE/AUSZUG + SATZ/ANSATZ	1	1	1	A2_MIDDLE_PANEL_HEADER	cheokorchey	OWNER_ENCODED	ONE_OFF_COMPOSITION	lies die Kerne in Reihenfolge; der sichtbare Besitzer liefert Stern, Ring, Wert, Stoff oder Station
CKHE+AR	TRENNEN/SEIHEN + QUELLE	1	1	1	A2_RIGHT_PANEL_HEADER	eckhear	OWNER_ENCODED	ONE_OFF_COMPOSITION	lies die Kerne in Reihenfolge; der sichtbare Besitzer liefert Stern, Ring, Wert, Stoff oder Station
