atom	short_common_value_de	prose_card_types	prose_events	astro_candidate_types	astro_candidate_occurrences	portability_status	wet_owner_expansion_de	celestial_owner_expansion_de
AIIN	SOLLWERT	10	39	5	5	PORTABLE_BOTH_REGISTERS	Sollmaß	Sollwert/Grad
AIN	PORTION	7	16	1	1	PORTABLE_BOTH_REGISTERS	portion	portion
IIN	STUFE	3	4	1	1	PORTABLE_BOTH_REGISTERS	Arbeitsstufe	Bedingungsstufe
AL	ZIEL	23	40	15	16	PORTABLE_BOTH_REGISTERS	Zielstelle	Zielsektor/Zielstern
AR	QUELLE	10	14	14	19	PORTABLE_BOTH_REGISTERS	Ausgangsquelle	Ausgangssektor/Ursprung
AIR	LAUF/BAHN	5	5	1	1	PORTABLE_BOTH_REGISTERS	laufende Flüssigkeit/Wasserlauf	Ring-/Zeiger-/Himmelsbahn
OK	AKTIVIEREN/ANSETZEN	24	80	18	23	PORTABLE_BOTH_REGISTERS	aktivieren/ansetzen	aktivieren/ansetzen
OL	FORTSETZEN	23	46	11	12	PORTABLE_BOTH_REGISTERS	fortsetzen	fortsetzen
OT	FOLGE/NÄCHSTER	16	26	16	17	PORTABLE_BOTH_REGISTERS	folge/nächster	folge/nächster
OR	SATZ/ANSATZ	9	17	6	7	PORTABLE_BOTH_REGISTERS	Ansatz	Wahl-/Tabellensatz
Y	AKTUELLER POSTEN	51	111	0	0	PROSE_PRODUCTIVE	aktueller posten	aktueller posten
E	KURZ	22	45	0	0	PROSE_PRODUCTIVE	kurz	kurz
EE	LÄNGER	14	34	0	0	PROSE_PRODUCTIVE	länger	länger
EEE	VOLL	2	2	0	0	PROSE_PRODUCTIVE	voll	voll
CHD	UMSETZEN	22	48	4	4	PORTABLE_BOTH_REGISTERS	umsetzen	umsetzen
CTH	BEREIT	9	16	2	2	PORTABLE_BOTH_REGISTERS	bereit	bereit
CKH	DURCHLAUF	7	10	0	0	PROSE_PRODUCTIVE	durchlauf	durchlauf
CKHE	TRENNEN/SEIHEN	2	4	1	1	PORTABLE_BOTH_REGISTERS	trennen/seihen	trennen/seihen
CHK	WÄRMEN/HALTEN	4	7	0	0	PROSE_PRODUCTIVE	wärmen/halten	wärmen/halten
SHED	ABSETZEN	7	19	0	0	PROSE_PRODUCTIVE	absetzen	absetzen
SOLK	SAMMELN	4	6	0	0	PROSE_PRODUCTIVE	sammeln	sammeln
HO	EINGANGSPOSTEN	10	13	6	6	PORTABLE_BOTH_REGISTERS	eingangsposten	eingangsposten
CHEO	AUSGABE/AUSZUG	4	4	2	2	PORTABLE_BOTH_REGISTERS	ausgabe/auszug	ausgabe/auszug
KCH	BEARBEITEN	7	7	5	5	PORTABLE_BOTH_REGISTERS	bearbeiten	bearbeiten
TY	TEIL	6	7	0	0	PROSE_PRODUCTIVE	teil	teil
