atom_sequence	residual_string	astro_occurrences	surface_examples	current_role	semantic_decision
AL+AIIN	NONE	1	alaiin	NO_RESIDUAL	do not assign an independent meaning until recurrence separates it from owner and family
AL+AIIN	d	1	aldaiin	RENDERER_OR_LOCAL_MODIFIER	do not assign an independent meaning until recurrence separates it from owner and family
AL+AIN	ss	1	salsain	RENDERER_OR_LOCAL_MODIFIER	do not assign an independent meaning until recurrence separates it from owner and family
AL+HO	yts	1	ytalchos	RENDERER_OR_LOCAL_MODIFIER	do not assign an independent meaning until recurrence separates it from owner and family
AR+AL	s	2	saral	RENDERER_OR_LOCAL_MODIFIER	do not assign an independent meaning until recurrence separates it from owner and family
CHD+AIIN	NONE	1	chedaiin	NO_RESIDUAL	do not assign an independent meaning until recurrence separates it from owner and family
CHD+AR	d	1	dchdar	RENDERER_OR_LOCAL_MODIFIER	do not assign an independent meaning until recurrence separates it from owner and family
CHEO+OR	kchey	1	cheokorchey	RENDERER_OR_LOCAL_MODIFIER	do not assign an independent meaning until recurrence separates it from owner and family
CKHE+AR	e	1	eckhear	RENDERER_OR_LOCAL_MODIFIER	do not assign an independent meaning until recurrence separates it from owner and family
CTH+OL	oe	1	octhole	RENDERER_OR_LOCAL_MODIFIER	do not assign an independent meaning until recurrence separates it from owner and family
HO+AIIN	NONE	1	choaiin	NO_RESIDUAL	do not assign an independent meaning until recurrence separates it from owner and family
HO+AL	k	1	chokal	RENDERER_OR_LOCAL_MODIFIER	do not assign an independent meaning until recurrence separates it from owner and family
HO+CTH	eeey	1	choctheeey	RENDERER_OR_LOCAL_MODIFIER	do not assign an independent meaning until recurrence separates it from owner and family
HO+KCH	y	1	shokchy	RENDERER_OR_LOCAL_MODIFIER	do not assign an independent meaning until recurrence separates it from owner and family
KCH+AL	oo	1	okchoal	RENDERER_OR_LOCAL_MODIFIER	do not assign an independent meaning until recurrence separates it from owner and family
KCH+AR	chk	1	chkchdar	RENDERER_OR_LOCAL_MODIFIER	do not assign an independent meaning until recurrence separates it from owner and family
KCH+OL	chyky	1	chkchykoly	RENDERER_OR_LOCAL_MODIFIER	do not assign an independent meaning until recurrence separates it from owner and family
OK+AIIN	qo	1	qokoaiin	RENDERER_OR_LOCAL_MODIFIER	do not assign an independent meaning until recurrence separates it from owner and family
OK+AL	e	1	okeal	RENDERER_OR_LOCAL_MODIFIER	do not assign an independent meaning until recurrence separates it from owner and family
OK+AL	eeod	1	okeeodal	RENDERER_OR_LOCAL_MODIFIER	do not assign an independent meaning until recurrence separates it from owner and family
OK+AL	eod	1	okeodal	RENDERER_OR_LOCAL_MODIFIER	do not assign an independent meaning until recurrence separates it from owner and family
OK+AL	ody	1	okodaly	RENDERER_OR_LOCAL_MODIFIER	do not assign an independent meaning until recurrence separates it from owner and family
OK+AL	oy	1	okoaly	RENDERER_OR_LOCAL_MODIFIER	do not assign an independent meaning until recurrence separates it from owner and family
OK+AR	NONE	4	okar	NO_RESIDUAL	do not assign an independent meaning until recurrence separates it from owner and family
OK+AR	dy	1	okardy	RENDERER_OR_LOCAL_MODIFIER	do not assign an independent meaning until recurrence separates it from owner and family
OK+AR	e	1	okear	RENDERER_OR_LOCAL_MODIFIER	do not assign an independent meaning until recurrence separates it from owner and family
OK+AR	od	2	okodar	RENDERER_OR_LOCAL_MODIFIER	do not assign an independent meaning until recurrence separates it from owner and family
OK+AR	yt	1	ytokar	RENDERER_OR_LOCAL_MODIFIER	do not assign an independent meaning until recurrence separates it from owner and family
OK+HO	r	1	okshor	RENDERER_OR_LOCAL_MODIFIER	do not assign an independent meaning until recurrence separates it from owner and family
OK+IIN	a	1	okaiiin	RENDERER_OR_LOCAL_MODIFIER	do not assign an independent meaning until recurrence separates it from owner and family
OK+OL	NONE	2	okol	NO_RESIDUAL	do not assign an independent meaning until recurrence separates it from owner and family
OK+OL	dy	1	okoldy	RENDERER_OR_LOCAL_MODIFIER	do not assign an independent meaning until recurrence separates it from owner and family
OK+OL+AR	NONE	1	okolar	NO_RESIDUAL	do not assign an independent meaning until recurrence separates it from owner and family
OK+OR	iee	1	iokeeor	RENDERER_OR_LOCAL_MODIFIER	do not assign an independent meaning until recurrence separates it from owner and family
OL+AR	NONE	1	olar	NO_RESIDUAL	do not assign an independent meaning until recurrence separates it from owner and family
OL+CHD	dy	1	dolchedy	RENDERER_OR_LOCAL_MODIFIER	do not assign an independent meaning until recurrence separates it from owner and family
OR+AL	y	1	oraly	RENDERER_OR_LOCAL_MODIFIER	do not assign an independent meaning until recurrence separates it from owner and family
OT+AIR	q	1	qotair	RENDERER_OR_LOCAL_MODIFIER	do not assign an independent meaning until recurrence separates it from owner and family
OT+AL	ee	1	oteeal	RENDERER_OR_LOCAL_MODIFIER	do not assign an independent meaning until recurrence separates it from owner and family
OT+AL+AL	d	1	otaldal	RENDERER_OR_LOCAL_MODIFIER	do not assign an independent meaning until recurrence separates it from owner and family
OT+AR	o	1	otoar	RENDERER_OR_LOCAL_MODIFIER	do not assign an independent meaning until recurrence separates it from owner and family
