card_no	surfaces	component_parse	component_count	short_surface_order_de	recitation_kind	spoken_recitation_de	scope_note_de	occurrences	example_event_ids	example_statement_ids	example_case_expansion_de	component_order_preserved	new_whole_card_semantic_value
PROC007	otytchol	OT+Y+T+CH+OL	5	DANACH·DIES·EINTRAGEN·ABZIEHEN·FORTSETZEN	SEQUENCE_BRACKET	DANACH [DIES EINTRAGEN · ABZIEHEN] FORTSETZEN	OT eröffnet und OL schließt denselben Folgeblock; kein neues Ganzwort.	1	E007	H1-S001	danach den laufenden Posten weiter eintragen und abnehmen	YES	NO
PROC015	ycheor	Y+CH+E+OR	4	DIES·ABZIEHEN·KURZ·ANSATZ	STRAIGHT_TELEGRAPH_CHAIN	DIES · ABZIEHEN · KURZ · ANSATZ	Komponenten in sichtbarer Reihenfolge sprechen; nur vor SCHLUSS pausieren.	1	E015	H2-S001	den laufenden Posten kurz abziehen	YES	NO
PROC018	qoctholy	O+CTH+OL+Y	4	GANG·BEREIT·FORTSETZEN·DIES	STRAIGHT_TELEGRAPH_CHAIN	GANG · BEREIT · FORTSETZEN · DIES	Komponenten in sichtbarer Reihenfolge sprechen; nur vor SCHLUSS pausieren.	1	E019	H2-S001	danach den laufenden Posten weiter nach vorgeschriebenem Maß im Arbeitsgang bis bereit abziehen	YES	NO
PROC023	oykchor	O+Y+K+OR	4	GANG·DIES·ZUFUEHREN·ANSATZ	STRAIGHT_TELEGRAPH_CHAIN	GANG · DIES · ZUFUEHREN · ANSATZ	Komponenten in sichtbarer Reihenfolge sprechen; nur vor SCHLUSS pausieren.	1	E032	H2-S003	danach den laufenden Posten weiter von dort nach vorgeschriebenem Maß im Arbeitsgang zugeben	YES	NO
PROC032	tchody	T+CH+O+DY	4	EINTRAGEN·ABZIEHEN·GANG·SCHLUSS	STRAIGHT_TELEGRAPH_CHAIN	EINTRAGEN · ABZIEHEN · GANG; SCHLUSS	Komponenten in sichtbarer Reihenfolge sprechen; nur vor SCHLUSS pausieren.	1	E045	H3-S001	den laufenden Posten im Arbeitsgang abschließend eintragen und abziehen und den Schritt schließen	YES	NO
PROC033	shoyty	SH+O+Y+T+Y	5	HALTEN·GANG·DIES·EINTRAGEN·DIES	COREFERENTIAL_ITEM_BRACKET	DIES HALTEN · IM GANG EINTRAGEN · DIES	Die beiden Y/DIES-Stellen zeigen denselben laufenden Posten vor und nach dem Eintrag.	1	E046	H3-S002	den laufenden Posten im Arbeitsgang halten und eintragen	YES	NO
PROC045	cheoar	CH+E+O+AR	4	ABZIEHEN·KURZ·GANG·QUELLE	STRAIGHT_TELEGRAPH_CHAIN	ABZIEHEN · KURZ · GANG · QUELLE	Komponenten in sichtbarer Reihenfolge sprechen; nur vor SCHLUSS pausieren.	1	E065	H4-S003	den laufenden Posten von dort im Arbeitsgang kurz entnehmen	YES	NO
PROC057	cheeckhody	CH+EE+CKH+O+DY	5	ABZIEHEN·LANG·DURCHLASS·GANG·SCHLUSS	CLOSED_LONG_PROCESS	ABZIEHEN · LANG · DURCHLASS · GANG; SCHLUSS	DY schließt die lange Durchlasshandlung; die Oberflächenreihenfolge bleibt stehen.	1	E086	H5-S002	den laufenden Posten durch den Durchlass im Arbeitsgang länger ablaufen lassen und den Schritt schließen	YES	NO
PROC061	chokcheo	OK+CH+E+O	4	ANSETZEN·ABZIEHEN·KURZ·GANG	STRAIGHT_TELEGRAPH_CHAIN	ANSETZEN · ABZIEHEN · KURZ · GANG	Komponenten in sichtbarer Reihenfolge sprechen; nur vor SCHLUSS pausieren.	1	E092	H5-S004	den laufenden Posten im Arbeitsgang kurz ansetzen und abziehen	YES	NO
PROC073	sheckhal	SH+E+CKH+AL	4	HALTEN·KURZ·DURCHLASS·ZIEL	STRAIGHT_TELEGRAPH_CHAIN	HALTEN · KURZ · DURCHLASS · ZIEL	Komponenten in sichtbarer Reihenfolge sprechen; nur vor SCHLUSS pausieren.	1	E115	B1-S002	den Ansatz weiter an der bezeichneten Stelle durch den Durchlass kurz zurückhalten	YES	NO
