statement_id	page	record	owner_de	event_count	surface_sequence	long_card_ids	special_scope_card_ids	four_card_teaching_chunks_de	fluent_case_expansion_de	source_event_order_preserved	new_semantic_word_added
B1-S002	f81v	B1	gemeinsame zweireihige Figuren-/Beckenstation	19	okaiin kair okal sar ol kain olkain al ol rol dl olor ol sheckhal daiin qokeedal daiin chckhy schedy	PROC073	NONE	ANSETZEN · MASS | ZUFUEHREN · LAUF | ANSETZEN · ZIEL | QUELLE || FORTSETZEN | ZUFUEHREN · PORTION | FORTSETZEN · ZUFUEHREN · PORTION | ZIEL || FORTSETZEN | KUEHLEN · FORTSETZEN | FUEHREN | FORTSETZEN · ANSATZ || FORTSETZEN | HALTEN · KURZ · DURCHLASS · ZIEL | MASS | ANSETZEN · LANG · ZIEL || MASS | DURCHLASS · DIES | UMSETZEN; SCHLUSS	Bildort: gemeinsame zweireihige Figuren-/Beckenstation. Arbeitsfolge: setze nach Maß an → einspeisen → anlegen → dosiert zugeben → dosiert zugeben → abkühlen lassen → führen → zurückhalten → anlegen → durchleiten. Angaben: davon | fort | Ziel | fort | fort · Ansatz | fort | Maß | Maß | Durchlass · dies.	YES	NO
B3-S021	f83r	B3	unverbundener Zwischenbereich	11	qokaiin shcthy dal sy saiin shedal shecthy chey tal shcthy dalchdy	PROC143	NONE	ANSETZEN · MASS | BEREIT · DIES | ZIEL | DIES || MASS | ABSETZEN · ZIEL | HALTEN · KURZ · BEREIT · DIES | DIES || ZIEL | BEREIT · DIES | ZIEL · UMSETZEN; SCHLUSS	Bildort: unverbundener Zwischenbereich. Arbeitsfolge: setze nach Maß an → ablagern → stehen lassen → umfüllen. Angaben: bereit · dies | Ziel | dies | Maß | dies | Ziel | bereit · dies.	YES	NO
H1-S001	f10r	H1	abgebildete breit gezähnte radialblütige Pflanze	10	dchey cthoor char chty os chair otytchol oky daiin etyd	PROC007	PROC007	ABZIEHEN · KURZ · DIES | BEREIT · GANG · ANSATZ | QUELLE | EINTRAGEN · DIES || FACH | ABZIEHEN · LAUF | DANACH [DIES EINTRAGEN · ABZIEHEN] FORTSETZEN | ANSETZEN · DIES || MASS | KURZ · EINTRAGEN · DIES	Nimm von der abgebildeten Pflanze einen Teil kurz ab. Der Ansatz ist bereit: übertrage davon in das Arbeitsfach, lass es ablaufen, trage es ein, nimm es wieder ab, gib es in den Ansatz und trage es nach Maß ein.	YES	NO
B5-S003	f83r	B5	linke Fransenstation im B5-Nachtrag	9	shedal dal cheol lol chdal aiin sol daiiin chedy	NONE	NONE	ABSETZEN · ZIEL | ZIEL | FORTSETZEN | FUEHREN · FORTSETZEN || UMSETZEN · ZIEL | MASS | FORTSETZEN | ZWEIT · STUFE || UMSETZEN · DIES	Bildort: linke Fransenstation im B5-Nachtrag. Arbeitsfolge: ablagern → hinleiten → umfüllen → abmessen und umsetzen. Angaben: Ziel | fort | Maß | fort | zweite · Sollstufe.	YES	NO
B6-S001	f83r	B6	rechter S-Lauf im B6-Nachtrag	9	solkeey qekey raly ol daiin ol dain chey ldalor	PROC171	PROC171	AUFFANGEN · LANG · DIES | KURZ · ZUFUEHREN · KURZ · DIES | KUEHLEN · ZIEL · DIES | FORTSETZEN || MASS | FORTSETZEN | PORTION | DIES || FUEHREN · ZIEL · ANSATZ	Bildort: rechter S-Lauf im B6-Nachtrag. Arbeitsfolge: auffangen → zugeben → abkühlen lassen → hinleiten. Angaben: fort | Maß | fort | Portion | dies.	YES	NO
H2-S001	f10r	H2	abgebildete breit gezähnte radialblütige Pflanze	9	ycheor cthy chor cthaiin qoctholy dy chy taiin shy	PROC015|PROC018	NONE	DIES · ABZIEHEN · KURZ · ANSATZ | BEREIT · DIES | ANSATZ | BEREIT · MASS || GANG · BEREIT · FORTSETZEN · DIES | DIES | DIES | MASS || DIES	Zieh den bereitgelegten Posten ab; ordne ihn dem Ansatz und dem Maß zu und führe den Gang mit diesem Posten weiter, bis er bereit ist.	YES	NO
H5-S001	f56r	H5	abgebildete mehrköpfige stachelige Pflanze	9	chochor cho chodaly daiin sho kchol otchor choky dal	NONE	NONE	GABE · ABZIEHEN · ANSATZ | GABE | GABE · ZIEL · DIES | MASS || GABE | ZUFUEHREN · FORTSETZEN | DANACH · ABZIEHEN · ANSATZ | ANSETZEN · DIES || ZIEL	Zieh eine Gabe ab, führe sie zum Ziel, zieh nach Maß eine weitere Gabe ab und gib sie in den Ansatz.	YES	NO
B2-S005	f82r	B2	oberes Beckenpaar mit Zylinder	8	qokaly solkaiin chckhy qokaiin qokaiin octheol chkeey ldy	PROC106	NONE	ANSETZEN · ZIEL · DIES | AUFFANGEN · MASS | DURCHLASS · DIES | ANSETZEN · MASS || ANSETZEN · MASS | GANG · BEREIT · KURZ · FORTSETZEN | WAERMEN · LANG · DIES | FUEHREN; SCHLUSS	Bildort: oberes Beckenpaar mit Zylinder. Arbeitsfolge: anlegen → bis zum Maß auffangen → einleiten → einleiten → warm halten → abführen. Angaben: Durchlass · dies | Gang · bereit · kurz · fort.	YES	NO
B2-S012	f82r	B2	mittlere rechte unklare Station	8	lchy cheey qcthey qokeey lcheey daiin chey qokeeedy	NONE	NONE	FUEHREN · ABZIEHEN · DIES | HALTEN · LANG · DIES | BEREIT · KURZ · DIES | ANSETZEN · LANG · DIES || FUEHREN · LANG · DIES | MASS | DIES | ANSETZEN · VOLL; SCHLUSS	Bildort: mittlere rechte unklare Station. Arbeitsfolge: führen + abnehmen → stehen lassen → wirken lassen → führen → setze voll an; schließe. Angaben: bereit · kurz · dies | Maß | dies.	YES	NO
B2-S016	f82r	B2	kleine Randstationen des unteren Beckens	8	cheal lchedar ches aiin oteey qokaiin okey pchedy	NONE	NONE	ZIEL | FUEHREN · UMSETZEN · QUELLE | ABZIEHEN · KURZ · TEILEN | MASS || DANACH · LANG · DIES | ANSETZEN · MASS | ANSETZEN · KURZ · DIES | HINEIN · UMSETZEN; SCHLUSS	Bildort: kleine Randstationen des unteren Beckens. Arbeitsfolge: ableiten + umfüllen → abnehmen + abteilen → setze nach Maß an → wirken lassen → einfüllen + überführen. Angaben: Ziel | Maß | danach · länger · dies.	YES	NO
H2-S002	f10r	H2	abgebildete breit gezähnte radialblütige Pflanze	8	qotchor chor otol chol cholor chol daiin dar	NONE	NONE	DANACH · ABZIEHEN · ANSATZ | ANSATZ | DANACH · FORTSETZEN | FORTSETZEN || FORTSETZEN · ANSATZ | FORTSETZEN | MASS | QUELLE	Zieh danach vom fortgeführten Ansatz nach Maß davon ab und führe denselben Ansatz weiter.	YES	NO
