model	record	locus	word	kind	narrative_position	event_index	patient	destination	prior_completed_event	state_used_by_heat	cause_or_start	repeated_state_assertion	issues	reading
I	F83_P1	f83r.2:7	qoteedy	REPEAT	14	1	A	B	NA	NA	NA	0	NO_PRIOR_COMPLETED_EVENT	fülle erneut ein: A in B
I	F83_P1	f83r.2:10	chedy	HEAT	17	2	A	NA	NA	NA	NA	0	NONE	erwärme A
I	F83_P1	f83r.4:2	chedy	HEAT	30	3	C	NA	NA	NA	NA	0	NONE	erwärme C
I	F83_P1	f83r.4:3	qokedy	COMPLETE	31	4	C	B	NA	NA	NA	0	NO_PRIOR_RUNNING_EVENT	schließe Einfüllen ab: C in B
I	F83_P1	f83r.4:9	chedy	HEAT	37	5	A	NA	NA	NA	NA	0	NONE	erwärme A
I	F83_P1	f83r.5:7	qokeey	RUNNING	44	6	A	B	NA	NA	NA	0	NEW_START_WHILE_RUNNING	beginne einzufüllen A in B
I	F83_P1	f83r.5:9	qoteedy	REPEAT	46	7	A	B	NA	NA	NA	0	NEW_START_WHILE_RUNNING;NO_PRIOR_COMPLETED_EVENT	fülle erneut ein: A in B
I	F83_P1	f83r.6:6	chedy	HEAT	53	8	A	NA	NA	NA	NA	0	NONE	erwärme A
I	F83_P1	f83r.6:7	qokeedy	DIRECT	54	9	A	B	NA	NA	f83r.6:7	0	NONE	fülle ein: A in B
I	F83_P1	f83r.7:8	qokedy	COMPLETE	64	10	C	B	NA	NA	NA	0	NO_PRIOR_RUNNING_EVENT	schließe Einfüllen ab: C in B
I	F83_P1	f83r.7:9	qoteedy	REPEAT	65	11	C	B	NA	NA	NA	0	NO_PRIOR_COMPLETED_EVENT	fülle erneut ein: C in B
I	F83_P1	f83r.7:10	qoteedy	REPEAT	66	12	C	B	NA	NA	NA	0	NEW_START_WHILE_RUNNING;NO_PRIOR_COMPLETED_EVENT	fülle erneut ein: C in B
I	F83_P1	f83r.8:5	chedy	HEAT	71	13	C	NA	NA	NA	NA	0	NONE	erwärme C
I	F83_P2	f83r.9:3	qokedy	COMPLETE	75	1	MISSING	MISSING	NA	NA	NA	0	MISSING_PATIENT;MISSING_DESTINATION;TEMPORAL_LINK_UNRESOLVED	schließe Einfüllen ab: ?Stoff in ?Gefäß
I	F83_P2	f83r.11:6	qokedy	COMPLETE	100	2	A	B	NA	NA	NA	0	NO_PRIOR_RUNNING_EVENT	schließe Einfüllen ab: A in B
I	F83_P2	f83r.12:8	qokedy	COMPLETE	112	3	C	B	NA	NA	NA	0	NO_PRIOR_RUNNING_EVENT	schließe Einfüllen ab: C in B
I	F83_P2	f83r.13:7	qokedy	COMPLETE	120	4	A	B	NA	NA	NA	0	NO_PRIOR_RUNNING_EVENT	schließe Einfüllen ab: A in B
I	F83_P2	f83r.14:2	qokeedy	DIRECT	125	5	A	B	NA	NA	f83r.14:2	0	NONE	fülle ein: A in B
I	F83_P2	f83r.16:5	chedy	HEAT	147	6	C	NA	NA	NA	NA	0	NONE	erwärme C
I	F83_P3	f83r.20:2	qoteedy	REPEAT	178	1	C	MISSING	NA	NA	NA	0	MISSING_DESTINATION;TEMPORAL_LINK_UNRESOLVED	fülle erneut ein: C in ?Gefäß
I	F83_P3	f83r.20:3	qokeey	RUNNING	179	2	C	MISSING	NA	NA	NA	0	MISSING_DESTINATION;TEMPORAL_LINK_UNRESOLVED	beginne einzufüllen C in ?Gefäß
I	F83_P3	f83r.20:4	qokedy	COMPLETE	180	3	C	MISSING	NA	NA	NA	0	MISSING_DESTINATION;TEMPORAL_LINK_UNRESOLVED	schließe Einfüllen ab: C in ?Gefäß
I	F83_P3	f83r.20:7	qokedy	COMPLETE	183	4	C	MISSING	NA	NA	NA	0	MISSING_DESTINATION;TEMPORAL_LINK_UNRESOLVED	schließe Einfüllen ab: C in ?Gefäß
I	F83_P3	f83r.21:2	qokedy	COMPLETE	187	5	C	MISSING	NA	NA	NA	0	MISSING_DESTINATION;TEMPORAL_LINK_UNRESOLVED	schließe Einfüllen ab: C in ?Gefäß
I	F83_P3	f83r.21:5	chedy	HEAT	190	6	C	NA	NA	NA	NA	0	NONE	erwärme C
I	F83_P3	f83r.21:8	qokedy	COMPLETE	193	7	C	MISSING	NA	NA	NA	0	MISSING_DESTINATION;TEMPORAL_LINK_UNRESOLVED	schließe Einfüllen ab: C in ?Gefäß
I	F83_P3	f83r.22:3	qokeedy	DIRECT	198	8	C	MISSING	NA	NA	NA	0	MISSING_DESTINATION;TEMPORAL_LINK_UNRESOLVED	fülle ein: C in ?Gefäß
I	F83_P3	f83r.22:5	chedy	HEAT	200	9	C	NA	NA	NA	NA	0	NONE	erwärme C
I	F83_P3	f83r.23:5	qokedy	COMPLETE	209	10	A	MISSING	NA	NA	NA	0	MISSING_DESTINATION;TEMPORAL_LINK_UNRESOLVED	schließe Einfüllen ab: A in ?Gefäß
I	F83_P3	f83r.23:9	chedy	HEAT	213	11	A	NA	NA	NA	NA	0	NONE	erwärme A
I	F83_P4	f83r.25:1	qokeedy	DIRECT	220	1	MISSING	MISSING	NA	NA	NA	0	MISSING_PATIENT;MISSING_DESTINATION;TEMPORAL_LINK_UNRESOLVED	fülle ein: ?Stoff in ?Gefäß
I	F83_P4	f83r.25:3	qokeey	RUNNING	222	2	MISSING	MISSING	NA	NA	NA	0	MISSING_PATIENT;MISSING_DESTINATION;TEMPORAL_LINK_UNRESOLVED	beginne einzufüllen ?Stoff in ?Gefäß
I	F83_P4	f83r.25:4	qokedy	COMPLETE	223	3	MISSING	MISSING	NA	NA	NA	0	MISSING_PATIENT;MISSING_DESTINATION;TEMPORAL_LINK_UNRESOLVED	schließe Einfüllen ab: ?Stoff in ?Gefäß
I	F83_P4	f83r.25:5	chedy	HEAT	224	4	MISSING	NA	NA	NA	NA	0	MISSING_PATIENT	erwärme ?Stoff
I	F83_P4	f83r.26:2	qokeey	RUNNING	227	5	MISSING	MISSING	NA	NA	NA	0	MISSING_PATIENT;MISSING_DESTINATION;TEMPORAL_LINK_UNRESOLVED	beginne einzufüllen ?Stoff in ?Gefäß
I	F83_P4	f83r.27:2	chedy	HEAT	233	6	A	NA	NA	NA	NA	0	NONE	erwärme A
I	F83_P4	f83r.27:3	qokeedy	DIRECT	234	7	A	MISSING	NA	NA	NA	0	MISSING_DESTINATION;TEMPORAL_LINK_UNRESOLVED	fülle ein: A in ?Gefäß
I	F83_P4	f83r.28:4	qokedy	COMPLETE	240	8	A	MISSING	NA	NA	NA	0	MISSING_DESTINATION;TEMPORAL_LINK_UNRESOLVED	schließe Einfüllen ab: A in ?Gefäß
I	F83_P4	f83r.30:3	qokeedy	DIRECT	250	9	A	MISSING	NA	NA	NA	0	MISSING_DESTINATION;TEMPORAL_LINK_UNRESOLVED	fülle ein: A in ?Gefäß
I	F83_P5	f83r.42:5	chedy	HEAT	306	1	C	NA	NA	NA	NA	0	NONE	erwärme C
I	F83_P5	f83r.43:3	chedy	HEAT	310	2	C	NA	NA	NA	NA	0	NONE	erwärme C
I	F83_Q1	f83r.49:3	chedy	HEAT	325	1	MISSING	NA	NA	NA	NA	0	MISSING_PATIENT	erwärme ?Stoff
R	F83_P1	f83r.2:7	qoteedy	REPEAT	14	1	A	B	NA	NA	NA	0	NO_PRIOR_COMPLETED_EVENT	wird erneut eingefüllt: A in B
R	F83_P1	f83r.2:10	chedy	HEAT	17	2	A	NA	NA	NA	NA	0	NONE	erwärme A
R	F83_P1	f83r.4:2	chedy	HEAT	30	3	C	NA	NA	NA	NA	0	NONE	erwärme C
R	F83_P1	f83r.4:3	qokedy	STATE	31	3	C	B	NA	NA	NA	0	UNNARRATED_STATE_CAUSE	ist eingefüllt: C in B
R	F83_P1	f83r.4:9	chedy	HEAT	37	4	A	NA	NA	NA	NA	0	NONE	erwärme A
R	F83_P1	f83r.5:7	qokeey	RUNNING	44	5	A	B	NA	NA	NA	0	NEW_START_WHILE_RUNNING	wird gerade eingefüllt: A in B
R	F83_P1	f83r.5:9	qoteedy	REPEAT	46	6	A	B	NA	NA	NA	0	NEW_START_WHILE_RUNNING;NO_PRIOR_COMPLETED_EVENT	wird erneut eingefüllt: A in B
R	F83_P1	f83r.6:6	chedy	HEAT	53	7	A	NA	NA	NA	NA	0	NONE	erwärme A
R	F83_P1	f83r.6:7	qokeedy	DIRECT	54	8	A	B	NA	NA	f83r.6:7	0	NONE	fülle ein: A in B
R	F83_P1	f83r.7:8	qokedy	STATE	64	8	C	B	NA	NA	NA	1	UNNARRATED_STATE_CAUSE	ist eingefüllt: C in B
R	F83_P1	f83r.7:9	qoteedy	REPEAT	65	9	C	B	NA	NA	NA	0	NO_PRIOR_COMPLETED_EVENT	wird erneut eingefüllt: C in B
R	F83_P1	f83r.7:10	qoteedy	REPEAT	66	10	C	B	NA	NA	NA	0	NEW_START_WHILE_RUNNING;NO_PRIOR_COMPLETED_EVENT	wird erneut eingefüllt: C in B
R	F83_P1	f83r.8:5	chedy	HEAT	71	11	C	NA	NA	f83r.7:8	NA	0	NONE	erwärme C
R	F83_P2	f83r.9:3	qokedy	STATE	75	0	MISSING	MISSING	NA	NA	NA	0	MISSING_PATIENT;MISSING_DESTINATION;TEMPORAL_LINK_UNRESOLVED	ist eingefüllt: ?Stoff in ?Gefäß
R	F83_P2	f83r.11:6	qokedy	STATE	100	0	A	B	NA	NA	NA	0	UNNARRATED_STATE_CAUSE	ist eingefüllt: A in B
R	F83_P2	f83r.12:8	qokedy	STATE	112	0	C	B	NA	NA	NA	0	UNNARRATED_STATE_CAUSE	ist eingefüllt: C in B
R	F83_P2	f83r.13:7	qokedy	STATE	120	0	A	B	NA	NA	NA	1	UNNARRATED_STATE_CAUSE	ist eingefüllt: A in B
R	F83_P2	f83r.14:2	qokeedy	DIRECT	125	1	A	B	NA	NA	f83r.14:2	0	NONE	fülle ein: A in B
R	F83_P2	f83r.16:5	chedy	HEAT	147	2	C	NA	NA	f83r.12:8	NA	0	NONE	erwärme C
R	F83_P3	f83r.20:2	qoteedy	REPEAT	178	1	C	MISSING	NA	NA	NA	0	MISSING_DESTINATION;TEMPORAL_LINK_UNRESOLVED	wird erneut eingefüllt: C in ?Gefäß
R	F83_P3	f83r.20:3	qokeey	RUNNING	179	2	C	MISSING	NA	NA	NA	0	MISSING_DESTINATION;TEMPORAL_LINK_UNRESOLVED	wird gerade eingefüllt: C in ?Gefäß
R	F83_P3	f83r.20:4	qokedy	STATE	180	2	C	MISSING	NA	NA	NA	0	MISSING_DESTINATION;TEMPORAL_LINK_UNRESOLVED	ist eingefüllt: C in ?Gefäß
R	F83_P3	f83r.20:7	qokedy	STATE	183	2	C	MISSING	NA	NA	NA	0	MISSING_DESTINATION;TEMPORAL_LINK_UNRESOLVED	ist eingefüllt: C in ?Gefäß
R	F83_P3	f83r.21:2	qokedy	STATE	187	2	C	MISSING	NA	NA	NA	0	MISSING_DESTINATION;TEMPORAL_LINK_UNRESOLVED	ist eingefüllt: C in ?Gefäß
R	F83_P3	f83r.21:5	chedy	HEAT	190	3	C	NA	NA	NA	NA	0	NONE	erwärme C
R	F83_P3	f83r.21:8	qokedy	STATE	193	3	C	MISSING	NA	NA	NA	0	MISSING_DESTINATION;TEMPORAL_LINK_UNRESOLVED	ist eingefüllt: C in ?Gefäß
R	F83_P3	f83r.22:3	qokeedy	DIRECT	198	4	C	MISSING	NA	NA	NA	0	MISSING_DESTINATION;TEMPORAL_LINK_UNRESOLVED	fülle ein: C in ?Gefäß
R	F83_P3	f83r.22:5	chedy	HEAT	200	5	C	NA	NA	NA	NA	0	NONE	erwärme C
R	F83_P3	f83r.23:5	qokedy	STATE	209	5	A	MISSING	NA	NA	NA	0	MISSING_DESTINATION;TEMPORAL_LINK_UNRESOLVED	ist eingefüllt: A in ?Gefäß
R	F83_P3	f83r.23:9	chedy	HEAT	213	6	A	NA	NA	NA	NA	0	NONE	erwärme A
R	F83_P4	f83r.25:1	qokeedy	DIRECT	220	1	MISSING	MISSING	NA	NA	NA	0	MISSING_PATIENT;MISSING_DESTINATION;TEMPORAL_LINK_UNRESOLVED	fülle ein: ?Stoff in ?Gefäß
R	F83_P4	f83r.25:3	qokeey	RUNNING	222	2	MISSING	MISSING	NA	NA	NA	0	MISSING_PATIENT;MISSING_DESTINATION;TEMPORAL_LINK_UNRESOLVED	wird gerade eingefüllt: ?Stoff in ?Gefäß
R	F83_P4	f83r.25:4	qokedy	STATE	223	2	MISSING	MISSING	NA	NA	NA	0	MISSING_PATIENT;MISSING_DESTINATION;TEMPORAL_LINK_UNRESOLVED	ist eingefüllt: ?Stoff in ?Gefäß
R	F83_P4	f83r.25:5	chedy	HEAT	224	3	MISSING	NA	NA	NA	NA	0	MISSING_PATIENT	erwärme ?Stoff
R	F83_P4	f83r.26:2	qokeey	RUNNING	227	4	MISSING	MISSING	NA	NA	NA	0	MISSING_PATIENT;MISSING_DESTINATION;TEMPORAL_LINK_UNRESOLVED	wird gerade eingefüllt: ?Stoff in ?Gefäß
R	F83_P4	f83r.27:2	chedy	HEAT	233	5	A	NA	NA	NA	NA	0	NONE	erwärme A
R	F83_P4	f83r.27:3	qokeedy	DIRECT	234	6	A	MISSING	NA	NA	NA	0	MISSING_DESTINATION;TEMPORAL_LINK_UNRESOLVED	fülle ein: A in ?Gefäß
R	F83_P4	f83r.28:4	qokedy	STATE	240	6	A	MISSING	NA	NA	NA	0	MISSING_DESTINATION;TEMPORAL_LINK_UNRESOLVED	ist eingefüllt: A in ?Gefäß
R	F83_P4	f83r.30:3	qokeedy	DIRECT	250	7	A	MISSING	NA	NA	NA	0	MISSING_DESTINATION;TEMPORAL_LINK_UNRESOLVED	fülle ein: A in ?Gefäß
R	F83_P5	f83r.42:5	chedy	HEAT	306	1	C	NA	NA	NA	NA	0	NONE	erwärme C
R	F83_P5	f83r.43:3	chedy	HEAT	310	2	C	NA	NA	NA	NA	0	NONE	erwärme C
