statement_id	record_unit_id	page	field_ids	original_surfaces	fresh_surfaces	master_card_sequence	reverse_card_sequence	roundtrip_match	changed_events	german_work_instruction	terminal_scope	contains_owner_reset
B1-S001	B1	f81v	F021	qokedy	qokedy	MC083	MC083	YES	0	Lass ihn kurz einwirken	TERMINAL	YES
B2-S001	B2	f82r	F045	dchedy	schedy	MC025	MC025	YES	1	Führe den Posten über	TERMINAL	YES
B3-S001	B3	f83r	F071	olkeedy	solkeedy	MC045	MC045	YES	1	Sammle ihn lange	TERMINAL	YES
B4-S001	B4	f83r	F109	qokeedy	qokeedy	MC082	MC082	YES	0	Lass ihn lange einwirken	TERMINAL	YES
B5-S001	B5	f83r	F129	otchdy	otchdy	MC067	MC067	YES	0	Führe ihn danach über	TERMINAL	YES
B6-S001	B6	f83r	F134|F135	solkeey qekey raly ol daiin ol dain chey ldalor	solkeey qekey raly sol saiin sol dain sy ldalor	MC020|MC052|MC046|MC153|MC039|MC153|MC059|MC123|MC101	MC020|MC052|MC046|MC153|MC039|MC153|MC059|MC123|MC101	YES	4	Sammle ihn lange; Bearbeite ihn kurz; Nimm den Endposten; Arbeite weiter; Arbeite nach dem vorgeschriebenen Maß; Arbeite weiter; Lege die Einlage ein; Halte diesen Posten aktiv; Führe bis zum Endziel	NONCLOSE	YES
B1-S002	B1	f81v	F022|F023	okaiin kair okal sar ol kain olkain al ol rol dl olor ol sheckhal daiin qokeedal daiin chckhy schedy	qokaiin kair okal char ol kain olkain al ol rol dl olor ol sheckhal aiin qokeedal aiin chckhy schedy	MC120|MC023|MC040|MC055|MC153|MC105|MC097|MC154|MC153|MC016|MC012|MC157|MC153|MC058|MC039|MC096|MC039|MC035|MC025	MC120|MC023|MC040|MC055|MC153|MC105|MC097|MC154|MC153|MC016|MC012|MC157|MC153|MC058|MC039|MC096|MC039|MC035|MC025	YES	4	Messe den Posten ab; Führe durch den Beckenlauf; Setze ihn dort ein; Nimm davon; Arbeite weiter; Nimm eine Portion; Nimm einen weiteren Anteil; Führe ihn dorthin; Arbeite weiter; Schließe am nächsten Abschnitt an; Gib den Zusatz zu; Verwende denselben Ansatz weiter; Arbeite weiter; Führe ihn kurz durch die Zielpassage; Arbeite nach dem vorgeschriebenen Maß; Setze ihn lange am Ziel ein; Arbeite nach dem vorgeschriebenen Maß; Leite den Posten hindurch; Führe den Posten über	TERMINAL	NO
B2-S002	B2	f82r	F046	qolchedy	qolchedy	MC028	MC028	YES	0	Führe ihn weiter	TERMINAL	NO
B3-S002	B3	f83r	F072	qotal chkeedy	qotal chkeedy	MC093|MC110	MC093|MC110	YES	0	Führe ihn danach dorthin; Wärme ihn lange	TERMINAL	NO
B4-S002	B4	f83r	F110	qolchey qokeey qokedy	qolchey okeey qokedy	MC162|MC002|MC083	MC162|MC002|MC083	YES	1	Nimm den nächsten Einsatzposten; Lass ihn länger einwirken; Lass ihn kurz einwirken	TERMINAL	NO
B5-S002	B5	f83r	F130	qokchdy	qokchdy	MC088	MC088	YES	0	Setze einen neuen Posten ein	TERMINAL	NO
B1-S003	B1	f81v	F024|F025	qol sshkchdy	qol sshkchdy	MC153|MC061	MC153|MC061	YES	0	Arbeite weiter; Übertrage ihn	TERMINAL	NO
B2-S003	B2	f82r	F047	qokain dy qokeedy	qokain y qokeedy	MC017|MC123|MC082	MC017|MC123|MC082	YES	1	Gib einen Anteil zu; Halte diesen Posten aktiv; Lass ihn lange einwirken	TERMINAL	NO
B3-S003	B3	f83r	F073	chey daiin chey lchedy	dy daiin dy lchedy	MC123|MC039|MC123|MC155	MC123|MC039|MC123|MC155	YES	2	Halte diesen Posten aktiv; Arbeite nach dem vorgeschriebenen Maß; Halte diesen Posten aktiv; Führe ihn ab	TERMINAL	NO
B4-S003	B4	f83r	F111|F112	chedy otal otchey qokeey qoky tol shedy	chedy otal otchey okeey choky cheol cheedy	MC074|MC093|MC171|MC002|MC026|MC153|MC128	MC074|MC093|MC171|MC002|MC026|MC153|MC128	YES	4	Führe den Posten über; Führe ihn danach dorthin; Nimm das nächste; Lass ihn länger einwirken; Setze den Posten ein; Arbeite weiter; Lass ihn kurz absetzen	TERMINAL	NO
B5-S003	B5	f83r	F131|F132|F133	shedal dal cheol lol chdal aiin sol daiiin chedy	shedal sal sol lol chdal saiin sol daiiin chdy	MC113|MC154|MC153|MC092|MC001|MC039|MC153|MC172|MC074	MC113|MC154|MC153|MC092|MC001|MC039|MC153|MC172|MC074	YES	4	Lass ihn am Ziel absetzen; Führe ihn dorthin; Arbeite weiter; Ziehe ihn weiter ab; Führe ihn zum Ziel über; Arbeite nach dem vorgeschriebenen Maß; Arbeite weiter; Stelle die Endstufe ein; Führe den Posten über	NONCLOSE	NO
B1-S004	B1	f81v	F026	chedy ol shedy	chdy ol cheedy	MC074|MC153|MC128	MC074|MC153|MC128	YES	2	Führe den Posten über; Arbeite weiter; Lass ihn kurz absetzen	TERMINAL	NO
