edition	block_a	block_b	form_raw	locations_a_json	locations_b_json
ZL3b	N	E	aiin	"[{""locus"":""f85r2.2"",""source_group_id"":""ZL3b|f85r2.2|G004"",""index"":4}]"	"[{""locus"":""f85r2.11"",""source_group_id"":""ZL3b|f85r2.11|G002"",""index"":2}]"
ZL3b	N	E	daiin	"[{""locus"":""f85r2.4"",""source_group_id"":""ZL3b|f85r2.4|G005"",""index"":5}]"	"[{""locus"":""f85r2.9"",""source_group_id"":""ZL3b|f85r2.9|G001"",""index"":1}]"
ZL3b	N	S	aiin	"[{""locus"":""f85r2.2"",""source_group_id"":""ZL3b|f85r2.2|G004"",""index"":4}]"	"[{""locus"":""f85r2.14"",""source_group_id"":""ZL3b|f85r2.14|G003"",""index"":3}]"
ZL3b	N	S	or	"[{""locus"":""f85r2.2"",""source_group_id"":""ZL3b|f85r2.2|G002"",""index"":2},{""locus"":""f85r2.2"",""source_group_id"":""ZL3b|f85r2.2|G003"",""index"":3}]"	"[{""locus"":""f85r2.13"",""source_group_id"":""ZL3b|f85r2.13|G001"",""index"":1},{""locus"":""f85r2.15"",""source_group_id"":""ZL3b|f85r2.15|G004"",""index"":4}]"
ZL3b	N	W	aiin	"[{""locus"":""f85r2.2"",""source_group_id"":""ZL3b|f85r2.2|G004"",""index"":4}]"	"[{""locus"":""f85r2.20"",""source_group_id"":""ZL3b|f85r2.20|G002"",""index"":2},{""locus"":""f85r2.22"",""source_group_id"":""ZL3b|f85r2.22|G007"",""index"":7}]"
ZL3b	N	W	chol	"[{""locus"":""f85r2.4"",""source_group_id"":""ZL3b|f85r2.4|G004"",""index"":4}]"	"[{""locus"":""f85r2.23"",""source_group_id"":""ZL3b|f85r2.23|G003"",""index"":3}]"
ZL3b	N	W	or	"[{""locus"":""f85r2.2"",""source_group_id"":""ZL3b|f85r2.2|G002"",""index"":2},{""locus"":""f85r2.2"",""source_group_id"":""ZL3b|f85r2.2|G003"",""index"":3}]"	"[{""locus"":""f85r2.20"",""source_group_id"":""ZL3b|f85r2.20|G001"",""index"":1},{""locus"":""f85r2.20"",""source_group_id"":""ZL3b|f85r2.20|G004"",""index"":4},{""locus"":""f85r2.22"",""source_group_id"":""ZL3b|f85r2.22|G006"",""index"":6}]"
ZL3b	E	S	aiin	"[{""locus"":""f85r2.11"",""source_group_id"":""ZL3b|f85r2.11|G002"",""index"":2}]"	"[{""locus"":""f85r2.14"",""source_group_id"":""ZL3b|f85r2.14|G003"",""index"":3}]"
ZL3b	E	S	oteey	"[{""locus"":""f85r2.8"",""source_group_id"":""ZL3b|f85r2.8|G004"",""index"":4}]"	"[{""locus"":""f85r2.16"",""source_group_id"":""ZL3b|f85r2.16|G001"",""index"":1}]"
ZL3b	E	W	aiin	"[{""locus"":""f85r2.11"",""source_group_id"":""ZL3b|f85r2.11|G002"",""index"":2}]"	"[{""locus"":""f85r2.20"",""source_group_id"":""ZL3b|f85r2.20|G002"",""index"":2},{""locus"":""f85r2.22"",""source_group_id"":""ZL3b|f85r2.22|G007"",""index"":7}]"
