line_rank	page	locus	section	language	hand	token_count	closed_ordinals	closed_surfaces	old_line_mode	new_line_mode	old_action_ordinals	new_action_ordinals	new_action_surfaces	added_action_ordinals	added_action_surfaces	reader_boundary_rule	zl3b_line	old_literal_token_glosses_de	new_literal_token_glosses_de	old_aligned_line_de	aligned_line_de	practical_translation_de	review_note
1	f105r	f105r.2	S	B	3	13	2|6	yey|qodor	MIXED_RECORD	MIXED_RECORD	11|13	6|11|13	qodor|odar|qody	6	qodor	NONE	dshees yey cheey raiin otchdy qodor ches or cheey okees odar cheody qody	Dosis oder Charge vollständig eingeweichter Arzneispecies | [yey:?] | trocken am Ende des Grades | Wurzel, Typ/Charge III | kalt-trockener Ansatz am Anfang des Grades, abgeschlossen | [qodor:?] | trockenes Drogenmaterial, Mittelstufe | Drogenportion | trocken am Ende des Grades | Charge vollständig erhitzten Ansatzes | erste Ansatzfraktion abmessen | getrockneter Ansatz | stelle die Zubereitung fertig	Dosis oder Charge vollständig eingeweichter Arzneispecies | hieran anschließend | trocken am Ende des Grades | Wurzel, Typ/Charge III | kalt-trockener Ansatz am Anfang des Grades, abgeschlossen | eine Portion Ansatz abmessen | trockenes Drogenmaterial, Mittelstufe | Drogenportion | trocken am Ende des Grades | Charge vollständig erhitzten Ansatzes | erste Ansatzfraktion abmessen | getrockneter Ansatz | stelle die Zubereitung fertig	Dosis oder Charge vollständig eingeweichter Arzneispecies · ⟦yey:?⟧ · trocken, Endstufe · Wurzel, Charge III · kalt-trockener Ansatz, Anfangsstufe, abgeschlossen · ⟦qodor:?⟧ · trockenes Drogenmaterial, Mittelstufe · Drogenportion · trocken, Endstufe · Charge vollständig erhitzten Ansatzes · erste Ansatzfraktion abmessen · getrockneter Ansatz · Zubereitung fertigstellen.	Dosis oder Charge vollständig eingeweichter Arzneispecies · hieran anschließend · trocken, Endstufe · Wurzel, Charge III · kalt-trockener Ansatz, Anfangsstufe, abgeschlossen · eine Portion Ansatz abmessen · trockenes Drogenmaterial, Mittelstufe · Drogenportion · trocken, Endstufe · Charge vollständig erhitzten Ansatzes · erste Ansatzfraktion abmessen · getrockneter Ansatz · Zubereitung fertigstellen.	Die vollständig eingeweichte Arzneispecies-Dosis hieran anschließend bis zur Trocken-Endstufe bringen. Wurzeldroge der Charge III und den fertigen kalt-trockenen Anfangsansatz bereitstellen; eine Portion Ansatz abmessen. Dazu mittelgetrocknetes Drogenmaterial und eine Drogenportion, erneut bis zur Endstufe trocknen. Von der Charge vollständig erhitzten Ansatzes die erste Fraktion abmessen, als getrockneten Ansatz weiterführen und die Zubereitung fertigstellen.	yey remains the sequence link; qodor is the new measure action.
2	f113v	f113v.12	S	B	3	5	2|4	otsheody|olchey	QUANTITY_LABEL	QUANTITY_LABEL	NONE	NONE	NONE	NONE	NONE	NONE	solchedy otsheody arl olchey oror	getrockneter Samen/Saatgutstoff/-ansatz | [otsheody:?] | erste Holzdrogenfraktion | [olchey:?] | zwei Portionen	getrockneter Samen/Saatgutstoff/-ansatz | kalt angefeuchteter Ansatz, abgeschlossen | erste Holzdrogenfraktion | Holzdrogenansatz, bis Mittelstufe getrocknet | zwei Portionen	Getrockneter Samen-/Saatgutansatz · ⟦otsheody:?⟧ · erste Holzdrogenfraktion · ⟦olchey:?⟧ · zwei Portionen.	Getrockneter Samen-/Saatgutansatz · kalt angefeuchteter Ansatz, abgeschlossen · erste Holzdrogenfraktion · Holzdrogenansatz, bis Mittelstufe getrocknet · zwei Portionen.	Getrockneter Saatgutansatz; kalt angefeuchteter Ansatz, abgeschlossen; erste Holzdrogenfraktion; bis zur Mittelstufe getrockneter Holzdrogenansatz — zwei Portionen.	Both new cards are nominal preparation results and oror remains the final quantity.
3	f113v	f113v.3	S	B	3	7	3|4	chotar|okeeodar	QUANTITY_LABEL	QUANTITY_LABEL	NONE	NONE	NONE	NONE	NONE	NONE	sar aiin chotar okeeodar qokain olol olam	Samenfraktion I | Menge III | [chotar:?] | [okeeodar:?] | heiß, Grad II | Holzdrogen-Grundansatz | ein Maß Ansatz-/Drogenmaterial; Holzbindung offen	Samenfraktion I | Menge III | erste Fraktion des abgekühlten Trockenansatzes | erste abgemessene Fraktion des vollständig erhitzten Ansatzes | heiß, Grad II | Holzdrogen-Grundansatz | ein Maß Ansatz-/Drogenmaterial; Holzbindung offen	Samenfraktion I · Menge III · ⟦chotar:?⟧ · ⟦okeeodar:?⟧ · heiß, Grad II · Holzdrogen-Grundansatz · ein Maß Ansatz-/Drogenmaterial.	Samenfraktion I · Menge III · erste Fraktion des abgekühlten Trockenansatzes · erste abgemessene Fraktion des vollständig erhitzten Ansatzes · heiß, Grad II · Holzdrogen-Grundansatz · ein Maß Ansatz-/Drogenmaterial.	Samenfraktion I, Menge III; erste Fraktion des abgekühlten Trockenansatzes; erste abgemessene Fraktion des vollständig erhitzten Ansatzes; Heizgrad II; Holzdrogen-Grundansatz; ein Maß Ansatzmaterial.	RF1b drops initial o from okeeodar but preserves the heated measured-fraction core.
4	f115r	f115r.23	S	B	@	13	3|9	qokeod|keeey	ACTION_SEQUENCE	ACTION_SEQUENCE	1|5	1|3|5	dchey|qokeod|qokcho	3	qokeod	NONE	dchey keey qokeod chody qokcho s checthy qokeeey keeey lol chedy qokchedy ldy	eine Dosis bis zur Mittelstufe trocknen und abschließen | heiß am Ende des Grades | [qokeod:?] | Trockenansatz, abgeschlossen | erhitze, trockne und setze an | Samen-/Saatgutposten | trockenes CTH-Drogenmaterial; im Herbal trockenes Blatt-/Krautgut | stark erhitzt, Endstufe III | [keeey:?] | Holzstoff | trocken in der Mitte des Grades, abgeschlossen | heiß und trocken in der Mitte des Grades, abgeschlossen | Holzdroge, fertig aufbereitet	eine Dosis bis zur Mittelstufe trocknen und abschließen | heiß am Ende des Grades | heißen Auszug bereiten und abschließen | Trockenansatz, abgeschlossen | erhitze, trockne und setze an | Samen-/Saatgutposten | trockenes CTH-Drogenmaterial; im Herbal trockenes Blatt-/Krautgut | stark erhitzt, Endstufe III | stark erhitzt, Endstufe III | Holzstoff | trocken in der Mitte des Grades, abgeschlossen | heiß und trocken in der Mitte des Grades, abgeschlossen | Holzdroge, fertig aufbereitet	Eine Dosis bis Mittelstufe trocknen und abschließen · heiß, Endstufe · ⟦qokeod:?⟧ · Trockenansatz, abgeschlossen · erhitzen, trocknen und ansetzen · Samen-/Saatgutposten · trockenes Blatt-/Krautgut · stark erhitzt, Endstufe III · ⟦keeey:?⟧ · Holzstoff · trocken, Mittelstufe, abgeschlossen · heiß-trocken, Mittelstufe, abgeschlossen · Holzdroge, fertig aufbereitet.	Eine Dosis bis Mittelstufe trocknen und abschließen · heiß, Endstufe · heißen Auszug bereiten und abschließen · Trockenansatz, abgeschlossen · erhitzen, trocknen und ansetzen · Samen-/Saatgutposten · trockenes Blatt-/Krautgut · stark erhitzt, Endstufe III · stark erhitzt, Endstufe III · Holzstoff · trocken, Mittelstufe, abgeschlossen · heiß-trocken, Mittelstufe, abgeschlossen · Holzdroge, fertig aufbereitet.	Eine Dosis bis zur Mittelstufe trocknen und abschließen. Am Heizende einen heißen Auszug bereiten und abschließen; den fertigen Trockenansatz erhitzen, trocknen und neu ansetzen. Saatgutposten und trockenes Blatt- oder Krautgut stark bis zur Endstufe III erhitzen. Das stark erhitzte Gut mit Holzstoff bis zur mittleren Trockenstufe führen, heiß-trocken abschließen und als fertig aufbereitete Holzdroge halten.	qokeod is the new action; keeey remains a repeated high final heat state.
5	f116r	f116r.12	S	B	3	12	1|3	qoin|cholches	MIXED_RECORD	MIXED_RECORD	9	1|9	qoin|olchdy	1	qoin	NONE	qoin ar cholches okain dain cheey okeey otain olchdy otal dain olam	[qoin:?] | Drogenfraktion I | [cholches:?] | heiß im Zubereitungsrahmen, Grad II | Grad-/Maßwert II | trocken am Ende des Grades | heißer Ansatz am Ende des Grades | kalt im Zubereitungsrahmen, Grad II | Drogenstoff trocknen und fertigstellen | Rohstoffklasse I im Ansatz, kalt am Gradanfang | Grad-/Maßwert II | ein Maß Ansatz-/Drogenmaterial; Holzbindung offen	zweiten Ansatz nehmen | Drogenfraktion I | nachgetrocknetes Drogenmaterial, Mittelstufe | heiß im Zubereitungsrahmen, Grad II | Grad-/Maßwert II | trocken am Ende des Grades | heißer Ansatz am Ende des Grades | kalt im Zubereitungsrahmen, Grad II | Drogenstoff trocknen und fertigstellen | Rohstoffklasse I im Ansatz, kalt am Gradanfang | Grad-/Maßwert II | ein Maß Ansatz-/Drogenmaterial; Holzbindung offen	⟦qoin:?⟧ · Drogenfraktion I · ⟦cholches:?⟧ · heiß, Grad II, im Zubereitungsrahmen · Grad/Maß II · trocken, Endstufe · heißer Ansatz, Endstufe · kalt, Grad II, im Zubereitungsrahmen · Drogenstoff trocknen und fertigstellen · Rohstoffklasse I im kalten Anfangsansatz · Grad/Maß II · ein Maß Ansatz-/Drogenmaterial.	zweiten Ansatz nehmen · Drogenfraktion I · nachgetrocknetes Drogenmaterial, Mittelstufe · heiß, Grad II, im Zubereitungsrahmen · Grad/Maß II · trocken, Endstufe · heißer Ansatz, Endstufe · kalt, Grad II, im Zubereitungsrahmen · Drogenstoff trocknen und fertigstellen · Rohstoffklasse I im kalten Anfangsansatz · Grad/Maß II · ein Maß Ansatz-/Drogenmaterial.	Den zweiten Ansatz nehmen: erste Drogenfraktion und nachgetrocknetes Drogenmaterial der Mittelstufe. Auf Heizgrad II bringen; Maß II. Bis zur Trocken-Endstufe, danach zur heißen Endstufe und anschließend auf Kühlgrad II führen. Den Drogenstoff trocknen und fertigstellen; Rohdroge I im kalten Anfangsansatz, Maß II, schließlich ein Maß Drogenmaterial.	qoin uses the learned oin preparation block; form II remains its explicit rival.
6	f30r	f30r.9	H	A	1	7	2|4	qochar|keeaiin	ACTION_SEQUENCE	ACTION_SEQUENCE	1|5|7	1|2|5|7	dchey|qochar|chcthey|cheky	2	qochar	NONE	dchey qochar chol keeaiin chcthey chor cheky	eine Dosis bis zur Mittelstufe trocknen und abschließen | [qochar:?] | trocken; nominal trockenes Gut/Material | [keeaiin:?] | Krautdroge bis zur mittleren Stufe trocknen | Pflanzen-/Reproduktionsteil | bis zur mittleren Trockenstufe, dann leicht erhitzen	eine Dosis bis zur Mittelstufe trocknen und abschließen | erste Trockenfraktion nehmen | trocken; nominal trockenes Gut/Material | vollständig erhitzt, Stufe III | Krautdroge bis zur mittleren Stufe trocknen | Pflanzen-/Reproduktionsteil | bis zur mittleren Trockenstufe, dann leicht erhitzen	Eine Dosis bis Mittelstufe trocknen und abschließen · ⟦qochar:?⟧ · Trockengut · ⟦keeaiin:?⟧ · Krautdroge bis zur Mittelstufe trocknen · Pflanzen-/Reproduktionsteil · bis zur mittleren Trockenstufe bringen, dann leicht erhitzen.	Eine Dosis bis Mittelstufe trocknen und abschließen · erste Trockenfraktion nehmen · Trockengut · vollständig erhitzt, Stufe III · Krautdroge bis zur Mittelstufe trocknen · Pflanzen-/Reproduktionsteil · bis zur mittleren Trockenstufe bringen, dann leicht erhitzen.	Eine Dosis bis zur Mittelstufe trocknen und abschließen. Die erste Trockenfraktion des Trockenguts nehmen und vollständig auf Stufe III erhitzen. Die Krautdroge bis zur Mittelstufe trocknen, den Pflanzen- oder Blütenteil dazugeben und bis zur mittleren Trockenstufe bringen, dann leicht anwärmen.	keeaiin is rendered as heat grade III rather than an extra free quantity.
7	f49r	f49r.16	H	A	1	4	1|4	qocho|qotchody	NOMINAL_REGISTER	ACTION_SEQUENCE	NONE	1|4	qocho|qotchody	1|4	qocho|qotchody	NONE	qocho cheey dchey qotchody	[qocho:?] | trocken am Ende des Grades | abgemessene Trockendroge der Mittelstufe, abgeschlossen | [qotchody:?]	Trockenansatz nehmen | trocken am Ende des Grades | abgemessene Trockendroge der Mittelstufe, abgeschlossen | kühlen, trocknen, ansetzen und fertigstellen	⟦qocho:?⟧ · trocken, Endstufe · abgemessene Trockendroge der Mittelstufe, abgeschlossen · ⟦qotchody:?⟧.	Trockenansatz nehmen · trocken, Endstufe · abgemessene Trockendroge der Mittelstufe, abgeschlossen · kühlen, trocknen, ansetzen und fertigstellen.	Den Trockenansatz nehmen und bis zur Endstufe trocknen. Die abgemessene und auf Mittelstufe getrocknete Droge als fertiges Zwischenprodukt halten; anschließend kühlen, trocknen, erneut ansetzen und fertigstellen.	Both newly filled positions are explicit actions; qotchody retains a visible result rival.
8	f76v	f76v.10	B	B	2	10	1|7	cphdor|lsheetal	MIXED_RECORD	MIXED_RECORD	3|4	1|3|4	cphdor|qopchdy|dshedy	1	cphdor	NONE	cphdor shedal qopchdy dshedy shedy tchedy lsheetal shecphy daiin dy	[cphdor:?] | feuchte abgemessene Rohstoffmenge I in der Gradmitte | nimm fertig getrocknetes Pulver | weiche eine Dosis Droge bis zur Mittelstufe ein und schließe ab | feucht in der Mitte des Grades, abgeschlossen | kalt und trocken in der Mitte des Grades, abgeschlossen | [lsheetal:?] | bis zur Mittelstufe eingeweichtes und abgeschlossenes Arzneikompositum | Grad-/Maßwert III | Qualitäts-/Wertfeld geschlossen	eine Portion Arzneikompositum abmessen | feuchte abgemessene Rohstoffmenge I in der Gradmitte | nimm fertig getrocknetes Pulver | weiche eine Dosis Droge bis zur Mittelstufe ein und schließe ab | feucht in der Mitte des Grades, abgeschlossen | kalt und trocken in der Mitte des Grades, abgeschlossen | Rohholzdroge I, vollständig eingeweicht und kaltgestellt | bis zur Mittelstufe eingeweichtes und abgeschlossenes Arzneikompositum | Grad-/Maßwert III | Qualitäts-/Wertfeld geschlossen	⟦cphdor:?⟧ · feuchte abgemessene Rohstoffmenge I, Mittelstufe · fertig getrocknetes Pulver nehmen · eine Dosis Droge bis Mittelstufe einweichen und abschließen · feucht, Mittelstufe, abgeschlossen · kalt-trocken, Mittelstufe, abgeschlossen · ⟦lsheetal:?⟧ · bis Mittelstufe eingeweichtes und abgeschlossenes Arzneikompositum · Grad/Maß III · Qualitäts-/Wertfeld geschlossen.	eine Portion Arzneikompositum abmessen · feuchte abgemessene Rohstoffmenge I, Mittelstufe · fertig getrocknetes Pulver nehmen · eine Dosis Droge bis Mittelstufe einweichen und abschließen · feucht, Mittelstufe, abgeschlossen · kalt-trocken, Mittelstufe, abgeschlossen · Rohholzdroge I, vollständig eingeweicht und kaltgestellt · bis Mittelstufe eingeweichtes und abgeschlossenes Arzneikompositum · Grad/Maß III · Qualitäts-/Wertfeld geschlossen.	Eine Portion Arzneikompositum abmessen; dazu feuchte abgemessene Rohstoffmenge I auf Mittelstufe. Fertig getrocknetes Pulver nehmen und eine Dosis Droge bis zur Mittelstufe einweichen und abschließen. Mit dem fertigen Feuchtgut und dem kalt-trockenen Mittelstufenprodukt die Rohholzdroge I vollständig einweichen und kaltstellen; bis zur Mittelstufe eingeweichtes Arzneikompositum, Maß III, danach Abschluss.	cphdor preserves the learned dor measure action; lsheetal is its concrete wood/raw/cold result card.
9	f77v	f77v.7	B	B	2	11	3|4	qy|rr	ACTION_SEQUENCE	ACTION_SEQUENCE	2|5|11	2|3|5|11	qolsheedy|qy|ycheedy|qolky	3	qy	RR_TO_RCHR_DEFAULT	olshedy qolsheedy qy rr ycheedy okedy lshedy chs shdal chedy qolky	Holzdroge im Ansatz vollständig eingeweicht | vollständig eingeweichten und fertigen Drogenstoff zugeben | [qy:?] | [rr:?] | trockne hiervon vollständig und stelle es fertig | heißer Ansatz in der Mitte des Grades, abgeschlossen | eingeweichtes Drogenholz | Trockengut, Grundform | feuchte abgemessene Rohstoffmenge I am Gradanfang | trocken in der Mitte des Grades, abgeschlossen | leicht erhitzten Drogenstoff hinzugeben	Holzdroge im Ansatz vollständig eingeweicht | vollständig eingeweichten und fertigen Drogenstoff zugeben | hiervon nehmen | getrocknete Wurzeldroge | trockne hiervon vollständig und stelle es fertig | heißer Ansatz in der Mitte des Grades, abgeschlossen | eingeweichtes Drogenholz | Trockengut, Grundform | feuchte abgemessene Rohstoffmenge I am Gradanfang | trocken in der Mitte des Grades, abgeschlossen | leicht erhitzten Drogenstoff hinzugeben	Holzdroge im Ansatz, vollständig eingeweicht · vollständig eingeweichten und fertigen Drogenstoff zugeben · ⟦qy:?⟧ · ⟦rr:?⟧ · hiervon vollständig trocknen und fertigstellen · heißer Ansatz, Mittelstufe, abgeschlossen · eingeweichtes Drogenholz · Trockengut, Grundform · feuchte abgemessene Rohstoffmenge I, Anfangsstufe · trocken, Mittelstufe, abgeschlossen · leicht erhitzten Drogenstoff zugeben.	Holzdroge im Ansatz, vollständig eingeweicht · vollständig eingeweichten und fertigen Drogenstoff zugeben · hiervon nehmen · getrocknete Wurzeldroge · hiervon vollständig trocknen und fertigstellen · heißer Ansatz, Mittelstufe, abgeschlossen · eingeweichtes Drogenholz · Trockengut, Grundform · feuchte abgemessene Rohstoffmenge I, Anfangsstufe · trocken, Mittelstufe, abgeschlossen · leicht erhitzten Drogenstoff zugeben.	Vollständig eingeweichte Holzdroge; den vollständig eingeweichten und fertigen Drogenstoff zugeben. Davon getrocknete Wurzeldroge nehmen und vollständig trocknen und fertigstellen. Als heißen Mittelstufenansatz mit eingeweichtem Drogenholz weiterführen; Trockengut in Grundform und feuchte abgemessene Rohstoffmenge I auf Anfangsstufe. Bis zur mittleren Trockenstufe führen und leicht erhitzten Drogenstoff zugeben.	ZL3b rr is rendered from the shared IT2a/RF1b rchr reading; two Wurzelteile remains the named ZL3b-only rival.
10	f7r	f7r.2	H	A	1	9	2|5	keo|dold	MIXED_RECORD	MIXED_RECORD	1	1|5	dcheey|dold	5	dold	KEO_R_TO_KEOR	dcheey keo r shor dold dchey kchey otchy cheody	eine Dosis vollständig trocknen und abschließen | [keo:?] | Wurzel | Blüten-/Fruchtstand; reproduktiver Teil | [dold:?] | abgemessene Trockendroge der Mittelstufe, abgeschlossen | heiß und trocken in der Mitte des Grades | kalt-trockener Ansatz am Anfang des Grades | getrockneter Ansatz	eine Dosis vollständig trocknen und abschließen | Ansatz auf mittlerer Heizstufe | Wurzel | Blüten-/Fruchtstand; reproduktiver Teil | Drogenstoff abmessen und abschließen | abgemessene Trockendroge der Mittelstufe, abgeschlossen | heiß und trocken in der Mitte des Grades | kalt-trockener Ansatz am Anfang des Grades | getrockneter Ansatz	Eine Dosis vollständig trocknen und abschließen · ⟦keo:?⟧ · Wurzel · Blüten-/Fruchtstand · ⟦dold:?⟧ · abgemessene Trockendroge der Mittelstufe, abgeschlossen · heiß-trocken, Mittelstufe · kalt-trockener Ansatz, Anfangsstufe · getrockneter Ansatz.	Eine Dosis vollständig trocknen und abschließen · heiße · Drogenportion · Blüten-/Fruchtstand · Drogenstoff abmessen und abschließen · abgemessene Trockendroge der Mittelstufe, abgeschlossen · heiß-trocken, Mittelstufe · kalt-trockener Ansatz, Anfangsstufe · getrockneter Ansatz.	Eine Dosis vollständig trocknen und abschließen; heiße Drogenportion; Blüten- oder Fruchtstand. Den Drogenstoff abmessen und abschließen. Danach die abgemessene Trockendroge auf Mittelstufe, heiß-trocken auf Mittelstufe, in einen kalt-trockenen Anfangsansatz überführen und als getrockneten Ansatz halten.	The practical renderer joins ZL3b keo r through both alternate readers' keor; it does not print Ansatz plus Wurzel.
