card_rank	family	surface	card_type	composition	working_meaning_de	applied_render_de	strongest_rival_de	confidence	action_license	page	locus	section	language	hand	ordinal	token_count	line_position	left_surface	right_surface	context_decision	neighbor_override	it2a_operation	it2a_render	rf1b_operation	rf1b_render	reader_support	all_three_present	all_present_exact	zl3b_line	context_before_de	context_after_de	literal_after_de	review_note
1	REFERENCE_SEQUENCE	yey	READER_OR_BOUNDARY_COMPOUND	Y_REFERENCE+EY_THEN	hieran anschließend	hieran anschließend	vorstehenden Posten abschließen	LOW_EXPLORATORY	0	f105r	f105r.2	S	B	3	2	13	MEDIAL	dshees	cheey	HOLD_SAME_CARD	NONE	EXACT	yey	EXACT	yey	BOTH_EXACT	1	0	dshees yey cheey raiin otchdy qodor ches or cheey okees odar cheody qody	Dosis oder Charge vollständig eingeweichter Arzneispecies · ⟦yey:?⟧ · trocken am Ende des Grades · Wurzel, Typ/Charge III · kalt-trockener Ansatz am Anfang des Grades, abgeschlossen · ⟦qodor:?⟧ · trockenes Drogenmaterial, Mittelstufe · Drogenportion · trocken am Ende des Grades · Charge vollständig erhitzten Ansatzes · erste Ansatzfraktion abmessen · getrockneter Ansatz · stelle die Zubereitung fertig.	Dosis oder Charge vollständig eingeweichter Arzneispecies · hieran anschließend · trocken am Ende des Grades · Wurzel, Typ/Charge III · kalt-trockener Ansatz am Anfang des Grades, abgeschlossen · ⟦qodor:?⟧ · trockenes Drogenmaterial, Mittelstufe · Drogenportion · trocken am Ende des Grades · Charge vollständig erhitzten Ansatzes · erste Ansatzfraktion abmessen · getrockneter Ansatz · stelle die Zubereitung fertig.	Dosis oder Charge vollständig eingeweichter Arzneispecies | hieran anschließend | trocken am Ende des Grades | Wurzel, Typ/Charge III | kalt-trockener Ansatz am Anfang des Grades, abgeschlossen | [qodor:?] | trockenes Drogenmaterial, Mittelstufe | Drogenportion | trocken am Ende des Grades | Charge vollständig erhitzten Ansatzes | erste Ansatzfraktion abmessen | getrockneter Ansatz | stelle die Zubereitung fertig	ey already means anschließend; initial y supplies only the local backward link
2	PORTION_COMMAND	qodor	PRODUCTIVE_COMPOUND	QO_COMMAND+ODOR_MEASURE_PREP_PORTION	eine Portion Ansatz abmessen	eine Portion Ansatz abmessen	abgemessene Ansatzportion	STRONG_PRACTICAL_OR_COMPOSITIONAL	1	f105r	f105r.2	S	B	3	6	13	MEDIAL	otchdy	ches	HOLD_SAME_CARD	NONE	ONE	qodos	EXACT	qodor	RF1B_ONLY_EXACT	1	0	dshees yey cheey raiin otchdy qodor ches or cheey okees odar cheody qody	Dosis oder Charge vollständig eingeweichter Arzneispecies · ⟦yey:?⟧ · trocken am Ende des Grades · Wurzel, Typ/Charge III · kalt-trockener Ansatz am Anfang des Grades, abgeschlossen · ⟦qodor:?⟧ · trockenes Drogenmaterial, Mittelstufe · Drogenportion · trocken am Ende des Grades · Charge vollständig erhitzten Ansatzes · erste Ansatzfraktion abmessen · getrockneter Ansatz · stelle die Zubereitung fertig.	Dosis oder Charge vollständig eingeweichter Arzneispecies · ⟦yey:?⟧ · trocken am Ende des Grades · Wurzel, Typ/Charge III · kalt-trockener Ansatz am Anfang des Grades, abgeschlossen · eine Portion Ansatz abmessen · trockenes Drogenmaterial, Mittelstufe · Drogenportion · trocken am Ende des Grades · Charge vollständig erhitzten Ansatzes · erste Ansatzfraktion abmessen · getrockneter Ansatz · stelle die Zubereitung fertig.	Dosis oder Charge vollständig eingeweichter Arzneispecies | [yey:?] | trocken am Ende des Grades | Wurzel, Typ/Charge III | kalt-trockener Ansatz am Anfang des Grades, abgeschlossen | eine Portion Ansatz abmessen | trockenes Drogenmaterial, Mittelstufe | Drogenportion | trocken am Ende des Grades | Charge vollständig erhitzten Ansatzes | erste Ansatzfraktion abmessen | getrockneter Ansatz | stelle die Zubereitung fertig	odor is the learned preparation-portion measure and qo preserves command valency
2	PORTION_COMMAND	qodor	PRODUCTIVE_COMPOUND	QO_COMMAND+ODOR_MEASURE_PREP_PORTION	eine Portion Ansatz abmessen	eine Portion Ansatz abmessen	abgemessene Ansatzportion	STRONG_PRACTICAL_OR_COMPOSITIONAL	1	f11r	f11r.2	H	A	1	2	9	MEDIAL	socthody	y	HOLD_SAME_CARD	NONE	EXACT	qodor	MERGE_2	qodory	IT2A_ONLY_EXACT	1	0	socthody qodor y kshy daiin ytchy ytchoky kchol daiin	⟦socthody:?⟧ · ⟦qodor:?⟧ · hierzu: · heiß und feucht am Anfang des Grades · Grad-/Maßwert III · Eintrag: kalt-trockene Grundform · ⟦ytchoky:?⟧ · erhitztes Trockengut · Qualitätsgrad III.	⟦socthody:?⟧ · eine Portion Ansatz abmessen · hierzu: · heiß und feucht am Anfang des Grades · Grad-/Maßwert III · Eintrag: kalt-trockene Grundform · ⟦ytchoky:?⟧ · erhitztes Trockengut · Qualitätsgrad III.	[socthody:?] | eine Portion Ansatz abmessen | hierzu: | heiß und feucht am Anfang des Grades | Grad-/Maßwert III | Eintrag: kalt-trockene Grundform | [ytchoky:?] | erhitztes Trockengut | Qualitätsgrad III	odor is the learned preparation-portion measure and qo preserves command valency
3	COLD_MOIST_RESULT	otsheody	PRODUCTIVE_COMPOUND	O_PREP+T_COLD+SHEO_MOIST_PREP+DY_FINISHED	kalt angefeuchteter Ansatz, abgeschlossen	kalt angefeuchteter Ansatz, abgeschlossen	kalt-feuchter Ansatz der Mittelstufe	STRONG_PRACTICAL_OR_COMPOSITIONAL	0	f113v	f113v.12	S	B	3	2	5	MEDIAL	solchedy	arl	HOLD_SAME_CARD	NONE	EXACT	otsheody	EXACT	otsheody	BOTH_EXACT	1	0	solchedy otsheody arl olchey oror	getrockneter Samen/Saatgutstoff/-ansatz · ⟦otsheody:?⟧ · erste Holzdrogenfraktion · ⟦olchey:?⟧ · zwei Portionen.	getrockneter Samen/Saatgutstoff/-ansatz · kalt angefeuchteter Ansatz, abgeschlossen · erste Holzdrogenfraktion · ⟦olchey:?⟧ · zwei Portionen.	getrockneter Samen/Saatgutstoff/-ansatz | kalt angefeuchteter Ansatz, abgeschlossen | erste Holzdrogenfraktion | [olchey:?] | zwei Portionen	ot supplies the cold preparation frame and sheody the completed moist preparation
4	DRY_WOOD_PREPARATION	olchey	PRODUCTIVE_COMPOUND	O_PREP+L_WOOD+CH_DRY+E_MIDDLE+Y_CLOSE	Holzdrogenansatz, bis Mittelstufe getrocknet	Holzdrogenansatz, bis Mittelstufe getrocknet	Holzdrogenansatz bis Mittelstufe trocknen	STRONG_PRACTICAL_OR_COMPOSITIONAL	0	f103v	f103v.15	S	B	3	7	12	MEDIAL	ar	lcheody	HOLD_SAME_CARD	NONE	EXACT	olchey	EXACT	olchey	BOTH_EXACT	1	0	tchedal shey lcheey lchdy ch ar olchey lcheody tedy otain otain otay	⟦tchedal:?⟧ · feucht in der Mitte des Grades · Drogenholz, trocken gebunden, Form II · Drogenholz, getrocknete Kurz-/Kompaktform · Trockenfraktion I · Drogenfraktion I · ⟦olchey:?⟧ · ⟦lcheody:?⟧ · kalt in der Mitte des Grades, abgeschlossen · kalt im Zubereitungsrahmen, Grad II · kalt im Zubereitungsrahmen, Grad II · ⟦otay:?⟧.	⟦tchedal:?⟧ · feucht in der Mitte des Grades · Drogenholz, trocken gebunden, Form II · Drogenholz, getrocknete Kurz-/Kompaktform · Trockenfraktion I · Drogenfraktion I · Holzdrogenansatz, bis Mittelstufe getrocknet · ⟦lcheody:?⟧ · kalt in der Mitte des Grades, abgeschlossen · kalt im Zubereitungsrahmen, Grad II · kalt im Zubereitungsrahmen, Grad II · ⟦otay:?⟧.	[tchedal:?] | feucht in der Mitte des Grades | Drogenholz, trocken gebunden, Form II | Drogenholz, getrocknete Kurz-/Kompaktform | Trockenfraktion I | Drogenfraktion I | Holzdrogenansatz, bis Mittelstufe getrocknet | [lcheody:?] | kalt in der Mitte des Grades, abgeschlossen | kalt im Zubereitungsrahmen, Grad II | kalt im Zubereitungsrahmen, Grad II | [otay:?]	twenty register contexts favor the result while olchain and olchedy secure the wood-dry family
4	DRY_WOOD_PREPARATION	olchey	PRODUCTIVE_COMPOUND	O_PREP+L_WOOD+CH_DRY+E_MIDDLE+Y_CLOSE	Holzdrogenansatz, bis Mittelstufe getrocknet	Holzdrogenansatz, bis Mittelstufe getrocknet	Holzdrogenansatz bis Mittelstufe trocknen	STRONG_PRACTICAL_OR_COMPOSITIONAL	0	f106v	f106v.29	S	B	3	2	11	MEDIAL	ycheey	chedy	HOLD_SAME_CARD	NONE	EXACT	olchey	EXACT	olchey	BOTH_EXACT	1	0	ycheey olchey chedy qotaiin cheos otaiin otain chotar olos aiin cheog	trockne hiervon bis zur Endstufe · ⟦olchey:?⟧ · trocken in der Mitte des Grades, abgeschlossen · kalt, Grad III · Charge eines mitteltrockenen Ansatzes · kalt im Zubereitungsrahmen, Grad III · kalt im Zubereitungsrahmen, Grad II · ⟦chotar:?⟧ · ⟦olos:?⟧ · Menge III · ⟦cheog:?⟧.	trockne hiervon bis zur Endstufe · Holzdrogenansatz, bis Mittelstufe getrocknet · trocken in der Mitte des Grades, abgeschlossen · kalt, Grad III · Charge eines mitteltrockenen Ansatzes · kalt im Zubereitungsrahmen, Grad III · kalt im Zubereitungsrahmen, Grad II · ⟦chotar:?⟧ · ⟦olos:?⟧ · Menge III · ⟦cheog:?⟧.	trockne hiervon bis zur Endstufe | Holzdrogenansatz, bis Mittelstufe getrocknet | trocken in der Mitte des Grades, abgeschlossen | kalt, Grad III | Charge eines mitteltrockenen Ansatzes | kalt im Zubereitungsrahmen, Grad III | kalt im Zubereitungsrahmen, Grad II | [chotar:?] | [olos:?] | Menge III | [cheog:?]	twenty register contexts favor the result while olchain and olchedy secure the wood-dry family
4	DRY_WOOD_PREPARATION	olchey	PRODUCTIVE_COMPOUND	O_PREP+L_WOOD+CH_DRY+E_MIDDLE+Y_CLOSE	Holzdrogenansatz, bis Mittelstufe getrocknet	Holzdrogenansatz, bis Mittelstufe getrocknet	Holzdrogenansatz bis Mittelstufe trocknen	STRONG_PRACTICAL_OR_COMPOSITIONAL	0	f108v	f108v.48	S	B	3	7	12	MEDIAL	chckhey	sheey	HOLD_SAME_CARD	NONE	EXACT	olchey	EXACT	olchey	BOTH_EXACT	1	0	dair al checthy qol eeedy chckhey olchey sheey qokeeey qokeedar al keedy	abgemessene Fraktion II · Rohstoffklasse I · trockenes CTH-Drogenmaterial; im Herbal trockenes Blatt-/Krautgut · Drogenstoff zugeben · ⟦eeedy:?⟧ · Arzneikompositum: trocken, Gradmitte · ⟦olchey:?⟧ · feucht am Ende des Grades · stark erhitzt, Endstufe III · ⟦qokeedar:?⟧ · Rohstoffklasse I · heiß am Ende des Grades, abgeschlossen.	abgemessene Fraktion II · Rohstoffklasse I · trockenes CTH-Drogenmaterial; im Herbal trockenes Blatt-/Krautgut · Drogenstoff zugeben · ⟦eeedy:?⟧ · Arzneikompositum: trocken, Gradmitte · Holzdrogenansatz, bis Mittelstufe getrocknet · feucht am Ende des Grades · stark erhitzt, Endstufe III · ⟦qokeedar:?⟧ · Rohstoffklasse I · heiß am Ende des Grades, abgeschlossen.	abgemessene Fraktion II | Rohstoffklasse I | trockenes CTH-Drogenmaterial; im Herbal trockenes Blatt-/Krautgut | Drogenstoff zugeben | [eeedy:?] | Arzneikompositum: trocken, Gradmitte | Holzdrogenansatz, bis Mittelstufe getrocknet | feucht am Ende des Grades | stark erhitzt, Endstufe III | [qokeedar:?] | Rohstoffklasse I | heiß am Ende des Grades, abgeschlossen	twenty register contexts favor the result while olchain and olchedy secure the wood-dry family
4	DRY_WOOD_PREPARATION	olchey	PRODUCTIVE_COMPOUND	O_PREP+L_WOOD+CH_DRY+E_MIDDLE+Y_CLOSE	Holzdrogenansatz, bis Mittelstufe getrocknet	Holzdrogenansatz, bis Mittelstufe getrocknet	Holzdrogenansatz bis Mittelstufe trocknen	STRONG_PRACTICAL_OR_COMPOSITIONAL	0	f113v	f113v.12	S	B	3	4	5	MEDIAL	arl	oror	HOLD_SAME_CARD	NONE	EXACT	olchey	EXACT	olchey	BOTH_EXACT	1	0	solchedy otsheody arl olchey oror	getrockneter Samen/Saatgutstoff/-ansatz · ⟦otsheody:?⟧ · erste Holzdrogenfraktion · ⟦olchey:?⟧ · zwei Portionen.	getrockneter Samen/Saatgutstoff/-ansatz · ⟦otsheody:?⟧ · erste Holzdrogenfraktion · Holzdrogenansatz, bis Mittelstufe getrocknet · zwei Portionen.	getrockneter Samen/Saatgutstoff/-ansatz | [otsheody:?] | erste Holzdrogenfraktion | Holzdrogenansatz, bis Mittelstufe getrocknet | zwei Portionen	twenty register contexts favor the result while olchain and olchedy secure the wood-dry family
4	DRY_WOOD_PREPARATION	olchey	PRODUCTIVE_COMPOUND	O_PREP+L_WOOD+CH_DRY+E_MIDDLE+Y_CLOSE	Holzdrogenansatz, bis Mittelstufe getrocknet	Holzdrogenansatz, bis Mittelstufe getrocknet	Holzdrogenansatz bis Mittelstufe trocknen	STRONG_PRACTICAL_OR_COMPOSITIONAL	0	f115r	f115r.41	S	B	@	3	5	MEDIAL	olchy	qolcheor	HOLD_SAME_CARD	NONE	EXACT	olchey	ONE	alchey	IT2A_ONLY_EXACT	1	0	dar olchy olchey qolcheor okchor	abgemessene Fraktion I · Holzdroge im Ansatz leicht getrocknet · ⟦olchey:?⟧ · ⟦qolcheor:?⟧ · eine Portion heiß-trockene Droge im Ansatz.	abgemessene Fraktion I · Holzdroge im Ansatz leicht getrocknet · Holzdrogenansatz, bis Mittelstufe getrocknet · ⟦qolcheor:?⟧ · eine Portion heiß-trockene Droge im Ansatz.	abgemessene Fraktion I | Holzdroge im Ansatz leicht getrocknet | Holzdrogenansatz, bis Mittelstufe getrocknet | [qolcheor:?] | eine Portion heiß-trockene Droge im Ansatz	twenty register contexts favor the result while olchain and olchedy secure the wood-dry family
4	DRY_WOOD_PREPARATION	olchey	PRODUCTIVE_COMPOUND	O_PREP+L_WOOD+CH_DRY+E_MIDDLE+Y_CLOSE	Holzdrogenansatz, bis Mittelstufe getrocknet	Holzdrogenansatz, bis Mittelstufe getrocknet	Holzdrogenansatz bis Mittelstufe trocknen	STRONG_PRACTICAL_OR_COMPOSITIONAL	0	f39r	f39r.2	H	B	2	1	10	INITIAL	BOS	cheky	HOLD_SAME_CARD	NONE	EXACT	olchey	EXACT	olchey	BOTH_EXACT	1	0	olchey cheky qokedy shekshey qolain chy chdy dair shckhey dold	⟦olchey:?⟧ · bis zur mittleren Trockenstufe, dann leicht erhitzen · heiß in der Mitte des Grades, abgeschlossen · ⟦shekshey:?⟧ · gib zwei Teile Drogenstoff hinzu · trocken am Anfang des Grades · trocken am Anfang des Grades, abgeschlossen · abgemessene Fraktion II · Arzneikompositum: feucht, Gradmitte · ⟦dold:?⟧.	Holzdrogenansatz, bis Mittelstufe getrocknet · bis zur mittleren Trockenstufe, dann leicht erhitzen · heiß in der Mitte des Grades, abgeschlossen · ⟦shekshey:?⟧ · gib zwei Teile Drogenstoff hinzu · trocken am Anfang des Grades · trocken am Anfang des Grades, abgeschlossen · abgemessene Fraktion II · Arzneikompositum: feucht, Gradmitte · ⟦dold:?⟧.	Holzdrogenansatz, bis Mittelstufe getrocknet | bis zur mittleren Trockenstufe, dann leicht erhitzen | heiß in der Mitte des Grades, abgeschlossen | [shekshey:?] | gib zwei Teile Drogenstoff hinzu | trocken am Anfang des Grades | trocken am Anfang des Grades, abgeschlossen | abgemessene Fraktion II | Arzneikompositum: feucht, Gradmitte | [dold:?]	twenty register contexts favor the result while olchain and olchedy secure the wood-dry family
